size,input(us),output(us)
5000,262.211000025,91.264999986
5000,220.546000004,83.264999986
5000,216.387000024,81.025000036
5000,200.673999965,76.576999962
5000,165.057999969,73.760999978
5000,152.481999993,84.000999987
5000,186.914999962,78.657000005
5000,144.354000032,84.576999962
5000,127.649999976,79.616999984
5000,141.026000023,76.672999978
5000,133.088999987,85.057000041
5000,112.320999980,76.513000011
5000,121.472999990,82.528999984
5000,113.792999983,84.065999985
5000,103.072999954,75.041000009
5000,127.649999976,88.129000008
5000,125.505999982,88.384999990
5000,100.833000004,76.833000004
5000,107.266000032,79.072999954
5000,98.177000046,76.129000008
5000,113.026000023,84.032999992
5000,104.833999991,83.232999980
5000,113.792999983,81.024999976
5000,142.944999993,78.913000047
5000,125.793000042,85.729000032
5000,103.393000007,76.640999973
5000,139.553000033,85.858000040
5000,112.704999983,84.929000020
5000,170.689999998,82.976999998
5000,132.161000013,84.000999987
5000,142.370000005,84.320999980
5000,103.936999977,77.281000018
5000,133.504999995,77.120999992
5000,122.433000028,83.296999991
5000,97.856999993,76.865000010
5000,104.801999986,83.041000009
5000,172.833999991,87.553000033
5000,162.273999989,78.944999993
5000,121.634000003,82.592999995
5000,107.393000007,74.785000026
5000,119.009000003,82.753000021
5000,130.049000025,89.472999990
5000,144.033999979,83.393000007
5000,129.410000026,86.240999997
5000,156.738000035,83.168999970
5000,107.745000005,117.825000048
5000,98.944999993,75.777000010
5000,138.369000018,85.088999987
5000,95.584999979,82.400999963
5000,99.744999945,83.264999986
5000,99.489000022,87.265999973
5000,95.650000036,76.831999958
5000,100.097000003,81.537000000
5000,100.449999988,83.520999968
5000,91.425000012,77.088999987
5000,107.840999961,76.672999978
5000,120.449000001,86.465999961
5000,108.129000008,78.944999993
5000,112.449000001,85.569000006
5000,101.025000036,75.296999991
5000,155.586000025,78.752999961
5000,181.057999969,79.296999991
5000,163.649999976,90.049000025
5000,126.657999992,77.985000014
5000,117.697000027,85.025000036
5000,106.434000015,75.167999983
5000,108.929000020,82.560999990
5000,106.177999973,81.537000000
5000,97.217000008,75.585000038
5000,108.064999998,81.728999972
5000,104.737000048,80.768999994
5000,97.345000029,75.616999984
5000,105.088999987,84.545000017
5000,103.873000026,78.880999982
5000,94.657999992,74.879999995
5000,119.904999971,79.361000001
5000,96.480999947,75.937000036
5000,111.489000022,78.592999995
5000,120.672999978,83.137000024
5000,102.209999979,77.120999992
5000,114.497000039,80.289000034
5000,118.018000007,80.640999973
5000,95.552999973,75.520999968
5000,107.265000045,77.152999997
5000,140.034000039,82.849000037
5000,102.401000023,78.017000020
5000,98.530000031,82.817000031
5000,92.289000034,75.584999979
5000,103.777000010,78.240999997
5000,116.481999993,77.759999990
5000,91.904999971,75.425000012
5000,95.041000009,78.689000010
5000,120.930000007,74.912999988
5000,89.249000013,74.401000023
5000,131.202000022,77.664999962
5000,94.913000047,77.056999981
5000,91.137000024,75.201000035
5000,107.232999980,78.240999997
5000,93.601999998,75.231999993
5000,131.714000046,78.337000012
