size,input(us),output(us)
2352,184.527000427,76.263000488
2352,165.165000916,67.013999939
2352,202.801000595,72.486000061
2352,162.190000534,67.685001373
2352,126.601999283,65.029998779
2352,99.464000702,64.069999695
2352,99.783998489,64.934000015
2352,96.007999420,65.414001465
2352,121.867000580,65.541000366
2352,106.600999832,80.838001251
2352,86.694999695,66.212999344
2352,118.953998566,69.829999924
2352,84.614999771,67.588998795
2352,84.166999817,67.526000977
2352,92.104000092,68.390001297
2352,80.071001053,69.894001007
2352,149.677000046,73.222000122
2352,86.534999847,70.213998795
2352,106.312999725,73.157999039
2352,79.239000320,118.825000763
2352,75.270000458,67.205999374
2352,117.610000610,68.100999832
2352,77.574998856,66.597000122
2352,95.815999985,66.309000015
2352,87.111000061,70.053998947
2352,81.287000656,67.686000824
2352,106.345001221,68.836999893
2352,78.278999329,65.541999817
2352,116.520999908,68.326000214
2352,78.469999313,66.437999725
2352,108.680999756,77.831001282
2352,113.994001389,69.798000336
2352,80.422998428,72.934000015
2352,110.121000290,70.182001114
2352,72.486000061,65.541999817
2352,95.688001633,72.517999649
2352,72.902000427,66.212999344
2352,72.677999496,66.246000290
2352,114.089000702,68.101999283
2352,76.390998840,65.220998764
2352,109.384998322,71.270000458
2352,120.138000488,73.798000336
2352,127.145999908,68.772998810
2352,102.281000137,97.256000519
2352,83.399000168,70.214000702
2352,103.944999695,69.285999298
2352,75.814001083,66.725999832
2352,120.937999725,71.974000931
2352,73.445999146,67.461999893
2352,74.501998901,64.805999756
2352,108.809000015,70.405998230
2352,78.375000000,68.836999893
2352,111.786001205,70.340999603
2352,73.158000946,66.277999878
2352,115.402000427,73.510000229
2352,73.862998962,66.116998672
2352,81.798999786,66.788999557
2352,97.352998734,69.028999329
2352,73.287000656,72.390001297
2352,142.572000504,75.559000015
2352,81.670999527,67.621999741
2352,153.773000717,73.510000229
2352,95.879999161,68.069999695
2352,82.566999435,66.949998856
2352,120.523000717,68.325000763
2352,79.750000000,70.277999878
2352,99.944999695,67.781000137
2352,76.102001190,83.207000732
2352,79.718000412,67.621999741
2352,120.554000854,71.461999893
2352,75.398000717,66.500999451
2352,102.152000427,67.814001083
2352,76.006000519,67.558000565
2352,98.439998627,84.006999969
2352,99.432001114,69.030000687
2352,77.285999298,67.493999481
2352,80.711000443,66.116998672
2352,80.871000290,68.774000168
2352,143.340000153,75.526998520
2352,86.438999176,67.589998245
2352,78.758998871,67.141000748
2352,107.144998550,69.861999512
2352,77.287000656,66.277000427
2352,118.153999329,70.821998596
2352,77.926000595,66.277999878
2352,107.177000046,69.381000519
2352,76.006000519,66.053998947
2352,117.097999573,70.822000504
2352,122.058000565,73.861999512
2352,78.021999359,66.598001480
2352,136.811000824,86.855998993
2352,74.758001328,65.413999557
2352,106.024999619,66.405998230
2352,89.031000137,68.454000473
2352,73.958000183,69.413999557
2352,106.920999527,69.125999451
2352,75.942001343,65.766000748
2352,126.283000946,70.790000916
2352,76.389999390,65.733999252
2352,104.968999863,67.685998917
4704,122.889999390,78.373998642
4704,81.542999268,75.367000580
4704,122.441999435,82.406999588
4704,119.498001099,75.941999435
4704,78.566999435,75.398000717
4704,106.216999054,75.205999374
4704,153.740999222,73.829999924
4704,81.735000610,73.318000793
4704,114.793998718,78.918998718
4704,86.311998367,88.743000031
4704,88.296001434,73.413999557
4704,107.816999435,75.718999863
4704,81.062000275,73.285999298
