max,8.552208,9.128317,8.564462,9.055918,9.068716,9.10862,9.110569,9.138697,9.123237,9.232457,9.137536,8.068484,0.157674,7.997486,7.999244,8.138483,8.05582,8.070571,8.063625,8.067656,8.065029,0.245645,8.043444,7.965435,7.960282,8.0303,8.026555,8.041146,8.043705,8.046583,8.04431,0.174154,0.09447,0.148298,0.149769,0.171498,0.205132,0.175467,0.16833,0.16785,0.140552,0.150441,0.175883,0.172522,0.165033,0.159978,0.124136,0.09879,0.104038,0.131624,0.121735,0.112327,0.115495,0.111751,0.102246,0.127208,0.099878,0.095013,0.085381,0.091301,0.096229,0.091685,0.089669,0.095398,0.093829,0.093061,0.190094,0.17281,0.225487,0.194572,0.176811,0.177515,0.183115,0.187243,0.192363,0.171498,0.15332,0.884794,0.001537,0.057027,0.361109,0.023617,0.084516,0.016289,0.059203,0.001504,0.020898,0.021185,0.142954,0.12692,0.147754,0.144649,0.155914,0.174091,0.145002,0.143304,0.141609,0.179436,0.131752,8.757726,9.26407,8.711992,9.259771,9.231191,9.271286,9.266356,9.339317,9.301584,9.597314,9.324845,8.240143,0.410459,8.171642,8.218299,8.508684,8.228663,8.270872,8.265878,8.238226,8.232432,0.356404,8.206718,8.161992,8.116516,8.217224,8.207046,8.242663,8.245829,8.241155,8.223329,0.357429,0.316276,0.368919,0.416185,0.381431,0.480093,0.399705,0.379351,0.344373,0.384567,0.404984,0.393304,0.393176,0.386039,0.374039,0.318035,0.350005,0.301746,0.408632,0.375894,0.328404,0.316594,0.43721,0.312243,0.327699,0.316211,0.282641,0.348309,0.331475,0.308818,0.319603,0.302929,0.312562,0.28376,0.288785,,
max2,1.081867,1.653133,1.104396,1.576556,1.5899,1.644656,1.65704,1.725844,1.67192,1.659791,1.654766,0.683404,0.128041,0.617481,0.641514,0.691885,0.67534,0.71403,0.693421,0.694157,0.695981,0.120359,0.671914,0.598758,0.60407,0.647177,0.653929,0.658474,0.663753,0.676267,0.671498,0.167594,0.087526,0.145801,0.148489,0.16241,0.179371,0.175274,0.166666,0.164778,0.139369,0.144072,0.159145,0.158281,0.163786,0.152073,0.102438,0.084485,0.100358,0.104422,0.117062,0.104678,0.10999,0.099494,0.10055,0.10727,0.096934,0.090854,0.075364,0.090981,0.086117,0.085925,0.076357,0.083429,0.091014,0.079397,0.18254,0.165353,0.189901,0.188139,0.162154,0.150825,0.177675,0.146152,0.154921,0.136584,0.134664,0.835635,0.001344,0.039682,0.328243,0.022561,0.084389,0.001792,0.036227,0.00128,0.018561,0.020001,0.128169,0.09895,0.14657,0.13636,0.148458,0.134728,0.141257,0.134984,0.131337,0.136041,0.131304,1.354654,1.867195,1.31657,1.823132,1.804283,1.893121,1.903648,1.918689,1.884447,1.900991,1.885981,0.893945,0.405723,0.855032,0.888314,0.952062,0.900091,0.938781,0.96803,0.971903,0.915067,0.273647,0.861397,0.807412,0.838677,0.878423,0.893849,0.865078,0.873911,0.964541,0.94233,0.35199,0.301299,0.364022,0.405337,0.375639,0.435067,0.389496,0.361046,0.33906,0.339188,0.349653,0.380247,0.386231,0.381751,0.367606,0.292145,0.3237,0.297522,0.312498,0.324979,0.321427,0.298226,0.340436,0.306066,0.326995,0.310674,0.276304,0.325459,0.316178,0.287504,0.277072,0.291601,0.287984,0.280656,0.288337,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112998,0.156938,0.143625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,1.033447,1.606027,1.053672,1.531497,1.536713,1.584843,1.587019,1.603019,1.599915,1.606092,1.603402,0.643498,0.084998,0.569221,0.577285,0.629513,0.629417,0.64529,0.644329,0.641929,0.642505,0.058851,0.623847,0.544387,0.550562,0.602118,0.605734,0.617127,0.613831,0.617575,0.621702,0.142281,0.064996,0.118152,0.119176,0.129,0.132072,0.141064,0.139337,0.12964,0.109895,0.111271,0.127463,0.128072,0.127751,0.128744,0.079173,0.057956,0.071556,0.074501,0.076452,0.079557,0.079428,0.074405,0.07242,0.078053,0.076645,0.065188,0.053859,0.060516,0.061091,0.064196,0.060547,0.063332,0.06106,0.061635,0.067141,0.094565,0.089414,0.076101,0.077605,0.076772,0.075941,0.076453,0.073092,0.077701,0.096261,0.427163,0.000224,0.017121,0.207756,0.004768,0.046659,0.00048,0.013281,0.00032,0.001344,0.000704,0.080966,0.000032,0.073669,0.074917,0.069188,0.06954,0.068388,0.068388,0.065764,0.06746,0.064387,1.22306,1.761556,1.234261,1.71679,1.723478,1.76508,1.751382,1.782488,1.759414,1.792791,1.782007,0.801171,0.277714,0.744913,0.779635,0.824565,0.814069,0.831798,0.83119,0.820405,0.818964,0.157577,0.787281,0.71931,0.735823,0.78629,0.795122,0.775857,0.769712,0.781328,0.788369,0.286833,0.233486,0.291026,0.299891,0.286545,0.294226,0.315955,0.310995,0.268784,0.265552,0.270321,0.307058,0.288945,0.307571,0.302802,0.23131,0.226862,0.229646,0.239374,0.243215,0.234446,0.231566,0.247791,0.224845,0.258863,0.228174,0.198348,0.204748,0.228813,0.205612,0.223373,0.212716,0.225709,0.214284,0.235118,,
diff,0.04842,0.047106,0.050724,0.045059,0.053187,0.059813,0.070021,0.122825,0.072005,0.053699,0.051364,0.039906,0.043043,0.04826,0.064229,0.062372,0.045923,0.06874,0.049092,0.052228,0.053476,0.061508,0.048067,0.054371,0.053508,0.045059,0.048195,0.041347,0.049922,0.058692,0.049796,0.025313,0.02253,0.027649,0.029313,0.03341,0.047299,0.03421,0.027329,0.035138,0.029474,0.032801,0.031682,0.030209,0.036035,0.023329,0.023265,0.026529,0.028802,0.029921,0.04061,0.025121,0.030562,0.025089,0.02813,0.029217,0.020289,0.025666,0.021505,0.030465,0.025026,0.021729,0.01581,0.020097,0.029954,0.017762,0.115399,0.070788,0.100487,0.112038,0.084549,0.074053,0.101734,0.069699,0.081829,0.058883,0.038403,0.408472,0.00112,0.022561,0.120487,0.017793,0.03773,0.001312,0.022946,0.00096,0.017217,0.019297,0.047203,0.098918,0.072901,0.061443,0.07927,0.065188,0.072869,0.066596,0.065573,0.068581,0.066917,0.131594,0.105639,0.082309,0.106342,0.080805,0.128041,0.152266,0.136201,0.125033,0.1082,0.103974,0.092774,0.128009,0.110119,0.108679,0.127497,0.086022,0.106983,0.13684,0.151498,0.096103,0.11607,0.074116,0.088102,0.102854,0.092133,0.098727,0.089221,0.104199,0.183213,0.153961,0.065157,0.067813,0.072996,0.105446,0.089094,0.140841,0.073541,0.050051,0.070276,0.073636,0.079332,0.073189,0.097286,0.07418,0.064804,0.060835,0.096838,0.067876,0.073124,0.081764,0.086981,0.06666,0.092645,0.081221,0.068132,0.0825,0.077956,0.120711,0.087365,0.081892,0.053699,0.078885,0.062275,0.066372,0.053219,,
avg,1.049186333,1.627439303,1.06649596,1.547690889,1.553167384,1.604210697,1.609203768,1.621343192,1.61720701,1.622468384,1.623232162,0.655607081,0.094952495,0.583394747,0.595367313,0.645738525,0.641110202,0.657655182,0.656456788,0.657558505,0.658355242,0.066931485,0.636659384,0.556130394,0.563560879,0.615946121,0.617390061,0.630275778,0.62590199,0.631966101,0.635357606,0.150629646,0.072944172,0.128150455,0.12948903,0.138126303,0.142950848,0.150490636,0.148315434,0.138891455,0.11846801,0.119889576,0.138327242,0.137040323,0.138703788,0.138349212,0.089674869,0.064671313,0.080583121,0.081318152,0.084917818,0.086530879,0.086304475,0.081417323,0.081354535,0.084815384,0.086485525,0.072650687,0.064995212,0.068201111,0.06970001,0.070734444,0.068414141,0.071362222,0.066908131,0.067887263,0.114941614,0.108619333,0.116019102,0.106101509,0.104553827,0.104779172,0.10507982,0.106030549,0.102937486,0.104267716,0.107672045,0.432473493,0.000499543,0.01774539,0.210335253,0.005347982,0.048736425,0.000730524,0.014523114,0.000524953,0.002038011,0.001326673,0.095571566,0.054675041,0.090142513,0.089586308,0.090686737,0.087693267,0.086254651,0.086210835,0.080855429,0.084067487,0.081912191,1.267764374,1.817345263,1.266958444,1.759298798,1.760828545,1.804458929,1.827141182,1.82845401,1.81635896,1.834911253,1.833795899,0.830952091,0.316587727,0.796329646,0.816978818,0.864855364,0.844943162,0.868947131,0.860222333,0.86306602,0.865673586,0.17954103,0.808638768,0.75937603,0.773411727,0.819380162,0.819928869,0.822100354,0.810828263,0.825515768,0.827288606,0.319695232,0.263919646,0.325061838,0.327101162,0.329517798,0.333476303,0.345068,0.336191475,0.306660848,0.307224444,0.306989071,0.345717162,0.330591273,0.337055172,0.332557758,0.257306192,0.259664091,0.26522302,0.267646737,0.272156444,0.281603444,0.254538697,0.271503394,0.266964253,0.282346081,0.27531603,0.245524111,0.245329899,0.257924101,0.240151687,0.235538838,0.257882283,0.251966374,0.234040808,0.258439495,,
,INFER[0-0],INFER[0-10],INFER[0-1],INFER[0-2],INFER[0-3],INFER[0-4],INFER[0-5],INFER[0-6],INFER[0-7],INFER[0-8],INFER[0-9],INFER[1-10],INFER[1-1],INFER[1-2],INFER[1-3],INFER[1-4],INFER[1-5],INFER[1-6],INFER[1-7],INFER[1-8],INFER[1-9],INFER[10-10],INFER[2-10],INFER[2-2],INFER[2-3],INFER[2-4],INFER[2-5],INFER[2-6],INFER[2-7],INFER[2-8],INFER[2-9],INFER[3-10],INFER[3-3],INFER[3-4],INFER[3-5],INFER[3-6],INFER[3-7],INFER[3-8],INFER[3-9],INFER[4-10],INFER[4-4],INFER[4-5],INFER[4-6],INFER[4-7],INFER[4-8],INFER[4-9],INFER[5-10],INFER[5-5],INFER[5-6],INFER[5-7],INFER[5-8],INFER[5-9],INFER[6-10],INFER[6-6],INFER[6-7],INFER[6-8],INFER[6-9],INFER[7-10],INFER[7-7],INFER[7-8],INFER[7-9],INFER[8-10],INFER[8-8],INFER[8-9],INFER[9-10],INFER[9-9],IN[0],IN[10],IN[1],IN[2],IN[3],IN[4],IN[5],IN[6],IN[7],IN[8],IN[9],Layer[0],Layer[10],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],OUT[0],OUT[10],OUT[1],OUT[2],OUT[3],OUT[4],OUT[5],OUT[6],OUT[7],OUT[8],OUT[9],TEE[0-0],TEE[0-10],TEE[0-1],TEE[0-2],TEE[0-3],TEE[0-4],TEE[0-5],TEE[0-6],TEE[0-7],TEE[0-8],TEE[0-9],TEE[1-10],TEE[1-1],TEE[1-2],TEE[1-3],TEE[1-4],TEE[1-5],TEE[1-6],TEE[1-7],TEE[1-8],TEE[1-9],TEE[10-10],TEE[2-10],TEE[2-2],TEE[2-3],TEE[2-4],TEE[2-5],TEE[2-6],TEE[2-7],TEE[2-8],TEE[2-9],TEE[3-10],TEE[3-3],TEE[3-4],TEE[3-5],TEE[3-6],TEE[3-7],TEE[3-8],TEE[3-9],TEE[4-10],TEE[4-4],TEE[4-5],TEE[4-6],TEE[4-7],TEE[4-8],TEE[4-9],TEE[5-10],TEE[5-5],TEE[5-6],TEE[5-7],TEE[5-8],TEE[5-9],TEE[6-10],TEE[6-6],TEE[6-7],TEE[6-8],TEE[6-9],TEE[7-10],TEE[7-7],TEE[7-8],TEE[7-9],TEE[8-10],TEE[8-8],TEE[8-9],TEE[9-10],TEE[9-9],classifier,source
,8.552208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074821,,,,,,,,,,,,0.000577,0.018369,0.260402,0.004897,0.048643,0.0008,0.013409,0.000416,0.001504,0.002784,0.125097,,,,,,,,,,,8.757726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.115416,output_pp0-0_1016_1204
,1.081867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111463,,,,,,,,,,,,0.000384,0.017954,0.210382,0.005185,0.048515,0.000896,0.013857,0.000384,0.001408,0.001792,0.1146,,,,,,,,,,,1.314267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.620656,output_pp0-0_1016_1204
,1.079882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107016,,,,,,,,,,,,0.000416,0.019554,0.209998,0.00512,0.048836,0.000896,0.013921,0.000416,0.001824,0.001472,0.110088,,,,,,,,,,,1.303514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.612207,output_pp0-0_1016_1204
