IN[0],INFER[0-10],OUT[10],TEE[0-10],classifier
0.090369,9.199682,0.064705,9.362020,9.363364
0.191073,1.574700,0.072064,1.845101,1.846253
0.142529,1.570923,0.066529,1.785901,1.787597
0.157249,1.572811,0.066977,1.803533,1.804845
0.152769,1.583499,0.069505,1.812397,1.813517
0.165121,1.590316,0.081184,1.842413,1.843469
0.156897,1.573995,0.068064,1.805356,1.806828
0.185537,1.590732,0.087104,1.871085,1.872557
0.164065,1.569932,0.067744,1.807981,1.809613
0.157441,1.587915,0.089953,1.842958,1.844590
0.187073,1.573611,0.070785,1.837965,1.839597
0.179521,1.588780,0.078240,1.854157,1.855405
0.151457,1.578732,0.068512,1.805261,1.806509
0.154977,1.604716,0.094273,1.862126,1.863790
0.181570,1.568843,0.070049,1.825774,1.826958
0.187681,1.586987,0.073281,1.853997,1.855309
0.141057,1.569899,0.066209,1.783533,1.784941
0.154625,1.588107,0.069601,1.819341,1.820749
0.178529,1.569227,0.066465,1.820589,1.821677
0.180641,1.587692,0.075360,1.851341,1.852877
0.142081,1.571563,0.067137,1.787469,1.788877
0.175905,1.588332,0.084224,1.854765,1.856077
0.176609,1.569580,0.068064,1.819789,1.821069
0.178401,1.585580,0.080544,1.852557,1.853741
0.174914,1.570251,0.066560,1.818349,1.819693
0.163074,1.574155,0.066400,1.810605,1.811757
0.186530,1.570859,0.071776,1.835501,1.836685
0.190370,1.569515,0.068512,1.834637,1.835949
0.186178,1.569355,0.087585,1.849838,1.851438
0.157089,1.588843,0.073249,1.826253,1.827693
0.157889,1.589099,0.086721,1.841837,1.843565
0.177409,1.570699,0.068481,1.823661,1.824877
0.141281,1.585323,0.081601,1.815117,1.816397
0.179809,1.584427,0.068641,1.839757,1.841293
0.179009,1.591179,0.087585,1.865613,1.867277
0.177441,1.572427,0.068993,1.825261,1.826509
0.130913,1.587659,0.069056,1.793996,1.795436
0.173985,1.570956,0.065792,1.816781,1.818189
0.169185,1.587852,0.067232,1.830349,1.831885
0.159937,1.582795,0.065153,1.813869,1.815213
0.179105,1.586635,0.069153,1.841421,1.843021
0.155297,1.568331,0.064065,1.792941,1.794221
0.168065,1.582188,0.070400,1.826605,1.828173
0.170305,1.567211,0.065921,1.809069,1.810285
0.165153,1.582891,0.084065,1.839181,1.840557
0.153921,1.565676,0.064352,1.789005,1.790157
0.147617,1.583467,0.086689,1.824717,1.826445
0.155778,1.568139,0.063648,1.792429,1.793613
0.125409,1.582827,0.066913,1.781005,1.782349
0.174401,1.566156,0.065312,1.810957,1.812173
0.151649,1.587211,0.070945,1.816813,1.818381
0.175969,1.567115,0.065857,1.815021,1.816333
0.145121,1.586124,0.085696,1.823853,1.825069
0.173601,1.570155,0.065857,1.815533,1.816813
0.182146,1.566795,0.065600,1.820941,1.822157
0.175585,1.567019,0.065665,1.814221,1.815469
0.173442,1.565483,0.064864,1.809325,1.810509
0.158689,1.569131,0.066017,1.800141,1.801645
0.128000,1.567020,0.064512,1.765580,1.766668
0.191553,1.601708,0.089504,1.891085,1.892365
0.162433,1.571436,0.066432,1.808301,1.809933
0.154913,1.593899,0.084097,1.840077,1.841869
0.162753,1.571467,0.064865,1.805229,1.806477
0.162145,1.587308,0.074016,1.829933,1.831341
0.147937,1.568107,0.066240,1.788428,1.789644
0.142241,1.583179,0.067265,1.799181,1.800333
0.156321,1.581964,0.065632,1.809741,1.810925
0.165473,1.595115,0.082817,1.849453,1.850829
0.169794,1.575915,0.066368,1.818381,1.819373
0.173281,1.597260,0.102240,1.880045,1.881165
0.169921,1.575723,0.066081,1.818477,1.819597
0.167425,1.582444,0.072640,1.828237,1.829421
0.163201,1.573067,0.073281,1.816141,1.817293
0.152929,1.584523,0.072321,1.816045,1.817293
0.171489,1.569932,0.071712,1.820685,1.821837
0.175745,1.585963,0.082241,1.850381,1.851661
0.170850,1.566891,0.064768,1.808461,1.809581
0.169985,1.583179,0.067393,1.825677,1.827053
0.175297,1.565868,0.065632,1.812749,1.813933
0.174113,1.582155,0.068225,1.830702,1.831854
0.139009,1.563275,0.063745,1.771757,1.772845
0.166529,1.584204,0.077408,1.833805,1.834989
0.173665,1.566571,0.065121,1.811053,1.812077
0.143905,1.595531,0.080865,1.826637,1.828045
0.169313,1.564620,0.063296,1.802381,1.803501
0.184226,1.568203,0.063969,1.822126,1.823278
0.163457,1.568907,0.068705,1.806541,1.807661
0.160289,1.564267,0.064417,1.794285,1.795437
0.164961,1.570860,0.078656,1.820109,1.821197
0.177921,1.566123,0.065217,1.815822,1.816974
0.166657,1.565867,0.090689,1.828429,1.829613
0.167298,1.565195,0.064512,1.802125,1.803085
0.164642,1.590635,0.083969,1.846030,1.847630
0.151393,1.578731,0.064161,1.800173,1.801165
0.165281,1.577227,0.067361,1.815341,1.816557
0.175073,1.564395,0.064673,1.809837,1.810925
0.158273,1.581611,0.081888,1.827661,1.828845
0.140033,1.574540,0.069024,1.789965,1.791021
0.132353,1.578699,0.081345,1.799149,1.800333
0.167329,1.566028,0.065408,1.804749,1.805997
