IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.094528,8.639460,0.067649,8.807397,0.256962,0.005536,0.047072,0.000768,0.013409,0.000352,0.001504,0.002432,0.000640,9.141480
0.175458,1.019304,0.077952,1.278826,0.205314,0.009376,0.048256,0.000608,0.014272,0.000448,0.001728,0.001696,0.000384,1.565804
0.153409,1.017544,0.069665,1.246602,0.208961,0.005184,0.047617,0.000608,0.013600,0.000416,0.001472,0.001376,0.000384,1.531052
0.155874,1.020456,0.076832,1.260010,0.204674,0.005248,0.047904,0.000608,0.013728,0.000416,0.001472,0.001088,0.000448,1.540300
0.182625,1.021960,0.078401,1.289770,0.205538,0.005120,0.048736,0.000800,0.013472,0.000352,0.001504,0.001088,0.000416,1.571820
0.183137,1.036968,0.076001,1.302858,0.205185,0.005505,0.048224,0.000608,0.013696,0.000384,0.001472,0.001024,0.000384,1.583948
0.180546,1.021160,0.073728,1.281994,0.204610,0.005120,0.047872,0.000736,0.013601,0.000320,0.001440,0.001024,0.000352,1.561965
0.183809,1.035017,0.078528,1.304074,0.204418,0.005184,0.047936,0.000640,0.013472,0.000352,0.001440,0.001024,0.000320,1.584236
0.155937,1.021352,0.075425,1.259850,0.206497,0.005088,0.048129,0.000800,0.013568,0.000352,0.001472,0.001024,0.000384,1.541836
0.177570,1.020104,0.092832,1.296874,0.203842,0.005312,0.048096,0.000608,0.013504,0.000352,0.001440,0.000896,0.000416,1.576332
0.196353,1.023592,0.074337,1.301514,0.204866,0.005408,0.047872,0.000576,0.013536,0.000448,0.001504,0.001344,0.000416,1.582764
0.197154,1.021384,0.073920,1.299690,0.204194,0.005280,0.067713,0.000800,0.013824,0.000352,0.001504,0.001248,0.000384,1.600397
0.164993,1.027304,0.077121,1.276138,0.204258,0.005344,0.048352,0.000800,0.013632,0.000352,0.001536,0.001248,0.000416,1.557356
0.177762,1.020872,0.074848,1.279978,0.204418,0.005344,0.048192,0.000800,0.013953,0.000352,0.001504,0.001216,0.000480,1.561005
0.202145,1.019176,0.072033,1.299082,0.204162,0.005280,0.047968,0.000608,0.013728,0.000352,0.001408,0.001280,0.000448,1.579660
0.183105,1.017128,0.069248,1.275497,0.204354,0.005088,0.047873,0.000768,0.013632,0.000352,0.001504,0.001280,0.000416,1.555468
0.156417,1.044329,0.092384,1.300330,0.204514,0.005056,0.047776,0.000800,0.013600,0.000384,0.001472,0.001376,0.000448,1.580780
0.157185,1.017160,0.070784,1.252265,0.204066,0.005088,0.048192,0.000608,0.014017,0.000416,0.001472,0.001344,0.000384,1.533196
0.182561,1.033320,0.072385,1.294282,0.204226,0.005056,0.048128,0.000576,0.013696,0.000384,0.001536,0.001312,0.000384,1.574316
0.186306,1.018600,0.069344,1.280362,0.204674,0.005312,0.047744,0.000576,0.013792,0.000608,0.001536,0.001088,0.000384,1.560812
0.156225,1.035496,0.073473,1.272074,0.204001,0.005344,0.048033,0.000768,0.013536,0.000320,0.001536,0.001184,0.000384,1.552236
0.191362,1.016264,0.069728,1.282826,0.204098,0.005376,0.047936,0.000800,0.013569,0.000320,0.001472,0.001248,0.000352,1.562637
0.159713,1.017384,0.068096,1.250889,0.226562,0.005408,0.048065,0.000576,0.013600,0.000416,0.001440,0.001184,0.000448,1.553932
0.190017,1.017735,0.069601,1.283434,0.205250,0.005120,0.047808,0.000800,0.013600,0.000352,0.001568,0.001184,0.000384,1.565004
0.157761,1.018888,0.076192,1.259817,0.204578,0.005344,0.048416,0.000832,0.014912,0.000577,0.001696,0.001440,0.000416,1.543532
0.182049,1.019624,0.068929,1.276682,0.204834,0.005376,0.048000,0.000864,0.013952,0.000608,0.001440,0.001216,0.000480,1.558188
0.172162,1.018664,0.070048,1.267242,0.204258,0.005120,0.048128,0.000960,0.013568,0.000352,0.001504,0.001184,0.000416,1.547468
0.188642,1.040424,0.073025,1.308907,0.204225,0.005504,0.048161,0.000832,0.013760,0.000416,0.001440,0.001248,0.000384,1.589741
0.151617,1.018024,0.068897,1.243786,0.204001,0.005568,0.047873,0.000576,0.013600,0.000352,0.001536,0.001280,0.000416,1.524012
0.148033,1.036904,0.071457,1.262378,0.203969,0.005024,0.048449,0.000800,0.013888,0.000384,0.001536,0.001152,0.000416,1.542796
0.180001,1.019560,0.069153,1.274122,0.203617,0.005312,0.048321,0.000768,0.013632,0.000384,0.001472,0.001184,0.000352,1.554220
