IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.157409,9.142501,0.075553,9.382311,0.049088,0.000800,0.013472,0.000416,0.001440,0.013472,0.000704,9.467047
0.155937,1.505900,0.068704,1.737965,0.048960,0.000608,0.013921,0.000384,0.001568,0.001408,0.000384,1.810126
0.153985,1.516875,0.079809,1.756334,0.049600,0.000608,0.014560,0.000448,0.001696,0.001376,0.000416,1.829262
0.180641,1.514668,0.073760,1.775181,0.071009,0.000640,0.014688,0.000384,0.001760,0.001120,0.000384,1.869742
0.151873,1.514251,0.071617,1.744653,0.050848,0.000608,0.014528,0.000416,0.001600,0.001184,0.000384,1.818381
0.151777,1.532684,0.075520,1.767149,0.049025,0.000672,0.014144,0.000352,0.001696,0.000992,0.000384,1.838702
0.177058,1.510923,0.071136,1.765325,0.050625,0.000608,0.013856,0.000384,0.001536,0.001024,0.000416,1.838094
0.153217,1.532427,0.073921,1.767053,0.049056,0.000672,0.013600,0.000352,0.001536,0.001024,0.000352,1.838189
0.150273,1.512267,0.071873,1.740909,0.049760,0.000640,0.013409,0.000384,0.001632,0.001056,0.000416,1.812526
0.155425,1.527756,0.074688,1.765037,0.049377,0.000608,0.013408,0.000384,0.001536,0.001024,0.000352,1.836014
0.149442,1.510987,0.070432,1.737421,0.050177,0.000608,0.013440,0.000352,0.001568,0.001024,0.000448,1.809518
0.155361,1.532043,0.095457,1.790669,0.050048,0.000608,0.013889,0.000352,0.001504,0.001088,0.000384,1.863630
0.151361,1.511500,0.072224,1.741357,0.049473,0.000608,0.013600,0.000352,0.001504,0.001184,0.000352,1.813038
0.153217,1.522220,0.075584,1.758573,0.050721,0.000704,0.013472,0.000352,0.001568,0.000896,0.000416,1.831214
0.171426,1.509131,0.078465,1.764942,0.049248,0.000608,0.013504,0.000384,0.001536,0.001024,0.000416,1.835374
0.180161,1.524875,0.073761,1.786157,0.050048,0.000704,0.013505,0.000384,0.001504,0.001088,0.000384,1.857710
0.149633,1.515564,0.075904,1.747373,0.049856,0.000608,0.013505,0.000384,0.001472,0.001184,0.000416,1.818734
0.154177,1.526348,0.075264,1.763629,0.049409,0.000640,0.013600,0.000352,0.001536,0.001056,0.000480,1.834702
0.152481,1.502508,0.078720,1.740269,0.050241,0.000704,0.013632,0.000384,0.001504,0.001056,0.000416,1.812110
0.151521,1.539692,0.083905,1.783438,0.049856,0.000672,0.013792,0.000352,0.001600,0.001344,0.000352,1.856046
0.179425,1.503499,0.070177,1.759277,0.049504,0.000640,0.013888,0.000320,0.001536,0.000960,0.000416,1.830477
0.142625,1.533387,0.083585,1.767565,0.050336,0.000640,0.013664,0.000352,0.001632,0.000960,0.000384,1.839725
0.137921,1.511787,0.070273,1.726925,0.050496,0.000672,0.013696,0.000352,0.001536,0.000992,0.000288,1.799181
0.201025,1.520908,0.071040,1.800205,0.049889,0.000672,0.013568,0.000384,0.001600,0.001088,0.000416,1.871758
0.159969,1.518635,0.072225,1.757357,0.049440,0.000832,0.014304,0.000384,0.001632,0.001088,0.000384,1.829645
0.137441,1.502539,0.072289,1.720237,0.049696,0.000896,0.014592,0.000384,0.001632,0.001408,0.000448,1.793773
0.176001,1.510539,0.070881,1.763405,0.073344,0.000928,0.014048,0.000352,0.001664,0.001088,0.000416,1.861646
0.176065,1.502124,0.067840,1.752589,0.050624,0.001088,0.013504,0.000416,0.001504,0.001056,0.000384,1.825518
0.144033,1.534092,0.070176,1.754637,0.049856,0.001024,0.013409,0.000320,0.001536,0.001120,0.000416,1.826318
0.146113,1.498859,0.067297,1.718605,0.049920,0.000608,0.013408,0.000352,0.001568,0.001024,0.000384,1.789869
0.131041,1.529164,0.075457,1.741582,0.050624,0.000608,0.013408,0.000352,0.001504,0.001024,0.000416,1.813806
0.208705,1.512396,0.071232,1.802093,0.052353,0.001344,0.013952,0.000576,0.002112,0.002464,0.000832,1.880814
0.191650,1.521547,0.068641,1.788174,0.050848,0.001152,0.013568,0.000384,0.001472,0.001088,0.000576,1.861934
0.151937,1.501771,0.063617,1.723309,0.049632,0.000864,0.013728,0.000352,0.001632,0.001216,0.000416,1.795693
