IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.137057,9.178500,0.076641,9.399270,0.001184,0.016640,0.000640,0.001568,0.002688,0.000608,9.427046
0.160609,1.572940,0.083616,1.825197,0.001216,0.015840,0.000384,0.001824,0.002016,0.000576,1.851661
0.131905,1.549548,0.070112,1.758061,0.001152,0.015713,0.000416,0.001568,0.001472,0.000672,1.782638
0.170177,1.555531,0.071425,1.802734,0.001248,0.016000,0.000352,0.001920,0.001344,0.000576,1.827886
0.194337,1.556076,0.071296,1.827949,0.000992,0.015073,0.000608,0.001536,0.001280,0.000576,1.851694
0.152065,1.556779,0.068449,1.784173,0.000896,0.015552,0.000544,0.001568,0.001504,0.000352,1.808333
0.136033,1.550699,0.067105,1.760461,0.000960,0.014816,0.000352,0.001632,0.001248,0.000352,1.783373
0.181762,1.551115,0.067681,1.806734,0.000928,0.015744,0.000384,0.001536,0.001792,0.000384,1.830798
0.182625,1.568460,0.069344,1.826061,0.000928,0.015840,0.000416,0.001536,0.001600,0.000384,1.850350
0.140545,1.553323,0.068993,1.769741,0.000992,0.015552,0.000384,0.001472,0.001248,0.000608,1.793549
0.176321,1.571372,0.070688,1.825901,0.001312,0.016257,0.000352,0.001504,0.001280,0.000576,1.850862
0.179073,1.552812,0.067232,1.804461,0.000768,0.015584,0.000416,0.001536,0.001312,0.000384,1.828077
0.154369,1.584140,0.078177,1.825006,0.000864,0.014272,0.000352,0.001472,0.001344,0.000384,1.847662
0.177473,1.553612,0.070912,1.809133,0.000960,0.015744,0.000352,0.001504,0.001088,0.000384,1.832589
0.183969,1.570764,0.077824,1.839917,0.000896,0.014592,0.000576,0.001792,0.001280,0.000480,1.863277
0.150498,1.555883,0.068769,1.781902,0.000992,0.016640,0.000416,0.001856,0.001280,0.000384,1.807182
0.158209,1.571468,0.083520,1.822317,0.000992,0.015072,0.000384,0.001696,0.000992,0.000385,1.846894
0.178273,1.551500,0.069664,1.804973,0.001088,0.016544,0.000608,0.001728,0.000960,0.000384,1.829901
0.156354,1.569291,0.072129,1.805806,0.000992,0.015136,0.000576,0.002208,0.001216,0.000384,1.829710
0.157121,1.553772,0.068288,1.786285,0.000928,0.015361,0.000608,0.001504,0.001056,0.000352,1.809678
0.181825,1.575596,0.070656,1.834061,0.000864,0.016033,0.000576,0.001472,0.001024,0.000384,1.857806
0.183553,1.559372,0.074944,1.824877,0.001216,0.015232,0.000448,0.001377,0.000928,0.000384,1.848270
0.165473,1.588236,0.084609,1.846126,0.001056,0.016160,0.000384,0.001504,0.001344,0.000416,1.871438
0.193570,1.557707,0.076033,1.837678,0.001312,0.016832,0.000608,0.001696,0.002144,0.000800,1.865486
0.201793,1.564684,0.076001,1.851470,0.001472,0.017024,0.000352,0.002016,0.002976,0.000576,1.880878
0.157729,1.556747,0.071169,1.793326,0.001152,0.015648,0.000608,0.001792,0.001056,0.000576,1.818254
0.156161,1.557132,0.070848,1.790765,0.001184,0.015648,0.000384,0.001856,0.001120,0.000320,1.814701
0.186401,1.572652,0.073377,1.841646,0.001184,0.016352,0.000448,0.001568,0.001440,0.000640,1.866990
0.177986,1.554315,0.070273,1.808302,0.000992,0.015296,0.000416,0.001632,0.000960,0.000352,1.831630
0.193602,1.570539,0.072193,1.843918,0.000960,0.015744,0.000608,0.001696,0.001664,0.000352,1.868494
0.158882,1.557483,0.071009,1.794350,0.000992,0.016032,0.000384,0.001728,0.001120,0.000384,1.818574
0.165666,1.586859,0.086209,1.845422,0.001120,0.015488,0.000384,0.001568,0.001088,0.000352,1.869422
0.159073,1.551531,0.070657,1.787597,0.001408,0.015360,0.000384,0.001472,0.000992,0.000384,1.811277
0.213121,1.583627,0.088545,1.894894,0.001792,0.017152,0.000384,0.001824,0.002528,0.000640,1.924238
0.188961,1.564812,0.074561,1.835342,0.001248,0.016256,0.000416,0.001856,0.001312,0.000608,1.860430
0.199617,1.577676,0.079040,1.864781,0.001152,0.015680,0.000640,0.001536,0.001344,0.000352,1.889166
0.192833,1.556236,0.069952,1.825613,0.001088,0.015648,0.000384,0.001664,0.001120,0.000384,1.849325
0.165057,1.575756,0.082593,1.831182,0.001216,0.015776,0.000608,0.001728,0.001568,0.000672,1.856366
0.154241,1.554475,0.070689,1.785613,0.001024,0.015808,0.000608,0.001536,0.001344,0.000416,1.810253
0.156961,1.575596,0.075232,1.815661,0.000992,0.015489,0.000608,0.001472,0.001408,0.000448,1.839982
0.180802,1.562091,0.071393,1.820942,0.001120,0.015520,0.000576,0.001440,0.001088,0.000352,1.844750
0.196386,1.558827,0.071457,1.834030,0.001152,0.015584,0.000640,0.001824,0.001152,0.000448,1.858830
0.146273,1.555980,0.070304,1.779053,0.001344,0.015360,0.000608,0.001792,0.001120,0.000384,1.803533
0.161537,1.554508,0.072352,1.795309,0.000992,0.015105,0.000352,0.001664,0.001120,0.000416,1.818830
0.188162,1.575115,0.094241,1.863982,0.001152,0.015392,0.000384,0.001568,0.001344,0.000416,1.887918
0.154241,1.555596,0.072704,1.790541,0.001152,0.015552,0.000416,0.001728,0.001152,0.000384,1.814797
0.155873,1.572300,0.072192,1.807373,0.000992,0.015648,0.000384,0.001440,0.001408,0.000640,1.831565
0.140033,1.561772,0.068833,1.778254,0.000992,0.015328,0.000608,0.001728,0.001184,0.000640,1.802638
0.180353,1.572268,0.073056,1.833197,0.001024,0.015776,0.000352,0.001472,0.001312,0.000448,1.857325
0.138850,1.555691,0.068897,1.769838,0.000992,0.014816,0.000608,0.001408,0.001120,0.000480,1.793070
0.146657,1.567883,0.072289,1.793997,0.000992,0.014848,0.000384,0.001504,0.001344,0.000512,1.817101
0.153249,1.555820,0.071648,1.787757,0.000992,0.014977,0.000608,0.001440,0.001056,0.000384,1.811086
0.146113,1.569259,0.075265,1.798029,0.001152,0.016640,0.000384,0.001440,0.001152,0.000384,1.823085
0.148257,1.557068,0.071136,1.781773,0.000992,0.015360,0.000576,0.001504,0.001184,0.000448,1.805421
0.154177,1.571372,0.072993,1.804494,0.001408,0.016512,0.000576,0.001760,0.001152,0.000352,1.829934
0.142337,1.554027,0.068001,1.770509,0.001024,0.015008,0.000608,0.001824,0.001088,0.000480,1.793965
0.144290,1.585515,0.080673,1.815918,0.001152,0.015744,0.000416,0.001760,0.001088,0.000352,1.840078
0.159682,1.557931,0.072193,1.797454,0.001152,0.015392,0.000608,0.001568,0.001408,0.000480,1.821550
0.154561,1.572588,0.074112,1.807053,0.001280,0.015296,0.000384,0.001793,0.001088,0.000832,1.831566
0.139265,1.551179,0.069665,1.768173,0.000928,0.015904,0.000416,0.001792,0.000960,0.000480,1.792429
0.153505,1.570155,0.078081,1.808301,0.001376,0.016704,0.000384,0.001632,0.001088,0.000416,1.833773
0.178466,1.554059,0.071297,1.811246,0.001024,0.014976,0.000384,0.001568,0.001280,0.000448,1.834798
0.155681,1.570380,0.073089,1.806414,0.001440,0.015104,0.000384,0.001504,0.001344,0.000384,1.830510
0.193026,1.555723,0.070401,1.825614,0.001120,0.015520,0.000384,0.001696,0.000928,0.000352,1.849198
0.168961,1.553356,0.068096,1.796333,0.000896,0.015136,0.000384,0.001696,0.001088,0.000384,1.819854
0.182785,1.552140,0.068896,1.809741,0.000960,0.015392,0.000576,0.001440,0.001312,0.000352,1.833805
0.139009,1.554764,0.072224,1.773645,0.000992,0.015392,0.000384,0.001504,0.001440,0.000384,1.797229
0.151745,1.552524,0.069216,1.779661,0.000928,0.014880,0.000352,0.001504,0.001120,0.000448,1.802477
0.167873,1.553612,0.069824,1.797965,0.001120,0.015905,0.000416,0.001472,0.001568,0.000320,1.822734
0.153857,1.573067,0.080289,1.813773,0.001440,0.015264,0.000608,0.001792,0.001280,0.000352,1.838125
0.155489,1.554635,0.068417,1.784301,0.001312,0.015808,0.000384,0.001504,0.001152,0.000320,1.808461
0.178145,1.571372,0.079456,1.835789,0.001280,0.015649,0.000416,0.001728,0.001056,0.000352,1.859790
0.154145,1.553196,0.073280,1.786957,0.001312,0.015041,0.000608,0.001696,0.001184,0.000384,1.810830
0.154114,1.568011,0.072481,1.801966,0.001280,0.015392,0.000608,0.001696,0.001184,0.000576,1.826222
0.163457,1.563979,0.073857,1.809677,0.001056,0.015488,0.000672,0.001952,0.001312,0.000576,1.834925
0.142529,1.573291,0.073025,1.795757,0.001216,0.015712,0.000576,0.001696,0.001184,0.000352,1.820205
0.189986,1.555851,0.071169,1.825358,0.000992,0.015776,0.000608,0.001504,0.001280,0.000576,1.849806
0.175361,1.568556,0.076672,1.828013,0.001536,0.015841,0.000416,0.001792,0.001024,0.000384,1.852942
0.140449,1.554955,0.073089,1.774381,0.000960,0.015648,0.000384,0.001888,0.001088,0.000448,1.798285
0.140737,1.568620,0.073664,1.789837,0.001120,0.015648,0.000384,0.001536,0.001056,0.000352,1.813485
0.156801,1.553196,0.069280,1.785933,0.001024,0.015041,0.000384,0.001824,0.001024,0.000352,1.809166
0.154945,1.567115,0.081217,1.809101,0.000960,0.014656,0.000384,0.001568,0.001248,0.000352,1.831949
0.179330,1.556139,0.070625,1.812686,0.000928,0.015776,0.000384,0.001696,0.001120,0.000352,1.836910
0.142017,1.574443,0.084449,1.808941,0.001024,0.015872,0.000384,0.002080,0.001440,0.000416,1.833709
0.159042,1.552651,0.067648,1.784941,0.001184,0.015873,0.000384,0.001472,0.001280,0.000352,1.809358
0.152321,1.568300,0.074017,1.799854,0.000960,0.015488,0.000384,0.001536,0.001216,0.000384,1.823214
0.183329,1.554348,0.066144,1.808973,0.001152,0.015841,0.000384,0.001696,0.001056,0.000352,1.832878
0.157857,1.561420,0.066336,1.791661,0.001120,0.014912,0.000384,0.001440,0.001056,0.000352,1.814733
0.149761,1.550859,0.071553,1.778573,0.001056,0.015040,0.000640,0.001504,0.001408,0.000352,1.802093
0.158177,1.553868,0.068672,1.786573,0.000864,0.014593,0.000608,0.001536,0.001088,0.000384,1.808878
0.137729,1.548363,0.066881,1.758861,0.000800,0.014304,0.000608,0.001792,0.001024,0.000320,1.781069
0.147426,1.550411,0.067200,1.769933,0.000961,0.015776,0.000384,0.001536,0.001376,0.000352,1.793710
0.177089,1.552460,0.091328,1.827021,0.001408,0.014849,0.000416,0.001504,0.001088,0.000352,1.850286
0.153793,1.558732,0.065184,1.782445,0.000864,0.015360,0.000384,0.001472,0.001088,0.000352,1.805773
0.174658,1.565131,0.068289,1.813230,0.001120,0.014944,0.000384,0.001472,0.001152,0.000352,1.836366
0.189633,1.550252,0.068032,1.813485,0.001024,0.014912,0.000384,0.001472,0.000960,0.000384,1.836141
0.146433,1.567596,0.069472,1.790541,0.000832,0.014208,0.000384,0.001504,0.001184,0.000352,1.812301
0.152257,1.548684,0.067424,1.773677,0.001184,0.014944,0.000576,0.001440,0.001056,0.000448,1.796717
0.187937,1.570796,0.078849,1.843822,0.001056,0.014336,0.000384,0.001792,0.001088,0.000352,1.866414
0.184225,1.550251,0.068641,1.808141,0.000960,0.014880,0.000416,0.001472,0.001216,0.000448,1.831021
