IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.113376,9.184355,0.071681,9.375396,0.003808,0.002592,0.000544,9.385700
0.156769,1.601771,0.068897,1.834605,0.004384,0.002208,0.000384,1.844205
0.173121,1.572908,0.066112,1.820269,0.004064,0.002144,0.000352,1.829229
0.182049,1.601868,0.072129,1.861518,0.003296,0.001856,0.000352,1.869262
0.152898,1.577003,0.069505,1.806702,0.003264,0.001600,0.000352,1.814606
0.191585,1.581707,0.069921,1.848941,0.003296,0.000992,0.000384,1.856269
0.134305,1.563563,0.071105,1.774957,0.003328,0.001184,0.000384,1.782637
0.170337,1.564204,0.066464,1.807341,0.002944,0.001344,0.000416,1.814733
0.133601,1.565355,0.064353,1.769293,0.002976,0.001152,0.000416,1.776365
0.147489,1.567787,0.069185,1.790925,0.002880,0.001248,0.000416,1.797677
0.148577,1.564651,0.067585,1.788813,0.002624,0.001088,0.000416,1.795149
0.176065,1.567339,0.068449,1.818605,0.002688,0.001120,0.000352,1.825101
0.157858,1.582155,0.078113,1.828238,0.003264,0.001440,0.000416,1.836014
0.145537,1.577644,0.070336,1.799821,0.002912,0.000992,0.000352,1.806477
0.154849,1.596812,0.082784,1.842317,0.003360,0.001152,0.000416,1.849517
0.149761,1.581228,0.070048,1.806573,0.002688,0.001312,0.000416,1.813293
0.152609,1.592524,0.080000,1.831757,0.003360,0.001312,0.000384,1.839213
0.151585,1.566347,0.067361,1.790349,0.003104,0.001120,0.000352,1.797357
0.180513,1.586859,0.070849,1.844749,0.002720,0.001184,0.000448,1.851437
0.146689,1.565387,0.072736,1.790860,0.002593,0.001088,0.000416,1.797293
0.155873,1.582508,0.080896,1.827981,0.003584,0.001248,0.000384,1.837133
0.177249,1.567468,0.070720,1.821805,0.002880,0.001152,0.000352,1.828397
0.140033,1.596843,0.089153,1.835118,0.003488,0.001184,0.000416,1.843182
0.182401,1.578412,0.070560,1.838605,0.002752,0.001184,0.000384,1.845517
0.153953,1.583276,0.080256,1.825805,0.003424,0.001216,0.000384,1.833197
0.161985,1.566891,0.068705,1.804685,0.003616,0.001216,0.000352,1.812333
