IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.097313,9.187298,0.063649,9.355460,0.003104,0.000640,9.362276
0.172578,1.588331,0.068705,1.838478,0.002080,0.000544,1.843662
0.168769,1.572620,0.066880,1.815341,0.001760,0.000416,1.819757
0.170754,1.585355,0.068417,1.830766,0.001440,0.000448,1.835118
0.173825,1.576460,0.071360,1.829645,0.001504,0.000352,1.834029
0.185602,1.587947,0.071137,1.852590,0.001632,0.000448,1.857102
0.150241,1.570731,0.066081,1.792877,0.001504,0.000512,1.797069
0.145281,1.586668,0.073216,1.811501,0.001408,0.000448,1.815661
0.154209,1.566444,0.065952,1.792717,0.001376,0.000480,1.796493
0.169730,1.587051,0.066785,1.829038,0.001248,0.000480,1.832654
0.168577,1.567243,0.064417,1.805261,0.001440,0.000480,1.809069
0.165153,1.581900,0.066272,1.817805,0.001504,0.000448,1.821709
0.174561,1.565644,0.063616,1.808461,0.001376,0.000608,1.812365
0.171617,1.579148,0.066976,1.822221,0.001504,0.000384,1.825837
0.180898,1.566219,0.064352,1.816237,0.001408,0.000416,1.820014
0.168513,1.583819,0.068385,1.827181,0.001568,0.000480,1.831469
0.169953,1.566027,0.063553,1.804109,0.001280,0.000512,1.807757
0.143521,1.580619,0.066369,1.796141,0.001216,0.000448,1.799693
0.163745,1.565291,0.064577,1.797837,0.001312,0.000480,1.801549
0.166881,1.574571,0.065921,1.814125,0.001376,0.000448,1.817965
0.168513,1.567755,0.063233,1.804109,0.001248,0.000480,1.807629
0.182273,1.564299,0.062497,1.814221,0.001344,0.000416,1.817837
0.173954,1.565163,0.065120,1.809005,0.001377,0.000448,1.813070
0.177826,1.566987,0.067488,1.817645,0.001344,0.000480,1.821550
0.148289,1.568652,0.068576,1.791725,0.001536,0.000512,1.796237
0.187394,1.570411,0.068705,1.833070,0.001504,0.000448,1.837166
0.164033,1.604267,0.071905,1.845901,0.001600,0.000544,1.850541
0.151553,1.569003,0.068385,1.794765,0.001536,0.000480,1.798637
0.136641,1.585548,0.075904,1.805037,0.001440,0.000448,1.809229
0.161922,1.566955,0.066912,1.801965,0.001344,0.000384,1.805613
0.151777,1.592684,0.072672,1.823565,0.001376,0.000544,1.827373
0.156865,1.568940,0.065696,1.797453,0.001440,0.000480,1.801325
0.139425,1.595467,0.068449,1.808525,0.001344,0.000480,1.812717
0.180450,1.568043,0.065472,1.819853,0.001312,0.000480,1.823661
0.182657,1.587148,0.071392,1.847725,0.001600,0.000512,1.852333
0.191074,1.574539,0.071168,1.844429,0.001504,0.000512,1.848749
0.136033,1.606604,0.073504,1.822349,0.001344,0.000512,1.826605
0.170369,1.567948,0.065312,1.808653,0.001376,0.000544,1.812557
0.139745,1.588011,0.070145,1.802957,0.001344,0.000480,1.806637
0.144353,1.581004,0.066016,1.796973,0.001376,0.000512,1.800973
0.164385,1.587756,0.066048,1.823021,0.001472,0.000576,1.827053
0.179073,1.568555,0.063489,1.816301,0.001472,0.000512,1.820237
0.184642,1.586923,0.070177,1.848462,0.001408,0.000416,1.852558
0.165281,1.569324,0.069632,1.810413,0.001536,0.000448,1.814285
0.154497,1.597323,0.073153,1.832173,0.001632,0.000480,1.836749
0.176418,1.570635,0.068320,1.821293,0.001632,0.000480,1.825453
0.186881,1.606956,0.074432,1.875597,0.001440,0.000576,1.879885
0.162017,1.579756,0.072736,1.820717,0.001408,0.000448,1.824717
0.135873,1.585931,0.071201,1.799405,0.001408,0.000480,1.803533
0.168673,1.569420,0.068800,1.812941,0.001472,0.000384,1.816813
0.194401,1.568876,0.068224,1.837773,0.001504,0.000480,1.841645
0.181122,1.569451,0.066273,1.822478,0.001408,0.000384,1.826446
0.173185,1.569195,0.067681,1.815917,0.001440,0.000448,1.819597
0.179490,1.571243,0.069216,1.826733,0.001440,0.000512,1.830509
0.182689,1.570475,0.069697,1.829581,0.001504,0.000768,1.834285
0.173346,1.589451,0.073409,1.842126,0.001472,0.000512,1.846286
0.157569,1.572651,0.069633,1.806253,0.001472,0.000544,1.810285
0.139489,1.590636,0.083200,1.820365,0.001600,0.000448,1.825805
0.161601,1.570763,0.069985,1.809805,0.001440,0.000416,1.813645
0.175169,1.582924,0.071360,1.835181,0.001344,0.000544,1.839309
0.168257,1.570891,0.068897,1.814669,0.001504,0.000576,1.818669
0.151521,1.596652,0.079104,1.833517,0.001408,0.000480,1.837837
0.190914,1.586731,0.072225,1.856622,0.001472,0.000352,1.860366
0.160385,1.592236,0.078496,1.838029,0.001536,0.000480,1.842093
0.157601,1.570124,0.069760,1.804397,0.001536,0.000448,1.808333
0.159585,1.588907,0.074561,1.829357,0.001632,0.000480,1.833677
0.173633,1.570252,0.074464,1.827117,0.001568,0.000448,1.831405
0.157217,1.586347,0.077441,1.828045,0.001664,0.000416,1.832525
0.178913,1.569580,0.071328,1.826861,0.001472,0.000448,1.830733
0.158337,1.586124,0.074720,1.826157,0.001376,0.000737,1.830222
0.166593,1.571563,0.071873,1.817773,0.001568,0.000480,1.821965
0.173313,1.586987,0.075841,1.842253,0.001536,0.000480,1.846637
0.158913,1.570443,0.069825,1.806125,0.001440,0.000480,1.810125
0.158753,1.588332,0.079392,1.834285,0.001792,0.000480,1.838861
0.188738,1.570283,0.072000,1.837614,0.001632,0.000512,1.841902
0.221793,1.568428,0.071072,1.866957,0.001376,0.000416,1.870733
0.143105,1.566475,0.067905,1.783149,0.001472,0.000512,1.787085
0.162113,1.569100,0.071072,1.808301,0.001280,0.000512,1.812141
0.118497,1.574379,0.070529,1.768589,0.001472,0.000480,1.772653
0.156609,1.567979,0.070113,1.799917,0.001536,0.000832,1.804653
0.146497,1.584203,0.071905,1.808973,0.001280,0.000512,1.813005
0.178305,1.565547,0.067425,1.816397,0.001376,0.000480,1.820653
0.164514,1.584715,0.071393,1.826702,0.001440,0.000480,1.830638
0.185218,1.569259,0.070785,1.830926,0.001664,0.000448,1.834990
0.157505,1.585355,0.072097,1.821485,0.001536,0.000512,1.825837
0.154913,1.562699,0.066976,1.789932,0.001504,0.000481,1.794381
0.144193,1.590860,0.075008,1.815373,0.001408,0.000512,1.819693
0.173089,1.567852,0.069056,1.815437,0.001504,0.000416,1.819277
0.169505,1.586636,0.071392,1.833325,0.001504,0.000512,1.837485
0.158721,1.567468,0.072128,1.804365,0.001568,0.000480,1.808397
0.152161,1.593452,0.074464,1.827533,0.002016,0.000512,1.832109
0.174465,1.580395,0.071616,1.836493,0.001504,0.000512,1.840781
0.166305,1.587852,0.075648,1.837165,0.001536,0.000512,1.841357
0.180641,1.573100,0.073952,1.835053,0.001568,0.000512,1.839309
0.158369,1.586700,0.075328,1.826925,0.001568,0.000512,1.831085
0.156385,1.567883,0.069985,1.800941,0.001312,0.000448,1.804717
0.141985,1.583403,0.074913,1.807149,0.001504,0.000544,1.811437
0.184866,1.569483,0.070753,1.831982,0.001280,0.000480,1.835534
0.197185,1.587659,0.074433,1.865325,0.001536,0.000384,1.869645
0.188385,1.572652,0.071520,1.839245,0.001440,0.000480,1.844045
