Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.506916,0.192097,8.043482,0.066304,8.307163,8.818367
0.419843,0.172161,0.609732,0.072161,0.859142,1.284649
0.420003,0.162689,0.609060,0.068961,0.845382,1.269225
0.418019,0.198241,0.611813,0.073696,0.888710,1.311017
0.417219,0.177058,0.611108,0.070017,0.863015,1.284586
0.416867,0.179777,0.611172,0.073569,0.868998,1.290569
0.416611,0.177121,0.611205,0.069504,0.862342,1.283529
0.416803,0.202370,0.612324,0.068769,0.888199,1.309098
0.417091,0.174913,0.628548,0.073825,0.881702,1.302761
0.416803,0.164193,0.609701,0.070144,0.848294,1.269065
0.421443,0.186818,0.616420,0.077185,0.884999,1.311018
0.435971,0.179457,0.627941,0.071488,0.883654,1.324713
0.417987,0.167489,0.609924,0.068992,0.851046,1.273545
0.416419,0.158529,0.656005,0.073697,0.892935,1.312522
0.416835,0.159682,0.617796,0.066881,0.848935,1.269130
0.416515,0.180162,0.615844,0.068705,0.869031,1.288650
0.430595,0.183650,0.624068,0.072577,0.884583,1.318602
0.417091,0.178625,0.621764,0.069889,0.873926,1.293769
0.416483,0.185249,0.607332,0.068865,0.865318,1.285545
0.416131,0.155361,0.616548,0.066753,0.842726,1.261513
0.416995,0.173570,0.622148,0.066497,0.866279,1.286922
0.417251,0.158690,0.619236,0.068609,0.850887,1.272010
0.417059,0.172162,0.624164,0.069921,0.870407,1.290986
0.416323,0.159393,0.615460,0.068417,0.847398,1.267241
0.436227,0.173505,0.609220,0.068865,0.855910,1.295849
0.416771,0.169825,0.606788,0.068481,0.849222,1.270249
0.415971,0.173633,0.624485,0.070848,0.873766,1.295145
0.416579,0.173313,0.620869,0.066912,0.865382,1.285545
0.417027,0.169441,0.609285,0.068704,0.852070,1.276937
0.417155,0.222914,0.611364,0.072065,0.910919,1.333386
0.416899,0.177985,0.610469,0.070688,0.863718,1.286953
0.416931,0.163073,0.607621,0.067168,0.842470,1.263881
0.417187,0.164385,0.619397,0.072800,0.861414,1.283657
0.416931,0.207778,0.609060,0.069025,0.890311,1.310890
0.416803,0.176641,0.624900,0.076513,0.882854,1.303593
0.417155,0.175201,0.608356,0.073345,0.861126,1.281961
0.416675,0.174241,0.608933,0.069376,0.857190,1.278185
0.435811,0.174849,0.618117,0.069408,0.866630,1.306505
0.419299,0.174433,0.608261,0.068096,0.855398,1.279145
0.417027,0.179169,0.626661,0.074432,0.884775,1.305930
0.417091,0.166274,0.610052,0.070400,0.851334,1.273321
0.418339,0.176450,0.608772,0.070049,0.859559,1.281930
0.418243,0.201025,0.614276,0.071745,0.892710,1.315465
0.417667,0.174305,0.609893,0.071040,0.859174,1.280713
0.417315,0.172737,0.607717,0.067648,0.852358,1.273897
0.416771,0.174977,0.619717,0.069664,0.868614,1.288841
0.416419,0.169985,0.624709,0.068160,0.867430,1.288329
