Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.504067,0.146273,8.000442,0.076768,8.227707,0.005600,0.047553,0.000768,0.013376,0.000384,0.001472,0.002432,0.000576,8.811295
0.418979,0.182946,0.546051,0.071265,0.803846,0.005696,0.048992,0.000800,0.025729,0.000416,0.001888,0.001888,0.000384,1.316042
0.418435,0.180578,0.532227,0.067297,0.784006,0.009280,0.048608,0.000832,0.014048,0.000352,0.001632,0.001184,0.000416,1.286889
0.416579,0.171969,0.559012,0.071649,0.806470,0.009568,0.047872,0.000832,0.013984,0.000352,0.001568,0.001184,0.000352,1.305769
0.416451,0.161281,0.533828,0.066144,0.764869,0.011105,0.048224,0.000768,0.013824,0.000384,0.001504,0.000960,0.000384,1.265001
0.416611,0.206850,0.542020,0.069760,0.823558,0.005568,0.048257,0.000832,0.013856,0.000352,0.001792,0.001408,0.000416,1.319018
0.432835,0.210209,0.533444,0.067424,0.814629,0.005345,0.048608,0.000800,0.013824,0.000384,0.001568,0.001664,0.000352,1.327817
0.417315,0.173154,0.532324,0.067232,0.776102,0.011104,0.048160,0.000800,0.013729,0.000352,0.001504,0.001120,0.000384,1.277002
0.415875,0.201314,0.546787,0.069825,0.821638,0.011232,0.048832,0.000800,0.013569,0.000320,0.001408,0.001248,0.000384,1.322282
0.415907,0.156801,0.541156,0.068512,0.769733,0.005632,0.048481,0.000832,0.013632,0.000384,0.001504,0.001024,0.000384,1.264329
0.415811,0.173730,0.530788,0.065344,0.773414,0.005632,0.048352,0.001024,0.013985,0.000320,0.001568,0.001280,0.000352,1.268618
0.438755,0.179650,0.532643,0.068065,0.785958,0.005568,0.048608,0.001024,0.013856,0.000416,0.001441,0.002368,0.000384,1.306282
0.415939,0.150113,0.530884,0.066080,0.750949,0.005600,0.048673,0.000800,0.013728,0.000320,0.001568,0.000992,0.000320,1.245129
