Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.504227,0.168514,8.002297,0.070785,8.246652,0.049920,0.001120,0.013632,0.000672,0.001536,0.013184,0.000864,8.839615
0.417763,0.176609,0.539908,0.068961,0.789446,0.049664,0.000800,0.014112,0.000608,0.001504,0.001472,0.000608,1.282217
0.417027,0.170242,0.538084,0.064288,0.776614,0.048640,0.000640,0.013984,0.000544,0.001568,0.001600,0.000608,1.267658
0.417059,0.165697,0.554852,0.067936,0.792997,0.050849,0.000640,0.014144,0.000352,0.001600,0.001056,0.000608,1.286889
0.416739,0.172353,0.538532,0.062881,0.777286,0.048800,0.000640,0.013728,0.000416,0.001504,0.001024,0.000640,1.266761
0.414819,0.171297,0.538852,0.063969,0.777734,0.049408,0.000640,0.013600,0.000320,0.001600,0.001056,0.000704,1.266217
0.433059,0.157122,0.538467,0.064609,0.763974,0.050208,0.000640,0.013504,0.000384,0.001536,0.001120,0.000384,1.270761
0.415363,0.168930,0.539844,0.066240,0.778406,0.049152,0.000640,0.013377,0.000384,0.001536,0.000896,0.000416,1.266218
0.416003,0.172033,0.536260,0.063040,0.775045,0.076161,0.000672,0.013440,0.000384,0.001536,0.000960,0.000416,1.290377
0.415971,0.177377,0.551940,0.064609,0.797286,0.049120,0.000608,0.013440,0.000320,0.001472,0.000992,0.000384,1.286505
0.415811,0.159553,0.550564,0.069825,0.783526,0.050688,0.000640,0.013472,0.000384,0.001504,0.001056,0.000352,1.272841
0.415651,0.167873,0.554052,0.066977,0.793062,0.052416,0.000608,0.013408,0.000416,0.001568,0.000992,0.000352,1.284745
0.416451,0.175138,0.538724,0.065920,0.783590,0.049152,0.000576,0.013472,0.000416,0.001537,0.001056,0.000384,1.272874
0.416067,0.195521,0.539748,0.065344,0.804037,0.049409,0.000672,0.013344,0.000384,0.001504,0.001120,0.000352,1.293193
0.431811,0.172033,0.538916,0.065665,0.780230,0.049856,0.000672,0.013472,0.000416,0.001536,0.000960,0.000352,1.285033
0.415491,0.172481,0.547940,0.065601,0.789478,0.054240,0.000608,0.014496,0.000416,0.001472,0.000992,0.000416,1.283945
0.416099,0.174689,0.553348,0.065825,0.797734,0.049440,0.000608,0.013472,0.000384,0.001536,0.001344,0.000384,1.287177
0.415555,0.168578,0.538467,0.064289,0.774854,0.049056,0.000608,0.013408,0.000352,0.001504,0.001024,0.000448,1.263081
0.416131,0.198562,0.540420,0.065408,0.808006,0.049793,0.000608,0.013472,0.000352,0.001536,0.000896,0.000384,1.297354
0.433091,0.175969,0.539140,0.066369,0.784966,0.053728,0.000928,0.013440,0.000384,0.001504,0.000960,0.000384,1.296297
0.416195,0.176129,0.538596,0.065537,0.784326,0.049728,0.000640,0.013472,0.000416,0.001472,0.000992,0.000352,1.273609
0.415843,0.160833,0.538276,0.062977,0.766022,0.050048,0.000640,0.013472,0.000384,0.001440,0.000960,0.000416,1.256137
0.415267,0.175714,0.538916,0.068608,0.786950,0.048896,0.000640,0.013504,0.000384,0.001472,0.000992,0.000608,1.275082
0.416291,0.156193,0.537604,0.067424,0.765125,0.049312,0.000608,0.013633,0.000384,0.001536,0.001056,0.000352,1.255209
0.415107,0.194689,0.554724,0.073600,0.826693,0.048833,0.000832,0.014272,0.000352,0.001568,0.001280,0.000416,1.315433
0.416067,0.158625,0.535428,0.063008,0.760549,0.048801,0.000608,0.013888,0.000352,0.001632,0.000992,0.000384,1.249225
0.414755,0.195969,0.539108,0.066720,0.805254,0.048416,0.000640,0.013632,0.000544,0.001600,0.000864,0.000608,1.292809
0.432355,0.156193,0.535556,0.064544,0.759845,0.057889,0.000672,0.013600,0.000480,0.001568,0.000864,0.000352,1.273609
0.415299,0.172129,0.537956,0.065377,0.779046,0.049344,0.000640,0.013440,0.000416,0.001568,0.000928,0.000320,1.267305
0.415971,0.173505,0.568132,0.081121,0.827686,0.048832,0.000608,0.013440,0.000320,0.001536,0.000896,0.000384,1.316137
0.416003,0.148673,0.545668,0.063649,0.761606,0.049408,0.000576,0.013472,0.000352,0.001536,0.000896,0.000352,1.249993
0.415363,0.168769,0.538436,0.063841,0.774438,0.048768,0.000576,0.013344,0.000416,0.001408,0.000864,0.000352,1.261449
0.415331,0.191489,0.548611,0.064801,0.809286,0.048160,0.000576,0.013536,0.000384,0.001472,0.000960,0.000352,1.296137
0.414819,0.181154,0.551300,0.063072,0.799110,0.048768,0.000608,0.013409,0.000352,0.001504,0.000896,0.000352,1.286282
0.415170,0.159777,0.546180,0.064960,0.774565,0.053408,0.000672,0.013473,0.000416,0.001504,0.000960,0.000352,1.266537
0.415011,0.202785,0.538948,0.071745,0.817030,0.051616,0.000640,0.013536,0.000384,0.001408,0.000864,0.000320,1.308873
0.414883,0.169025,0.538052,0.071617,0.782278,0.050400,0.000608,0.013376,0.000352,0.001504,0.000800,0.000416,1.270345
0.415427,0.167425,0.554052,0.071649,0.796646,0.048000,0.000608,0.013408,0.000448,0.001504,0.000832,0.000320,1.284489
0.415523,0.171361,0.536356,0.066497,0.777542,0.047808,0.000576,0.013440,0.000384,0.001504,0.000992,0.000384,1.264553
0.414787,0.157985,0.548676,0.063841,0.774022,0.052032,0.000640,0.013440,0.000384,0.001440,0.000864,0.000320,1.264297
0.432739,0.168097,0.537316,0.068705,0.777702,0.056928,0.000608,0.013504,0.000416,0.001504,0.000800,0.000384,1.290633
0.415235,0.169569,0.535204,0.063297,0.771334,0.052032,0.000608,0.013440,0.000384,0.001408,0.000928,0.000320,1.262185
0.415907,0.171361,0.538276,0.065569,0.779110,0.056640,0.000544,0.013568,0.000384,0.001504,0.001280,0.000384,1.275561
0.414595,0.145921,0.548100,0.064289,0.761702,0.053184,0.000576,0.013408,0.000384,0.001472,0.000960,0.000352,1.252009
0.415139,0.163553,0.547332,0.067680,0.782021,0.057665,0.000544,0.013472,0.000352,0.001344,0.000736,0.000352,1.277609
0.414979,0.156001,0.550308,0.073856,0.783941,0.050849,0.000608,0.013440,0.000384,0.001504,0.000992,0.000320,1.273705
0.415907,0.159073,0.547812,0.063104,0.773509,0.047392,0.000576,0.013441,0.000352,0.001440,0.000704,0.000288,1.258729
0.414915,0.156961,0.536196,0.064385,0.760998,0.047584,0.000576,0.013376,0.000384,0.001472,0.000928,0.000288,1.247177
0.432579,0.168225,0.535300,0.073633,0.780582,0.047456,0.000640,0.013440,0.000384,0.001504,0.000928,0.000320,1.283625
0.418051,0.182881,0.542628,0.069024,0.799077,0.050017,0.000640,0.014400,0.000352,0.001568,0.001536,0.000416,1.297225
0.417027,0.168833,0.540708,0.086593,0.800422,0.048160,0.000576,0.013536,0.000352,0.001600,0.001024,0.000288,1.289385
0.416259,0.166113,0.538212,0.063744,0.771813,0.048609,0.000736,0.013536,0.000448,0.001536,0.000928,0.000352,1.260073
0.416099,0.168513,0.539076,0.066528,0.778021,0.049537,0.000672,0.013824,0.000416,0.001472,0.000864,0.000320,1.267593
0.415587,0.158337,0.562148,0.069728,0.794405,0.049121,0.000704,0.013696,0.000416,0.001504,0.000864,0.000352,1.282345
0.416483,0.177409,0.537988,0.064512,0.783589,0.049633,0.000704,0.013728,0.000384,0.001472,0.001216,0.000448,1.275145
0.416643,0.190657,0.548004,0.072449,0.815142,0.054208,0.000640,0.013632,0.000384,0.001536,0.000992,0.000480,1.310857
