Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.512643,0.146593,8.072729,0.065185,8.289051,0.017408,0.000704,8.825503
0.444067,0.202626,0.622564,0.068193,0.897607,0.002592,0.000448,1.349898
0.416675,0.159329,0.607172,0.065953,0.836934,0.001568,0.000384,1.261001
0.416259,0.175233,0.623525,0.069280,0.872294,0.001600,0.000416,1.294697
0.415779,0.175490,0.615556,0.068769,0.863399,0.001920,0.000480,1.285642
0.415939,0.170241,0.607620,0.066977,0.848710,0.001536,0.000384,1.270793
0.415555,0.193441,0.615301,0.066784,0.880166,0.001696,0.000384,1.302153
0.415459,0.158017,0.602213,0.064576,0.828742,0.001440,0.000384,1.250089
0.415875,0.171202,0.603012,0.066912,0.845030,0.001440,0.000352,1.266505
0.416131,0.175841,0.606340,0.066369,0.852742,0.001824,0.000448,1.275913
0.416163,0.173473,0.608101,0.067104,0.852678,0.001728,0.000416,1.275529
0.416355,0.173217,0.632741,0.069440,0.879495,0.001760,0.000384,1.302346
0.415875,0.163137,0.617348,0.067265,0.851814,0.001792,0.000384,1.274185
0.415459,0.198017,0.603877,0.066592,0.872518,0.001408,0.000384,1.294089
0.432739,0.195394,0.617476,0.066049,0.882887,0.001472,0.000384,1.321898
0.415971,0.157569,0.604260,0.065057,0.830598,0.001376,0.000384,1.252617
0.418403,0.231330,0.638052,0.083329,0.957927,0.002368,0.000864,1.385066
0.416259,0.202050,0.604100,0.068673,0.878855,0.001472,0.000480,1.301386
0.416611,0.173345,0.619236,0.066337,0.862822,0.001728,0.000416,1.285833
0.434339,0.170273,0.618725,0.074880,0.868006,0.001408,0.000416,1.309865
0.415715,0.169986,0.615364,0.068512,0.857350,0.001376,0.000416,1.278729
0.416323,0.171234,0.617476,0.086017,0.878599,0.001472,0.000384,1.301226
0.415715,0.163393,0.614084,0.066113,0.847462,0.001408,0.000320,1.268969
0.415875,0.172129,0.603044,0.064865,0.843750,0.001280,0.000448,1.265385
0.416483,0.182465,0.638949,0.079264,0.904998,0.001536,0.000384,1.328329
0.418339,0.170721,0.605828,0.066401,0.846758,0.001664,0.000416,1.271849
0.416035,0.161217,0.604740,0.065153,0.834566,0.001824,0.000448,1.256873
0.434531,0.180769,0.607845,0.071136,0.864038,0.001696,0.000416,1.307369
