Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.510372,0.143713,8.081657,0.064832,8.294267,0.001248,8.811839
0.418787,0.185441,0.615717,0.073216,0.879366,0.000992,1.304553
0.416675,0.169089,0.611300,0.067649,0.852390,0.000704,1.274409
0.416035,0.164033,0.610692,0.066369,0.845926,0.000800,1.267497
0.416003,0.172097,0.627364,0.070497,0.874438,0.000736,1.295497
0.416067,0.200417,0.609477,0.067072,0.881254,0.000704,1.302377
0.416323,0.176898,0.610340,0.071585,0.862919,0.000768,1.284138
0.432484,0.172609,0.618404,0.067553,0.863270,0.000704,1.300842
0.415939,0.177601,0.610372,0.067425,0.860038,0.000832,1.281065
0.416227,0.176513,0.626949,0.078240,0.886118,0.000768,1.307337
0.417091,0.171041,0.609541,0.067040,0.851590,0.000704,1.273545
0.415587,0.177921,0.610469,0.068480,0.861286,0.000768,1.282185
0.445156,0.174849,0.612356,0.067393,0.859078,0.000736,1.308810
0.416099,0.170561,0.609348,0.067809,0.851974,0.000736,1.273097
0.417283,0.175745,0.608740,0.066497,0.855494,0.000736,1.278217
0.416195,0.169857,0.609157,0.066560,0.850310,0.000800,1.271465
0.415651,0.159841,0.607524,0.065825,0.837862,0.000736,1.258345
0.417059,0.173697,0.625125,0.071584,0.875014,0.000736,1.296809
0.416579,0.178594,0.609252,0.068416,0.861062,0.000928,1.284649
0.416259,0.176353,0.610276,0.067809,0.858854,0.000704,1.280105
0.446403,0.174337,0.619109,0.074752,0.872998,0.000960,1.325321
0.420323,0.176226,0.607556,0.066784,0.854630,0.000832,1.280041
0.416483,0.177154,0.625956,0.072033,0.880103,0.000736,1.301674
0.416195,0.161601,0.606948,0.069409,0.842438,0.000896,1.264137
0.416579,0.161121,0.605764,0.064417,0.835110,0.000736,1.256233
0.417347,0.193441,0.624933,0.068992,0.892358,0.000960,1.314601
0.415747,0.169409,0.610213,0.067712,0.851558,0.000704,1.272009
0.420611,0.171009,0.608421,0.064640,0.848198,0.000832,1.273705
0.415843,0.168705,0.608517,0.066048,0.847494,0.000736,1.267913
0.416803,0.196418,0.608676,0.066784,0.876134,0.000800,1.297641
0.416675,0.161922,0.637764,0.072065,0.876103,0.001152,1.297770
0.415363,0.176961,0.608868,0.066305,0.855718,0.000736,1.275113
0.416675,0.174209,0.607524,0.066561,0.852198,0.000640,1.273577
0.431139,0.175457,0.615844,0.066592,0.861798,0.000960,1.298089
0.417827,0.167841,0.606341,0.065568,0.843558,0.000704,1.265769
0.419811,0.166433,0.607684,0.094209,0.872422,0.000864,1.296937
0.415939,0.168833,0.605157,0.064096,0.841862,0.000736,1.262633
0.416707,0.162593,0.608261,0.066624,0.841318,0.000928,1.263273
0.415811,0.173121,0.626341,0.081184,0.884678,0.000864,1.305097
0.415779,0.169121,0.605253,0.065120,0.843494,0.000768,1.263817
0.415555,0.172769,0.607397,0.067104,0.851494,0.000800,1.272297
0.451619,0.173090,0.614724,0.067041,0.860231,0.000896,1.316810
0.415523,0.170690,0.608836,0.066113,0.849351,0.000768,1.269098
0.419875,0.194178,0.623364,0.068065,0.889127,0.000672,1.313290
