Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.525604,0.017728,0.210433,0.004801,0.046880,0.000800,0.013440,0.000416,0.001440,0.002464,0.129473,0.034432,0.000032,0.167169,0.998727
0.417571,0.017344,0.204577,0.004832,0.047649,0.000544,0.013888,0.000352,0.001568,0.001280,0.102817,0.030944,0.000032,0.136577,0.853446
0.416995,0.017600,0.203329,0.005088,0.048097,0.000576,0.014528,0.000576,0.001504,0.001024,0.119233,0.038976,0.000032,0.160737,0.876614
0.417955,0.017536,0.219393,0.004960,0.049633,0.000608,0.014496,0.000576,0.001504,0.000864,0.107073,0.034976,0.000064,0.144545,0.878950
0.417123,0.017377,0.203105,0.005024,0.048256,0.000576,0.013984,0.000352,0.001408,0.000992,0.123873,0.051809,0.000064,0.178178,0.892679
0.416611,0.017504,0.203938,0.004800,0.048224,0.000544,0.013984,0.000384,0.001440,0.000928,0.130561,0.050401,0.000064,0.183650,0.898439
0.416835,0.017504,0.203266,0.004832,0.047872,0.000544,0.013824,0.000384,0.001472,0.001344,0.094721,0.033632,0.000064,0.130721,0.844934
0.428835,0.017600,0.203394,0.004864,0.048000,0.000576,0.014016,0.000832,0.001440,0.000960,0.100161,0.035264,0.000064,0.137825,0.864486
0.416483,0.017376,0.202945,0.005088,0.047681,0.000608,0.014144,0.000544,0.001440,0.001536,0.103745,0.035168,0.000064,0.141473,0.856326
0.416227,0.017600,0.202849,0.004960,0.047425,0.000544,0.013824,0.000416,0.001408,0.000960,0.102880,0.029953,0.000064,0.135457,0.848614
0.416803,0.017568,0.202754,0.005024,0.048416,0.000544,0.014016,0.000576,0.001472,0.001088,0.107905,0.038976,0.000032,0.149697,0.865542
0.416323,0.017728,0.202658,0.005024,0.048160,0.000608,0.013856,0.000416,0.001568,0.000992,0.107073,0.038016,0.000032,0.147905,0.862662
0.416547,0.017376,0.202978,0.005056,0.048192,0.000448,0.013440,0.000352,0.001472,0.000896,0.100865,0.034016,0.000096,0.137921,0.851430
0.421347,0.017664,0.202817,0.005024,0.048161,0.000544,0.013600,0.000384,0.001440,0.001216,0.100257,0.037344,0.000064,0.140065,0.859430
0.416771,0.017601,0.202977,0.005056,0.079713,0.000768,0.013472,0.000384,0.001472,0.000864,0.098976,0.032737,0.000096,0.134337,0.880711
0.415907,0.017696,0.203106,0.005088,0.047168,0.000576,0.013792,0.000384,0.001440,0.000992,0.101953,0.035424,0.000096,0.139777,0.852358
0.421123,0.017632,0.202530,0.004800,0.047392,0.000576,0.013504,0.000416,0.001472,0.001280,0.100161,0.034112,0.000032,0.136833,0.854310
0.420451,0.017504,0.202881,0.004832,0.047137,0.000544,0.013504,0.000384,0.001440,0.001248,0.102657,0.036096,0.000064,0.141249,0.858246
0.432003,0.017632,0.203073,0.004832,0.047297,0.000576,0.013696,0.000352,0.001440,0.001184,0.128513,0.039040,0.000096,0.170049,0.898790
0.420547,0.017472,0.202849,0.004832,0.047393,0.000544,0.013920,0.000352,0.001472,0.000992,0.102145,0.035008,0.000096,0.139617,0.856870
0.417923,0.017760,0.203105,0.004928,0.047521,0.000608,0.014080,0.000384,0.001408,0.001408,0.099712,0.033793,0.000064,0.136353,0.852998
0.421155,0.017696,0.203777,0.004896,0.047873,0.000576,0.014336,0.000352,0.001600,0.001120,0.109889,0.034816,0.000064,0.147713,0.868902
0.416003,0.017409,0.203073,0.004832,0.048000,0.000576,0.013889,0.000352,0.001440,0.000896,0.104192,0.035681,0.000032,0.142625,0.856199
0.416323,0.017568,0.202850,0.004800,0.047200,0.000576,0.013856,0.000352,0.001472,0.000896,0.101633,0.035104,0.000064,0.139297,0.851366
0.415939,0.017664,0.203201,0.004897,0.047232,0.000480,0.013376,0.000416,0.001376,0.001152,0.095233,0.035552,0.000032,0.133505,0.846118
0.416099,0.017472,0.202721,0.004928,0.047201,0.000576,0.034784,0.000480,0.001504,0.001344,0.108993,0.039072,0.000032,0.150497,0.884262
0.416450,0.017632,0.202977,0.004832,0.046912,0.000448,0.013505,0.000416,0.001472,0.000864,0.097184,0.037025,0.000064,0.137185,0.848966
0.420931,0.017696,0.203106,0.004832,0.048128,0.000768,0.013568,0.000352,0.001696,0.001088,0.109441,0.030432,0.000064,0.142625,0.862406
0.421347,0.017600,0.203074,0.004832,0.048352,0.000608,0.013472,0.000384,0.001344,0.001408,0.100513,0.033088,0.000064,0.136321,0.855750
0.434435,0.017728,0.204770,0.004800,0.047840,0.000576,0.013696,0.000384,0.001376,0.000768,0.111393,0.037184,0.000064,0.151265,0.884006
0.417123,0.017536,0.202914,0.004832,0.048576,0.000608,0.013536,0.000384,0.001440,0.001312,0.102369,0.032800,0.000096,0.137569,0.852006
0.417187,0.017632,0.202818,0.004832,0.047392,0.000608,0.014016,0.000576,0.001376,0.000800,0.115201,0.033760,0.000064,0.151617,0.865478
0.416899,0.017504,0.203009,0.004800,0.046849,0.000576,0.013504,0.000352,0.001440,0.001088,0.101409,0.033056,0.000064,0.136993,0.849286
0.416067,0.017184,0.202625,0.004832,0.046944,0.000544,0.013697,0.000384,0.001440,0.000928,0.098624,0.034977,0.000064,0.136193,0.847142
0.416003,0.017440,0.202786,0.004960,0.046912,0.000576,0.013280,0.000384,0.001408,0.000928,0.093857,0.035936,0.000064,0.132577,0.843238
0.420739,0.017728,0.202881,0.004864,0.047361,0.000576,0.013664,0.000352,0.001408,0.000992,0.102113,0.035872,0.000064,0.140513,0.858086
0.416547,0.017697,0.202977,0.004864,0.046912,0.000576,0.013601,0.000416,0.001440,0.001088,0.121952,0.034273,0.000064,0.159041,0.872007
