Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.503748,0.018112,0.112737,8.046778,0.067168,8.230907,8.758111
0.419459,0.017760,0.128097,0.588516,0.066304,0.786885,1.228264
0.438243,0.017408,0.136449,0.598276,0.068704,0.807333,1.267945
0.417411,0.017440,0.127905,0.598309,0.071232,0.800774,1.239465
0.415971,0.017696,0.129825,0.588772,0.068257,0.790342,1.228073
0.416067,0.017473,0.130976,0.588485,0.067264,0.790469,1.228265
0.416067,0.017408,0.125793,0.586372,0.072737,0.788326,1.225609
0.415491,0.017472,0.132768,0.606181,0.099681,0.841830,1.278570
0.416035,0.017440,0.132929,0.584484,0.066113,0.786950,1.223913
0.416739,0.017248,0.123681,0.583940,0.063936,0.774949,1.212712
0.415811,0.017408,0.157089,0.598245,0.067168,0.826022,1.263081
0.416099,0.017408,0.130145,0.581028,0.064449,0.779078,1.216137
0.416195,0.017440,0.135105,0.586117,0.067456,0.792646,1.230793
0.433091,0.017408,0.130401,0.585988,0.067617,0.787334,1.241705
0.415363,0.017473,0.126336,0.583909,0.066464,0.779909,1.216681
0.415619,0.017472,0.138305,0.584548,0.088321,0.814950,1.252489
0.417027,0.017249,0.132321,0.584324,0.066080,0.785797,1.223785
0.415875,0.017408,0.132897,0.583428,0.065441,0.785030,1.222441
0.416098,0.017216,0.135233,0.607076,0.079937,0.825766,1.265801
0.415651,0.017344,0.144546,0.586276,0.070048,0.804454,1.243177
0.415907,0.017248,0.142593,0.585828,0.069153,0.801510,1.239849
0.436451,0.017504,0.131329,0.596772,0.073217,0.805062,1.264137
0.416995,0.017280,0.141569,0.588100,0.069344,0.802629,1.240872
0.415203,0.017344,0.141537,0.591685,0.069376,0.806342,1.244041
0.415811,0.017440,0.141505,0.586884,0.068705,0.800998,1.238473
0.415875,0.017696,0.140769,0.586148,0.069345,0.800102,1.239465
0.415971,0.017761,0.132001,0.598692,0.070688,0.805189,1.242825
0.415875,0.017344,0.134561,0.587236,0.067201,0.792614,1.230025
0.415299,0.017408,0.131905,0.585540,0.067840,0.789317,1.226408
0.415747,0.041248,0.132065,0.584037,0.068032,0.787878,1.250313
0.415587,0.017536,0.128961,0.584452,0.067233,0.784198,1.221257
0.416067,0.017760,0.139777,0.586085,0.068640,0.798118,1.237001
0.434563,0.017504,0.127649,0.594980,0.068545,0.794438,1.250409
0.415139,0.017344,0.132737,0.586692,0.066560,0.789541,1.225832
0.416163,0.017408,0.131681,0.603460,0.088353,0.826854,1.264105
0.415811,0.017280,0.124449,0.581988,0.066112,0.775621,1.212872
0.414947,0.017472,0.132865,0.584580,0.065889,0.786374,1.222473
0.415875,0.017472,0.145313,0.598884,0.066144,0.813925,1.250856
0.415331,0.017216,0.130785,0.585092,0.065857,0.785190,1.221449
0.415715,0.017504,0.137249,0.586692,0.067392,0.794533,1.232328
0.430115,0.017280,0.131009,0.582948,0.066913,0.784198,1.235529
0.415427,0.017568,0.134785,0.598212,0.067137,0.803238,1.240777
0.415715,0.017344,0.130977,0.585413,0.067488,0.786950,1.224201
0.416067,0.017440,0.135073,0.584484,0.064865,0.787494,1.224585
0.415363,0.017632,0.130113,0.598277,0.066176,0.798054,1.234985
0.415555,0.017344,0.133921,0.595684,0.073025,0.806150,1.243369
0.415971,0.017249,0.131616,0.595109,0.066912,0.796837,1.234057
0.416163,0.017312,0.129153,0.583716,0.066657,0.783206,1.221289
0.415363,0.017280,0.116224,0.601508,0.087200,0.808869,1.245640
0.415811,0.017504,0.140097,0.585765,0.067296,0.796518,1.234121
0.417923,0.017344,0.137825,0.586660,0.067137,0.794950,1.234185
0.435587,0.017313,0.152641,0.585508,0.070912,0.812645,1.270441
0.415203,0.017504,0.138977,0.585828,0.068449,0.796806,1.233257
0.415491,0.017408,0.130465,0.584804,0.092801,0.811622,1.248297
0.415971,0.017440,0.136033,0.585221,0.066912,0.791430,1.228681
0.415651,0.017504,0.131265,0.582372,0.065953,0.782950,1.220041
0.415523,0.017184,0.134913,0.597445,0.076128,0.811686,1.247945
0.416419,0.017472,0.143585,0.581956,0.067265,0.796038,1.233929
0.415459,0.017281,0.128256,0.584357,0.069824,0.785829,1.223113
0.440131,0.017568,0.142657,0.593861,0.069536,0.809798,1.271593
0.415715,0.017344,0.122625,0.598756,0.067105,0.791622,1.228905
0.415939,0.017248,0.137345,0.583108,0.069985,0.794150,1.231465
0.416131,0.017504,0.141345,0.584356,0.070305,0.799142,1.236393
0.415779,0.017441,0.131745,0.582756,0.070112,0.787589,1.224521
0.415683,0.017280,0.132257,0.596868,0.069761,0.802342,1.239049
0.415491,0.017280,0.126785,0.582948,0.066240,0.779269,1.215880
0.415395,0.017472,0.134369,0.583556,0.066593,0.787686,1.224329
0.415459,0.017216,0.129537,0.599044,0.068353,0.800198,1.236777
0.415971,0.017600,0.122785,0.597349,0.065216,0.788614,1.225801
0.415875,0.017280,0.135297,0.583588,0.066177,0.788486,1.225641
0.435779,0.017409,0.125089,0.593956,0.067520,0.790021,1.247113
0.415747,0.017536,0.143265,0.598821,0.073440,0.819462,1.257801
0.415491,0.017440,0.137761,0.587108,0.091393,0.819686,1.256681
0.415939,0.017440,0.139777,0.586052,0.067937,0.797190,1.234409
0.415747,0.017280,0.125633,0.596645,0.069664,0.795750,1.233033
0.415555,0.017536,0.139617,0.603588,0.094177,0.840742,1.277737
0.418179,0.017664,0.145345,0.588964,0.068033,0.805606,1.245929
0.417507,0.017504,0.124993,0.599140,0.070465,0.798022,1.237545
0.432707,0.017568,0.142049,0.583428,0.066432,0.795429,1.249832
0.416227,0.017537,0.132768,0.584005,0.065056,0.785573,1.223401
0.415811,0.017440,0.135777,0.585988,0.069025,0.793830,1.231369
0.417027,0.017728,0.144417,0.614436,0.067777,0.830278,1.269385
0.416963,0.017473,0.136545,0.584548,0.067552,0.791941,1.230345
0.415363,0.017376,0.135489,0.599780,0.078113,0.816774,1.253289
0.415555,0.017536,0.136481,0.598916,0.068417,0.806950,1.245001
0.416227,0.017313,0.124928,0.584293,0.066752,0.779557,1.217193
0.433699,0.017664,0.137057,0.607524,0.080129,0.828166,1.283625
0.415971,0.017248,0.137505,0.584580,0.067553,0.792806,1.229641
0.416291,0.017312,0.137697,0.582341,0.066048,0.789446,1.227625
0.416515,0.017536,0.135777,0.598308,0.067873,0.805510,1.243945
0.415906,0.017472,0.142529,0.585604,0.067616,0.799109,1.236168
0.415715,0.017408,0.139905,0.603429,0.080000,0.827334,1.264681
0.416227,0.017216,0.138337,0.585316,0.068193,0.795366,1.232905
0.415235,0.017312,0.133121,0.585541,0.067168,0.789126,1.225545
0.416931,0.017536,0.140353,0.606084,0.109793,0.859846,1.298249
0.416291,0.017504,0.135105,0.586660,0.071873,0.796774,1.234313
0.417347,0.017248,0.135041,0.585701,0.072512,0.796454,1.235017
