Layer[0],Layer[1],IN[2],INFER[2-2],OUT[2],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.509923,0.018208,0.088513,7.974041,0.076577,8.143067,0.006080,0.048000,0.000864,0.013472,0.000416,0.001472,0.002496,0.000608,8.752894
0.418467,0.017696,0.122241,0.519876,0.070912,0.718181,0.009920,0.049281,0.000608,0.014016,0.000384,0.001888,0.001696,0.000352,1.239049
0.416195,0.017248,0.134305,0.512771,0.093633,0.745029,0.013760,0.049537,0.000640,0.014400,0.000384,0.001824,0.001312,0.000416,1.269065
0.416643,0.017440,0.134145,0.515363,0.071969,0.725029,0.005248,0.048928,0.000768,0.014976,0.000384,0.001856,0.001504,0.000384,1.240520
0.415331,0.017600,0.134753,0.513412,0.067393,0.719046,0.005312,0.049120,0.000512,0.014624,0.000384,0.001600,0.001248,0.000384,1.232137
0.416355,0.017184,0.128257,0.531428,0.101665,0.764678,0.005056,0.049440,0.000544,0.014336,0.000384,0.001792,0.001440,0.000384,1.278441
0.422179,0.017312,0.144161,0.514180,0.067840,0.729317,0.005056,0.050721,0.000544,0.014112,0.000384,0.001760,0.000928,0.000352,1.249065
0.415971,0.017344,0.143521,0.518532,0.069472,0.734725,0.005024,0.049473,0.000544,0.014208,0.000416,0.001696,0.001056,0.000320,1.247977
0.428323,0.017504,0.129697,0.525348,0.067360,0.725829,0.005152,0.050496,0.000576,0.014081,0.000384,0.001504,0.000992,0.000352,1.251465
0.415683,0.017184,0.128833,0.510692,0.073633,0.716326,0.005184,0.049920,0.000576,0.013888,0.000576,0.001472,0.001120,0.000352,1.229097
0.416003,0.017536,0.126273,0.523940,0.068448,0.722277,0.005312,0.050817,0.000864,0.013984,0.000384,0.001408,0.000896,0.000384,1.237673
0.415747,0.017920,0.127425,0.510787,0.067040,0.708453,0.005280,0.049920,0.000608,0.013760,0.000416,0.001504,0.001088,0.000448,1.222089
0.422339,0.018304,0.144609,0.516004,0.072384,0.736997,0.005568,0.049472,0.001056,0.013825,0.000640,0.001472,0.001536,0.000384,1.261769
