Layer[0],Layer[1],IN[2],INFER[2-3],OUT[3],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.508772,0.018048,0.127841,7.993465,0.066176,8.191418,0.049089,0.000800,0.013728,0.000320,0.001504,0.002464,0.000576,8.794111
0.417315,0.017793,0.152097,0.530915,0.068769,0.755749,0.049632,0.000576,0.014016,0.000352,0.001504,0.001280,0.000384,1.264649
0.417507,0.018208,0.144641,0.521731,0.070753,0.741029,0.050080,0.000832,0.014240,0.000448,0.002240,0.001408,0.000448,1.272041
0.417539,0.017504,0.145153,0.517892,0.070432,0.737893,0.049728,0.000672,0.014465,0.000384,0.001504,0.001088,0.000416,1.248553
0.417283,0.017440,0.138113,0.520228,0.072128,0.734693,0.050657,0.000832,0.014528,0.000384,0.001568,0.001216,0.000416,1.246153
0.435043,0.017632,0.142849,0.518980,0.069217,0.735302,0.049888,0.000576,0.014624,0.000384,0.001536,0.001184,0.000416,1.264041
0.416995,0.017472,0.185090,0.521507,0.071073,0.781862,0.050528,0.000640,0.014720,0.000352,0.001536,0.001152,0.000384,1.292841
0.415875,0.017280,0.105025,0.517060,0.068608,0.694885,0.049537,0.000832,0.014208,0.000352,0.001504,0.001056,0.000416,1.202633
0.416675,0.017376,0.135521,0.520548,0.069568,0.729413,0.049857,0.000832,0.014336,0.000384,0.001504,0.001120,0.000352,1.238057
0.415619,0.017408,0.140769,0.518756,0.066497,0.730502,0.053312,0.000832,0.013632,0.000384,0.001600,0.001088,0.000384,1.241609
0.416099,0.017344,0.134305,0.534788,0.073856,0.747301,0.049505,0.000608,0.013600,0.000416,0.001504,0.001120,0.000384,1.254889
0.417059,0.017504,0.136097,0.527172,0.070624,0.738437,0.049857,0.000896,0.013728,0.000640,0.001600,0.000832,0.000448,1.248713
0.415555,0.017440,0.118593,0.528452,0.067840,0.718629,0.050080,0.000672,0.013856,0.000384,0.001440,0.000960,0.000352,1.225673
0.415395,0.040417,0.120512,0.518212,0.067649,0.710469,0.049888,0.000800,0.013504,0.000352,0.001440,0.000864,0.000416,1.240009
0.415235,0.017312,0.132865,0.523972,0.066976,0.727877,0.049344,0.000576,0.013409,0.000352,0.001408,0.000960,0.000416,1.232841
0.415747,0.017344,0.127105,0.531428,0.069281,0.731654,0.049632,0.000800,0.013472,0.000352,0.001408,0.000832,0.000384,1.237769
0.423619,0.017376,0.133921,0.518404,0.071424,0.727589,0.049505,0.000800,0.013376,0.000320,0.001440,0.000864,0.000352,1.241993
0.415395,0.017281,0.120448,0.517412,0.067297,0.709573,0.049664,0.000640,0.013408,0.000352,0.001472,0.000896,0.000384,1.215529
0.415811,0.017440,0.132705,0.520196,0.113985,0.771046,0.049088,0.000832,0.013408,0.000320,0.001504,0.000992,0.000384,1.277513
