Layer[0],Layer[1],IN[2],INFER[2-4],OUT[4],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510884,0.017568,0.105728,8.035770,0.064736,8.210490,0.001344,0.014497,0.000416,0.001632,0.011040,0.000672,8.775967
0.440740,0.018272,0.141185,0.569956,0.071200,0.785989,0.001376,0.015265,0.000416,0.001664,0.001376,0.000384,1.273066
0.417731,0.017280,0.134241,0.575364,0.066304,0.779589,0.000928,0.015488,0.000416,0.001504,0.001120,0.000384,1.240712
0.417699,0.017440,0.142306,0.569412,0.069152,0.784934,0.000960,0.015168,0.000416,0.001568,0.001024,0.000416,1.246537
0.417763,0.017473,0.137121,0.569508,0.068800,0.779013,0.000896,0.015936,0.000416,0.001568,0.001056,0.000352,1.241289
0.417411,0.017281,0.145313,0.571716,0.070560,0.791845,0.000736,0.015200,0.000384,0.001504,0.001056,0.000352,1.253417
0.416387,0.017281,0.130624,0.584293,0.068448,0.787141,0.000896,0.014304,0.000416,0.001504,0.001152,0.000384,1.245705
0.416195,0.017376,0.133953,0.567588,0.064193,0.769798,0.000736,0.014720,0.000416,0.001504,0.001344,0.000384,1.228393
0.415971,0.017440,0.134145,0.569092,0.068672,0.775333,0.000832,0.015168,0.000416,0.001536,0.001312,0.000352,1.234505
0.432196,0.017344,0.128769,0.580644,0.064736,0.777733,0.000896,0.014272,0.000384,0.001536,0.000992,0.000416,1.252137
0.416099,0.017280,0.137281,0.570116,0.068929,0.779750,0.000768,0.015328,0.000416,0.001504,0.001376,0.000352,1.239177
0.420803,0.017888,0.149985,0.572453,0.069472,0.795878,0.000960,0.015072,0.000384,0.001632,0.001600,0.000384,1.262345
0.421667,0.017441,0.140129,0.569412,0.067616,0.780517,0.000768,0.014560,0.000480,0.001568,0.001120,0.000384,1.245513
0.416547,0.017376,0.133057,0.568772,0.064673,0.770214,0.000736,0.014560,0.000384,0.001632,0.001184,0.000608,1.230121
0.420163,0.017472,0.134337,0.585188,0.066497,0.789926,0.000768,0.014144,0.000448,0.001504,0.001088,0.000384,1.252169
0.415587,0.017280,0.130369,0.568132,0.062848,0.765157,0.000736,0.014016,0.000416,0.001568,0.001152,0.000416,1.222729
