Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.521828,0.017856,0.114753,8.058010,0.065056,8.242875,0.012384,0.000672,8.801791
0.417923,0.017696,0.131009,0.586341,0.072896,0.794694,0.002144,0.000352,1.238409
0.418691,0.017504,0.136673,0.587300,0.068417,0.796038,0.001664,0.000640,1.239305
0.416355,0.017600,0.163233,0.586052,0.066945,0.819846,0.001536,0.000416,1.260521
0.416771,0.017760,0.136481,0.586116,0.067073,0.793286,0.001408,0.000416,1.234537
0.416579,0.017664,0.135713,0.601796,0.070816,0.812069,0.001472,0.000416,1.253160
0.416099,0.017600,0.125953,0.583045,0.066272,0.779046,0.001664,0.000384,1.219433
0.418787,0.017984,0.170562,0.593348,0.074400,0.843046,0.002080,0.000352,1.288905
0.430820,0.017888,0.132705,0.588644,0.072928,0.798501,0.001472,0.000512,1.254409
0.416163,0.017536,0.133121,0.589061,0.069952,0.795878,0.001536,0.000384,1.236329
0.416803,0.017632,0.131265,0.586308,0.069089,0.790598,0.001408,0.000384,1.231849
0.416323,0.017760,0.143009,0.589092,0.069537,0.805734,0.001504,0.000384,1.246825
0.417507,0.017504,0.138081,0.588004,0.070880,0.800869,0.001441,0.000384,1.242761
0.415939,0.017505,0.135841,0.597348,0.070816,0.808005,0.001536,0.000384,1.248265
0.415843,0.017632,0.134593,0.584196,0.067584,0.790118,0.001408,0.000384,1.229897
0.415139,0.017728,0.140801,0.583076,0.066497,0.794118,0.001472,0.000480,1.233577
0.433539,0.017664,0.125569,0.584164,0.066273,0.779750,0.001536,0.000416,1.237769
0.415587,0.017505,0.142561,0.598564,0.066944,0.811813,0.001472,0.000384,1.251433
0.415779,0.017664,0.122433,0.582596,0.067681,0.776998,0.001408,0.000416,1.217705
0.416515,0.017472,0.127425,0.580836,0.065473,0.777670,0.001408,0.000416,1.218313
0.415970,0.017537,0.131905,0.582628,0.067552,0.786277,0.001536,0.000416,1.226792
0.415683,0.017472,0.129825,0.602148,0.070048,0.805734,0.001408,0.000416,1.245513
0.415875,0.017664,0.134017,0.582724,0.068769,0.789478,0.001376,0.000416,1.230633
0.416195,0.017824,0.132481,0.583236,0.066624,0.786117,0.001376,0.000416,1.226664
0.415939,0.017664,0.165538,0.584996,0.069568,0.824838,0.001504,0.000416,1.266377
0.415971,0.017472,0.137057,0.584965,0.068480,0.794118,0.001600,0.000384,1.234697
0.415811,0.017408,0.133537,0.584004,0.067265,0.788838,0.001376,0.000416,1.230217
