Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.511748,0.018400,0.115553,8.065434,0.070048,8.255195,0.000992,8.791999
0.417987,0.017568,0.136097,0.588868,0.064737,0.793510,0.001024,1.235209
0.416035,0.017505,0.127329,0.585252,0.065824,0.781989,0.000576,1.220233
0.415811,0.017504,0.126849,0.587652,0.062049,0.795942,0.000704,1.234281
0.416451,0.017248,0.130497,0.588996,0.068416,0.791397,0.000608,1.230280
0.416099,0.017504,0.126337,0.599524,0.064321,0.793766,0.000672,1.232841
0.432451,0.017504,0.128193,0.583844,0.065248,0.782181,0.000640,1.236840
0.415427,0.017248,0.129633,0.584324,0.062241,0.779718,0.000608,1.217161
0.415587,0.017440,0.131969,0.583492,0.061920,0.780677,0.000640,1.218568
0.416003,0.017248,0.129505,0.583204,0.061505,0.777606,0.000640,1.215529
0.415779,0.017408,0.121185,0.585380,0.064384,0.774789,0.000640,1.213672
0.415971,0.017312,0.124993,0.601573,0.070624,0.800774,0.000608,1.238889
0.415779,0.017216,0.124865,0.582276,0.061824,0.772069,0.000609,1.209929
0.415811,0.017312,0.130689,0.584645,0.063840,0.782406,0.000608,1.220329
0.415811,0.017472,0.151233,0.597348,0.063777,0.816038,0.000672,1.254569
0.416035,0.017728,0.126529,0.584484,0.062624,0.777189,0.000640,1.215688
0.415907,0.017472,0.136993,0.588036,0.067457,0.796134,0.000608,1.235401
0.434403,0.017632,0.133889,0.602788,0.070465,0.810854,0.000736,1.267657
0.415715,0.017312,0.133121,0.587012,0.067648,0.790917,0.000576,1.229096
0.415747,0.017632,0.124449,0.631237,0.084032,0.843206,0.000640,1.281481
0.415427,0.017632,0.126593,0.584612,0.064417,0.779238,0.000768,1.217897
0.415811,0.017312,0.123713,0.584964,0.064960,0.776965,0.000672,1.215560
0.416195,0.017536,0.130113,0.609605,0.106272,0.849862,0.000704,1.291657
0.416163,0.017632,0.126849,0.586500,0.068769,0.785958,0.000800,1.225609
0.415747,0.017472,0.126945,0.585764,0.066272,0.782661,0.000704,1.221448
0.430563,0.017440,0.131841,0.586853,0.065312,0.787750,0.000736,1.240649
0.415171,0.017472,0.127457,0.588836,0.068256,0.787941,0.000768,1.226888
0.420323,0.017696,0.123649,0.587045,0.065248,0.779494,0.000800,1.223561
0.415651,0.017728,0.132481,0.585892,0.064545,0.786822,0.000672,1.227625
0.415299,0.017728,0.125761,0.583268,0.067584,0.780165,0.000736,1.218696
0.417635,0.017440,0.119585,0.598788,0.071105,0.793382,0.000928,1.235209
0.416131,0.017376,0.131777,0.587684,0.065152,0.787909,0.000640,1.226984
0.415555,0.017792,0.130209,0.586692,0.067649,0.787782,0.000832,1.226473
0.420419,0.035328,0.125985,0.585988,0.073057,0.788422,0.000704,1.249545
0.415363,0.017473,0.132928,0.585444,0.064288,0.786277,0.000800,1.224937
0.416099,0.017728,0.125281,0.584196,0.063009,0.776198,0.000736,1.215177
0.421187,0.017824,0.147521,0.595524,0.072609,0.820966,0.000928,1.268713
0.416547,0.017600,0.138401,0.602788,0.069217,0.816006,0.000864,1.255817
0.416291,0.017536,0.126305,0.607140,0.077537,0.814982,0.000896,1.254537
0.415491,0.017409,0.130113,0.590596,0.070432,0.795045,0.000800,1.233417
0.415395,0.017664,0.125761,0.587396,0.066017,0.783142,0.000704,1.221961
0.415107,0.017408,0.149729,0.590212,0.072993,0.817158,0.000704,1.255049
0.415715,0.017697,0.138529,0.597732,0.067360,0.807173,0.000992,1.245865
0.415587,0.017696,0.134625,0.592132,0.067521,0.798054,0.000800,1.236937
0.432163,0.017664,0.122657,0.591012,0.070817,0.788390,0.000672,1.243625
0.416195,0.017729,0.130625,0.592516,0.066432,0.792869,0.000672,1.231465
0.414851,0.017408,0.132353,0.604132,0.066465,0.806534,0.000608,1.244169
0.414979,0.017376,0.134113,0.599460,0.067425,0.804774,0.000832,1.242793
0.416483,0.017505,0.130944,0.586917,0.066016,0.787141,0.000672,1.226281
0.420067,0.017600,0.131457,0.605604,0.081953,0.822566,0.000736,1.265385
0.415875,0.017536,0.129409,0.585508,0.066112,0.784741,0.000736,1.224520
0.415395,0.017312,0.134081,0.589701,0.067936,0.795462,0.000800,1.233225
0.436195,0.017536,0.132801,0.600964,0.067073,0.804006,0.000672,1.262889
0.415459,0.017793,0.131489,0.599556,0.067232,0.802405,0.000800,1.241417
0.415427,0.017536,0.131201,0.589092,0.066785,0.790566,0.000736,1.228329
0.416227,0.017824,0.158081,0.594821,0.071776,0.829318,0.001152,1.271913
