Layer[0],Layer[1],Layer[2],IN[3],INFER[3-10],OUT[10],TEE[3-10],classifier
0.541604,0.018240,0.206274,0.108097,0.108256,0.062369,0.282434,1.054856
0.417667,0.017600,0.204097,0.126817,0.120513,0.062368,0.313186,0.957446
0.417411,0.017600,0.203234,0.114209,0.118016,0.064193,0.300546,0.943207
0.416035,0.017600,0.217985,0.131905,0.105089,0.061792,0.302210,0.958022
0.415939,0.017184,0.203074,0.111488,0.105281,0.061793,0.281890,0.922279
0.415363,0.017441,0.203329,0.134817,0.105057,0.062464,0.305314,0.945703
0.415587,0.017408,0.203330,0.137121,0.105728,0.069185,0.314850,0.955591
0.418147,0.017696,0.203201,0.158049,0.107265,0.066753,0.335715,0.979719
0.416771,0.017632,0.202753,0.134497,0.105729,0.066145,0.310339,0.952807
0.416227,0.017793,0.204001,0.128833,0.104769,0.063968,0.300706,0.943143
0.441827,0.017664,0.203874,0.149441,0.114497,0.069216,0.338274,1.006439
0.416515,0.017760,0.203426,0.142113,0.109793,0.066240,0.321538,0.963591
0.415907,0.017472,0.203361,0.131777,0.108353,0.065857,0.309059,0.950503
0.416323,0.017569,0.218497,0.167489,0.109281,0.064993,0.345283,1.003144
0.416099,0.017472,0.202594,0.134945,0.105793,0.064480,0.308770,0.949447
0.416035,0.017408,0.202401,0.133825,0.105985,0.062337,0.305251,0.945223
0.416099,0.017473,0.203393,0.139553,0.105633,0.086336,0.334722,0.975911
0.416803,0.017632,0.202914,0.132801,0.106081,0.064864,0.308066,0.949703
0.416163,0.017856,0.202529,0.131841,0.108929,0.065185,0.309187,0.950759
0.415747,0.017408,0.202914,0.132609,0.105249,0.062720,0.303874,0.944391
0.431427,0.017408,0.202593,0.138049,0.106657,0.064865,0.312835,0.968775
0.415651,0.017697,0.203009,0.137665,0.102305,0.061056,0.303874,0.944295
0.415875,0.017536,0.203233,0.136129,0.105345,0.064289,0.308707,0.949447
0.416227,0.017408,0.222306,0.162881,0.117729,0.063745,0.347459,1.007912
0.415779,0.017472,0.202658,0.133793,0.101537,0.062528,0.300994,0.941479
0.415331,0.017472,0.202849,0.138049,0.102625,0.063265,0.307715,0.947239
0.416739,0.017280,0.202466,0.134369,0.102113,0.062880,0.302978,0.943623
0.415843,0.017536,0.201985,0.134369,0.102529,0.064192,0.304738,0.944294
0.416451,0.017344,0.202850,0.123233,0.103264,0.063681,0.293090,0.933863
0.416259,0.017344,0.203233,0.129153,0.104161,0.065824,0.302178,0.942918
0.434851,0.017536,0.202754,0.137025,0.114497,0.065056,0.319586,0.978663
0.415011,0.017440,0.202625,0.137537,0.102817,0.062880,0.306178,0.945094
0.415779,0.017504,0.202370,0.126689,0.102816,0.065441,0.298882,0.938823
0.415587,0.017504,0.202369,0.138081,0.120065,0.069088,0.330434,0.969894
0.415203,0.017536,0.202434,0.137345,0.104064,0.064129,0.308418,0.947591
0.415331,0.017248,0.202529,0.137697,0.102817,0.063936,0.307266,0.946150
0.415459,0.017216,0.203330,0.134049,0.100768,0.060993,0.298658,0.938471
0.429411,0.017376,0.202625,0.123937,0.102817,0.066720,0.298018,0.951686
0.416195,0.017344,0.202626,0.133473,0.102272,0.062561,0.301282,0.941287
0.416803,0.017472,0.202913,0.139937,0.105281,0.065984,0.314466,0.956486
0.418339,0.018304,0.222082,0.146657,0.106305,0.064896,0.321218,0.985351
0.417795,0.017600,0.202114,0.133569,0.105184,0.064257,0.305826,0.947655
0.415875,0.017472,0.202657,0.156769,0.102689,0.063136,0.326659,0.966663
0.415907,0.017600,0.202338,0.144513,0.100480,0.079137,0.327010,0.966759
0.415427,0.017184,0.202177,0.131265,0.103585,0.062880,0.300578,0.939430
0.416419,0.017504,0.201858,0.133409,0.102944,0.062849,0.302050,0.941799
0.416003,0.017696,0.202401,0.157217,0.113185,0.063553,0.336739,0.977095
0.442659,0.018145,0.203521,0.137313,0.108097,0.067488,0.316514,0.985831
0.415459,0.017408,0.202530,0.101248,0.101857,0.062880,0.269249,0.908390
0.415267,0.017888,0.202498,0.141313,0.103264,0.062529,0.310722,0.951623
0.416131,0.017536,0.202657,0.156193,0.113057,0.062497,0.335235,0.975239
0.415491,0.017473,0.202529,0.151457,0.107009,0.062784,0.324322,0.963303
0.415267,0.017504,0.202593,0.122049,0.113569,0.061601,0.300355,0.939175
0.415395,0.017696,0.202882,0.128897,0.101888,0.065825,0.299874,0.940039
0.415426,0.017441,0.202465,0.134273,0.112065,0.060416,0.310018,0.948966
0.416195,0.017344,0.202338,0.160641,0.100672,0.061569,0.326242,0.966983
0.415555,0.017472,0.203201,0.138945,0.102785,0.062337,0.308227,0.949063
0.432132,0.017664,0.203073,0.132929,0.106433,0.066048,0.308770,0.967655
0.415875,0.017536,0.202370,0.134689,0.104896,0.063009,0.305794,0.946535
0.415907,0.017632,0.202593,0.138241,0.101921,0.062016,0.305250,0.946662
0.420931,0.017632,0.202434,0.121153,0.118369,0.077408,0.320066,0.965319
0.416387,0.017536,0.202178,0.134785,0.102784,0.063265,0.303842,0.944263
0.415267,0.017504,0.202145,0.133025,0.104225,0.063296,0.304130,0.943270
