Layer[0],Layer[1],Layer[2],IN[3],INFER[3-4],OUT[4],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.533156,0.017856,0.208066,0.129345,0.090112,0.060993,0.283938,0.001120,0.014528,0.000544,0.001536,0.011488,0.000608,1.080392
0.419459,0.018176,0.230273,0.122017,0.103745,0.062912,0.292674,0.000800,0.015521,0.000384,0.001664,0.001856,0.000224,0.988391
0.416099,0.017344,0.204258,0.123041,0.092449,0.060320,0.279554,0.000864,0.014496,0.000384,0.001536,0.001216,0.000480,0.942055
0.417507,0.017536,0.203649,0.123681,0.087329,0.062400,0.277218,0.000832,0.015201,0.000416,0.001504,0.001216,0.000608,0.943111
0.416642,0.017280,0.202881,0.136961,0.097761,0.062112,0.299810,0.001088,0.015008,0.000384,0.001472,0.001088,0.000608,0.962886
0.416387,0.017536,0.204354,0.149057,0.102241,0.063680,0.319618,0.000800,0.014880,0.000384,0.001440,0.001024,0.000288,0.982727
0.415907,0.017248,0.205985,0.131041,0.094081,0.059713,0.288163,0.000832,0.014528,0.000352,0.001536,0.000960,0.000320,0.951687
0.416515,0.017440,0.203202,0.120385,0.085504,0.064193,0.273378,0.001120,0.015488,0.000384,0.001472,0.000832,0.000352,0.936775
0.429059,0.017312,0.203681,0.132161,0.088577,0.062080,0.286402,0.001312,0.017313,0.000416,0.001568,0.001056,0.000352,0.966119
0.416291,0.017441,0.203105,0.139297,0.087073,0.063232,0.293058,0.000672,0.014624,0.000416,0.001472,0.001120,0.000352,0.957127
0.416643,0.017632,0.202626,0.141345,0.097120,0.064161,0.305922,0.000800,0.014528,0.000416,0.001536,0.001088,0.000416,0.968295
0.416515,0.017504,0.202721,0.185634,0.099168,0.063457,0.351779,0.000928,0.014176,0.000576,0.001408,0.001088,0.000416,1.014343
0.415779,0.017536,0.203105,0.131393,0.098209,0.062560,0.295362,0.000736,0.014401,0.000352,0.001696,0.001088,0.000384,0.957319
0.416835,0.017761,0.202817,0.140353,0.085953,0.061632,0.291810,0.000704,0.014112,0.000416,0.001472,0.001248,0.000352,0.956935
0.416387,0.017504,0.202498,0.139457,0.083904,0.061409,0.288162,0.000864,0.014112,0.000384,0.001504,0.001152,0.000384,0.949415
0.416099,0.017504,0.202561,0.139425,0.085665,0.063968,0.292803,0.000768,0.014080,0.000416,0.001472,0.001152,0.000384,0.954503
