Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.522820,0.018080,0.208514,0.132897,0.087808,0.063393,0.288354,0.014528,0.000768,0.001600,0.002752,0.000640,1.065800
0.437699,0.017824,0.203906,0.144865,0.088640,0.065185,0.304482,0.015584,0.000448,0.001568,0.001536,0.000640,0.992455
0.420323,0.017664,0.203682,0.137185,0.089248,0.063617,0.293314,0.015488,0.000480,0.001504,0.001248,0.000448,0.960647
0.421187,0.017312,0.203841,0.137953,0.087905,0.064096,0.293058,0.015137,0.000512,0.001600,0.001504,0.000384,0.960583
0.420963,0.017377,0.217953,0.135457,0.087105,0.062176,0.288450,0.014528,0.000512,0.001472,0.001280,0.000576,0.970599
0.420387,0.017665,0.202529,0.126433,0.085952,0.061473,0.277186,0.014880,0.000480,0.001536,0.001184,0.000576,0.943047
0.420323,0.017280,0.203682,0.137345,0.088288,0.062593,0.291522,0.014656,0.000480,0.001504,0.001120,0.000352,0.958503
0.420099,0.017408,0.202817,0.145601,0.106305,0.067425,0.323363,0.014816,0.000480,0.001632,0.001184,0.000384,0.991911
0.420291,0.017440,0.203201,0.138433,0.087681,0.063808,0.293122,0.015105,0.000480,0.001536,0.001120,0.000416,0.959367
0.420291,0.017953,0.203937,0.125601,0.085697,0.061824,0.276482,0.014528,0.000512,0.001536,0.001120,0.000352,0.943111
0.419459,0.017728,0.202753,0.148002,0.085408,0.061665,0.298883,0.014432,0.000480,0.001472,0.001024,0.000384,0.962791
0.419491,0.017632,0.203329,0.126785,0.092225,0.064992,0.287138,0.014208,0.000512,0.001536,0.001024,0.000384,0.952198
0.415331,0.017504,0.205666,0.133089,0.084032,0.064193,0.284706,0.014688,0.000480,0.001536,0.001088,0.000384,0.947783
0.415587,0.017344,0.203489,0.130433,0.085185,0.062464,0.281442,0.014369,0.000512,0.001568,0.001088,0.000384,0.942855
0.434211,0.017857,0.203873,0.137089,0.084321,0.061344,0.286082,0.014464,0.000544,0.001472,0.001184,0.000384,0.967047
0.419491,0.017664,0.203362,0.132161,0.084192,0.061025,0.280546,0.014592,0.000512,0.001472,0.001024,0.000384,0.944903
0.420067,0.017345,0.203265,0.116961,0.083873,0.061248,0.265506,0.014336,0.000480,0.001408,0.001120,0.000384,0.930183
0.415363,0.017440,0.203170,0.138113,0.108864,0.072897,0.325090,0.014496,0.000512,0.001472,0.001184,0.000416,0.985927
0.415779,0.017440,0.203169,0.131137,0.085889,0.063808,0.284258,0.014305,0.000384,0.001376,0.001312,0.000384,0.944327
0.420323,0.017696,0.202626,0.123233,0.085184,0.061569,0.273442,0.014272,0.000512,0.001504,0.001152,0.000416,0.938311
0.414851,0.017440,0.203137,0.134689,0.085665,0.062816,0.286146,0.014304,0.000480,0.001408,0.000928,0.000448,0.944742
0.436771,0.017504,0.202434,0.134785,0.084064,0.061120,0.283298,0.014112,0.000480,0.001504,0.000896,0.000576,0.964615
0.414755,0.017376,0.202850,0.135169,0.084704,0.059457,0.282274,0.014176,0.000480,0.001408,0.000960,0.000352,0.940455
0.415139,0.017473,0.205089,0.139873,0.094081,0.063424,0.300770,0.014176,0.000480,0.001440,0.000992,0.000384,0.962535
0.415683,0.017440,0.221506,0.141249,0.085600,0.061729,0.291842,0.014368,0.000544,0.001472,0.000928,0.000384,0.970951
