Layer[0],Layer[1],Layer[2],IN[3],INFER[3-6],OUT[6],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.508004,0.018112,0.206721,0.106753,0.100033,0.060864,0.271874,0.000960,0.002368,0.002080,0.000608,1.020519
0.417123,0.017792,0.203778,0.117472,0.099425,0.062081,0.282786,0.001056,0.002240,0.000960,0.000384,0.933799
0.429508,0.017504,0.205729,0.158401,0.102721,0.062496,0.327426,0.000896,0.001984,0.000960,0.000288,0.989640
0.415171,0.017248,0.203138,0.129633,0.099744,0.061057,0.293922,0.000864,0.002048,0.000864,0.000352,0.939271
0.415587,0.017440,0.203457,0.153217,0.100705,0.061024,0.318818,0.001120,0.002656,0.000992,0.000416,0.965510
0.415011,0.017472,0.203010,0.145057,0.108576,0.061249,0.319010,0.000896,0.002560,0.000896,0.000352,0.964775
0.414819,0.017216,0.202913,0.129953,0.110081,0.066976,0.310658,0.000832,0.002144,0.000832,0.000416,0.957446
0.415107,0.017312,0.202370,0.138945,0.097568,0.060417,0.300386,0.000800,0.001856,0.000768,0.000352,0.944103
0.415267,0.017249,0.202145,0.121217,0.097537,0.061920,0.283970,0.000800,0.002336,0.000928,0.000416,0.928103
0.416067,0.017312,0.202497,0.142753,0.102080,0.066529,0.315491,0.000736,0.002656,0.000960,0.000384,0.964327
0.415043,0.017473,0.202593,0.112641,0.101633,0.061856,0.280098,0.000832,0.002400,0.000896,0.000352,0.924743
0.415747,0.017408,0.202753,0.113153,0.101089,0.061664,0.279810,0.000832,0.002080,0.000864,0.000352,0.925158
0.414691,0.017408,0.217281,0.141729,0.100865,0.061793,0.307811,0.000768,0.002080,0.000800,0.000320,0.966823
0.415075,0.017152,0.202434,0.139713,0.096160,0.059297,0.299042,0.000704,0.001984,0.000896,0.000320,0.942695
0.414531,0.017248,0.202561,0.135713,0.109633,0.062752,0.312194,0.000864,0.002112,0.000864,0.000320,0.955686
0.415107,0.017248,0.202594,0.130721,0.097824,0.062081,0.294370,0.000640,0.002144,0.000864,0.000416,0.938471
0.415075,0.017280,0.202977,0.136801,0.097985,0.063136,0.301474,0.000800,0.002496,0.000896,0.000384,0.946374
0.415203,0.017440,0.202914,0.159009,0.098273,0.061984,0.323042,0.000704,0.002048,0.000832,0.000320,0.967559
0.414915,0.017440,0.202785,0.130497,0.097953,0.062272,0.294242,0.000640,0.002368,0.000864,0.000416,0.939334
0.427587,0.017632,0.202562,0.128769,0.100512,0.064225,0.298306,0.000832,0.002240,0.000992,0.000384,0.958695
0.415779,0.017504,0.202273,0.137281,0.099873,0.063584,0.304354,0.000832,0.002304,0.000832,0.000384,0.949734
0.415651,0.017376,0.202146,0.138273,0.111136,0.063425,0.316802,0.000736,0.002336,0.000800,0.000416,0.962375
0.415523,0.017249,0.202209,0.153569,0.099745,0.061088,0.318082,0.000832,0.002432,0.000800,0.000384,0.962119
0.415715,0.017216,0.202978,0.147969,0.108160,0.063841,0.324994,0.000928,0.003424,0.000768,0.000384,0.972519
0.415395,0.017440,0.203169,0.110785,0.096353,0.061760,0.272322,0.000768,0.002016,0.000736,0.000384,0.917318
0.415267,0.017280,0.202529,0.137409,0.097921,0.060545,0.299427,0.000672,0.002112,0.001056,0.000352,0.944167
0.429827,0.017729,0.202465,0.134081,0.099649,0.063680,0.300674,0.000736,0.002240,0.000960,0.000320,0.960967
0.416163,0.017440,0.203298,0.126113,0.097536,0.060993,0.288226,0.000704,0.002400,0.000928,0.000416,0.935175
0.415395,0.017600,0.203233,0.131073,0.098369,0.062240,0.295010,0.000640,0.002336,0.001056,0.000352,0.941222
0.415747,0.017472,0.221762,0.140257,0.103457,0.067712,0.315394,0.000896,0.002144,0.000992,0.000352,0.983431
0.418467,0.017600,0.204258,0.137121,0.105728,0.065857,0.312290,0.000736,0.002368,0.001152,0.000416,0.963367
0.416515,0.017312,0.203745,0.137793,0.104769,0.069633,0.316451,0.000736,0.002272,0.001152,0.000384,0.964903
0.416227,0.017569,0.206209,0.128513,0.124033,0.096673,0.354403,0.000800,0.002304,0.001024,0.000384,1.005800
0.415395,0.017408,0.203298,0.138881,0.099393,0.063584,0.305410,0.000832,0.002112,0.000928,0.000416,0.951399
0.415523,0.017440,0.203169,0.137697,0.114273,0.064609,0.320291,0.000704,0.002176,0.000896,0.000384,0.965895
0.415330,0.017312,0.203041,0.123937,0.100353,0.062144,0.289922,0.000736,0.002272,0.000832,0.000352,0.935206
0.430723,0.017248,0.202402,0.145121,0.101313,0.065632,0.315842,0.000736,0.002336,0.001152,0.000416,0.976839
0.415779,0.017248,0.202658,0.146785,0.101825,0.066944,0.319234,0.000832,0.002368,0.000992,0.000448,0.965287
0.415427,0.017248,0.202977,0.139681,0.102145,0.064737,0.310147,0.000704,0.002240,0.001024,0.000416,0.955719
0.435587,0.017504,0.202337,0.138337,0.104417,0.069760,0.316514,0.000768,0.002209,0.000992,0.000384,0.983175
0.415363,0.017344,0.202657,0.141825,0.101857,0.064704,0.311746,0.000704,0.002208,0.001088,0.000384,0.957127
0.415139,0.017248,0.202402,0.136385,0.101280,0.065057,0.306818,0.000736,0.002464,0.001056,0.000352,0.952327
0.421091,0.017312,0.202433,0.150689,0.115009,0.063809,0.333475,0.000864,0.002368,0.001088,0.000384,0.984551
0.415299,0.017441,0.202145,0.136033,0.103777,0.064288,0.308258,0.000832,0.002176,0.000992,0.000384,0.953575
0.415811,0.017248,0.202306,0.137057,0.102048,0.067905,0.310370,0.000832,0.002656,0.001056,0.000416,0.956551
0.414819,0.017600,0.203041,0.136449,0.102817,0.063840,0.306562,0.000704,0.002240,0.000992,0.000352,0.952167
0.414691,0.017888,0.201922,0.162305,0.102881,0.063616,0.332162,0.000736,0.002208,0.000864,0.000352,0.976359
0.413827,0.017632,0.202146,0.127552,0.101633,0.066273,0.298914,0.000800,0.002368,0.000864,0.000352,0.942535
0.415747,0.017921,0.202369,0.131809,0.101089,0.065568,0.302018,0.000736,0.002272,0.000960,0.000384,0.948263
0.435235,0.017920,0.202690,0.136257,0.112000,0.065665,0.317506,0.000832,0.002496,0.001056,0.000384,0.984487
0.415107,0.017824,0.202241,0.140801,0.099169,0.066337,0.310019,0.000736,0.002944,0.001120,0.000416,0.956359
0.415139,0.017473,0.202081,0.140417,0.099969,0.062592,0.306274,0.000704,0.002208,0.000992,0.000384,0.951015
0.415427,0.017696,0.202562,0.155457,0.099584,0.063041,0.321602,0.000704,0.002784,0.001056,0.000320,0.967815
0.415683,0.018496,0.202401,0.141441,0.100737,0.066176,0.311618,0.000768,0.002272,0.001056,0.000320,0.958470
0.415331,0.017344,0.201762,0.134177,0.098944,0.061601,0.298210,0.000832,0.002208,0.001088,0.000352,0.942695
0.415683,0.017568,0.203585,0.134273,0.098241,0.061985,0.298179,0.000800,0.002208,0.000928,0.000320,0.946215
0.414979,0.017888,0.203137,0.134689,0.100033,0.064928,0.303234,0.000736,0.002400,0.000992,0.000320,0.949254
0.415491,0.017536,0.202114,0.130081,0.101248,0.064961,0.299394,0.000800,0.002272,0.000896,0.000352,0.946791
0.414851,0.017696,0.202529,0.131873,0.105249,0.069569,0.310627,0.000736,0.002208,0.000960,0.000320,0.956231
0.435427,0.017984,0.203009,0.140449,0.112193,0.070689,0.327619,0.000800,0.002176,0.000960,0.000384,0.996871
0.414947,0.017665,0.202657,0.128481,0.100993,0.063328,0.296130,0.000832,0.002240,0.001088,0.000384,0.941831
0.415139,0.017632,0.202306,0.129280,0.098817,0.060609,0.292354,0.000736,0.002752,0.000960,0.000352,0.938119
0.416931,0.017505,0.203521,0.151489,0.101153,0.064000,0.320674,0.001120,0.003264,0.001408,0.000320,0.971687
0.416003,0.017568,0.201890,0.132865,0.099905,0.066240,0.302466,0.001248,0.003040,0.001024,0.000384,0.949895
0.415267,0.017184,0.201921,0.132673,0.100321,0.065281,0.301315,0.000672,0.002176,0.000928,0.000352,0.945255
0.415683,0.017248,0.202178,0.144673,0.099361,0.061824,0.309538,0.000704,0.002144,0.001248,0.000320,0.955943
0.414595,0.017216,0.202530,0.120065,0.115200,0.062785,0.301250,0.000704,0.001984,0.000928,0.000352,0.944999
0.415235,0.017248,0.202337,0.123041,0.098113,0.060864,0.285634,0.000672,0.002048,0.000864,0.000352,0.930150
0.414883,0.017504,0.202274,0.139553,0.099296,0.062497,0.304578,0.000640,0.002048,0.000832,0.000288,0.948871
0.435396,0.018016,0.203489,0.128289,0.109217,0.070784,0.312418,0.000672,0.002272,0.000928,0.000352,0.981511
0.416483,0.017216,0.203010,0.130017,0.102785,0.064640,0.301282,0.001088,0.002400,0.000960,0.000416,0.948839
0.415395,0.017216,0.202657,0.142849,0.098049,0.061472,0.307458,0.001056,0.002304,0.000992,0.000384,0.952679
0.415011,0.017760,0.202242,0.115072,0.124801,0.064865,0.308290,0.000736,0.002112,0.000896,0.000352,0.952615
0.415907,0.017441,0.201953,0.141249,0.098433,0.061504,0.306050,0.000800,0.002208,0.000896,0.000416,0.950759
0.414947,0.017440,0.201985,0.112833,0.099265,0.062560,0.278178,0.000704,0.001920,0.000864,0.000352,0.921510
0.415235,0.017184,0.202786,0.146273,0.109185,0.062720,0.322178,0.000768,0.002400,0.000928,0.000320,0.968039
0.428419,0.017312,0.202657,0.113857,0.096065,0.059680,0.272866,0.000704,0.001888,0.000864,0.000320,0.930150
