Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.528420,0.017984,0.206049,0.115233,0.108385,0.060576,0.288706,0.002912,0.016449,0.000640,1.068808
0.418051,0.017633,0.220065,0.137409,0.104929,0.069504,0.316290,0.003872,0.002176,0.000544,0.986023
0.418243,0.017696,0.203362,0.125825,0.102305,0.065184,0.297314,0.004160,0.001504,0.000416,0.949767
0.415459,0.017600,0.202786,0.139329,0.104448,0.067777,0.315618,0.002528,0.001344,0.000640,0.961607
0.415619,0.017472,0.202977,0.123169,0.102529,0.088800,0.318978,0.002689,0.001024,0.000384,0.964391
0.415331,0.017568,0.203074,0.133921,0.101664,0.062656,0.302242,0.002592,0.001216,0.000352,0.947879
0.415459,0.017408,0.202945,0.145985,0.101633,0.062081,0.313091,0.002624,0.000832,0.000288,0.957831
0.415715,0.017664,0.202914,0.133985,0.100865,0.061664,0.300194,0.002432,0.001120,0.000384,0.946439
0.437475,0.017824,0.202818,0.127553,0.116224,0.064353,0.312162,0.002624,0.000960,0.000352,0.980935
0.416099,0.017472,0.202465,0.132545,0.103425,0.062337,0.302211,0.002880,0.001120,0.000320,0.948391
0.415011,0.017761,0.202753,0.128929,0.102305,0.064416,0.299714,0.002464,0.001024,0.000352,0.944551
0.416035,0.017856,0.216994,0.128929,0.100640,0.064481,0.298530,0.002784,0.001088,0.000640,0.959847
0.415395,0.017600,0.204001,0.134337,0.100641,0.064288,0.303298,0.002817,0.001088,0.000640,0.950983
0.415363,0.017568,0.203202,0.131297,0.100609,0.064544,0.300610,0.002816,0.001120,0.000352,0.946567
0.415171,0.017600,0.203042,0.119136,0.100192,0.083457,0.307106,0.002816,0.001216,0.000640,0.953095
0.415363,0.017568,0.202625,0.131105,0.102433,0.064928,0.302146,0.002496,0.000992,0.000608,0.947238
0.416707,0.017728,0.215298,0.131585,0.102497,0.063488,0.301474,0.002592,0.000960,0.000288,0.960935
0.415651,0.017440,0.202625,0.113472,0.100097,0.064641,0.281698,0.002528,0.001184,0.000384,0.927015
0.435012,0.017888,0.202657,0.130145,0.099841,0.061952,0.295810,0.002304,0.000928,0.000608,0.960999
0.415427,0.017440,0.202626,0.132865,0.109953,0.063424,0.310146,0.002400,0.000928,0.000320,0.954471
0.415235,0.017760,0.202497,0.129121,0.098721,0.062337,0.294147,0.002848,0.001056,0.000384,0.939271
0.415779,0.017601,0.219457,0.130945,0.109313,0.065440,0.310050,0.002656,0.000960,0.000416,0.974471
0.415619,0.017696,0.202498,0.133377,0.101888,0.065057,0.304194,0.002336,0.000960,0.000384,0.949383
0.415587,0.017792,0.202913,0.124449,0.099105,0.063392,0.290690,0.002656,0.000992,0.000608,0.936550
0.415395,0.017440,0.202690,0.131553,0.099297,0.082048,0.316898,0.002784,0.001056,0.000416,0.962695
0.416707,0.017856,0.202754,0.131713,0.103392,0.065441,0.304226,0.002592,0.001056,0.000384,0.951175
0.416163,0.017632,0.202689,0.128865,0.098529,0.061920,0.293346,0.002368,0.001056,0.000384,0.939590
0.415203,0.017632,0.202754,0.131937,0.100576,0.062209,0.298338,0.002208,0.001056,0.000416,0.942823
0.432771,0.017664,0.202305,0.132161,0.102465,0.065441,0.303523,0.002432,0.001056,0.000384,0.965639
0.415747,0.017697,0.202849,0.128993,0.101825,0.063648,0.297858,0.002272,0.001024,0.000384,0.942983
0.415331,0.017728,0.202945,0.135745,0.101473,0.066433,0.307011,0.002624,0.001216,0.000416,0.954407
0.417155,0.017728,0.222017,0.131745,0.099169,0.061664,0.296642,0.002464,0.000992,0.000608,0.963814
0.415747,0.017632,0.202370,0.135233,0.099361,0.062560,0.300770,0.002528,0.000960,0.000384,0.945895
0.415203,0.017696,0.203617,0.135041,0.098657,0.063489,0.300707,0.002304,0.000960,0.000384,0.946247
0.415779,0.017633,0.203521,0.127297,0.096385,0.060480,0.287714,0.002656,0.000960,0.000576,0.934279
0.414915,0.017440,0.203426,0.131969,0.100000,0.063297,0.299074,0.002528,0.000928,0.000576,0.943975
0.415907,0.017760,0.203169,0.127841,0.098177,0.061568,0.291394,0.002400,0.000896,0.000416,0.937254
0.415523,0.017568,0.203074,0.132545,0.101056,0.063649,0.300738,0.002304,0.001280,0.000384,0.946215
0.432163,0.017856,0.202977,0.154082,0.098624,0.062593,0.319075,0.002496,0.000960,0.000352,0.981735
0.416771,0.017536,0.202369,0.133089,0.099937,0.063392,0.300162,0.002336,0.000992,0.000544,0.946054
0.416131,0.017504,0.202370,0.131649,0.097280,0.060641,0.293282,0.002176,0.000992,0.000352,0.938023
0.415779,0.017632,0.221633,0.136865,0.100769,0.063265,0.304515,0.002336,0.000992,0.000512,0.969927
0.415683,0.017537,0.202561,0.138689,0.099713,0.063360,0.305410,0.002400,0.000960,0.000576,0.950215
0.415203,0.017696,0.202722,0.132769,0.098624,0.063361,0.298114,0.002432,0.001024,0.000352,0.942759
0.415523,0.017568,0.202817,0.157665,0.098145,0.063072,0.322402,0.002208,0.000864,0.000288,0.966695
0.416291,0.017313,0.202273,0.126497,0.100737,0.063264,0.293794,0.002272,0.000896,0.000288,0.938279
0.416067,0.017664,0.202529,0.136929,0.111009,0.061921,0.313475,0.002208,0.000960,0.000352,0.957959
0.415267,0.017697,0.202241,0.126817,0.096417,0.060864,0.287394,0.003296,0.000992,0.000288,0.932519
0.428611,0.017536,0.202818,0.165121,0.100673,0.064448,0.334082,0.002528,0.001024,0.000288,0.992263
0.415683,0.017408,0.203298,0.152801,0.099264,0.062401,0.317698,0.002624,0.000928,0.000320,0.963463
0.415491,0.017408,0.202497,0.133121,0.096161,0.060832,0.293570,0.002304,0.001056,0.000544,0.937798
0.415523,0.017600,0.223970,0.126817,0.111488,0.066977,0.309282,0.002752,0.001120,0.000384,0.977767
0.415587,0.017472,0.203425,0.124641,0.097185,0.064512,0.289730,0.002496,0.000992,0.000320,0.935430
0.416163,0.017504,0.203458,0.116737,0.096608,0.065217,0.282242,0.002784,0.000992,0.000320,0.928839
0.415555,0.017760,0.202273,0.135937,0.097249,0.061504,0.297922,0.002240,0.000992,0.000320,0.942086
0.415267,0.017472,0.202562,0.137057,0.096928,0.061441,0.298562,0.002208,0.000864,0.000320,0.942535
0.415203,0.017184,0.202817,0.127777,0.096993,0.062656,0.290658,0.002208,0.000896,0.000320,0.934310
0.415907,0.017632,0.203778,0.130561,0.101024,0.062337,0.297794,0.002080,0.001504,0.000256,0.945319
0.430979,0.017440,0.202369,0.131649,0.103841,0.063969,0.302723,0.002336,0.000896,0.000288,0.961927
0.415203,0.017536,0.201890,0.133537,0.097985,0.061952,0.296866,0.002144,0.001024,0.000320,0.939751
0.415395,0.017600,0.202625,0.137665,0.096225,0.060928,0.298242,0.002241,0.000960,0.000288,0.942215
0.415299,0.017344,0.202658,0.130401,0.115905,0.066048,0.316514,0.002464,0.001056,0.000416,0.961319
0.415491,0.017472,0.202753,0.134529,0.104577,0.064161,0.306467,0.003296,0.000992,0.000352,0.951911
0.415619,0.017441,0.202177,0.122145,0.097153,0.061952,0.284706,0.002176,0.000992,0.000352,0.928519
0.415075,0.017312,0.202881,0.137537,0.098305,0.063424,0.302563,0.002144,0.000960,0.000384,0.946119
0.431235,0.018177,0.202657,0.117761,0.094561,0.059136,0.274914,0.002112,0.000928,0.000320,0.935527
0.415171,0.017440,0.202913,0.134401,0.098177,0.063808,0.300098,0.002209,0.000960,0.000352,0.944135
0.416035,0.017376,0.203042,0.131297,0.095744,0.062561,0.294018,0.003488,0.000928,0.000320,0.941063
0.417123,0.017824,0.224578,0.143745,0.098080,0.062625,0.308098,0.002528,0.000928,0.000384,0.977383
0.415523,0.017408,0.203265,0.109473,0.115041,0.061824,0.290050,0.002432,0.000832,0.000320,0.934310
0.416163,0.017568,0.203585,0.132545,0.097601,0.062529,0.295939,0.002240,0.000800,0.000384,0.941863
0.416067,0.017665,0.202849,0.141697,0.099041,0.065120,0.309538,0.002400,0.000960,0.000352,0.955463
0.415491,0.017728,0.202818,0.113536,0.099873,0.061249,0.278370,0.003200,0.000928,0.000352,0.923399
0.415907,0.017536,0.202114,0.157441,0.098785,0.061024,0.320802,0.002752,0.000896,0.000320,0.964839
0.415107,0.017440,0.202497,0.156257,0.112769,0.060513,0.333187,0.002272,0.000896,0.000288,0.975911
0.428419,0.017728,0.202434,0.149089,0.100865,0.061984,0.315042,0.002176,0.000896,0.000288,0.971335
0.416355,0.017568,0.202497,0.111777,0.095585,0.060224,0.271010,0.002880,0.000800,0.000256,0.915718
0.415427,0.017600,0.202210,0.139009,0.098272,0.063809,0.304610,0.002208,0.000928,0.000288,0.948647
0.415203,0.017408,0.203073,0.131233,0.126369,0.064672,0.326146,0.002304,0.000928,0.000320,0.970087
0.415107,0.017664,0.203234,0.128768,0.098337,0.062113,0.293122,0.002496,0.000896,0.000352,0.938055
0.415683,0.017632,0.202817,0.132161,0.096449,0.060128,0.292546,0.002304,0.000992,0.000288,0.937287
0.415395,0.017696,0.205921,0.126433,0.097857,0.062048,0.290466,0.002400,0.000992,0.000384,0.939590
0.432452,0.017504,0.203585,0.141505,0.099713,0.063264,0.308226,0.002400,0.000928,0.000384,0.971335
0.416003,0.017472,0.202434,0.134017,0.097344,0.063009,0.297826,0.002464,0.001024,0.000352,0.942663
0.415971,0.017632,0.202465,0.136129,0.101249,0.061440,0.302338,0.002400,0.001120,0.000320,0.947462
0.415331,0.017568,0.219298,0.136609,0.107360,0.063649,0.311138,0.002176,0.000896,0.000288,0.972359
0.415683,0.017440,0.202113,0.136481,0.098305,0.063616,0.301666,0.002240,0.000736,0.000288,0.944806
0.415683,0.017504,0.202434,0.132545,0.097216,0.062337,0.295394,0.002176,0.000864,0.000416,0.939623
0.415843,0.017664,0.203393,0.133889,0.096545,0.060512,0.294146,0.002240,0.000800,0.000384,0.939334
0.416227,0.017600,0.202434,0.134273,0.097472,0.062689,0.297698,0.002272,0.000928,0.000288,0.942503
0.416003,0.017472,0.202625,0.133441,0.098465,0.064576,0.299682,0.002336,0.000768,0.000320,0.943718
0.415043,0.017792,0.202626,0.132129,0.096192,0.061025,0.293090,0.002368,0.001024,0.000320,0.937543
0.435299,0.017696,0.202561,0.126657,0.097089,0.062400,0.289858,0.002400,0.000993,0.000320,0.954279
0.415491,0.017408,0.203074,0.129729,0.097440,0.061953,0.292834,0.002176,0.001056,0.000352,0.937287
0.415011,0.017280,0.202145,0.156257,0.111425,0.062337,0.333635,0.002400,0.000896,0.000320,0.976583
0.416131,0.017632,0.202402,0.141921,0.096257,0.060448,0.302562,0.002400,0.000832,0.000352,0.947943
0.415779,0.017312,0.202626,0.125952,0.095937,0.061089,0.286882,0.002208,0.000928,0.000352,0.932359
0.416099,0.017409,0.203713,0.126049,0.097473,0.061280,0.288226,0.002176,0.000960,0.000352,0.935687
0.416547,0.017536,0.202753,0.134689,0.097761,0.064929,0.300963,0.002144,0.000832,0.000352,0.946247
0.416034,0.017408,0.202657,0.121409,0.096737,0.061344,0.283074,0.002272,0.000960,0.000384,0.928966
