Layer[0],Layer[1],Layer[2],IN[3],INFER[3-9],OUT[9],TEE[3-9],Layer[10],classifier
0.531140,0.018080,0.206530,0.088832,0.123489,0.061665,0.278306,0.000992,1.041480
0.432835,0.017728,0.204354,0.138497,0.116609,0.062784,0.322114,0.000992,0.983047
0.417827,0.017536,0.203202,0.132865,0.115200,0.063905,0.316418,0.000768,0.959783
0.417955,0.017760,0.202625,0.117313,0.116449,0.062016,0.299682,0.000640,0.942534
0.417539,0.017408,0.203138,0.179137,0.131169,0.065984,0.380098,0.000704,1.023623
0.416547,0.017728,0.203170,0.138496,0.118880,0.062049,0.322914,0.000672,0.964999
0.417187,0.017696,0.203073,0.140513,0.108353,0.066177,0.319043,0.000800,0.964007
0.416323,0.017472,0.202914,0.118241,0.107489,0.063264,0.292738,0.000768,0.934407
0.417539,0.017600,0.202657,0.133345,0.111489,0.060864,0.310914,0.000865,0.953703
0.417027,0.017184,0.203010,0.115585,0.112064,0.062369,0.293954,0.000768,0.936007
0.417827,0.017536,0.203393,0.132929,0.106113,0.063488,0.305954,0.000640,0.950022
0.428931,0.017344,0.202274,0.124609,0.118080,0.060769,0.307298,0.000736,0.960711
0.416067,0.017472,0.203169,0.147233,0.111809,0.063329,0.326691,0.000736,0.969223
0.416899,0.017440,0.202722,0.112481,0.104032,0.061249,0.281378,0.000640,0.923047
0.416451,0.017409,0.203489,0.116641,0.127937,0.068032,0.316546,0.000832,0.959047
0.415779,0.017568,0.203361,0.128065,0.102529,0.061057,0.294851,0.000576,0.936263
0.417955,0.017280,0.202402,0.150081,0.112737,0.064320,0.331234,0.000480,0.974215
0.416579,0.017248,0.202977,0.114241,0.112097,0.061248,0.291170,0.000704,0.932582
0.430403,0.017344,0.204610,0.116129,0.103072,0.061089,0.283650,0.000640,0.940583
0.416611,0.017312,0.202370,0.139809,0.110209,0.062048,0.315394,0.000736,0.956647
0.416931,0.017472,0.202273,0.133057,0.109761,0.060608,0.307426,0.000736,0.949222
0.417219,0.017344,0.202146,0.137697,0.111968,0.060705,0.314370,0.000576,0.955687
0.416450,0.017440,0.202241,0.136705,0.104129,0.063520,0.307778,0.000672,0.949478
0.417475,0.017440,0.202242,0.136929,0.103744,0.063713,0.307874,0.000704,0.950471
0.416451,0.017280,0.202305,0.137377,0.103009,0.062432,0.306562,0.000640,0.947878
0.416931,0.017472,0.202082,0.139105,0.103425,0.064000,0.310338,0.000640,0.952647
0.416579,0.017728,0.202658,0.142657,0.105280,0.064097,0.315810,0.000672,0.958343
0.416483,0.017696,0.202433,0.140353,0.104737,0.063328,0.311842,0.000704,0.953830
0.434531,0.017633,0.202785,0.140577,0.102465,0.063072,0.309538,0.000768,0.970279
0.416131,0.017440,0.202626,0.140801,0.104736,0.066209,0.315330,0.000640,0.956935
0.416675,0.017473,0.203041,0.136993,0.103905,0.064064,0.308482,0.000576,0.951015
0.416291,0.017504,0.202274,0.140929,0.126720,0.067969,0.339682,0.000640,0.981223
0.416355,0.017248,0.202945,0.143457,0.103521,0.062625,0.313059,0.000704,0.955655
0.416803,0.017313,0.202753,0.130433,0.103969,0.061504,0.299938,0.000736,0.942535
0.416739,0.017504,0.203233,0.136737,0.102209,0.063425,0.306339,0.000640,0.949895
0.434436,0.017312,0.204193,0.140129,0.103777,0.064352,0.311810,0.000736,0.973511
0.416195,0.017536,0.203842,0.141697,0.103105,0.066336,0.314978,0.000736,0.958375
0.417731,0.017312,0.203554,0.139425,0.102688,0.061441,0.306722,0.000704,0.950631
0.439555,0.017504,0.203297,0.138689,0.104609,0.062624,0.309634,0.000640,0.975686
0.416451,0.017472,0.203042,0.133633,0.111297,0.063296,0.311202,0.000608,0.953031
0.416195,0.017504,0.202689,0.138785,0.103425,0.064673,0.310019,0.000640,0.951847
0.416323,0.017345,0.202945,0.129025,0.120769,0.068096,0.321442,0.000640,0.963623
0.416067,0.017536,0.203074,0.163393,0.111521,0.063552,0.342434,0.000736,0.984551
0.416227,0.017440,0.202786,0.140161,0.111776,0.064897,0.320290,0.000736,0.962087
0.416131,0.017312,0.202209,0.139265,0.104801,0.062753,0.310147,0.000640,0.951239
0.416355,0.017632,0.202210,0.138209,0.102817,0.064608,0.308930,0.000768,0.951239
0.415811,0.017856,0.203074,0.127873,0.103840,0.062209,0.297410,0.000736,0.939719
0.416323,0.017440,0.202337,0.162689,0.104129,0.063361,0.333635,0.000768,0.975175
0.433475,0.017441,0.203169,0.138337,0.110113,0.061920,0.314082,0.000640,0.973671
0.415971,0.017248,0.203394,0.166849,0.102849,0.061600,0.334658,0.000608,0.976423
0.416387,0.017440,0.202626,0.135169,0.102912,0.063521,0.305058,0.000608,0.946951
0.416803,0.017408,0.203073,0.162977,0.103489,0.062625,0.332643,0.000640,0.975111
0.416643,0.017569,0.202721,0.137025,0.109569,0.063840,0.314050,0.000576,0.956231
0.416131,0.018304,0.202786,0.138753,0.101504,0.061761,0.305282,0.000704,0.947975
0.416547,0.017248,0.202977,0.138177,0.110977,0.063648,0.316515,0.000608,0.958695
0.416067,0.017600,0.202786,0.143937,0.104417,0.063840,0.316130,0.000736,0.959239
0.415843,0.017632,0.202882,0.139521,0.110784,0.064097,0.317826,0.000608,0.959559
0.416387,0.017408,0.202753,0.133505,0.114017,0.064224,0.315266,0.000704,0.957382
0.432579,0.017505,0.202945,0.134241,0.106177,0.064768,0.309250,0.000672,0.968135
0.416067,0.017472,0.202498,0.140001,0.104224,0.062881,0.310274,0.000672,0.951783
0.416675,0.017472,0.202913,0.128833,0.111905,0.066976,0.311266,0.000864,0.953830
0.416099,0.017568,0.203362,0.149409,0.109121,0.062144,0.324258,0.000672,0.966663
0.416579,0.017312,0.202657,0.138177,0.103457,0.063809,0.308899,0.000768,0.950823
0.416707,0.017376,0.202881,0.139009,0.101921,0.061312,0.305794,0.000640,0.948070
0.416963,0.017440,0.202370,0.137825,0.102912,0.062657,0.306562,0.000672,0.948711
0.415907,0.017344,0.202753,0.135489,0.111361,0.064960,0.315810,0.000704,0.958470
0.416131,0.017536,0.202338,0.140865,0.103073,0.064032,0.311394,0.000672,0.952935
0.415971,0.017280,0.202722,0.137153,0.102816,0.063713,0.307138,0.000736,0.949223
0.431523,0.017312,0.202401,0.142817,0.102209,0.062976,0.311618,0.000672,0.968390
0.416067,0.017216,0.202242,0.128449,0.108768,0.062113,0.302658,0.000832,0.944583
0.416803,0.017472,0.202497,0.137537,0.103009,0.062977,0.306979,0.000576,0.949063
0.416099,0.017345,0.202657,0.159681,0.103969,0.063072,0.330274,0.000704,0.971751
0.415619,0.017280,0.203042,0.139393,0.102848,0.062401,0.308162,0.000640,0.949159
0.416643,0.017344,0.202337,0.136129,0.103649,0.062432,0.305794,0.000544,0.947495
0.415971,0.017408,0.202402,0.143521,0.100449,0.062400,0.309730,0.000608,0.950855
0.415651,0.017536,0.202593,0.145666,0.103808,0.064161,0.317667,0.000640,0.959879
0.416515,0.017312,0.202945,0.138753,0.111137,0.063200,0.316386,0.000640,0.958662
0.415779,0.017152,0.202434,0.139105,0.110945,0.063040,0.316482,0.000704,0.957607
0.434019,0.017472,0.202498,0.135873,0.102112,0.061217,0.302626,0.000704,0.961991
0.415459,0.017217,0.202401,0.133281,0.102273,0.063232,0.302306,0.000608,0.942887
0.415459,0.017408,0.202274,0.136769,0.110880,0.063617,0.314466,0.000672,0.954951
0.417699,0.017280,0.202209,0.172898,0.114880,0.064705,0.356675,0.000864,1.001607
0.416867,0.017248,0.202849,0.136353,0.113537,0.064993,0.318371,0.000608,0.960999
0.416451,0.017313,0.202721,0.139457,0.105345,0.064320,0.312514,0.000608,0.954695
0.417411,0.017248,0.203106,0.143105,0.113633,0.063360,0.323906,0.000704,0.967431
0.416675,0.017472,0.202658,0.140705,0.104768,0.064801,0.314530,0.000704,0.957703
0.416899,0.017664,0.202305,0.142625,0.111233,0.064993,0.322659,0.000832,0.965351
0.416131,0.017569,0.202465,0.138561,0.105729,0.062496,0.310114,0.000672,0.951719
0.434691,0.017312,0.202402,0.141057,0.113633,0.063296,0.321698,0.000704,0.981959
0.416163,0.017344,0.202401,0.134209,0.102529,0.061953,0.302243,0.000672,0.944327
0.416195,0.017440,0.205826,0.134721,0.112225,0.063296,0.313730,0.000736,0.958951
0.416643,0.017504,0.222498,0.141665,0.102625,0.061472,0.309250,0.000640,0.972871
0.417091,0.017344,0.202178,0.137505,0.104768,0.062753,0.308226,0.000608,0.951015
0.416483,0.017440,0.202209,0.138401,0.109953,0.063936,0.315362,0.000672,0.957702
0.416227,0.017472,0.202466,0.138369,0.103905,0.063552,0.309090,0.000672,0.950599
0.416483,0.017600,0.202337,0.132417,0.112449,0.064449,0.313251,0.000704,0.956519
0.416131,0.017280,0.202657,0.140545,0.113345,0.064160,0.321538,0.000736,0.963302
0.415459,0.017504,0.202562,0.127553,0.101888,0.062625,0.295330,0.000736,0.936679
0.435683,0.017440,0.203393,0.122625,0.104321,0.063777,0.294243,0.000608,0.956199
0.416739,0.017408,0.202434,0.136289,0.102401,0.062208,0.304322,0.000800,0.946695
