Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.507620,0.017856,0.207362,0.005344,0.102753,0.101312,0.062881,0.270690,1.015432
0.417891,0.017569,0.204673,0.005120,0.112737,0.120929,0.069120,0.306978,0.957127
0.416515,0.017312,0.204290,0.005312,0.109984,0.102241,0.065889,0.281986,0.930279
0.416739,0.017504,0.203106,0.004800,0.111937,0.100256,0.064417,0.280450,0.927527
0.416611,0.017504,0.203201,0.005248,0.114689,0.101921,0.064800,0.284866,0.931942
0.432739,0.017248,0.203234,0.004992,0.113921,0.107905,0.064128,0.289442,0.952487
0.415875,0.017472,0.202913,0.005056,0.118881,0.104161,0.068480,0.295234,0.941767
0.416611,0.017440,0.203202,0.005312,0.112225,0.101440,0.063105,0.280258,0.928071
0.416387,0.017504,0.221665,0.005024,0.114241,0.103457,0.065088,0.286114,0.951846
0.417251,0.017248,0.203202,0.004832,0.114656,0.106464,0.064385,0.288770,0.935911
0.415395,0.017313,0.203361,0.004832,0.110785,0.100033,0.065504,0.279586,0.924967
0.415779,0.017312,0.203201,0.004768,0.112609,0.099873,0.065280,0.281154,0.926982
0.415907,0.017440,0.202690,0.004800,0.107105,0.100000,0.064417,0.274914,0.920359
0.415651,0.017441,0.202657,0.004832,0.114689,0.100737,0.065152,0.283714,0.928519
0.416931,0.017216,0.203489,0.004800,0.112289,0.099169,0.062560,0.277698,0.924518
0.416291,0.017376,0.221250,0.004896,0.114977,0.098656,0.063745,0.281986,0.946503
0.417507,0.017153,0.203777,0.005056,0.118721,0.107073,0.067104,0.296578,0.945159
0.416035,0.017184,0.203842,0.005344,0.121600,0.106337,0.064993,0.296482,0.943399
0.416355,0.017377,0.203233,0.005024,0.123105,0.099937,0.063648,0.289954,0.937319
0.415747,0.017152,0.205058,0.005152,0.110496,0.100737,0.066561,0.281218,0.929031
0.415075,0.017184,0.203426,0.004832,0.112513,0.100960,0.064416,0.281346,0.926823
0.416227,0.017376,0.203969,0.005376,0.111969,0.098561,0.064576,0.278754,0.926342
0.433763,0.017600,0.203234,0.005312,0.116641,0.102976,0.065441,0.288610,0.953447
0.416003,0.017184,0.203329,0.005056,0.115297,0.099073,0.063680,0.282946,0.929094
0.415491,0.017600,0.203458,0.005312,0.125408,0.099201,0.064353,0.292482,0.938855
0.416354,0.017472,0.203201,0.004832,0.115457,0.116417,0.067392,0.303074,0.949286
0.415971,0.017184,0.203106,0.005312,0.127872,0.101121,0.068737,0.301634,0.949479
0.416611,0.017377,0.203041,0.005280,0.115553,0.101281,0.063360,0.283650,0.930439
0.416003,0.017376,0.203073,0.005024,0.111041,0.101505,0.065760,0.281730,0.928358
0.434339,0.017312,0.203586,0.004896,0.116097,0.101248,0.065153,0.285954,0.950535
0.415747,0.017281,0.202593,0.004800,0.111681,0.096865,0.061856,0.273954,0.918599
0.415971,0.017440,0.202657,0.004928,0.113345,0.099649,0.063456,0.280098,0.925766
0.416355,0.017504,0.202913,0.004833,0.145025,0.098240,0.063265,0.310402,0.956583
0.416355,0.017601,0.203681,0.005152,0.144897,0.098977,0.064192,0.311650,0.959111
0.416963,0.017568,0.203362,0.005056,0.119393,0.100960,0.067265,0.291138,0.939239
0.416387,0.017408,0.202913,0.005184,0.121793,0.105601,0.066496,0.297538,0.944166
0.415651,0.017216,0.203266,0.005056,0.117697,0.098464,0.065761,0.285378,0.931431
0.416131,0.017377,0.203457,0.005152,0.112257,0.097313,0.062176,0.275202,0.921959
0.416227,0.017440,0.203201,0.004800,0.111457,0.096833,0.063072,0.275074,0.921382
0.415939,0.017376,0.222210,0.005120,0.148417,0.099105,0.063520,0.314562,0.979783
0.416803,0.017248,0.203297,0.005152,0.115777,0.097569,0.065344,0.282146,0.929798
0.416067,0.017536,0.203330,0.005088,0.111808,0.100705,0.066721,0.282722,0.928999
0.416579,0.017248,0.202850,0.004768,0.116833,0.096288,0.062593,0.279330,0.924711
0.416547,0.017408,0.204417,0.004864,0.109601,0.096545,0.061952,0.271490,0.919494
0.416291,0.017216,0.203137,0.004800,0.116065,0.100449,0.064481,0.284227,0.930343
0.416419,0.017312,0.203650,0.005184,0.122913,0.106464,0.066913,0.300514,0.948263
0.432547,0.017440,0.203169,0.004864,0.119105,0.099457,0.062880,0.284674,0.947558
0.415651,0.017312,0.203266,0.005248,0.113665,0.099584,0.064257,0.280738,0.926855
0.415587,0.017408,0.203297,0.004832,0.119777,0.100385,0.064928,0.288546,0.934758
0.415779,0.017280,0.203489,0.004865,0.112224,0.116257,0.067329,0.299458,0.945447
0.416579,0.017472,0.203841,0.004864,0.115553,0.099713,0.064416,0.283202,0.930470
0.416867,0.017280,0.203169,0.004896,0.122337,0.100033,0.064192,0.289570,0.936102
0.415939,0.017504,0.203170,0.005152,0.116865,0.099296,0.062529,0.282050,0.928263
0.431588,0.017248,0.202817,0.004832,0.114561,0.100001,0.065568,0.283618,0.945031
0.416547,0.017216,0.203649,0.004800,0.118497,0.098721,0.062688,0.283170,0.930118
0.416675,0.017472,0.204034,0.004896,0.123169,0.105953,0.065088,0.298178,0.946343
0.416675,0.017344,0.203905,0.004832,0.134113,0.099649,0.063968,0.300834,0.948038
0.416995,0.017504,0.203170,0.004832,0.116641,0.099936,0.064097,0.283970,0.931207
0.416387,0.017409,0.203937,0.004832,0.115649,0.099009,0.064256,0.281954,0.928775
0.416195,0.017280,0.203361,0.004832,0.116449,0.099425,0.065408,0.284514,0.930502
0.430179,0.017216,0.203042,0.004832,0.113601,0.098208,0.063585,0.278466,0.938439
0.416611,0.017312,0.203553,0.004832,0.107457,0.096065,0.062304,0.269090,0.916902
0.416963,0.017376,0.203521,0.004800,0.116129,0.098465,0.063520,0.281474,0.928870
0.415363,0.017408,0.223202,0.004992,0.116545,0.098944,0.064705,0.283490,0.949767
0.416034,0.017376,0.203233,0.004864,0.119297,0.095969,0.061824,0.280354,0.926758
0.416611,0.017344,0.203681,0.005344,0.137761,0.101889,0.065633,0.310371,0.961511
0.415395,0.017440,0.203010,0.004864,0.105793,0.100096,0.062209,0.271714,0.916711
0.415298,0.017313,0.204097,0.004832,0.108705,0.097089,0.063072,0.272802,0.919206
0.415587,0.017280,0.202401,0.005568,0.115425,0.099969,0.063520,0.282338,0.927238
0.415523,0.017344,0.203233,0.004800,0.113825,0.099105,0.061952,0.278306,0.923142
0.415139,0.017504,0.216834,0.005088,0.114656,0.096225,0.062337,0.276226,0.934919
0.416291,0.017312,0.202914,0.005120,0.115681,0.097312,0.061601,0.278018,0.924199
0.415362,0.017345,0.202817,0.004864,0.113313,0.098593,0.061600,0.277058,0.921670
0.416323,0.017344,0.203201,0.004800,0.111969,0.096257,0.062496,0.273954,0.920262
0.416675,0.017216,0.202466,0.004960,0.107360,0.097921,0.063265,0.272002,0.917767
0.415683,0.017312,0.202882,0.004896,0.118657,0.106752,0.065569,0.294818,0.940711
0.415395,0.017472,0.203201,0.004864,0.120705,0.100993,0.066176,0.291170,0.936006
0.415267,0.017280,0.215745,0.005057,0.113504,0.104513,0.064993,0.285890,0.943431
0.415747,0.017184,0.202946,0.005312,0.108257,0.101920,0.062337,0.275842,0.921191
0.415011,0.017312,0.203586,0.004864,0.110305,0.098336,0.062497,0.274914,0.919623
0.415523,0.017248,0.203106,0.004832,0.123457,0.102401,0.063136,0.292802,0.937607
0.415011,0.017216,0.203329,0.004928,0.105857,0.097505,0.060832,0.267650,0.911878
0.415075,0.017472,0.203745,0.005248,0.107201,0.098753,0.061632,0.270754,0.915974
0.416067,0.017280,0.202881,0.005216,0.091649,0.103713,0.065344,0.263778,0.908870
0.414979,0.017280,0.216770,0.004928,0.131329,0.100256,0.062625,0.297698,0.955783
0.415619,0.017472,0.202690,0.005120,0.113121,0.107232,0.065792,0.290562,0.936583
0.415587,0.017472,0.203553,0.004928,0.112705,0.099297,0.062912,0.278498,0.923910
0.415235,0.017344,0.202817,0.004864,0.105921,0.104289,0.063296,0.276866,0.920966
0.428099,0.017248,0.203394,0.005120,0.145921,0.119552,0.063585,0.332674,0.990567
0.416131,0.017473,0.203393,0.005152,0.113281,0.103169,0.062336,0.282146,0.928615
0.416131,0.017248,0.202689,0.005248,0.115009,0.099681,0.062848,0.281218,0.926598
0.416099,0.017312,0.218049,0.004865,0.128576,0.095713,0.062113,0.289762,0.950727
0.415715,0.017280,0.202722,0.004832,0.133633,0.111200,0.061729,0.309762,0.954407
0.415427,0.017249,0.202849,0.004832,0.107553,0.096192,0.061089,0.267970,0.911911
0.415875,0.017505,0.202913,0.004800,0.095137,0.099008,0.061345,0.259106,0.904327
0.427716,0.017472,0.202625,0.005312,0.118529,0.099233,0.064032,0.285602,0.944231
0.416195,0.017312,0.202721,0.005344,0.109313,0.101089,0.061408,0.276898,0.922598
0.416099,0.017440,0.204002,0.004800,0.104544,0.100129,0.066785,0.276130,0.922663
0.416099,0.017344,0.217570,0.004896,0.102273,0.099680,0.061569,0.267074,0.927655
0.415875,0.017281,0.202881,0.004800,0.122593,0.097761,0.061312,0.285186,0.929959
