Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-9],OUT[9],TEE[4-9],Layer[10],classifier
0.531044,0.017824,0.206465,0.005344,0.101313,0.099713,0.060704,0.265634,0.001024,1.034279
0.441987,0.017888,0.204353,0.005248,0.120161,0.108289,0.066144,0.298242,0.001152,0.974439
0.421379,0.017600,0.203490,0.005152,0.111009,0.105408,0.065313,0.285090,0.000800,0.939271
0.421635,0.017472,0.203137,0.005120,0.119233,0.103521,0.066208,0.292802,0.000768,0.946502
0.442531,0.017728,0.203521,0.005344,0.132129,0.103905,0.068608,0.308450,0.000832,0.985607
0.421411,0.017344,0.202946,0.005120,0.121857,0.103104,0.066017,0.294626,0.000704,0.947399
0.421315,0.017440,0.202337,0.005344,0.125153,0.103233,0.065857,0.297667,0.000672,0.950599
0.421315,0.017665,0.202177,0.005216,0.114689,0.118465,0.067872,0.304418,0.000768,0.956807
0.420675,0.017408,0.203362,0.005312,0.114945,0.101088,0.065761,0.285410,0.000608,0.938503
0.420227,0.017664,0.202689,0.005344,0.117921,0.101729,0.066144,0.289122,0.000672,0.941254
0.421827,0.017600,0.203426,0.005152,0.129665,0.099617,0.064160,0.296770,0.000896,0.951623
0.420195,0.017472,0.202562,0.005312,0.117217,0.099904,0.062401,0.283298,0.000800,0.936039
0.421123,0.017216,0.203713,0.005312,0.117377,0.096449,0.062720,0.279810,0.000672,0.932486
0.421187,0.017344,0.203362,0.005344,0.123553,0.100704,0.065825,0.293378,0.000640,0.948071
0.437955,0.017568,0.203073,0.005280,0.123521,0.102977,0.065505,0.295075,0.000896,0.966087
0.420547,0.017504,0.202594,0.005344,0.116897,0.100897,0.063904,0.284930,0.000640,0.936743
0.416227,0.017760,0.202689,0.005440,0.117921,0.099777,0.063584,0.284450,0.000640,0.932838
0.415619,0.017600,0.202562,0.005312,0.118241,0.104640,0.101601,0.327874,0.000608,0.974535
0.420163,0.017184,0.202337,0.005248,0.112833,0.099585,0.063776,0.279458,0.000672,0.930406
0.420419,0.017440,0.203042,0.005280,0.115905,0.106464,0.065665,0.291394,0.000672,0.943239
0.415139,0.017376,0.203393,0.005056,0.118209,0.100417,0.064896,0.286722,0.000576,0.933510
0.437059,0.017696,0.203458,0.005056,0.122593,0.100352,0.063841,0.290018,0.000768,0.959943
0.420131,0.017536,0.202817,0.005376,0.115681,0.098529,0.064064,0.281666,0.000672,0.933446
0.416675,0.017824,0.203682,0.005376,0.127041,0.107105,0.067072,0.304770,0.000736,0.956263
0.416355,0.017440,0.217922,0.005024,0.116160,0.101281,0.062305,0.283522,0.000736,0.946183
0.415843,0.017313,0.203905,0.005344,0.119777,0.099489,0.063872,0.286210,0.000640,0.934823
0.415587,0.017760,0.203041,0.005280,0.114497,0.101665,0.064384,0.283906,0.000608,0.931270
0.415811,0.017984,0.203394,0.004928,0.106208,0.101377,0.062913,0.273922,0.000640,0.921191
0.415523,0.017376,0.203746,0.005056,0.109985,0.096992,0.061313,0.271746,0.000736,0.919079
0.416067,0.017568,0.202561,0.005024,0.105665,0.109569,0.062464,0.280930,0.000640,0.927046
0.415523,0.017600,0.202689,0.004800,0.118593,0.103009,0.071233,0.298499,0.000800,0.945255
0.415235,0.017536,0.217250,0.004928,0.114273,0.104033,0.064192,0.287554,0.000736,0.949127
0.415619,0.017472,0.203361,0.004992,0.115201,0.105057,0.065696,0.291074,0.000769,0.938439
0.416035,0.017536,0.202530,0.005312,0.121185,0.111008,0.070625,0.306914,0.000768,0.955271
0.416067,0.017408,0.202753,0.004832,0.106881,0.106657,0.062752,0.280162,0.000736,0.926502
0.415331,0.017792,0.203170,0.005248,0.118625,0.106336,0.065089,0.293218,0.000640,0.940519
0.416547,0.017344,0.202913,0.005024,0.118945,0.100609,0.064704,0.287234,0.000608,0.934790
0.420707,0.017568,0.202690,0.005056,0.110017,0.096640,0.062241,0.271970,0.000640,0.923751
0.430435,0.017568,0.202561,0.005312,0.117409,0.105217,0.064832,0.290530,0.000608,0.952230
0.416867,0.017248,0.203170,0.005280,0.114369,0.101824,0.064545,0.283874,0.000608,0.931815
0.419651,0.017408,0.202497,0.005248,0.116929,0.099105,0.063232,0.282306,0.000608,0.932487
0.419843,0.017472,0.202497,0.005249,0.135136,0.100673,0.064865,0.304066,0.000704,0.955111
0.419843,0.017408,0.202850,0.005248,0.118369,0.102689,0.064736,0.288962,0.000640,0.939975
0.415875,0.017600,0.202402,0.005312,0.121600,0.097057,0.064193,0.286402,0.000672,0.933895
0.416067,0.017536,0.202210,0.005056,0.105121,0.097280,0.063137,0.268706,0.000608,0.914375
0.428131,0.017600,0.202081,0.005088,0.108673,0.096001,0.061536,0.269474,0.000736,0.927686
0.415747,0.017600,0.202561,0.005025,0.108288,0.110433,0.063297,0.286178,0.000768,0.931847
0.417347,0.017632,0.203010,0.004928,0.099200,0.098209,0.061313,0.262146,0.000736,0.910791
0.415203,0.017280,0.202338,0.025600,0.095329,0.102144,0.060993,0.263362,0.000672,0.928871
0.415107,0.017248,0.202625,0.004800,0.102785,0.106721,0.062656,0.275682,0.000800,0.920262
0.415235,0.017472,0.202081,0.004864,0.108865,0.102145,0.062208,0.276482,0.000704,0.920902
0.415939,0.017408,0.202178,0.005024,0.110656,0.105601,0.063777,0.283266,0.000896,0.928775
0.436995,0.017505,0.202817,0.005248,0.117569,0.097473,0.062144,0.280258,0.000672,0.948231
0.415875,0.017536,0.202881,0.005120,0.115809,0.102561,0.067904,0.289986,0.000704,0.936742
0.415587,0.017600,0.202466,0.005056,0.108448,0.107680,0.064449,0.284418,0.000672,0.930023
0.416355,0.017472,0.215042,0.005312,0.101345,0.106497,0.063552,0.274690,0.000608,0.934087
0.415139,0.017408,0.202337,0.004864,0.090785,0.101505,0.064928,0.261922,0.000768,0.906758
