Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-10],OUT[10],TEE[5-10],classifier
0.512548,0.017856,0.206946,0.005344,0.078112,0.117281,0.074337,0.061760,0.257218,1.085448
0.418019,0.017952,0.204321,0.004896,0.047585,0.126017,0.074464,0.062881,0.267010,0.965063
0.417283,0.017824,0.203969,0.005088,0.047745,0.112800,0.055745,0.062464,0.234561,0.932070
0.416611,0.017728,0.203266,0.004832,0.048064,0.101921,0.066592,0.066593,0.238914,0.934087
0.420067,0.017537,0.203329,0.004992,0.049312,0.110113,0.067233,0.061088,0.241954,0.941799
0.416931,0.017728,0.203969,0.004992,0.049089,0.108641,0.051968,0.060800,0.224545,0.922438
0.415523,0.017824,0.202594,0.005056,0.048768,0.127809,0.058848,0.062049,0.252130,0.947335
0.429251,0.017952,0.202881,0.005056,0.048737,0.105984,0.054433,0.063008,0.227073,0.936390
0.415235,0.017760,0.202530,0.005056,0.048928,0.111841,0.053664,0.067073,0.235746,0.930439
0.415491,0.017505,0.203873,0.005088,0.049344,0.101889,0.054561,0.062528,0.222050,0.917735
0.415907,0.017344,0.202561,0.004800,0.048289,0.101536,0.075681,0.064576,0.245089,0.938278
0.415107,0.017632,0.202561,0.004832,0.047617,0.096288,0.065697,0.061728,0.226849,0.919014
0.415427,0.017600,0.202434,0.004768,0.049184,0.108161,0.061312,0.059361,0.232194,0.926055
0.415907,0.017568,0.202530,0.004768,0.048608,0.113025,0.062912,0.059713,0.238946,0.932871
0.442051,0.018560,0.208578,0.005056,0.049280,0.161089,0.059937,0.076896,0.303106,1.035175
0.416579,0.017536,0.204226,0.005056,0.048384,0.105313,0.062944,0.062177,0.233922,0.930439
0.416035,0.017696,0.205505,0.005024,0.048577,0.109536,0.055297,0.062880,0.231937,0.930310
0.415779,0.017696,0.220898,0.005312,0.048000,0.108193,0.053664,0.062529,0.228386,0.941447
0.415363,0.017377,0.203777,0.005184,0.048352,0.100257,0.054432,0.062433,0.220930,0.915655
0.415395,0.017280,0.204193,0.004832,0.048513,0.096416,0.051457,0.062848,0.214433,0.909638
0.414627,0.017344,0.203393,0.004832,0.048321,0.096128,0.051105,0.062848,0.213889,0.907270
0.416067,0.017440,0.203138,0.005056,0.047776,0.106977,0.054784,0.062465,0.227650,0.922183
0.415523,0.017632,0.202530,0.004832,0.048128,0.101569,0.050624,0.060449,0.216194,0.910151
0.419331,0.017632,0.202754,0.004832,0.048352,0.102913,0.053472,0.061217,0.221058,0.918631
0.419523,0.017313,0.217857,0.005184,0.047968,0.113312,0.051265,0.060896,0.229089,0.942023
0.414723,0.017536,0.204065,0.004864,0.047841,0.103840,0.049825,0.060576,0.217697,0.911014
0.414467,0.017504,0.202689,0.004832,0.048257,0.103329,0.051136,0.061984,0.219873,0.912486
0.414723,0.017568,0.203298,0.004864,0.048032,0.106561,0.053536,0.066593,0.230466,0.923847
0.432035,0.017569,0.203201,0.005088,0.048128,0.107905,0.052225,0.061312,0.225250,0.936807
0.415427,0.017632,0.205601,0.005024,0.048033,0.102400,0.053313,0.060544,0.219905,0.916038
0.414915,0.017600,0.203361,0.005024,0.048225,0.094880,0.052385,0.061280,0.211873,0.906182
0.415139,0.017728,0.218754,0.005248,0.047808,0.102817,0.054240,0.060960,0.221058,0.930567
0.415939,0.017696,0.203490,0.004832,0.048064,0.105793,0.049376,0.058881,0.217122,0.912167
0.415715,0.017376,0.202818,0.005280,0.047840,0.104001,0.053280,0.062241,0.222626,0.916871
0.416099,0.017665,0.203073,0.005344,0.047232,0.098337,0.060544,0.060384,0.222466,0.916359
0.435651,0.017600,0.202753,0.005088,0.047681,0.100704,0.053313,0.061088,0.218145,0.932102
0.415683,0.017696,0.203202,0.005280,0.047712,0.101953,0.053344,0.061920,0.221057,0.915846
0.415043,0.017600,0.202978,0.005312,0.048096,0.110305,0.050208,0.062625,0.226978,0.921639
0.415139,0.017473,0.217697,0.005312,0.048513,0.096000,0.062241,0.059648,0.221249,0.930599
0.415875,0.017408,0.203745,0.005088,0.048737,0.097312,0.054881,0.060640,0.216097,0.912518
0.416867,0.018240,0.203138,0.005024,0.048320,0.105121,0.050144,0.060897,0.219682,0.916807
0.416387,0.017632,0.203426,0.005056,0.048192,0.107681,0.053344,0.062657,0.226722,0.921927
0.431267,0.017600,0.202913,0.005088,0.048289,0.104320,0.050401,0.060928,0.219073,0.930886
0.417475,0.018176,0.204898,0.004992,0.047968,0.108065,0.055712,0.063809,0.231298,0.931047
0.415907,0.018176,0.204034,0.005024,0.048320,0.107201,0.052160,0.061633,0.224706,0.921831
0.416579,0.017536,0.222850,0.005248,0.048384,0.113377,0.051168,0.061473,0.229250,0.945479
0.415683,0.017473,0.203937,0.005056,0.048608,0.096737,0.050624,0.061089,0.211810,0.908199
0.416131,0.017824,0.203937,0.005088,0.048257,0.108704,0.055617,0.067968,0.236289,0.934470
0.415715,0.017504,0.204130,0.005024,0.048288,0.102273,0.050848,0.061889,0.218722,0.915367
0.414979,0.017632,0.203617,0.005056,0.048769,0.105696,0.054017,0.063296,0.226561,0.922086
0.416931,0.017472,0.203746,0.004992,0.049440,0.106817,0.053216,0.067457,0.230946,0.929735
0.416003,0.017568,0.204322,0.005056,0.048032,0.105505,0.053504,0.067873,0.230498,0.927015
0.435683,0.017600,0.202786,0.005088,0.048192,0.109153,0.066624,0.063425,0.242722,0.958567
0.415235,0.017505,0.203137,0.005088,0.048416,0.110433,0.052161,0.064960,0.231138,0.926023
0.414915,0.017440,0.203201,0.005056,0.048417,0.102049,0.054272,0.064192,0.223553,0.917638
0.414595,0.017536,0.204450,0.005024,0.050176,0.099873,0.071616,0.074017,0.249378,0.946311
0.416291,0.017664,0.203489,0.005088,0.047745,0.104064,0.053185,0.062656,0.223169,0.918662
0.415107,0.017856,0.204066,0.005056,0.049248,0.107745,0.057024,0.062753,0.231138,0.928487
0.416003,0.017632,0.203393,0.005120,0.047424,0.108545,0.053281,0.063776,0.228770,0.923399
0.433955,0.017696,0.203489,0.005057,0.047936,0.104801,0.052640,0.062656,0.223457,0.936934
0.415075,0.017600,0.204002,0.005088,0.048448,0.099201,0.053504,0.065057,0.221570,0.916935
0.420451,0.017536,0.203522,0.005536,0.048224,0.107745,0.052705,0.063584,0.227266,0.928455
0.416163,0.017792,0.203457,0.005024,0.048161,0.118529,0.065280,0.068609,0.255810,0.951367
0.415107,0.017696,0.203586,0.005088,0.049344,0.119009,0.053024,0.062497,0.237762,0.933959
0.415587,0.017600,0.202753,0.005280,0.047937,0.105856,0.052961,0.066944,0.229281,0.923398
0.419523,0.017472,0.203362,0.005120,0.047808,0.105665,0.049984,0.060960,0.219777,0.918214
0.429955,0.017472,0.203170,0.004992,0.048320,0.098849,0.052704,0.060225,0.215202,0.924135
0.415779,0.017921,0.203553,0.005088,0.048032,0.107809,0.050561,0.063456,0.225538,0.922151
0.415331,0.017792,0.203393,0.005024,0.048161,0.106305,0.051360,0.064704,0.225665,0.920582
0.415043,0.017792,0.222850,0.005440,0.048480,0.103585,0.054784,0.063233,0.225090,0.940487
0.415587,0.017728,0.203297,0.005024,0.048224,0.107168,0.052801,0.066464,0.229409,0.924454
0.414531,0.018112,0.202817,0.004865,0.049536,0.106785,0.053216,0.063905,0.227554,0.922759
0.415107,0.017888,0.203522,0.005056,0.047872,0.105601,0.050464,0.060481,0.219650,0.914055
0.414883,0.017440,0.203745,0.004992,0.048448,0.110048,0.053121,0.062368,0.228642,0.923366
0.415523,0.017472,0.202945,0.005056,0.048385,0.129025,0.056448,0.064033,0.252482,0.946663
0.417475,0.017856,0.203682,0.005088,0.047872,0.102369,0.049504,0.062241,0.217186,0.914919
0.414979,0.017889,0.224385,0.005184,0.047489,0.096992,0.062305,0.062720,0.224993,0.940359
0.415139,0.017920,0.203330,0.005024,0.048768,0.110433,0.053952,0.064129,0.232066,0.928167
0.416579,0.017569,0.204481,0.005056,0.048640,0.109601,0.057409,0.063072,0.233890,0.931623
0.417731,0.017792,0.204610,0.005056,0.048064,0.109185,0.053056,0.063009,0.228770,0.927591
0.415331,0.017569,0.203585,0.005280,0.048768,0.099297,0.052096,0.068097,0.222722,0.918343
0.415939,0.017760,0.203073,0.005024,0.047713,0.128289,0.056608,0.062272,0.250497,0.945510
0.416451,0.017664,0.204098,0.005024,0.049184,0.107201,0.053440,0.062689,0.226658,0.924359
0.437219,0.017504,0.202913,0.005024,0.048193,0.118432,0.063777,0.062048,0.247745,0.963814
0.415939,0.018016,0.203714,0.004992,0.048128,0.107041,0.050784,0.062433,0.223778,0.920103
0.415107,0.017409,0.203905,0.005056,0.049216,0.105153,0.052545,0.064896,0.225890,0.921767
0.415395,0.017856,0.203137,0.005024,0.047809,0.138273,0.079904,0.070881,0.292930,0.987591
0.416419,0.017952,0.203393,0.005056,0.047489,0.140289,0.055520,0.063680,0.263009,0.958982
0.415491,0.017696,0.203714,0.004960,0.047392,0.102945,0.054272,0.061761,0.222530,0.917031
0.415939,0.017536,0.203137,0.005120,0.048961,0.105632,0.053313,0.062784,0.224865,0.920646
0.434083,0.017888,0.202978,0.005024,0.048064,0.106241,0.053664,0.065633,0.228994,0.942087
0.415843,0.017665,0.203265,0.004960,0.048096,0.105377,0.052769,0.063200,0.224770,0.920167
0.415651,0.017568,0.203937,0.005056,0.048065,0.108288,0.053473,0.062624,0.227553,0.922918
0.415043,0.017856,0.224130,0.005312,0.048192,0.107489,0.065856,0.066465,0.243010,0.959431
0.417379,0.017568,0.203457,0.005248,0.049313,0.106432,0.053345,0.063488,0.226401,0.924582
0.415651,0.017504,0.202818,0.005248,0.049248,0.098241,0.053216,0.061344,0.216321,0.912102
0.416131,0.017440,0.203330,0.005056,0.047904,0.108065,0.063168,0.063681,0.238626,0.933895
0.415235,0.017632,0.203393,0.005056,0.047969,0.105312,0.050337,0.060960,0.220033,0.914726
0.417475,0.017920,0.204546,0.005312,0.048192,0.108641,0.054656,0.065121,0.232130,0.931751
0.415299,0.017729,0.203905,0.005248,0.048192,0.105601,0.053249,0.062592,0.224898,0.920935
