Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-5],OUT[5],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507108,0.017888,0.205825,0.004864,0.047297,0.092896,0.029313,0.055968,0.181441,0.014240,0.000640,0.001504,0.002496,0.000608,0.991943
0.418179,0.017312,0.219713,0.005408,0.047840,0.114497,0.033632,0.062720,0.214177,0.014721,0.000704,0.001472,0.001408,0.000320,0.948999
0.416291,0.017344,0.202946,0.005056,0.047872,0.109217,0.034336,0.057313,0.204002,0.014592,0.000800,0.001408,0.001248,0.000352,0.919143
0.415811,0.017536,0.202785,0.005056,0.048865,0.104065,0.030816,0.059168,0.197089,0.014848,0.000672,0.001408,0.001216,0.000352,0.912966
0.416611,0.017248,0.202722,0.004800,0.049984,0.114753,0.038848,0.063041,0.220098,0.015488,0.000704,0.001824,0.001120,0.000384,0.939335
0.415619,0.017248,0.202626,0.005024,0.049024,0.112641,0.029888,0.056288,0.202113,0.015649,0.000704,0.001856,0.001184,0.000384,0.919207
0.415907,0.017217,0.203041,0.004960,0.048128,0.104225,0.034112,0.063297,0.204930,0.016192,0.000480,0.001760,0.001344,0.000352,0.921639
0.420035,0.017248,0.202913,0.005024,0.048129,0.107777,0.033856,0.060480,0.205473,0.014784,0.000480,0.001408,0.001024,0.000320,0.923974
0.441827,0.017280,0.202850,0.004896,0.047584,0.107681,0.036224,0.059073,0.206306,0.014944,0.000480,0.001504,0.000992,0.000352,0.946695
0.415811,0.017312,0.202497,0.005088,0.047489,0.108544,0.031009,0.057408,0.200001,0.014752,0.000768,0.001408,0.001088,0.000288,0.913510
0.420291,0.017280,0.202626,0.004864,0.048032,0.111041,0.033248,0.060385,0.207714,0.014464,0.000544,0.001664,0.001024,0.000352,0.926023
0.420579,0.017249,0.203201,0.005024,0.047648,0.123777,0.031361,0.063456,0.221826,0.014912,0.000512,0.001472,0.000992,0.000384,0.940679
0.415459,0.017248,0.202657,0.004801,0.046880,0.107073,0.032992,0.058272,0.201121,0.014336,0.000512,0.001376,0.000992,0.000288,0.912742
0.419779,0.017280,0.202658,0.004832,0.047488,0.108769,0.035040,0.057025,0.204066,0.014464,0.000448,0.001472,0.001120,0.000256,0.921191
0.415395,0.017249,0.202561,0.005312,0.048608,0.114177,0.033824,0.060672,0.212130,0.014944,0.000576,0.001408,0.001152,0.000352,0.927655
0.437507,0.017344,0.202882,0.004768,0.047616,0.099425,0.031072,0.055424,0.189249,0.014561,0.000544,0.001504,0.001088,0.000384,0.924679
0.415107,0.017344,0.202594,0.005024,0.047840,0.109249,0.032960,0.058177,0.203394,0.014240,0.000512,0.001472,0.001024,0.000384,0.915687
0.420163,0.017216,0.203361,0.005088,0.047105,0.106304,0.033025,0.056672,0.199041,0.014304,0.000512,0.001440,0.001120,0.000416,0.916486
0.419715,0.017344,0.203266,0.005120,0.063968,0.108833,0.032416,0.061057,0.205186,0.014112,0.000512,0.001440,0.000960,0.000384,0.939335
0.414915,0.017217,0.202785,0.005056,0.047552,0.106657,0.032992,0.057729,0.200226,0.014240,0.000480,0.001408,0.000992,0.000352,0.912039
0.415395,0.017504,0.202337,0.004864,0.046945,0.108224,0.032481,0.059584,0.203297,0.014080,0.000544,0.001504,0.000992,0.000320,0.915078
0.415363,0.017248,0.202946,0.004864,0.047584,0.102273,0.029216,0.057952,0.192481,0.014529,0.000544,0.001440,0.000960,0.000384,0.904967
0.433347,0.017281,0.203137,0.005024,0.047584,0.114401,0.040192,0.058817,0.216578,0.014368,0.000480,0.001376,0.001024,0.000352,0.947719
0.416771,0.017504,0.202337,0.005024,0.046977,0.105633,0.033728,0.057920,0.200449,0.014048,0.000512,0.001504,0.000992,0.000320,0.913286
0.419971,0.017280,0.202722,0.005184,0.047808,0.116001,0.032576,0.057505,0.209538,0.014528,0.000448,0.001536,0.001184,0.000384,0.927719
0.419811,0.017280,0.219585,0.005184,0.048001,0.110432,0.029985,0.055264,0.198657,0.014464,0.000544,0.001408,0.001056,0.000384,0.933958
0.420227,0.017472,0.203138,0.004896,0.047552,0.104801,0.032640,0.057664,0.198305,0.014816,0.000480,0.001536,0.001088,0.000416,0.916614
0.414851,0.017472,0.202562,0.004800,0.047168,0.106945,0.031264,0.057569,0.198850,0.014656,0.000544,0.001472,0.001056,0.000352,0.910567
0.419427,0.017248,0.202977,0.005056,0.047200,0.109569,0.033633,0.060608,0.206722,0.014592,0.000512,0.001440,0.000992,0.000384,0.923174
0.415011,0.017248,0.203457,0.005024,0.047360,0.129153,0.035552,0.056992,0.224481,0.014369,0.000544,0.001504,0.000992,0.000320,0.937031
0.415171,0.017377,0.202945,0.005024,0.047104,0.104865,0.033344,0.060385,0.201346,0.014368,0.000480,0.001504,0.001056,0.000352,0.913223
0.415043,0.017248,0.202754,0.005056,0.047040,0.110721,0.033344,0.061856,0.208769,0.014464,0.000512,0.001377,0.000992,0.000352,0.920295
0.434051,0.017280,0.203586,0.005024,0.047328,0.111329,0.032416,0.058689,0.205346,0.014368,0.000448,0.001504,0.001056,0.000352,0.937479
0.416451,0.017408,0.202913,0.005056,0.047489,0.107168,0.033280,0.060416,0.203681,0.014432,0.000448,0.001408,0.000960,0.000384,0.917318
0.416227,0.017312,0.202530,0.005056,0.047072,0.110593,0.033728,0.057921,0.205314,0.014656,0.000512,0.001504,0.000896,0.000352,0.918503
0.415650,0.017249,0.202433,0.005024,0.049248,0.110721,0.032577,0.077888,0.224642,0.014528,0.000480,0.001440,0.000960,0.000352,0.938694
0.416099,0.017280,0.201890,0.004832,0.048032,0.106977,0.033344,0.057856,0.201121,0.014144,0.000480,0.001408,0.000960,0.000288,0.912742
0.415331,0.017376,0.202690,0.004864,0.047424,0.108001,0.032896,0.059649,0.203426,0.014016,0.000448,0.001504,0.000896,0.000384,0.915111
0.415331,0.017377,0.202561,0.004832,0.046848,0.131745,0.035137,0.058048,0.227938,0.014080,0.000512,0.001472,0.000992,0.000256,0.939111
0.429347,0.017408,0.202690,0.004800,0.046848,0.102785,0.030240,0.055136,0.191329,0.014080,0.000448,0.001536,0.001024,0.000352,0.916902
0.415043,0.017408,0.202274,0.004928,0.046848,0.105857,0.032992,0.058465,0.200098,0.014304,0.000480,0.001504,0.001024,0.000352,0.910695
0.415139,0.017376,0.202978,0.005024,0.046944,0.102177,0.032992,0.056193,0.193922,0.014112,0.000512,0.001440,0.000832,0.000320,0.905351
0.415235,0.017280,0.202465,0.005088,0.047009,0.106176,0.029249,0.078304,0.217089,0.014560,0.000448,0.001408,0.001056,0.000352,0.928966
0.420675,0.017344,0.202434,0.005024,0.047456,0.105153,0.028768,0.064609,0.202082,0.014400,0.000544,0.001504,0.000928,0.000320,0.919815
0.415203,0.017313,0.202369,0.004896,0.047424,0.109665,0.032544,0.057185,0.202754,0.014528,0.000544,0.001472,0.000896,0.000352,0.914471
0.415427,0.017152,0.202881,0.004864,0.048929,0.108320,0.032833,0.057984,0.202113,0.014272,0.000960,0.001472,0.000960,0.000352,0.916614
0.430339,0.017280,0.202370,0.004864,0.048032,0.107649,0.029984,0.055521,0.196290,0.013984,0.000768,0.001376,0.000960,0.000384,0.923463
0.419587,0.017249,0.202401,0.005024,0.048704,0.101121,0.029184,0.055201,0.188738,0.014336,0.000480,0.001472,0.000960,0.000352,0.905959
0.414723,0.017345,0.202081,0.004800,0.047872,0.108289,0.029952,0.056353,0.197602,0.014208,0.000512,0.001440,0.000832,0.000320,0.908551
0.415203,0.017440,0.202241,0.005088,0.047105,0.118497,0.029312,0.054848,0.205761,0.014368,0.000512,0.001408,0.000928,0.000352,0.917126
0.414627,0.017504,0.202882,0.004928,0.046848,0.104673,0.033344,0.057760,0.198945,0.014465,0.000512,0.001440,0.000896,0.000352,0.909927
0.415427,0.017952,0.202946,0.005088,0.046976,0.110657,0.030144,0.056225,0.200066,0.014368,0.000576,0.001408,0.000992,0.000320,0.912743
0.415779,0.017216,0.202753,0.004896,0.046945,0.108960,0.032705,0.057856,0.202241,0.014208,0.000928,0.001440,0.001152,0.000320,0.914502
0.429795,0.017376,0.202370,0.004832,0.047232,0.111073,0.032832,0.057184,0.204321,0.014657,0.000512,0.001536,0.001088,0.000320,0.931687
0.415171,0.017280,0.202658,0.004864,0.047872,0.108769,0.033568,0.060321,0.205762,0.014528,0.000512,0.001440,0.001120,0.000320,0.918567
0.420035,0.017472,0.203489,0.004864,0.047457,0.103616,0.032225,0.059392,0.198401,0.014304,0.000480,0.001472,0.001056,0.000320,0.916070
0.419651,0.017344,0.202818,0.004896,0.047072,0.119873,0.032064,0.056320,0.211329,0.014337,0.000480,0.001504,0.001280,0.000352,0.927847
0.416611,0.017216,0.202978,0.005024,0.047200,0.130625,0.034912,0.057921,0.226146,0.014144,0.000480,0.001440,0.000800,0.000320,0.938983
0.415459,0.017216,0.202625,0.004864,0.047233,0.133217,0.033984,0.059008,0.228833,0.014432,0.000544,0.001408,0.000960,0.000352,0.940454
0.419555,0.017568,0.202850,0.004864,0.047168,0.098593,0.030368,0.055712,0.187617,0.014368,0.000512,0.001472,0.001120,0.000320,0.904743
0.432547,0.017248,0.202337,0.004832,0.046913,0.105984,0.032289,0.058848,0.199841,0.014368,0.000512,0.001408,0.000928,0.000352,0.928870
0.416131,0.017376,0.202082,0.004864,0.047008,0.100097,0.029216,0.055360,0.188161,0.014560,0.000512,0.001408,0.001088,0.000352,0.902278
0.415267,0.017376,0.202498,0.004864,0.046912,0.106369,0.031296,0.056385,0.197058,0.014080,0.000512,0.001504,0.001216,0.000320,0.908871
0.415426,0.017472,0.224289,0.005216,0.046977,0.110464,0.033089,0.060352,0.207009,0.013984,0.000480,0.001504,0.001056,0.000352,0.943750
0.414947,0.017152,0.202594,0.004960,0.049120,0.099905,0.030848,0.056128,0.189857,0.014304,0.000544,0.001408,0.001089,0.000352,0.903079
0.419683,0.017216,0.202242,0.004928,0.048000,0.106241,0.032960,0.056897,0.199170,0.014208,0.000544,0.001440,0.000960,0.000352,0.915591
0.415107,0.017248,0.202305,0.004800,0.047712,0.106977,0.030336,0.055137,0.195938,0.014144,0.000512,0.001504,0.001024,0.000384,0.907622
0.415139,0.017376,0.202113,0.004896,0.047041,0.107361,0.034848,0.055904,0.201025,0.014176,0.000512,0.001376,0.001184,0.000384,0.912230
