Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-6],OUT[6],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506627,0.017632,0.205826,0.005024,0.047872,0.121441,0.048128,0.059457,0.232418,0.000992,0.001952,0.002976,0.000640,1.030151
0.418947,0.018016,0.203457,0.004864,0.047681,0.109952,0.048801,0.063456,0.226209,0.000768,0.002112,0.001728,0.000640,0.933350
0.416867,0.017600,0.214178,0.004960,0.047904,0.105345,0.046528,0.058241,0.213666,0.000608,0.001920,0.000992,0.000800,0.926183
0.416131,0.017376,0.202658,0.004896,0.049504,0.096897,0.048800,0.057697,0.207010,0.000608,0.005376,0.001152,0.000832,0.911655
0.416771,0.017249,0.202753,0.004864,0.048896,0.094529,0.052608,0.060449,0.210946,0.000704,0.001952,0.000864,0.000544,0.911399
0.415459,0.017216,0.203265,0.004992,0.048641,0.097760,0.058753,0.060928,0.220705,0.000832,0.001888,0.000864,0.000576,0.920454
0.441091,0.017216,0.202689,0.004864,0.047808,0.093665,0.052192,0.062400,0.211201,0.000640,0.001952,0.000928,0.000288,0.934694
0.416099,0.017312,0.202882,0.004928,0.047456,0.132929,0.058208,0.059425,0.253730,0.000832,0.001952,0.000864,0.000256,0.952423
0.415779,0.017409,0.202945,0.004800,0.047328,0.090049,0.042848,0.057345,0.193250,0.000640,0.001920,0.000896,0.000256,0.890919
0.415971,0.017153,0.217089,0.005120,0.047264,0.107009,0.045921,0.059808,0.215714,0.000640,0.001792,0.000832,0.000352,0.928263
0.416227,0.017376,0.202241,0.004832,0.047809,0.099328,0.047713,0.058272,0.208769,0.000800,0.005504,0.000896,0.000384,0.911654
0.416643,0.017536,0.203778,0.005056,0.047776,0.110497,0.045376,0.059553,0.219074,0.000704,0.001952,0.001216,0.000704,0.922439
0.416259,0.017280,0.203554,0.005056,0.047744,0.105121,0.056608,0.060673,0.225858,0.000768,0.001920,0.000832,0.000352,0.925959
0.415715,0.017376,0.202273,0.004768,0.047584,0.124577,0.066273,0.059200,0.253442,0.000864,0.002016,0.000768,0.000544,0.951174
0.415971,0.017184,0.202945,0.004801,0.047072,0.095297,0.048640,0.059008,0.206369,0.000768,0.001920,0.000768,0.000608,0.904326
0.420611,0.017504,0.202786,0.005024,0.047168,0.106017,0.044992,0.059169,0.213570,0.000640,0.001824,0.001024,0.000352,0.917607
0.420643,0.017216,0.220098,0.005152,0.047200,0.106113,0.045056,0.059329,0.213442,0.000608,0.001952,0.000992,0.000576,0.934535
0.420163,0.017408,0.202113,0.004768,0.046945,0.106016,0.047169,0.059008,0.215297,0.000640,0.001824,0.000992,0.000608,0.917702
