Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-9],OUT[9],TEE[5-9],Layer[10],classifier
0.516612,0.017568,0.205314,0.005120,0.047328,0.113377,0.053760,0.058529,0.230626,0.001088,1.031080
0.418147,0.017792,0.203778,0.005120,0.048128,0.108289,0.064609,0.061792,0.238850,0.001120,0.939143
0.417155,0.017600,0.203137,0.004992,0.048161,0.135137,0.071552,0.062049,0.272386,0.000960,0.969479
0.428804,0.017792,0.203425,0.005088,0.048544,0.105089,0.051905,0.061024,0.221026,0.000992,0.931047
0.416483,0.017664,0.203969,0.005056,0.050465,0.132865,0.055840,0.066433,0.258178,0.000800,0.957479
0.420995,0.017536,0.203074,0.005024,0.047520,0.108545,0.054017,0.065184,0.231650,0.001088,0.933447
0.420931,0.017600,0.217217,0.005280,0.047393,0.103681,0.054368,0.064800,0.226209,0.000992,0.941862
0.420995,0.017600,0.202978,0.005152,0.047616,0.107105,0.065440,0.066593,0.242658,0.000672,0.943815
0.415363,0.017568,0.203521,0.005120,0.047457,0.097088,0.050497,0.071424,0.222529,0.000800,0.918246
0.416227,0.017440,0.204002,0.005312,0.047136,0.105441,0.052928,0.065153,0.227170,0.000544,0.923687
0.420803,0.017632,0.203745,0.005376,0.047585,0.105824,0.054593,0.064768,0.228609,0.000576,0.930086
0.416291,0.017696,0.202882,0.005056,0.047424,0.110625,0.054144,0.062369,0.231074,0.000704,0.928231
0.415651,0.017664,0.204193,0.005024,0.047425,0.096128,0.052353,0.068928,0.220801,0.000672,0.917318
0.443715,0.017600,0.202946,0.004832,0.047456,0.100545,0.051616,0.058145,0.213698,0.000576,0.936327
0.420099,0.017824,0.202466,0.005024,0.048384,0.105441,0.053056,0.060705,0.222434,0.000672,0.922247
0.420323,0.017600,0.202209,0.005088,0.047649,0.102848,0.050561,0.059296,0.215649,0.000800,0.914982
0.420163,0.017728,0.202433,0.005088,0.047329,0.102689,0.053088,0.064096,0.223105,0.000992,0.922214
0.415011,0.017440,0.202434,0.005024,0.046976,0.106305,0.050208,0.062273,0.222082,0.000864,0.915591
0.415139,0.017665,0.202433,0.005184,0.047136,0.101409,0.052833,0.062304,0.219714,0.000672,0.913671
0.416291,0.017504,0.202081,0.005056,0.046913,0.103297,0.052640,0.061536,0.220449,0.000544,0.914246
0.436291,0.017760,0.205026,0.005120,0.046848,0.103745,0.052512,0.060737,0.220578,0.000896,0.938119
0.419747,0.017664,0.203329,0.005024,0.047201,0.106400,0.053633,0.060000,0.223585,0.000768,0.923398
0.420035,0.017632,0.202850,0.005024,0.047168,0.098049,0.051136,0.063777,0.216258,0.000672,0.915207
0.415395,0.017632,0.202562,0.004800,0.047040,0.103681,0.065632,0.069281,0.242370,0.000672,0.936263
0.420803,0.017440,0.203073,0.005056,0.047009,0.104896,0.052161,0.060896,0.220993,0.000544,0.920358
0.419939,0.017664,0.203074,0.005024,0.046944,0.102113,0.049600,0.059713,0.214818,0.000576,0.913639
0.415523,0.017440,0.202786,0.005088,0.047168,0.096769,0.049024,0.062625,0.211522,0.000768,0.905575
0.452132,0.017408,0.202785,0.005120,0.046945,0.129377,0.054080,0.059936,0.247009,0.000832,0.977863
0.415011,0.017408,0.202530,0.005056,0.046912,0.104737,0.056896,0.060833,0.225602,0.000896,0.918311
0.415011,0.017153,0.206017,0.005120,0.046880,0.101953,0.049696,0.058689,0.213762,0.000640,0.909927
0.416227,0.017888,0.202145,0.005056,0.048033,0.122432,0.053569,0.065312,0.245409,0.000736,0.941574
0.416131,0.017920,0.202274,0.005088,0.047616,0.109889,0.052800,0.064609,0.230978,0.000960,0.927175
0.415331,0.017856,0.202369,0.005152,0.047681,0.100768,0.052833,0.065856,0.222849,0.000704,0.917254
0.419907,0.017600,0.202689,0.004864,0.047521,0.107745,0.050464,0.064000,0.225633,0.000736,0.924038
0.436675,0.017312,0.203842,0.005024,0.047136,0.102113,0.055360,0.061441,0.222018,0.000544,0.937927
0.414883,0.017632,0.203009,0.005120,0.047745,0.103264,0.052929,0.070880,0.230721,0.000512,0.925094
0.419811,0.017632,0.202242,0.005056,0.047360,0.105601,0.049536,0.061569,0.220002,0.000576,0.918055
0.419843,0.017568,0.219362,0.004864,0.047296,0.124673,0.051841,0.062944,0.244098,0.000672,0.959463
0.424835,0.018209,0.205665,0.005120,0.047808,0.167330,0.062880,0.069377,0.305315,0.001344,1.019784
0.417155,0.017760,0.203393,0.005056,0.047777,0.112449,0.054400,0.069184,0.240353,0.000896,0.939078
0.417475,0.017761,0.203233,0.005088,0.047968,0.113153,0.075873,0.077344,0.270562,0.000704,0.969511
0.417411,0.017504,0.204066,0.005056,0.047968,0.109665,0.054561,0.065088,0.233186,0.000736,0.932423
0.420227,0.017664,0.203329,0.005120,0.048321,0.105153,0.053632,0.062144,0.224705,0.000608,0.925830
0.420419,0.017632,0.203458,0.005024,0.048448,0.107649,0.053952,0.059105,0.224066,0.000672,0.925959
0.434723,0.017824,0.203105,0.005184,0.048129,0.108352,0.053025,0.060896,0.226177,0.000832,0.941734
0.418275,0.017953,0.206273,0.005088,0.048832,0.147426,0.056288,0.068736,0.276770,0.001088,0.982343
0.421092,0.017792,0.203073,0.005056,0.048096,0.108481,0.056417,0.061408,0.229890,0.000736,0.932071
0.436195,0.021632,0.204034,0.004896,0.048448,0.105249,0.054208,0.061857,0.224866,0.000576,0.946759
0.421251,0.017313,0.203201,0.005024,0.047680,0.108033,0.052321,0.061248,0.225314,0.000576,0.926471
0.416803,0.017664,0.202433,0.005056,0.047873,0.104161,0.053920,0.067616,0.229409,0.000736,0.926662
0.415043,0.017824,0.202850,0.005056,0.048192,0.113153,0.053728,0.083873,0.255362,0.000736,0.951911
0.416963,0.017728,0.202945,0.005088,0.047969,0.105089,0.051648,0.060608,0.221025,0.000736,0.918694
0.421603,0.017568,0.203010,0.004992,0.048288,0.098721,0.054944,0.061985,0.219234,0.000800,0.921255
0.420003,0.017440,0.202785,0.005056,0.047584,0.116449,0.052449,0.063008,0.235938,0.000544,0.936231
0.438019,0.017600,0.203170,0.005056,0.047456,0.104385,0.051744,0.058401,0.218210,0.000544,0.936071
0.419907,0.017600,0.203042,0.005056,0.047552,0.106049,0.053536,0.062209,0.225538,0.000800,0.925799
0.420099,0.017600,0.203073,0.005184,0.048257,0.109088,0.052353,0.060704,0.225921,0.000736,0.927046
0.415267,0.017472,0.202850,0.005120,0.047616,0.125313,0.051808,0.060609,0.242274,0.000768,0.937159
0.416355,0.017665,0.203265,0.005120,0.047744,0.102241,0.053377,0.062720,0.221474,0.000768,0.917799
0.416515,0.017536,0.204737,0.005088,0.047425,0.106624,0.052160,0.061280,0.223713,0.000736,0.921158
0.420771,0.018016,0.203042,0.005088,0.047392,0.108001,0.053568,0.062017,0.227330,0.000736,0.928135
0.430659,0.017856,0.202561,0.005184,0.047809,0.108704,0.053185,0.061920,0.227265,0.000608,0.937542
0.420355,0.017568,0.202914,0.005024,0.048960,0.107105,0.052384,0.061569,0.224642,0.000896,0.926183
0.420195,0.017697,0.203393,0.005088,0.047904,0.107265,0.052097,0.061440,0.223906,0.000512,0.923815
0.419907,0.017824,0.224033,0.005120,0.047841,0.134561,0.052192,0.061057,0.252514,0.000608,0.973767
0.416003,0.017504,0.202050,0.005088,0.048832,0.102145,0.053056,0.061569,0.220450,0.000512,0.916295
0.419747,0.017792,0.202529,0.005056,0.047712,0.103521,0.052609,0.063232,0.223458,0.000608,0.922950
0.422275,0.017920,0.205314,0.005056,0.048608,0.126817,0.054208,0.063937,0.249250,0.001216,0.958535
0.417411,0.017696,0.204929,0.005120,0.048353,0.125665,0.058400,0.061824,0.251169,0.000736,0.951110
0.420419,0.017824,0.202946,0.005152,0.048128,0.105857,0.053440,0.060833,0.223682,0.000800,0.925831
0.420291,0.017760,0.203138,0.005120,0.047648,0.115201,0.053312,0.063105,0.235778,0.000768,0.936551
0.440163,0.017664,0.203105,0.005024,0.048129,0.108864,0.052513,0.060832,0.225985,0.000896,0.947526
0.421827,0.017568,0.202818,0.005024,0.048032,0.109217,0.052416,0.060609,0.225762,0.000672,0.927879
0.421251,0.017632,0.202913,0.005056,0.048097,0.108288,0.056577,0.061696,0.230305,0.000672,0.932230
0.415939,0.017600,0.203586,0.005152,0.047712,0.130241,0.054592,0.061249,0.249570,0.000672,0.946439
0.416195,0.017760,0.203201,0.005056,0.047361,0.109120,0.053601,0.061536,0.228257,0.000928,0.925062
0.420547,0.017632,0.203138,0.005088,0.047840,0.111201,0.052160,0.061729,0.228770,0.000864,0.929895
0.416643,0.017728,0.202945,0.005024,0.047841,0.108449,0.053376,0.065120,0.230529,0.000832,0.927814
0.430563,0.017760,0.203650,0.005120,0.047968,0.111425,0.052256,0.061633,0.229570,0.000832,0.941479
0.415651,0.017568,0.203137,0.005184,0.047841,0.111072,0.053825,0.062976,0.231425,0.000704,0.927430
0.420771,0.017344,0.203298,0.005120,0.047360,0.112033,0.053984,0.061569,0.231266,0.000608,0.931911
0.417123,0.017600,0.219009,0.005056,0.048449,0.109025,0.054112,0.059872,0.226529,0.000960,0.940742
0.420035,0.017537,0.203585,0.004992,0.047680,0.107297,0.053281,0.062848,0.227170,0.000736,0.928487
0.416035,0.017760,0.202945,0.005184,0.048129,0.107297,0.052928,0.062144,0.226433,0.000608,0.923238
0.420579,0.017920,0.202850,0.005344,0.047904,0.104161,0.052832,0.061441,0.221826,0.000672,0.923143
0.416099,0.017408,0.203617,0.005120,0.047841,0.106784,0.049921,0.058976,0.219361,0.000768,0.916006
0.415459,0.017568,0.202305,0.005216,0.047233,0.105153,0.053472,0.065312,0.227169,0.000672,0.921254
0.420515,0.017472,0.202370,0.005152,0.048160,0.101729,0.050464,0.059745,0.215554,0.000576,0.914631
0.436195,0.017633,0.202881,0.005024,0.047904,0.098465,0.051361,0.059456,0.212738,0.000832,0.929191
0.416003,0.017824,0.203105,0.005056,0.047841,0.108160,0.053248,0.063584,0.228385,0.000992,0.925254
0.419907,0.017504,0.204482,0.005056,0.047392,0.109793,0.053216,0.064385,0.231202,0.000864,0.932583
0.420995,0.017728,0.203969,0.005088,0.047873,0.108097,0.069184,0.063680,0.244769,0.000800,0.947047
0.415299,0.017729,0.203233,0.005056,0.047616,0.110593,0.065953,0.062336,0.242338,0.000768,0.937863
0.419875,0.017376,0.202850,0.005152,0.048224,0.102497,0.050208,0.068545,0.225698,0.000864,0.925863
0.419907,0.017281,0.202561,0.005056,0.047808,0.096129,0.052064,0.060641,0.212674,0.000576,0.912167
0.436867,0.017344,0.202689,0.005088,0.047553,0.133505,0.054976,0.061537,0.254306,0.000640,0.970247
0.416099,0.017313,0.202849,0.004864,0.047104,0.107457,0.053217,0.062432,0.226306,0.000672,0.920871
0.420451,0.017280,0.203809,0.005248,0.046945,0.102784,0.051809,0.064576,0.222401,0.000640,0.922470
0.419619,0.017312,0.220802,0.005152,0.047168,0.142369,0.053313,0.060480,0.261058,0.000672,0.978375
0.416483,0.017696,0.203265,0.005088,0.047585,0.109953,0.053856,0.062656,0.230209,0.000704,0.927270
