Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-10],OUT[10],TEE[6-10],classifier
0.511556,0.017760,0.206401,0.004832,0.048512,0.000832,0.081120,0.049537,0.058208,0.192161,0.989127
0.418851,0.017472,0.204130,0.005312,0.048064,0.000832,0.109345,0.052608,0.063521,0.229058,0.929895
0.435363,0.017408,0.203745,0.004864,0.048929,0.000576,0.139745,0.052736,0.062977,0.258914,0.976615
0.417315,0.017537,0.203745,0.005344,0.048480,0.000576,0.104929,0.053921,0.070624,0.232834,0.932231
0.417059,0.017344,0.203137,0.004864,0.048513,0.000576,0.107585,0.064192,0.068097,0.243042,0.939975
0.416131,0.037857,0.203041,0.005056,0.048576,0.000864,0.106977,0.063393,0.063616,0.237250,0.954695
0.415939,0.017376,0.202753,0.004833,0.048480,0.000544,0.112257,0.062368,0.062113,0.239810,0.935303
0.416387,0.017537,0.203137,0.004768,0.047680,0.000832,0.113729,0.051937,0.066688,0.235490,0.931271
0.416867,0.017504,0.202465,0.004992,0.048129,0.000864,0.110785,0.049504,0.080321,0.244514,0.940743
0.417827,0.017408,0.203330,0.004864,0.048032,0.000864,0.107841,0.049664,0.061025,0.221858,0.919815
0.416995,0.017664,0.202593,0.004736,0.047553,0.000800,0.102592,0.062529,0.062656,0.230977,0.926854
0.417379,0.017632,0.203874,0.004864,0.048160,0.000608,0.108097,0.064832,0.065697,0.241890,0.940007
0.437123,0.017408,0.203745,0.005312,0.048224,0.000800,0.110977,0.055456,0.063041,0.233058,0.951303
0.416963,0.017344,0.203394,0.004800,0.047456,0.000800,0.108257,0.051808,0.062241,0.225666,0.921639
0.416451,0.017344,0.202497,0.004864,0.046945,0.000544,0.109952,0.052225,0.060864,0.226177,0.920262
0.416739,0.017280,0.203330,0.004832,0.065344,0.000800,0.108737,0.062624,0.062465,0.237026,0.951527
0.416259,0.017441,0.203265,0.004896,0.047072,0.000768,0.106529,0.055585,0.063648,0.228898,0.923911
0.420035,0.018336,0.203522,0.005056,0.048480,0.001120,0.183522,0.068416,0.070753,0.327267,1.034024
0.418915,0.017824,0.204546,0.005280,0.048544,0.000864,0.116097,0.052352,0.089665,0.261410,0.964167
0.416899,0.017472,0.204193,0.004800,0.048353,0.000576,0.111457,0.052256,0.060544,0.227361,0.925062
0.415811,0.017536,0.202690,0.005184,0.047840,0.000576,0.112609,0.052352,0.062529,0.230594,0.925127
0.416098,0.017600,0.203745,0.004896,0.049056,0.000832,0.114177,0.054113,0.063328,0.234946,0.932998
0.427235,0.017472,0.203105,0.004801,0.048480,0.000864,0.132321,0.064960,0.059713,0.260162,0.967143
0.415427,0.017376,0.204226,0.004800,0.049312,0.000800,0.113025,0.063233,0.060736,0.240354,0.937319
0.418403,0.017760,0.204129,0.004800,0.048065,0.000768,0.124289,0.051552,0.065217,0.244322,0.947399
0.416323,0.017600,0.203361,0.004896,0.069889,0.000832,0.103136,0.051425,0.061280,0.218945,0.937670
0.415267,0.017280,0.203906,0.004800,0.047680,0.000800,0.109153,0.049088,0.061344,0.222753,0.917991
0.416323,0.017248,0.202978,0.004800,0.047424,0.000800,0.101409,0.052288,0.063265,0.219810,0.914855
0.415491,0.017344,0.203777,0.004832,0.047264,0.000928,0.130785,0.052385,0.061312,0.247394,0.942887
0.435331,0.017920,0.205442,0.004800,0.048608,0.000800,0.114081,0.053600,0.061473,0.232770,0.954983
0.416771,0.017825,0.207041,0.005280,0.047872,0.000832,0.103809,0.052801,0.062912,0.222658,0.923591
0.417091,0.017824,0.204353,0.004993,0.048704,0.000800,0.110049,0.063648,0.063489,0.240290,0.939943
0.415555,0.017505,0.221345,0.005408,0.048225,0.000768,0.106016,0.062401,0.060832,0.232417,0.946407
0.423331,0.018144,0.208450,0.005024,0.048736,0.001056,0.139937,0.057281,0.063744,0.264706,0.976551
0.420515,0.017920,0.205826,0.005280,0.048608,0.001024,0.123585,0.065569,0.063552,0.256034,0.962567
0.417635,0.017504,0.204673,0.005281,0.047616,0.000864,0.110369,0.082304,0.068609,0.264930,0.964103
0.417058,0.017504,0.204257,0.004864,0.049472,0.000833,0.111264,0.052385,0.062016,0.228961,0.928102
0.416419,0.017440,0.204545,0.004769,0.048896,0.000800,0.107265,0.051584,0.062080,0.223809,0.921990
0.416227,0.017600,0.204450,0.005024,0.048512,0.000800,0.110241,0.064129,0.063168,0.240642,0.938759
0.444451,0.017760,0.204130,0.004864,0.047552,0.000832,0.108449,0.063904,0.060833,0.236514,0.961607
0.416227,0.017472,0.203234,0.004864,0.047648,0.000832,0.108257,0.051616,0.061281,0.224162,0.919719
0.415971,0.017568,0.204834,0.004832,0.048192,0.000864,0.100897,0.047840,0.059457,0.211586,0.909671
0.416099,0.017504,0.219906,0.005120,0.047808,0.000832,0.108833,0.051169,0.060384,0.223554,0.936775
0.415747,0.017696,0.203233,0.004832,0.047553,0.000832,0.107456,0.051361,0.061216,0.222977,0.918342
0.415619,0.017536,0.203394,0.004896,0.047424,0.000800,0.107233,0.062400,0.062625,0.235522,0.930439
0.416099,0.017728,0.204322,0.004800,0.046848,0.000768,0.107233,0.055136,0.062049,0.227426,0.923175
0.415491,0.017696,0.203969,0.004832,0.047169,0.000768,0.107744,0.050945,0.062496,0.224481,0.919910
0.415299,0.017728,0.203809,0.005249,0.046848,0.000800,0.144769,0.051392,0.061889,0.261122,0.956807
0.415267,0.017408,0.203266,0.004864,0.047104,0.000544,0.134593,0.065985,0.062080,0.265506,0.959239
0.415811,0.017408,0.222818,0.005312,0.046752,0.000800,0.127841,0.052992,0.060705,0.244578,0.959335
0.416354,0.017696,0.204449,0.005280,0.047136,0.000832,0.110369,0.053441,0.066048,0.232994,0.930726
0.416003,0.017600,0.204066,0.004864,0.047616,0.000672,0.106689,0.050336,0.061697,0.222146,0.918439
0.415363,0.017600,0.204866,0.005280,0.047712,0.000576,0.104897,0.051616,0.060449,0.219938,0.916455
0.415203,0.017760,0.204577,0.004832,0.047264,0.000768,0.109088,0.052417,0.060032,0.224705,0.920294
0.414819,0.017856,0.203905,0.004864,0.046977,0.000800,0.130145,0.067360,0.061569,0.261922,0.956231
0.415395,0.017696,0.203010,0.004896,0.046880,0.000832,0.107681,0.051264,0.061345,0.223330,0.917063
0.426947,0.017792,0.203169,0.004832,0.047137,0.000768,0.115040,0.050593,0.059744,0.228481,0.934342
0.414883,0.017600,0.203650,0.004864,0.046848,0.000800,0.098145,0.049088,0.060288,0.210273,0.904006
0.415395,0.017568,0.203842,0.005248,0.047168,0.000832,0.109441,0.061696,0.069729,0.243906,0.939655
0.415907,0.017600,0.204929,0.004800,0.046977,0.000768,0.128321,0.070880,0.064193,0.267234,0.963975
0.416227,0.017985,0.204417,0.004800,0.047200,0.000864,0.100545,0.051553,0.060576,0.215970,0.913479
0.415811,0.017728,0.204001,0.005088,0.048289,0.000832,0.105792,0.051041,0.062624,0.222273,0.919110
0.416067,0.017600,0.203266,0.004768,0.049024,0.000864,0.105185,0.047168,0.059712,0.214945,0.911879
0.429859,0.017760,0.203650,0.004896,0.047136,0.000832,0.123329,0.059745,0.060896,0.247042,0.956615
0.415267,0.017344,0.204609,0.004992,0.047169,0.000832,0.099680,0.047585,0.059776,0.210273,0.905478
0.417091,0.017664,0.203457,0.004864,0.046881,0.000736,0.116353,0.060416,0.060385,0.240194,0.935911
0.415395,0.017376,0.204130,0.004768,0.047168,0.019328,0.107137,0.051136,0.059297,0.220738,0.934567
0.415779,0.017536,0.203489,0.005312,0.047073,0.000800,0.136288,0.063840,0.062272,0.265345,0.960646
0.414755,0.017344,0.203458,0.005216,0.046944,0.000768,0.125825,0.054432,0.063041,0.245986,0.939463
0.415331,0.017313,0.203681,0.004928,0.046880,0.000544,0.136257,0.050017,0.061632,0.250562,0.944135
0.429667,0.017664,0.203426,0.005312,0.047648,0.000832,0.106977,0.049120,0.060769,0.220514,0.931623
0.415363,0.017760,0.202722,0.004864,0.047552,0.000832,0.108353,0.052672,0.060385,0.224578,0.918887
0.415427,0.017280,0.203713,0.004864,0.047008,0.000961,0.104064,0.052033,0.059392,0.218625,0.913094
0.415011,0.017600,0.222113,0.005216,0.047137,0.000576,0.130913,0.052128,0.062561,0.248610,0.961831
0.414691,0.017408,0.203586,0.004896,0.046944,0.000832,0.106817,0.061984,0.065537,0.237474,0.930663
0.413891,0.017472,0.203585,0.004800,0.046880,0.000800,0.121568,0.051681,0.061312,0.237698,0.931046
0.416419,0.017408,0.203138,0.005312,0.047168,0.000864,0.100513,0.050496,0.061024,0.214913,0.910694
0.416931,0.017472,0.204450,0.004800,0.046848,0.000800,0.103329,0.049856,0.061217,0.217826,0.915079
0.415779,0.017312,0.203681,0.004864,0.046849,0.000832,0.108352,0.063489,0.062144,0.237249,0.931814
0.415331,0.017664,0.202753,0.004897,0.046848,0.000800,0.128801,0.052512,0.063073,0.247490,0.940615
0.416707,0.017792,0.218530,0.005216,0.047008,0.000864,0.111137,0.063681,0.063328,0.241346,0.953863
0.415363,0.017568,0.202946,0.005024,0.047744,0.000832,0.103841,0.051264,0.061856,0.219873,0.914918
0.414947,0.017344,0.203521,0.004768,0.047841,0.000896,0.106976,0.053633,0.062336,0.225825,0.920614
0.415683,0.017728,0.204129,0.005472,0.047521,0.000832,0.111105,0.060672,0.080705,0.255490,0.951911
0.415491,0.017760,0.204482,0.004864,0.046880,0.000832,0.101793,0.051168,0.061537,0.217346,0.912711
0.415778,0.017761,0.202881,0.004800,0.046784,0.000832,0.106945,0.062753,0.060736,0.233346,0.927270
0.416675,0.017792,0.203553,0.004800,0.046817,0.000832,0.103393,0.049920,0.061696,0.218145,0.913830
0.433507,0.017504,0.203554,0.005024,0.046784,0.000832,0.110977,0.050112,0.060321,0.224514,0.937255
0.415139,0.017601,0.203553,0.004832,0.046816,0.000832,0.103233,0.058529,0.063168,0.227906,0.921767
0.415971,0.017760,0.203201,0.004864,0.047041,0.000800,0.109217,0.051488,0.060640,0.224193,0.919046
0.417315,0.017632,0.205282,0.005504,0.046912,0.000640,0.102785,0.065792,0.065377,0.237634,0.936711
0.415235,0.017376,0.204193,0.004864,0.046849,0.000832,0.105632,0.051521,0.061472,0.221633,0.916390
0.416067,0.017568,0.203969,0.004832,0.047553,0.000832,0.112609,0.064448,0.062017,0.242338,0.939335
0.416515,0.017505,0.203457,0.004800,0.046976,0.000864,0.110497,0.062945,0.062752,0.239522,0.935239
0.432803,0.017728,0.203681,0.004833,0.047200,0.000832,0.113409,0.050528,0.061984,0.228993,0.941862
0.416771,0.018017,0.204481,0.004832,0.047648,0.000800,0.115105,0.054945,0.068992,0.242178,0.940743
0.415555,0.017568,0.203137,0.004896,0.047041,0.000832,0.129729,0.057152,0.068513,0.258498,0.952999
0.415395,0.017664,0.221954,0.004960,0.047072,0.000608,0.104769,0.050209,0.062784,0.220642,0.934343
0.415427,0.017344,0.204097,0.005280,0.046849,0.000832,0.131521,0.056128,0.061120,0.251873,0.946982
0.416131,0.017600,0.203074,0.004800,0.046912,0.000800,0.114977,0.051040,0.061761,0.230722,0.925607
