Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-6],OUT[6],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.504740,0.017920,0.222434,0.004992,0.047360,0.000800,0.095841,0.047168,0.058080,0.204897,0.000704,0.001889,0.009952,0.000608,1.024840
0.417955,0.017504,0.204098,0.005152,0.047392,0.000544,0.131297,0.050272,0.062817,0.247138,0.000704,0.001856,0.001472,0.000544,0.951783
0.417027,0.017440,0.203361,0.004800,0.047489,0.000512,0.139329,0.048544,0.059009,0.250754,0.000576,0.002048,0.001216,0.000544,0.953351
0.416355,0.017633,0.202817,0.004768,0.048992,0.000512,0.105889,0.066337,0.068384,0.244290,0.000544,0.002112,0.000992,0.000384,0.946695
0.416675,0.017632,0.202913,0.005025,0.049408,0.000576,0.111425,0.048832,0.062208,0.225601,0.000672,0.002240,0.000960,0.000352,0.929703
0.416290,0.017601,0.202593,0.004800,0.048160,0.000576,0.102209,0.045345,0.058144,0.209378,0.000576,0.002080,0.000992,0.000352,0.910822
0.415811,0.017632,0.202721,0.005184,0.048001,0.000512,0.108704,0.048385,0.062592,0.222785,0.000672,0.001984,0.001024,0.000352,0.923622
0.432067,0.017664,0.203042,0.004992,0.047712,0.000544,0.104833,0.047360,0.059393,0.214626,0.000608,0.001920,0.001088,0.000352,0.931399
0.415779,0.017633,0.203233,0.005088,0.047136,0.000512,0.107265,0.048000,0.062273,0.220802,0.000608,0.001952,0.001024,0.000320,0.920935
0.416163,0.017440,0.202657,0.004800,0.047201,0.000512,0.104256,0.048513,0.062752,0.218625,0.000672,0.001984,0.001056,0.000352,0.918214
0.416035,0.017696,0.202562,0.004832,0.046944,0.000480,0.126849,0.049088,0.059681,0.238498,0.000608,0.002080,0.001056,0.000384,0.937831
0.416002,0.017440,0.203553,0.004832,0.047520,0.000512,0.105313,0.043873,0.057440,0.210498,0.000640,0.002048,0.000960,0.000320,0.911462
0.416163,0.017664,0.203137,0.004768,0.047393,0.000512,0.105025,0.047456,0.061120,0.217217,0.000640,0.001984,0.001024,0.000384,0.918630
0.416195,0.017632,0.203298,0.004864,0.048128,0.000512,0.109505,0.045856,0.069025,0.227810,0.000576,0.002080,0.001344,0.000384,0.930375
0.434147,0.017632,0.202753,0.005056,0.048353,0.000576,0.114721,0.049088,0.059712,0.227137,0.000576,0.002016,0.001152,0.000384,0.947622
0.417987,0.018112,0.203970,0.005152,0.047872,0.000544,0.107809,0.048160,0.060193,0.219618,0.000608,0.002080,0.001152,0.000352,0.924487
0.416739,0.017409,0.202753,0.004864,0.048224,0.000544,0.105409,0.047137,0.060864,0.217122,0.000672,0.002176,0.000992,0.000384,0.919015
0.416419,0.017632,0.217057,0.005120,0.047489,0.000544,0.106049,0.051136,0.059520,0.220001,0.000544,0.002016,0.001120,0.000352,0.935782
0.416675,0.017344,0.202786,0.004864,0.047072,0.000512,0.110113,0.046688,0.063553,0.223266,0.000576,0.001888,0.001024,0.000352,0.923303
0.416227,0.017408,0.202626,0.005120,0.047040,0.000544,0.104033,0.048608,0.059457,0.215234,0.000576,0.001952,0.001120,0.000352,0.915015
0.415843,0.017408,0.202657,0.004992,0.047137,0.000544,0.140033,0.046816,0.060032,0.249953,0.000480,0.001920,0.001120,0.000416,0.949318
0.415875,0.017600,0.202402,0.004992,0.047200,0.000512,0.106017,0.047104,0.059969,0.216514,0.000704,0.001856,0.000992,0.000416,0.916679
0.416803,0.017792,0.203042,0.005024,0.046976,0.000544,0.111457,0.047776,0.064385,0.226722,0.000704,0.001856,0.001152,0.000352,0.927815
0.415779,0.017632,0.202433,0.005056,0.046977,0.000544,0.108032,0.047745,0.062816,0.221697,0.000576,0.001952,0.001088,0.000384,0.921638
0.416067,0.018240,0.221474,0.005184,0.048256,0.000832,0.112641,0.047680,0.062945,0.226722,0.000672,0.001984,0.001152,0.000384,0.949095
0.416674,0.017408,0.202401,0.005056,0.047328,0.000576,0.110593,0.056321,0.061536,0.231522,0.000608,0.001952,0.001088,0.000352,0.931846
0.416707,0.017632,0.202049,0.004992,0.047489,0.000544,0.102465,0.048608,0.060224,0.214305,0.000576,0.001888,0.000992,0.000544,0.914758
0.416163,0.017440,0.202178,0.005056,0.047136,0.000512,0.122753,0.046720,0.062369,0.234626,0.000544,0.001888,0.001056,0.000352,0.933575
0.416131,0.017504,0.202433,0.005024,0.047009,0.000512,0.128832,0.048929,0.060224,0.240929,0.000576,0.001856,0.000928,0.000352,0.939654
0.417251,0.017664,0.202369,0.004993,0.047360,0.000608,0.109185,0.047808,0.063168,0.223009,0.000512,0.001888,0.000992,0.000384,0.923783
0.416643,0.017825,0.202721,0.005120,0.047392,0.000672,0.110657,0.049249,0.063520,0.226946,0.000704,0.001856,0.001152,0.000416,0.929287
0.429219,0.017440,0.202530,0.004832,0.047616,0.000576,0.134241,0.049056,0.063041,0.249698,0.000704,0.002304,0.001056,0.000576,0.963751
0.416387,0.017601,0.202433,0.004864,0.047424,0.000512,0.110049,0.046049,0.063008,0.222242,0.000672,0.002016,0.001088,0.000576,0.922663
0.416131,0.017696,0.202913,0.005056,0.047201,0.000640,0.105313,0.047968,0.065568,0.222305,0.000768,0.002144,0.001120,0.000352,0.923334
0.418243,0.017472,0.203170,0.005056,0.047744,0.000800,0.136449,0.047361,0.062848,0.250434,0.000672,0.002208,0.001152,0.000416,0.955047
0.416675,0.017600,0.203041,0.005120,0.048993,0.000608,0.110305,0.047648,0.065984,0.226913,0.000608,0.002304,0.001184,0.000352,0.930502
0.417219,0.017728,0.203298,0.005088,0.048960,0.000576,0.111969,0.048000,0.063201,0.226306,0.000576,0.001888,0.001408,0.000384,0.930791
0.416227,0.017728,0.202945,0.005088,0.048321,0.000832,0.108768,0.047969,0.061504,0.221505,0.000640,0.002336,0.001280,0.000352,0.924742
0.434819,0.017824,0.202946,0.004960,0.048736,0.000608,0.111105,0.054560,0.061473,0.230946,0.000672,0.002112,0.001152,0.000448,0.952839
0.416803,0.017408,0.202817,0.005024,0.048705,0.000576,0.108960,0.047777,0.065024,0.225121,0.000640,0.002176,0.001152,0.000384,0.928230
0.417923,0.018048,0.203138,0.005152,0.049024,0.000608,0.110497,0.048000,0.069697,0.231426,0.000768,0.004704,0.001184,0.000448,0.940199
0.417059,0.017504,0.219713,0.005472,0.048289,0.000608,0.106592,0.048001,0.061696,0.219553,0.000576,0.002208,0.001248,0.000416,0.940262
0.416867,0.017696,0.202658,0.004992,0.049280,0.000544,0.115649,0.046336,0.062849,0.228290,0.000576,0.002144,0.001216,0.000448,0.931911
0.416002,0.017664,0.202849,0.005024,0.048672,0.000544,0.109697,0.047713,0.064192,0.224866,0.000544,0.002240,0.001248,0.000384,0.927462
0.416643,0.017440,0.202530,0.004800,0.048256,0.000800,0.112161,0.048096,0.061377,0.225314,0.000704,0.002240,0.001216,0.000384,0.928295
0.416291,0.017440,0.202721,0.004832,0.048545,0.000768,0.118464,0.048129,0.067712,0.237665,0.000768,0.002240,0.001280,0.000384,0.940742
0.416355,0.017440,0.203202,0.005152,0.048704,0.000768,0.110305,0.047232,0.065185,0.225890,0.000608,0.001888,0.001152,0.000416,0.929031
0.416675,0.017408,0.203073,0.005024,0.048289,0.000800,0.116608,0.048353,0.063712,0.232257,0.000640,0.002304,0.001216,0.000416,0.935462
0.433955,0.017664,0.203106,0.004864,0.048448,0.000768,0.109729,0.057056,0.062177,0.232354,0.000608,0.002336,0.001248,0.000384,0.953287
0.416451,0.017824,0.202753,0.005056,0.049025,0.000576,0.107296,0.044545,0.061600,0.216993,0.000544,0.002176,0.001248,0.000416,0.920550
0.416195,0.017536,0.202850,0.005088,0.048352,0.000768,0.118145,0.048672,0.062913,0.233250,0.000608,0.002304,0.001248,0.000576,0.936103
0.416291,0.017760,0.202593,0.004832,0.049281,0.000512,0.138785,0.048896,0.060544,0.251841,0.000608,0.002112,0.001152,0.000384,0.954631
0.416899,0.017729,0.202625,0.005024,0.048704,0.000608,0.114113,0.046209,0.059776,0.223874,0.000672,0.002272,0.001248,0.000448,0.928263
0.417123,0.017408,0.203138,0.004864,0.048672,0.000608,0.110945,0.045664,0.059616,0.219873,0.000640,0.002272,0.001216,0.000384,0.923495
0.417507,0.017761,0.202625,0.004992,0.048576,0.000768,0.116353,0.048545,0.062016,0.230562,0.000608,0.002208,0.001248,0.000384,0.935239
