Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-8],OUT[8],TEE[6-8],Layer[9],Layer[10],classifier
0.526276,0.018048,0.206402,0.004832,0.047808,0.001024,0.093473,0.048416,0.058848,0.204577,0.010592,0.000704,1.027431
0.416995,0.017408,0.202818,0.004960,0.048064,0.000768,0.132065,0.051104,0.061697,0.248162,0.001984,0.000288,0.947879
0.417571,0.017600,0.203681,0.004928,0.048321,0.000736,0.113281,0.062784,0.062432,0.241889,0.001408,0.000352,0.944614
0.448836,0.017760,0.204385,0.004800,0.049505,0.000608,0.108960,0.051041,0.063360,0.226465,0.001760,0.000352,0.961959
0.416675,0.017568,0.202626,0.004832,0.048704,0.000608,0.109121,0.050080,0.061409,0.223970,0.001696,0.000320,0.923495
0.416451,0.017312,0.202690,0.004832,0.049376,0.000576,0.103361,0.047584,0.064609,0.218498,0.001280,0.000352,0.917351
0.417762,0.017504,0.202593,0.004832,0.048128,0.000608,0.098497,0.064257,0.077984,0.244290,0.001280,0.000320,0.943270
0.416067,0.017408,0.202529,0.004769,0.048864,0.000608,0.106689,0.048160,0.059392,0.217409,0.001216,0.000352,0.914790
0.417475,0.017888,0.203266,0.004800,0.047936,0.000608,0.099489,0.059744,0.059009,0.221442,0.001536,0.000320,0.921319
0.415491,0.017632,0.202626,0.004864,0.047552,0.000672,0.095233,0.046720,0.057825,0.202562,0.001312,0.000384,0.898343
0.433764,0.017408,0.202625,0.004864,0.048065,0.000608,0.106688,0.048065,0.059648,0.217921,0.001344,0.000352,0.933159
0.420675,0.017408,0.202913,0.004832,0.047521,0.000608,0.124417,0.049952,0.077761,0.255202,0.001152,0.000352,0.956455
0.415395,0.017728,0.202690,0.004896,0.047168,0.000608,0.102881,0.061569,0.062208,0.229666,0.001280,0.000352,0.925703
0.416259,0.017568,0.202529,0.004896,0.047201,0.000640,0.123009,0.048672,0.062720,0.237633,0.001408,0.000384,0.934438
0.415395,0.017760,0.202242,0.004896,0.047392,0.000608,0.105985,0.049632,0.060417,0.218978,0.001248,0.000352,0.914695
0.416643,0.018016,0.203713,0.004960,0.047553,0.000576,0.111264,0.060513,0.063776,0.239169,0.001504,0.000384,0.939046
0.416515,0.017952,0.203394,0.004832,0.047552,0.000608,0.112065,0.063232,0.063041,0.241474,0.001376,0.000608,0.940711
0.415939,0.017600,0.202721,0.004864,0.048417,0.000576,0.108097,0.048256,0.060256,0.220065,0.001824,0.000416,0.919046
0.415939,0.017728,0.202722,0.004896,0.048352,0.000640,0.112353,0.048960,0.061217,0.225858,0.001536,0.000384,0.924583
0.416099,0.017472,0.202657,0.004800,0.048737,0.000672,0.137505,0.048768,0.060576,0.249889,0.001440,0.000352,0.948198
