Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-10],OUT[10],TEE[7-10],classifier
0.506915,0.017792,0.206562,0.004800,0.047136,0.000768,0.013600,0.097505,0.036480,0.056353,0.193666,0.997575
0.435939,0.017761,0.203937,0.005248,0.049056,0.000576,0.013856,0.108704,0.046497,0.061536,0.221473,0.954919
0.418083,0.017440,0.204386,0.005312,0.048064,0.000800,0.013984,0.119265,0.049216,0.063009,0.235938,0.951527
0.416771,0.017344,0.202913,0.005312,0.048065,0.000800,0.014144,0.116577,0.049344,0.063744,0.233793,0.945350
0.415363,0.017344,0.221826,0.005344,0.048160,0.000736,0.013696,0.116481,0.048545,0.059712,0.227938,0.956871
0.415843,0.017280,0.202657,0.005312,0.047617,0.000768,0.013536,0.108481,0.038816,0.060288,0.210785,0.919558
0.415459,0.017536,0.202690,0.004864,0.048544,0.000576,0.013376,0.110625,0.037824,0.061153,0.213090,0.922599
0.415267,0.017472,0.203201,0.004864,0.048097,0.000544,0.013408,0.105664,0.036705,0.057696,0.204321,0.913254
0.415235,0.017344,0.202946,0.004896,0.048768,0.000576,0.013376,0.106945,0.039008,0.060417,0.211298,0.920359
0.415235,0.017569,0.202593,0.004800,0.048160,0.001024,0.013408,0.106369,0.037600,0.059233,0.206306,0.914695
0.415107,0.017440,0.202529,0.004800,0.047489,0.000992,0.013440,0.108352,0.038561,0.058752,0.208833,0.918502
0.415715,0.017408,0.222434,0.004896,0.047808,0.000576,0.013312,0.108961,0.049408,0.061249,0.222594,0.951431
0.414851,0.017377,0.202721,0.004896,0.047328,0.000768,0.013409,0.111008,0.048577,0.060512,0.223105,0.932039
0.415427,0.017600,0.202433,0.004896,0.047169,0.000544,0.013344,0.111905,0.049984,0.060865,0.226210,0.935847
0.414275,0.017440,0.202466,0.004960,0.046976,0.000992,0.013376,0.104289,0.049248,0.060353,0.216898,0.923879
0.415235,0.017536,0.202497,0.004896,0.047233,0.000736,0.013472,0.105889,0.039072,0.062464,0.210337,0.918566
0.414947,0.017280,0.202786,0.004864,0.047520,0.000608,0.013312,0.107585,0.049824,0.070689,0.231202,0.938343
0.414115,0.017601,0.202593,0.004864,0.047200,0.000544,0.013472,0.103585,0.044513,0.062176,0.213218,0.919559
0.429379,0.017376,0.202977,0.004832,0.046881,0.000960,0.013440,0.105377,0.037440,0.058560,0.204801,0.926822
0.415107,0.017600,0.202914,0.004864,0.047616,0.000544,0.013408,0.106753,0.039456,0.058176,0.207362,0.914951
0.415843,0.017408,0.202594,0.004864,0.047360,0.000544,0.013600,0.108033,0.045728,0.066081,0.223074,0.932103
0.414883,0.017504,0.202689,0.004832,0.049281,0.000800,0.013408,0.105441,0.046176,0.081793,0.255426,0.964487
0.415523,0.017504,0.202722,0.004800,0.048192,0.000576,0.013376,0.107457,0.037664,0.070369,0.219042,0.926951
0.415523,0.017313,0.202657,0.004864,0.048256,0.000768,0.013345,0.108192,0.046753,0.061472,0.220065,0.929799
0.415299,0.017280,0.202401,0.004928,0.047713,0.000768,0.013344,0.104929,0.037568,0.060736,0.206529,0.913766
0.432579,0.017344,0.204578,0.004864,0.047392,0.000576,0.013376,0.111649,0.037952,0.058785,0.211874,0.939399
0.415107,0.017313,0.202241,0.004864,0.046976,0.000576,0.013504,0.107009,0.036737,0.060096,0.206850,0.913191
0.415875,0.017408,0.202913,0.004832,0.047169,0.000576,0.013344,0.103553,0.038496,0.060160,0.205377,0.913254
0.415395,0.017376,0.202242,0.004864,0.046944,0.000544,0.013344,0.114273,0.045568,0.064097,0.227298,0.933415
0.415395,0.017440,0.202882,0.004832,0.047296,0.000576,0.013280,0.103329,0.037504,0.059585,0.203330,0.910183
0.415267,0.017312,0.202977,0.004864,0.046913,0.000608,0.013376,0.107040,0.038913,0.062176,0.211521,0.918662
0.415235,0.017248,0.203233,0.004864,0.046913,0.000608,0.013344,0.107393,0.038272,0.061824,0.210881,0.917318
0.428771,0.017504,0.202466,0.004864,0.047072,0.000768,0.013376,0.111681,0.047200,0.061025,0.223394,0.944359
0.415651,0.017312,0.202305,0.004992,0.047585,0.000736,0.013344,0.102112,0.036001,0.057376,0.198657,0.906694
0.415459,0.017568,0.202177,0.004896,0.047329,0.000576,0.013280,0.107361,0.039456,0.059424,0.209025,0.915942
0.415395,0.017408,0.202434,0.004864,0.046944,0.000544,0.013376,0.132001,0.051232,0.061025,0.248834,0.955623
0.415682,0.017569,0.203009,0.004832,0.046976,0.000512,0.013281,0.098912,0.039137,0.060960,0.201825,0.909286
0.415267,0.017248,0.202626,0.004864,0.046976,0.000512,0.013280,0.106337,0.046656,0.061601,0.217474,0.923815
0.415363,0.017376,0.202946,0.004832,0.046912,0.000544,0.013376,0.107969,0.039264,0.062529,0.212706,0.919559
0.433796,0.017504,0.202625,0.004864,0.046945,0.000512,0.013376,0.120417,0.035936,0.058304,0.218049,0.943559
0.415011,0.017440,0.202593,0.004896,0.047009,0.000576,0.013344,0.099457,0.040160,0.058560,0.201217,0.907270
0.415203,0.017568,0.202050,0.004800,0.046944,0.000512,0.013376,0.103233,0.037024,0.059457,0.202562,0.908551
0.417411,0.017536,0.218690,0.005216,0.047392,0.000960,0.013441,0.109728,0.044833,0.061472,0.219073,0.946951
0.415363,0.017152,0.202625,0.004832,0.047265,0.000512,0.013408,0.107617,0.036704,0.058752,0.206145,0.912390
0.415011,0.017248,0.203138,0.004800,0.046912,0.000544,0.013344,0.105281,0.037344,0.060320,0.206305,0.912710
0.415395,0.017472,0.202402,0.004896,0.047648,0.000544,0.013344,0.105281,0.038176,0.059425,0.205954,0.913607
0.433027,0.017409,0.202817,0.004864,0.046976,0.000544,0.013313,0.110048,0.038241,0.058816,0.209953,0.934567
0.414915,0.017376,0.203521,0.004864,0.046945,0.000512,0.013344,0.103488,0.037633,0.057568,0.201569,0.908966
0.414883,0.017216,0.202689,0.004832,0.046977,0.000480,0.013312,0.104737,0.044320,0.060928,0.212833,0.918822
0.414979,0.017376,0.220418,0.005184,0.051936,0.000576,0.013344,0.114561,0.045312,0.060865,0.223746,0.953671
0.415203,0.017217,0.202465,0.004896,0.047040,0.000544,0.013377,0.104576,0.045569,0.067168,0.220225,0.926695
0.414883,0.017440,0.203009,0.004864,0.046945,0.000576,0.013344,0.110209,0.038368,0.059488,0.210945,0.918022
