Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.509507,0.017600,0.207970,0.004800,0.047424,0.000768,0.013504,0.122945,0.040800,0.063937,0.231266,0.002368,0.002496,0.000544,1.046247
0.417091,0.017888,0.204481,0.005248,0.047937,0.000512,0.013728,0.110625,0.034240,0.059584,0.207393,0.001888,0.001312,0.000320,0.924806
0.415811,0.017568,0.202722,0.005248,0.047712,0.000544,0.014176,0.106561,0.030912,0.056833,0.197282,0.001920,0.001472,0.000384,0.911815
0.415907,0.017376,0.203234,0.005024,0.047968,0.000736,0.013856,0.096641,0.037568,0.057377,0.194562,0.001856,0.001024,0.000352,0.908359
0.429539,0.017537,0.203041,0.005184,0.048736,0.000768,0.013696,0.124257,0.031169,0.056768,0.214978,0.001888,0.000960,0.000352,0.943303
0.415523,0.017376,0.203297,0.005248,0.048289,0.000736,0.013664,0.093920,0.037057,0.064864,0.200993,0.005760,0.000960,0.000384,0.919462
0.415683,0.017536,0.202850,0.005248,0.048192,0.000544,0.013472,0.100737,0.030784,0.056768,0.191233,0.001824,0.000960,0.000384,0.904678
0.415107,0.017504,0.218626,0.005184,0.047936,0.000608,0.013632,0.096385,0.035520,0.057537,0.192674,0.001856,0.001120,0.000352,0.921447
0.415779,0.017440,0.202818,0.005248,0.047744,0.000608,0.013696,0.106209,0.040480,0.057953,0.207586,0.001984,0.000864,0.000384,0.920711
0.415043,0.017409,0.202913,0.005312,0.048864,0.000576,0.013889,0.107744,0.030273,0.054176,0.195201,0.002144,0.000928,0.000384,0.909031
0.415843,0.017600,0.202849,0.005248,0.047937,0.000576,0.013792,0.104897,0.034400,0.058688,0.200801,0.001984,0.001024,0.000384,0.914950
0.438563,0.017504,0.203010,0.005280,0.047936,0.000544,0.013760,0.106625,0.033312,0.058369,0.201026,0.001952,0.001472,0.000320,0.938471
0.420003,0.017312,0.202625,0.005312,0.048065,0.000576,0.013728,0.106464,0.033825,0.058848,0.202049,0.002048,0.001120,0.000288,0.919942
0.419555,0.017440,0.203458,0.004992,0.047072,0.000608,0.013536,0.108801,0.034016,0.058880,0.204641,0.001952,0.000992,0.000288,0.921511
0.415139,0.017472,0.222050,0.005408,0.047360,0.000544,0.013505,0.109504,0.033185,0.058240,0.204129,0.001824,0.000992,0.000352,0.936263
0.420035,0.017536,0.203233,0.004832,0.047329,0.000576,0.013472,0.104001,0.033888,0.058560,0.199393,0.001888,0.000960,0.000320,0.916550
0.416547,0.017504,0.202818,0.005312,0.047904,0.000576,0.013632,0.113761,0.033664,0.063361,0.213762,0.002240,0.000896,0.000384,0.928359
0.419971,0.017312,0.203009,0.005184,0.048065,0.000576,0.013600,0.111009,0.030848,0.056608,0.201761,0.003008,0.001088,0.000416,0.921222
0.419523,0.017600,0.202562,0.005248,0.047200,0.000576,0.013984,0.110529,0.031552,0.057857,0.203298,0.001984,0.001088,0.000416,0.921671
