Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.506052,0.017760,0.205889,0.004832,0.047105,0.000800,0.013440,0.071040,0.036352,0.054625,0.165441,0.000960,0.969639
0.417443,0.017344,0.204737,0.004864,0.047681,0.000608,0.013376,0.104032,0.039521,0.058496,0.205313,0.000736,0.918758
0.417219,0.017600,0.203490,0.004864,0.048352,0.000608,0.014112,0.105057,0.038208,0.059329,0.205570,0.000704,0.918919
0.432323,0.017633,0.204225,0.004896,0.048544,0.000576,0.014465,0.106752,0.038209,0.059008,0.207105,0.000576,0.937159
0.416067,0.017536,0.203585,0.004897,0.047008,0.000608,0.014272,0.114657,0.038752,0.059776,0.216546,0.000640,0.928743
0.416099,0.017313,0.203393,0.004800,0.049184,0.000608,0.014112,0.102400,0.036225,0.059776,0.201729,0.000672,0.914183
0.420355,0.017536,0.222529,0.005025,0.050400,0.000608,0.014400,0.106657,0.038880,0.057632,0.206177,0.000608,0.945030
0.415683,0.018048,0.203266,0.004928,0.049600,0.000608,0.014272,0.109953,0.037504,0.061985,0.212482,0.000608,0.925831
0.416867,0.017632,0.202881,0.004864,0.048801,0.000608,0.013632,0.108577,0.037632,0.059104,0.208545,0.000608,0.920614
0.420003,0.017472,0.202882,0.004896,0.048768,0.000608,0.013632,0.107457,0.037632,0.058881,0.207330,0.000608,0.923175
0.415875,0.017536,0.203265,0.004896,0.048417,0.000640,0.013568,0.107105,0.038112,0.064160,0.212321,0.000576,0.923558
0.415331,0.017792,0.202914,0.004832,0.048000,0.000576,0.013568,0.106785,0.038208,0.067265,0.215522,0.000640,0.925703
0.415554,0.017792,0.202945,0.004800,0.048704,0.000576,0.013633,0.106528,0.035073,0.059104,0.203873,0.000640,0.915590
0.438339,0.017696,0.202882,0.004864,0.048192,0.000608,0.013536,0.107905,0.037888,0.058017,0.206850,0.000640,0.940519
0.420547,0.017313,0.203137,0.005056,0.048672,0.000544,0.013536,0.106721,0.037601,0.060416,0.208098,0.000640,0.923591
