Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.506691,0.017600,0.205602,0.004832,0.046816,0.000832,0.013344,0.000384,0.080929,0.035072,0.057249,0.177698,0.980455
0.417347,0.018113,0.204257,0.005280,0.048128,0.000544,0.013537,0.000352,0.108160,0.036193,0.060064,0.207649,0.921191
0.421379,0.017728,0.204225,0.005184,0.047809,0.000512,0.013664,0.000320,0.101889,0.044256,0.069216,0.218305,0.934854
0.438019,0.017440,0.203202,0.005024,0.047936,0.000576,0.013472,0.000352,0.100865,0.039776,0.058785,0.202722,0.935111
0.417091,0.017568,0.203425,0.004832,0.048448,0.000545,0.013344,0.000384,0.122624,0.054689,0.058496,0.238881,0.949670
0.421699,0.017824,0.202530,0.004832,0.050016,0.000576,0.013568,0.000320,0.106817,0.035072,0.059841,0.205218,0.923111
0.416643,0.017921,0.224577,0.005088,0.048001,0.000512,0.014496,0.000320,0.113601,0.039936,0.059424,0.215841,0.949991
0.416099,0.017440,0.203394,0.004896,0.049216,0.000736,0.014432,0.000384,0.110817,0.038496,0.058529,0.211138,0.924103
0.415779,0.017280,0.203010,0.004800,0.049088,0.000576,0.014048,0.000416,0.110145,0.036544,0.059105,0.208898,0.919431
0.421348,0.017632,0.202625,0.004800,0.048320,0.000544,0.013697,0.000352,0.100416,0.035393,0.059200,0.197921,0.912775
0.416355,0.017472,0.203297,0.004800,0.047297,0.000544,0.013408,0.000352,0.130657,0.036544,0.063552,0.233729,0.942758
0.415523,0.017248,0.202690,0.004800,0.046944,0.000512,0.013376,0.000352,0.116449,0.035136,0.057281,0.211778,0.918567
0.415619,0.017376,0.203042,0.004832,0.047008,0.000512,0.013472,0.000352,0.092545,0.034848,0.058048,0.188385,0.895878
0.420931,0.017248,0.218978,0.004992,0.047200,0.000544,0.013472,0.000384,0.095297,0.034720,0.057857,0.190818,0.921191
0.415651,0.017472,0.202050,0.004800,0.047008,0.000576,0.013408,0.000384,0.129473,0.035200,0.057697,0.225154,0.931719
0.415683,0.017601,0.202689,0.004832,0.047456,0.000544,0.013921,0.000352,0.107584,0.038049,0.057472,0.206241,0.915175
0.417155,0.017568,0.202209,0.004832,0.047617,0.000576,0.013792,0.000384,0.108225,0.036704,0.060576,0.208577,0.918886
0.415843,0.017280,0.201986,0.004832,0.047104,0.000544,0.013408,0.000352,0.096225,0.038016,0.058017,0.195106,0.902151
0.416003,0.017472,0.202754,0.004800,0.046848,0.000576,0.013344,0.000352,0.100385,0.034240,0.057537,0.194946,0.902759
0.415747,0.017440,0.202594,0.004832,0.047264,0.000576,0.013344,0.000384,0.098241,0.037472,0.059969,0.198242,0.905575
0.415811,0.017569,0.216897,0.004928,0.047328,0.000576,0.013409,0.000320,0.102464,0.036577,0.059456,0.201505,0.924039
0.415107,0.017248,0.202625,0.004960,0.046944,0.000512,0.013313,0.000416,0.096256,0.033729,0.056000,0.190273,0.896710
0.415714,0.017472,0.202689,0.004896,0.046880,0.000512,0.013409,0.000416,0.103232,0.036353,0.059840,0.202241,0.910022
0.415459,0.017600,0.202497,0.004896,0.046785,0.000544,0.013344,0.000416,0.095040,0.036897,0.060192,0.195041,0.902278
0.431043,0.017696,0.202241,0.004832,0.046881,0.000608,0.013408,0.000384,0.099489,0.035680,0.059008,0.196929,0.919366
0.416163,0.017312,0.202017,0.004865,0.046944,0.000800,0.013472,0.000416,0.106433,0.034656,0.057024,0.201121,0.908710
0.416515,0.017664,0.205538,0.004832,0.047072,0.000512,0.013504,0.000352,0.103457,0.043616,0.060833,0.211074,0.923239
0.421219,0.017440,0.203361,0.004896,0.064993,0.000768,0.013440,0.000384,0.091968,0.033025,0.056768,0.184449,0.916646
0.420067,0.017600,0.202561,0.004832,0.046785,0.000544,0.013344,0.000384,0.126561,0.042016,0.060768,0.234177,0.945702
0.415491,0.017440,0.202817,0.004865,0.046848,0.000736,0.013472,0.000352,0.092225,0.034144,0.057024,0.186305,0.893766
0.416099,0.017248,0.202497,0.004801,0.046976,0.000544,0.013408,0.000352,0.093089,0.034432,0.056864,0.187009,0.893862
0.429827,0.017632,0.202497,0.004865,0.046784,0.000512,0.013344,0.000320,0.099425,0.033888,0.056256,0.192545,0.913574
0.415779,0.017504,0.203266,0.004800,0.046784,0.000576,0.013472,0.000352,0.105377,0.037536,0.060128,0.206721,0.915143
0.415843,0.017504,0.202594,0.004800,0.046784,0.000544,0.013504,0.000352,0.092929,0.035392,0.056609,0.187906,0.895367
0.420803,0.017697,0.202721,0.004800,0.047200,0.000576,0.013601,0.000416,0.132545,0.037152,0.059552,0.233633,0.947655
0.416291,0.017504,0.202817,0.004833,0.047296,0.000544,0.013536,0.000384,0.107713,0.037312,0.060032,0.208225,0.917798
0.420803,0.017664,0.202274,0.004864,0.047264,0.000544,0.013536,0.000416,0.108737,0.037184,0.059937,0.209346,0.923047
0.420707,0.017792,0.202337,0.004800,0.047713,0.000576,0.013440,0.000352,0.107168,0.038113,0.062048,0.210273,0.924486
0.437219,0.017760,0.202978,0.004896,0.047296,0.000608,0.013440,0.000384,0.106625,0.035424,0.058785,0.204002,0.935047
0.416675,0.018209,0.203201,0.004800,0.047392,0.000544,0.013536,0.000352,0.105761,0.036064,0.060641,0.205858,0.917319
0.416483,0.017664,0.202625,0.004800,0.047201,0.000576,0.013472,0.000416,0.108865,0.037536,0.060320,0.209729,0.919270
0.417347,0.017536,0.221730,0.005120,0.047136,0.000576,0.013568,0.000320,0.101313,0.036288,0.059809,0.200578,0.930887
0.416547,0.017537,0.202561,0.004800,0.047360,0.000544,0.013408,0.000352,0.107425,0.037825,0.060768,0.209378,0.918823
0.416003,0.018080,0.202625,0.004832,0.047073,0.001056,0.013472,0.000352,0.107457,0.036736,0.059872,0.207233,0.916774
0.421123,0.017568,0.202626,0.004832,0.047456,0.001024,0.013568,0.000384,0.103873,0.037888,0.060865,0.205794,0.920743
0.416291,0.017888,0.202465,0.004832,0.048737,0.000576,0.013728,0.000416,0.116833,0.043136,0.060896,0.224545,0.936710
0.421155,0.017728,0.202818,0.004864,0.048544,0.000544,0.014144,0.000352,0.111361,0.035872,0.059073,0.209634,0.926535
0.415715,0.017696,0.202753,0.005280,0.048257,0.000800,0.014016,0.000384,0.113057,0.043360,0.061568,0.221761,0.933446
0.420803,0.017600,0.220354,0.005024,0.048832,0.000608,0.013856,0.000352,0.104993,0.044800,0.061185,0.213954,0.948135
0.415619,0.017632,0.203233,0.005120,0.048768,0.000577,0.013792,0.000384,0.105152,0.036577,0.059584,0.204449,0.916294
0.416707,0.017600,0.203009,0.004864,0.048577,0.000576,0.013504,0.000384,0.102945,0.035936,0.058048,0.201569,0.912902
0.420323,0.017408,0.203714,0.004864,0.048416,0.000800,0.013664,0.000416,0.100897,0.033376,0.056960,0.194177,0.909670
0.420803,0.017632,0.202658,0.004832,0.048096,0.000800,0.013600,0.000352,0.111425,0.037184,0.059873,0.211618,0.926823
0.420356,0.017632,0.203201,0.004832,0.047776,0.000608,0.013505,0.000352,0.106496,0.036417,0.060096,0.206145,0.920551
0.420035,0.017600,0.202337,0.004832,0.047329,0.000576,0.013504,0.000352,0.109601,0.037600,0.059712,0.209953,0.922406
0.437667,0.017792,0.202530,0.004832,0.047200,0.000544,0.013440,0.000384,0.109345,0.038400,0.060865,0.211938,0.943303
0.416355,0.017376,0.202721,0.004800,0.047297,0.000736,0.013440,0.000352,0.106848,0.043073,0.062272,0.215361,0.925030
0.420739,0.017536,0.202753,0.004865,0.046944,0.000736,0.013472,0.000384,0.105249,0.035456,0.067424,0.211201,0.924358
0.419779,0.017632,0.202434,0.004864,0.046848,0.000864,0.013504,0.000352,0.097185,0.032960,0.056417,0.189570,0.902119
0.420323,0.017537,0.202721,0.004864,0.046944,0.000576,0.013344,0.000352,0.107521,0.038753,0.059808,0.209218,0.921959
