Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.525284,0.017856,0.206114,0.004800,0.047328,0.000832,0.013440,0.000320,0.091553,0.035584,0.060384,0.191937,0.002656,0.000608,1.018535
0.418019,0.018080,0.206370,0.004800,0.048128,0.000640,0.014496,0.000352,0.113281,0.034336,0.058433,0.209346,0.001984,0.000800,0.931495
0.417123,0.017696,0.204129,0.005312,0.048993,0.000576,0.013824,0.000352,0.105920,0.037281,0.057888,0.204481,0.001472,0.000576,0.921702
0.418499,0.017568,0.204098,0.005280,0.048928,0.000640,0.014624,0.000352,0.110785,0.035424,0.057953,0.207010,0.001440,0.000416,0.927271
0.418371,0.017344,0.204545,0.005344,0.049633,0.000608,0.014112,0.000384,0.105888,0.036609,0.058304,0.203713,0.001120,0.000416,0.923110
0.417315,0.036064,0.203234,0.004832,0.048352,0.000640,0.013920,0.000416,0.109377,0.034592,0.059617,0.206658,0.001184,0.000384,0.941863
0.416579,0.017537,0.202625,0.004768,0.048352,0.000576,0.013825,0.000416,0.112992,0.034305,0.058304,0.208449,0.001056,0.000416,0.921639
0.416707,0.017408,0.203393,0.004801,0.047680,0.000832,0.014688,0.000352,0.116385,0.037216,0.057600,0.214466,0.001280,0.000416,0.930599
0.417347,0.017505,0.203233,0.005312,0.047680,0.000576,0.014593,0.000384,0.107520,0.035329,0.075616,0.221441,0.001376,0.000416,0.936839
0.416387,0.017408,0.202434,0.005312,0.047808,0.000544,0.013984,0.000320,0.105665,0.034688,0.057665,0.200834,0.001152,0.000384,0.914503
0.419235,0.017440,0.202561,0.005184,0.047617,0.000832,0.014368,0.000384,0.118209,0.034944,0.058144,0.214209,0.001408,0.000416,0.932326
0.418115,0.017248,0.202850,0.004864,0.047616,0.000832,0.014080,0.000352,0.118721,0.035008,0.059073,0.216386,0.001120,0.000416,0.934407
0.431427,0.017504,0.202721,0.005376,0.047937,0.000640,0.013920,0.000384,0.112449,0.034528,0.058592,0.208737,0.001696,0.000416,0.938150
0.417507,0.017248,0.204162,0.005280,0.049312,0.000608,0.013568,0.000352,0.111745,0.034592,0.059585,0.209122,0.001568,0.000384,0.926919
0.417987,0.017536,0.202785,0.005280,0.047841,0.000672,0.013664,0.000352,0.108928,0.034017,0.059584,0.205473,0.001248,0.000384,0.920294
0.417091,0.017696,0.220706,0.004960,0.047968,0.000608,0.013408,0.000352,0.108513,0.031872,0.055905,0.199298,0.001504,0.000416,0.931783
