Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-9],OUT[9],TEE[8-9],Layer[10],classifier
0.509411,0.017824,0.207490,0.005024,0.047200,0.000800,0.013440,0.000416,0.071905,0.035648,0.054625,0.165858,0.000768,0.975719
0.417571,0.017344,0.203842,0.004832,0.047648,0.000576,0.013568,0.000448,0.100897,0.035776,0.059489,0.199202,0.000512,0.912775
0.416899,0.017536,0.203265,0.005120,0.048065,0.000800,0.014240,0.000416,0.131105,0.039200,0.058848,0.232673,0.000544,0.946950
0.416643,0.017472,0.202722,0.005088,0.049120,0.000768,0.014432,0.000384,0.111553,0.040929,0.063328,0.219234,0.000544,0.934695
0.419459,0.018272,0.204674,0.005568,0.048896,0.001312,0.015200,0.000672,0.165794,0.044832,0.060768,0.275874,0.001280,1.003303
0.417955,0.017760,0.202977,0.005248,0.047841,0.000864,0.013856,0.000608,0.115137,0.039584,0.059616,0.218113,0.001152,0.933926
0.417283,0.017760,0.204258,0.005120,0.047936,0.000832,0.013920,0.000672,0.109825,0.043520,0.057281,0.213858,0.000768,0.929703
0.416995,0.017600,0.203841,0.005120,0.048481,0.000896,0.013984,0.000608,0.114433,0.038432,0.061248,0.217665,0.000768,0.933894
0.416419,0.017760,0.203810,0.005344,0.048512,0.000832,0.013824,0.000384,0.112513,0.036672,0.068961,0.221730,0.000832,0.936807
0.437987,0.017728,0.203426,0.005088,0.048032,0.000832,0.014208,0.000384,0.116353,0.038176,0.059233,0.217826,0.000992,0.955079
0.416067,0.017440,0.203297,0.005088,0.047808,0.000832,0.014017,0.000384,0.111552,0.036417,0.056960,0.208417,0.000864,0.921478
0.416707,0.018208,0.203458,0.005248,0.048256,0.001088,0.013952,0.000640,0.144897,0.040065,0.060416,0.249410,0.000832,0.967879
0.416675,0.017856,0.203586,0.005376,0.069344,0.000864,0.013984,0.000640,0.121441,0.039393,0.060928,0.224898,0.000960,0.962471
0.416483,0.017600,0.203938,0.005120,0.047808,0.000896,0.013952,0.000576,0.109889,0.037440,0.059201,0.209890,0.000672,0.924199
0.416963,0.017665,0.204161,0.005344,0.047552,0.001088,0.013985,0.000384,0.117920,0.039105,0.058272,0.219137,0.000960,0.934503
0.416643,0.017568,0.203810,0.005376,0.048224,0.000832,0.014240,0.000416,0.116577,0.038176,0.062913,0.221058,0.000608,0.936103
0.416547,0.017728,0.203969,0.005248,0.047649,0.000832,0.013952,0.000672,0.114304,0.037601,0.059520,0.214849,0.000640,0.928710
0.415747,0.017472,0.203746,0.005312,0.047744,0.000800,0.014112,0.000384,0.111105,0.036768,0.060961,0.212642,0.000640,0.925959
0.417059,0.017760,0.203489,0.005216,0.047553,0.000832,0.014016,0.000640,0.117473,0.039360,0.064480,0.224897,0.000704,0.939654
0.438819,0.017921,0.204033,0.005120,0.047680,0.000864,0.013921,0.000576,0.119328,0.038561,0.060320,0.222369,0.000544,0.960039
0.416003,0.017952,0.203522,0.005344,0.047904,0.000864,0.014304,0.000384,0.115489,0.041568,0.061729,0.222370,0.000576,0.935911
0.417219,0.018368,0.203969,0.005312,0.047744,0.001184,0.013824,0.000416,0.107680,0.037633,0.060544,0.209793,0.000672,0.925702
0.416131,0.017792,0.203362,0.005248,0.047328,0.000864,0.014464,0.000672,0.141697,0.036224,0.060065,0.241826,0.000800,0.955783
0.416003,0.017632,0.205665,0.005440,0.047777,0.000832,0.013920,0.000608,0.104289,0.035936,0.057440,0.200993,0.001248,0.917478
0.415875,0.017632,0.204578,0.005184,0.047392,0.000864,0.013824,0.000608,0.110977,0.040576,0.059009,0.213890,0.000608,0.927655
0.415875,0.017600,0.203329,0.005376,0.047009,0.000864,0.013984,0.000416,0.110561,0.034976,0.056992,0.205697,0.000960,0.918310
0.433859,0.018080,0.203042,0.005248,0.047424,0.000832,0.014560,0.000384,0.112097,0.037056,0.058209,0.210946,0.000608,0.942183
0.415779,0.017601,0.202785,0.005152,0.047808,0.000800,0.013985,0.000416,0.103040,0.034849,0.058496,0.199777,0.000640,0.911719
0.416259,0.017536,0.203553,0.005088,0.047617,0.000832,0.013824,0.000608,0.115841,0.042784,0.058464,0.220545,0.000672,0.933542
0.416739,0.017600,0.223842,0.005184,0.047136,0.000800,0.013857,0.000416,0.108896,0.044417,0.059872,0.216609,0.000576,0.950439
0.416771,0.017344,0.203329,0.005153,0.047680,0.000864,0.014016,0.000416,0.104993,0.036768,0.056608,0.201537,0.000544,0.914662
0.416611,0.017472,0.203426,0.005248,0.047584,0.000800,0.013728,0.000384,0.107585,0.044704,0.061505,0.216578,0.000544,0.929447
0.416131,0.017344,0.203074,0.005056,0.047296,0.000864,0.013408,0.000672,0.109889,0.038048,0.062337,0.213346,0.000896,0.925031
0.416067,0.017504,0.203969,0.005088,0.047393,0.000864,0.013952,0.000416,0.105921,0.037216,0.060928,0.207201,0.000448,0.919942
0.422435,0.018048,0.210722,0.005280,0.048640,0.000864,0.014176,0.000672,0.139073,0.039073,0.058976,0.240834,0.000768,0.970887
