Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.510148,0.017568,0.207458,0.004768,0.046784,0.000800,0.013376,0.000384,0.001472,0.096449,0.038048,0.059937,0.197634,1.007624
0.417667,0.017633,0.204225,0.004768,0.047168,0.000576,0.013601,0.000384,0.001472,0.105888,0.040225,0.061280,0.210849,0.925383
0.417251,0.017312,0.203617,0.004832,0.047649,0.000832,0.013600,0.000384,0.001504,0.106529,0.036128,0.063648,0.209601,0.923846
0.418083,0.017408,0.204162,0.004800,0.047648,0.000768,0.014400,0.000352,0.001600,0.115521,0.036480,0.063073,0.218850,0.936231
0.432387,0.017472,0.202786,0.004960,0.050208,0.000768,0.013952,0.000384,0.001568,0.105345,0.037184,0.058273,0.203970,0.934983
0.416867,0.017249,0.203681,0.005216,0.048288,0.000544,0.013696,0.000384,0.001504,0.104513,0.038177,0.059808,0.205666,0.919847
0.416067,0.017248,0.202305,0.005248,0.047745,0.000608,0.013632,0.000416,0.001440,0.102625,0.037632,0.059520,0.202689,0.913734
0.416387,0.017504,0.202498,0.004992,0.048192,0.019296,0.013664,0.000384,0.001600,0.104993,0.038304,0.058561,0.204898,0.936871
0.415234,0.017344,0.202593,0.005248,0.047680,0.000800,0.013633,0.000384,0.001600,0.104032,0.037697,0.062368,0.207137,0.918502
0.415747,0.017632,0.202561,0.005280,0.047137,0.000992,0.013472,0.000320,0.001504,0.102049,0.038400,0.059392,0.202785,0.914182
0.416579,0.017280,0.202818,0.005248,0.047424,0.000768,0.013504,0.000608,0.001504,0.100993,0.037536,0.061473,0.203170,0.916135
0.434276,0.017184,0.202689,0.005024,0.047649,0.000576,0.013472,0.000416,0.001856,0.105408,0.036705,0.058208,0.203489,0.933927
0.417123,0.017344,0.203521,0.004832,0.047841,0.000576,0.013536,0.000384,0.001504,0.102433,0.036768,0.059328,0.201601,0.915078
0.418243,0.017472,0.203138,0.005024,0.048448,0.000800,0.013856,0.000384,0.001600,0.108353,0.038624,0.059649,0.210082,0.926727
0.416131,0.017248,0.220257,0.005120,0.047873,0.000576,0.013472,0.000320,0.001408,0.109409,0.038112,0.061120,0.211553,0.940934
0.416227,0.017376,0.202210,0.005024,0.047104,0.000576,0.013376,0.000384,0.001792,0.104001,0.037024,0.058785,0.202914,0.913607
0.416771,0.017248,0.202434,0.005280,0.047072,0.000576,0.013376,0.000384,0.001472,0.097121,0.034848,0.058849,0.193794,0.905095
0.416771,0.017184,0.202113,0.005376,0.047073,0.000576,0.013504,0.000384,0.001504,0.102688,0.040513,0.063072,0.209537,0.920998
0.416707,0.017184,0.202338,0.005216,0.047168,0.000992,0.013440,0.000352,0.001440,0.106241,0.036512,0.060065,0.206018,0.917639
0.416227,0.017345,0.203585,0.004992,0.047392,0.000960,0.013409,0.000416,0.001504,0.103040,0.037953,0.058752,0.203201,0.916167
0.416611,0.017440,0.202049,0.005280,0.047233,0.000800,0.013408,0.000352,0.001408,0.101793,0.036928,0.059200,0.201153,0.912422
0.416387,0.017472,0.221282,0.004928,0.047104,0.000480,0.013408,0.000384,0.001472,0.101409,0.038752,0.058689,0.202050,0.932263
