Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.543597,0.018209,0.212773,0.005344,0.047681,0.000960,0.013601,0.000416,0.001440,0.002496,0.000640,0.855733
0.434506,0.017857,0.209925,0.005472,0.048769,0.001056,0.014049,0.000640,0.001472,0.001920,0.000576,0.745938
0.433610,0.017953,0.208773,0.005312,0.048481,0.001056,0.013728,0.000416,0.001728,0.001536,0.000609,0.744754
0.436778,0.018529,0.213605,0.005120,0.049729,0.001184,0.014209,0.000352,0.001792,0.003264,0.000608,0.756626
0.434986,0.019457,0.213381,0.005280,0.050081,0.001152,0.014465,0.000384,0.001792,0.003296,0.000608,0.755250
0.432395,0.018272,0.210277,0.005472,0.049121,0.001153,0.014112,0.000448,0.001728,0.001568,0.000576,0.743858
0.435050,0.018913,0.232453,0.005376,0.049506,0.001088,0.013760,0.000640,0.001728,0.002048,0.000576,0.773522
0.437547,0.018304,0.213221,0.005376,0.049122,0.001152,0.013952,0.000416,0.001760,0.002112,0.000832,0.754226
0.504044,0.018273,0.210565,0.005376,0.049057,0.001088,0.013857,0.000416,0.001728,0.001568,0.000576,0.816692
0.438187,0.017920,0.213605,0.005440,0.051009,0.001120,0.014112,0.000416,0.001792,0.001792,0.000544,0.754962
0.455979,0.018369,0.214885,0.005184,0.051169,0.001121,0.014496,0.000416,0.001824,0.003264,0.000576,0.778547
0.431882,0.017825,0.210629,0.005248,0.049377,0.001088,0.013985,0.000384,0.001760,0.001632,0.000544,0.742418
0.430923,0.017952,0.209637,0.005280,0.048641,0.001153,0.013664,0.000448,0.001504,0.001632,0.000544,0.739890
0.430794,0.018144,0.209029,0.005408,0.048801,0.001056,0.013857,0.000672,0.001728,0.001120,0.000576,0.738034
0.448523,0.018177,0.209125,0.005280,0.047969,0.000864,0.014208,0.000384,0.001472,0.000960,0.000608,0.754770
0.431178,0.018369,0.210021,0.005056,0.048033,0.000896,0.014496,0.000448,0.001536,0.001153,0.000320,0.738546
0.434666,0.018496,0.207941,0.005216,0.048417,0.000832,0.013921,0.000416,0.001504,0.001120,0.000384,0.740274
0.439306,0.018785,0.216197,0.005536,0.049217,0.001152,0.014145,0.000416,0.001952,0.003008,0.000576,0.760499
0.449803,0.017985,0.210533,0.005184,0.048737,0.000832,0.013728,0.000576,0.001728,0.001952,0.000576,0.760146
0.431562,0.018433,0.209701,0.005120,0.048065,0.000768,0.013729,0.000608,0.001440,0.001056,0.000608,0.737874
0.435626,0.017921,0.215493,0.005280,0.049185,0.001152,0.014337,0.000672,0.001824,0.001728,0.000640,0.754962
0.432042,0.018081,0.210373,0.005152,0.049153,0.000864,0.014240,0.000641,0.001760,0.001248,0.000608,0.742738
0.435626,0.018432,0.214437,0.005376,0.049186,0.001152,0.014208,0.000384,0.002080,0.003008,0.000576,0.758290
