Layer[10],classifier
9.172822,9.255798
1.719812,1.794212
1.690884,1.769220
1.707300,1.780964
1.697604,1.766628
1.704740,1.772708
1.708900,1.789124
1.677348,1.744868
1.730980,1.822468
1.711172,1.787620
1.699940,1.775588
1.685252,1.759652
1.695812,1.765060
1.702692,1.776676
1.697316,1.772836
1.672292,1.743076
1.706916,1.790468
1.708804,1.786820
1.688900,1.764580
1.682596,1.754628
1.711044,1.788068
1.694532,1.764420
1.694468,1.764388
1.693444,1.767620
1.689028,1.763493
1.671844,1.737157
1.692004,1.773796
1.673796,1.742532
1.715492,1.804772
1.706564,1.778148
1.686020,1.758756
1.709892,1.779397
1.688004,1.759429
1.682756,1.749380
1.692356,1.762660
1.706180,1.777476
1.722532,1.801733
1.707332,1.775588
1.727812,1.811908
1.685124,1.755748
1.701636,1.772165
1.698180,1.767204
1.725604,1.799300
1.667876,1.734500
1.719300,1.798981
1.664228,1.733284
1.676900,1.748004
1.685828,1.758948
1.736740,1.811236
1.675012,1.743972
1.695492,1.770820
1.674500,1.748612
1.696484,1.764900
1.659972,1.725540
1.692164,1.762756
1.669508,1.738372
1.688388,1.766276
1.659780,1.725796
1.692196,1.772580
1.699012,1.768549
1.674692,1.747428
1.697028,1.765956
1.722660,1.823908
1.710468,1.778981
1.712132,1.784996
1.706468,1.778565
1.717444,1.795268
1.704484,1.782820
1.711044,1.789988
1.682244,1.752548
1.703044,1.777828
1.691812,1.770404
1.696260,1.766500
1.701700,1.770052
1.713732,1.783429
1.673636,1.740356
1.669956,1.745348
1.708452,1.775652
1.739204,1.814884
1.711428,1.791108
1.738980,1.821413
1.687940,1.759140
1.697316,1.769124
1.678404,1.745157
1.732292,1.803460
1.708388,1.775748
1.704324,1.782340
1.663940,1.730020
1.701124,1.770756
1.674372,1.745348
1.712452,1.786053
1.680324,1.751140
1.718180,1.793764
1.714340,1.783300
1.722212,1.809764
1.712101,1.781125
1.693924,1.775845
1.685636,1.756452
1.726308,1.803556
1.678244,1.748868
1.699876,1.770564
1.696228,1.765476
1.714436,1.785060
1.672740,1.743076
1.717412,1.789220
1.671332,1.738660
1.719524,1.804004
1.712932,1.784548
1.708228,1.781028
1.662916,1.728229
1.692964,1.772484
1.666756,1.734020
1.660964,1.733700
1.642756,1.707140
1.678020,1.743204
1.664516,1.728836
1.681988,1.749317
1.662212,1.727684
1.706916,1.775492
1.677476,1.747556
1.693188,1.772164
1.708164,1.777252
1.692164,1.762596
1.685796,1.753924
1.698564,1.775589
1.712485,1.783877
1.694724,1.764324
1.683908,1.753444
1.699588,1.772612
1.700612,1.769316
1.697540,1.773700
1.681892,1.750244
1.696196,1.765188
1.704645,1.774885
1.721156,1.806788
1.706372,1.775492
1.739108,1.820996
1.687268,1.759909
1.727044,1.805444
1.703684,1.777572
1.715492,1.791876
1.678692,1.747140
1.704293,1.786469
1.674180,1.744452
1.719524,1.798980
1.674340,1.741316
1.707524,1.781188
1.714180,1.791556
1.715620,1.786724
1.680708,1.748645
1.720516,1.814692
1.676292,1.741540
1.722116,1.807493
1.695524,1.768964
1.692004,1.764260
1.668932,1.733669
1.722756,1.794308
1.707428,1.776260
1.686404,1.763845
1.691076,1.761764
1.703524,1.797284
1.703108,1.773476
1.726436,1.817700
1.674308,1.739204
1.728164,1.814948
1.700836,1.767364
1.733988,1.810820
1.709317,1.781157
1.729572,1.825508
1.674308,1.742980
1.741444,1.819620
1.708100,1.779908
1.730244,1.828581
1.660100,1.726436
1.685828,1.760964
1.691524,1.762276
1.702660,1.792133
1.677572,1.749988
1.726340,1.824901
1.693988,1.761508
1.680196,1.749956
1.706660,1.774116
1.694628,1.793412
1.701700,1.769765
1.679140,1.753508
1.703364,1.772676
1.693252,1.768260
1.711204,1.791012
1.683972,1.753284
1.701508,1.772452
1.694020,1.769092
1.677604,1.751460
1.740965,1.830757
1.683140,1.754628
1.689732,1.759428
1.709092,1.776388
1.688068,1.758181
1.674756,1.743492
1.698116,1.764676
1.709572,1.782116
1.690532,1.757605
1.703524,1.771492
1.661476,1.730724
1.699844,1.773124
1.688804,1.754500
1.679940,1.749637
1.742660,1.817349
1.681060,1.749348
1.736644,1.816996
1.690372,1.764740
1.721156,1.795460
1.715780,1.816292
1.711556,1.781860
1.694596,1.773668
1.703396,1.772196
1.702596,1.777764
1.692004,1.768612
1.704676,1.787076
1.697668,1.768996
1.694724,1.765860
1.682116,1.752900
1.717380,1.792708
1.695524,1.765540
1.718404,1.796900
1.704260,1.774276
1.734820,1.819172
1.705252,1.782564
1.706308,1.782437
1.680356,1.748197
1.698372,1.772261
1.701605,1.770277
1.713860,1.794532
1.675556,1.747044
1.694500,1.771652
1.706788,1.776420
1.695620,1.777572
1.686340,1.762436
1.716772,1.793476
1.674340,1.744165
1.688388,1.759620
1.677572,1.744932
1.699716,1.773124
1.679300,1.747332
1.714084,1.800324
1.710469,1.783077
1.742340,1.814372
1.740548,1.839076
1.701348,1.774661
1.688612,1.763108
1.692292,1.764516
1.681764,1.750020
1.730853,1.812869
1.680228,1.748484
1.728324,1.803172
1.672196,1.741221
1.710212,1.788772
1.715812,1.786276
1.721701,1.796645
1.675876,1.744164
1.692932,1.764612
1.673508,1.742661
1.713316,1.790436
1.696036,1.765348
1.680868,1.751556
1.714884,1.790372
1.746180,1.828997
1.670308,1.743140
1.712356,1.792292
1.682564,1.751332
1.692804,1.771460
1.685477,1.754565
1.691204,1.763332
1.678564,1.744613
1.712068,1.781636
1.674308,1.743108
1.684484,1.759972
1.698948,1.768100
1.698212,1.773380
1.685316,1.753924
1.707652,1.783524
1.676100,1.745508
1.734724,1.825252
1.699684,1.769157
1.714692,1.789028
1.711364,1.782372
1.735780,1.811461
1.711940,1.782628
1.725381,1.800709
1.688900,1.758212
1.699044,1.771940
1.732421,1.806725
1.692420,1.767237
1.711524,1.778660
1.679876,1.748644
1.712804,1.782629
1.707332,1.775172
1.709092,1.790404
1.681444,1.749700
1.705604,1.773028
1.712548,1.783172
1.669476,1.738277
1.708900,1.780996
1.661956,1.728772
1.710853,1.784197
1.676036,1.747812
1.715140,1.786404
1.682276,1.752932
1.694308,1.764229
1.710020,1.800900
1.709284,1.778116
1.707044,1.795108
1.672036,1.740036
1.699524,1.785829
1.675556,1.745060
1.677252,1.743492
1.699172,1.766308
1.709541,1.776421
1.674084,1.742757
1.700804,1.767332
1.689668,1.758116
1.701444,1.768548
1.701700,1.769188
1.671748,1.738788
1.682148,1.753828
1.680228,1.763141
1.659780,1.725668
1.676324,1.743140
1.704740,1.770628
1.701700,1.768420
1.672868,1.739076
1.691652,1.756804
1.696260,1.762564
1.689476,1.758852
1.676964,1.746436
1.680068,1.750212
1.673060,1.740965
1.679652,1.748965
1.705061,1.775109
1.679109,1.748453
1.672804,1.742916
1.675780,1.743780
1.708324,1.773732
1.680068,1.749860
1.698020,1.766692
1.713604,1.786628
1.678212,1.746916
1.711140,1.782948
1.676260,1.743204
1.682276,1.749860
1.716516,1.783780
1.675076,1.746277
1.729893,1.795525
1.706820,1.777412
1.700548,1.772036
1.685636,1.755684
1.678244,1.752292
1.683140,1.750852
1.690949,1.759429
1.693892,1.761796
1.729092,1.800228
1.663748,1.731524
1.697892,1.772292
1.676709,1.746149
1.735396,1.805156
1.678948,1.749956
1.700004,1.775076
1.708165,1.777861
1.716484,1.788068
1.658852,1.724580
1.711396,1.806053
1.694756,1.762244
1.700036,1.769188
1.676900,1.746181
1.693348,1.772068
1.710084,1.779364
1.695332,1.763013
1.717828,1.789604
1.686180,1.754724
1.680036,1.747172
1.726276,1.792164
1.684325,1.751621
1.704132,1.773540
1.695076,1.764325
1.682596,1.752228
1.660196,1.730276
1.677060,1.741349
1.653348,1.718404
1.661188,1.726020
1.659620,1.729317
1.681636,1.760292
1.654148,1.721508
1.679012,1.753636
1.674852,1.743172
1.673412,1.748613
1.674276,1.744868
1.672452,1.742020
1.683172,1.746308
1.682180,1.750724
1.648292,1.718276
1.668292,1.736964
1.706277,1.774917
1.683332,1.751300
1.689796,1.757764
1.698212,1.767364
1.662212,1.728548
1.713124,1.788580
1.661060,1.726308
1.720005,1.799685
1.662084,1.728580
1.732068,1.825956
1.692677,1.758693
1.707300,1.776260
1.673348,1.745444
1.684932,1.759141
1.676164,1.741796
1.707428,1.785348
1.663236,1.728517
1.687076,1.757508
1.697060,1.761508
1.674532,1.745988
1.690308,1.756420
1.680452,1.746372
1.671524,1.740484
1.722276,1.812325
1.702244,1.768740
1.681188,1.752356
1.701892,1.767684
1.712965,1.801413
1.692996,1.756805
1.704612,1.776964
1.664068,1.727780
1.691684,1.766724
1.698405,1.767141
1.713956,1.781125
1.653924,1.723172
1.678692,1.745188
1.686340,1.752452
1.723588,1.804420
1.700036,1.765316
1.712932,1.788164
1.698533,1.765157
1.682724,1.749093
1.663428,1.730308
1.687556,1.754948
1.690820,1.756420
1.684100,1.751780
1.691492,1.755204
1.684516,1.754276
1.670180,1.734308
