Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.165000,0.051328,0.001024,0.013856,0.000384,0.001792,0.009824,0.000576,9.251304
1.697889,0.049984,0.000640,0.013952,0.000608,0.001568,0.002144,0.000320,1.773953
1.709730,0.049280,0.000832,0.013824,0.000416,0.001504,0.002016,0.000416,1.784162
1.710625,0.049824,0.000800,0.014272,0.000384,0.001536,0.002080,0.000576,1.789153
1.669986,0.049888,0.000704,0.015136,0.000448,0.001696,0.001920,0.000640,1.747010
1.710593,0.050208,0.000672,0.014656,0.000416,0.001824,0.001856,0.000640,1.787361
1.708514,0.050144,0.000672,0.014272,0.000416,0.001824,0.001472,0.000608,1.784354
1.694849,0.049632,0.000640,0.014272,0.000384,0.001472,0.001408,0.000384,1.770241
1.708450,0.049504,0.000672,0.014400,0.000448,0.001568,0.001248,0.000352,1.783106
1.706754,0.049248,0.000864,0.013856,0.000416,0.001760,0.001248,0.000416,1.780994
1.701409,0.049888,0.000672,0.013760,0.000384,0.001728,0.001216,0.000352,1.775425
1.701921,0.050784,0.000608,0.013696,0.000416,0.001728,0.001216,0.000384,1.778401
1.673058,0.049536,0.000864,0.013632,0.000416,0.001536,0.001312,0.000384,1.746722
1.701922,0.049152,0.000640,0.013920,0.000384,0.001504,0.001280,0.000384,1.777698
1.678946,0.050304,0.000608,0.014016,0.000448,0.001536,0.001376,0.000352,1.753986
1.759074,0.050976,0.000608,0.014592,0.000416,0.001504,0.001248,0.000384,1.835554
1.714305,0.050785,0.000640,0.014400,0.000416,0.001472,0.001248,0.000352,1.790050
1.712321,0.051232,0.000864,0.014496,0.000416,0.001504,0.001344,0.000448,1.789249
1.677569,0.050176,0.000832,0.014400,0.000416,0.001472,0.001376,0.000384,1.753377
1.699362,0.049856,0.000864,0.014496,0.000416,0.001472,0.001248,0.000384,1.774370
1.676546,0.050624,0.000896,0.013728,0.000448,0.001440,0.001216,0.000352,1.751330
1.698178,0.050176,0.000640,0.013664,0.000448,0.001472,0.001216,0.000384,1.772418
1.689057,0.049600,0.000864,0.013664,0.000384,0.001536,0.001344,0.000352,1.763009
1.718114,0.049632,0.000928,0.013696,0.000384,0.001472,0.001216,0.000384,1.792034
1.659842,0.049792,0.000832,0.013824,0.000480,0.001472,0.001248,0.000384,1.734114
1.723778,0.050784,0.000576,0.014048,0.000384,0.001536,0.001216,0.000416,1.798722
1.703617,0.049024,0.000864,0.013600,0.000416,0.001472,0.001248,0.000352,1.776833
1.688065,0.050400,0.000832,0.013600,0.000384,0.001504,0.001216,0.000384,1.762465
1.661922,0.048896,0.000896,0.013568,0.000448,0.001472,0.001312,0.000352,1.735010
1.678626,0.049376,0.000800,0.013536,0.000416,0.001472,0.001248,0.000384,1.751554
1.701282,0.047968,0.000928,0.013568,0.000416,0.001472,0.001248,0.000384,1.773538
1.736098,0.049312,0.000832,0.014016,0.000448,0.001472,0.001248,0.000352,1.809826
1.670465,0.048512,0.000608,0.013664,0.000416,0.001536,0.001376,0.000352,1.743425
1.738850,0.050624,0.000608,0.013600,0.000448,0.001504,0.001216,0.000384,1.812962
1.670625,0.049888,0.000928,0.013568,0.000384,0.001472,0.001184,0.000416,1.744802
1.694177,0.049728,0.000608,0.013600,0.000480,0.001504,0.001216,0.000352,1.767425
1.681826,0.050176,0.000832,0.013632,0.000352,0.001536,0.001248,0.000384,1.756834
1.743329,0.050528,0.000928,0.013888,0.000416,0.001536,0.001184,0.000416,1.818177
1.662018,0.049408,0.000832,0.013632,0.000416,0.001504,0.001248,0.000352,1.735458
1.733666,0.049696,0.000608,0.013536,0.000384,0.001536,0.001120,0.000416,1.806722
1.657345,0.048096,0.000640,0.013600,0.000416,0.001472,0.001216,0.000320,1.729089
1.692449,0.047872,0.000832,0.013504,0.000384,0.001504,0.000992,0.000384,1.763841
1.682433,0.047808,0.000608,0.013600,0.000416,0.001536,0.001120,0.000384,1.753761
1.702753,0.048288,0.000864,0.013632,0.000416,0.001472,0.001056,0.000384,1.774785
1.670593,0.049472,0.000768,0.013760,0.000352,0.001472,0.001440,0.000416,1.744513
1.678625,0.049504,0.000864,0.013600,0.000352,0.001504,0.001152,0.000352,1.751585
1.701025,0.049760,0.000832,0.013568,0.000384,0.001504,0.001056,0.000448,1.774337
1.707233,0.049376,0.000800,0.013568,0.000352,0.001504,0.001184,0.000416,1.780673
1.665857,0.048064,0.000832,0.013536,0.000384,0.001472,0.001024,0.000384,1.737217
1.726178,0.048032,0.000608,0.013568,0.000352,0.001408,0.001120,0.000352,1.797410
1.691809,0.048352,0.000800,0.013696,0.000416,0.001472,0.001376,0.000352,1.765089
1.690242,0.049248,0.000864,0.013536,0.000384,0.001472,0.001216,0.000416,1.763330
1.675458,0.048640,0.000864,0.013568,0.000416,0.001472,0.001408,0.000384,1.748546
1.725057,0.049728,0.000608,0.013568,0.000384,0.001472,0.001088,0.000384,1.797793
1.659138,0.048800,0.000640,0.013536,0.000416,0.001440,0.001088,0.000416,1.731106
1.732898,0.049152,0.000640,0.013536,0.000384,0.001440,0.000992,0.000352,1.805346
1.689121,0.048864,0.000576,0.013664,0.000384,0.001440,0.001248,0.000352,1.761697
1.726402,0.048704,0.000608,0.013728,0.000416,0.001440,0.001088,0.000384,1.798882
1.681729,0.049216,0.000928,0.013568,0.000384,0.001440,0.001152,0.000480,1.754849
1.688770,0.049376,0.000800,0.013728,0.000448,0.001632,0.001152,0.000352,1.762370
1.667329,0.049024,0.000608,0.013664,0.000384,0.001632,0.001408,0.000576,1.740545
1.712770,0.049280,0.000800,0.013632,0.000384,0.001664,0.001088,0.000416,1.786018
1.669154,0.049792,0.000608,0.013472,0.000384,0.001728,0.001280,0.000352,1.743234
1.714657,0.049600,0.000832,0.013504,0.000448,0.001472,0.001024,0.000352,1.787777
1.667617,0.050272,0.000576,0.013696,0.000384,0.001472,0.001216,0.000416,1.741697
1.693346,0.048160,0.000832,0.013440,0.000384,0.001472,0.001184,0.000384,1.764930
1.650562,0.047776,0.000864,0.013728,0.000352,0.001440,0.001216,0.000416,1.721890
1.672289,0.048128,0.000832,0.013440,0.000384,0.001440,0.001152,0.000384,1.744353
1.664386,0.047968,0.000800,0.013472,0.000384,0.001408,0.001056,0.000384,1.735810
1.717186,0.047904,0.000832,0.013568,0.000384,0.001472,0.001120,0.000352,1.788354
1.660962,0.049056,0.000640,0.013440,0.000416,0.001472,0.001344,0.000320,1.733378
1.674338,0.048544,0.000672,0.013792,0.000416,0.001440,0.001216,0.000384,1.746722
1.700290,0.049152,0.000864,0.013408,0.000416,0.001440,0.001152,0.000384,1.773346
1.674049,0.049472,0.000832,0.013568,0.000416,0.001408,0.001248,0.000384,1.747169
1.697921,0.047904,0.000576,0.013824,0.000352,0.001440,0.001120,0.000384,1.769537
1.665377,0.047840,0.000640,0.013472,0.000384,0.001440,0.001216,0.000384,1.736290
1.698850,0.047840,0.000608,0.013600,0.000416,0.001472,0.001184,0.000384,1.770338
1.726082,0.048608,0.000832,0.013568,0.000416,0.001408,0.001120,0.000416,1.798082
1.661794,0.047584,0.001056,0.013856,0.000384,0.001440,0.001280,0.000416,1.733218
1.680130,0.048480,0.000864,0.013600,0.000384,0.001376,0.001312,0.000384,1.752450
1.663777,0.048896,0.000704,0.013920,0.000416,0.001408,0.001440,0.000448,1.736769
1.703842,0.048768,0.001024,0.013728,0.000416,0.001440,0.001120,0.000384,1.776770
1.703361,0.049088,0.000864,0.013472,0.000416,0.001568,0.001216,0.000352,1.776065
1.677218,0.049184,0.000832,0.013632,0.000384,0.001376,0.001088,0.000384,1.750146
1.711201,0.048160,0.000832,0.013600,0.000384,0.001408,0.001184,0.000384,1.782785
1.712450,0.049280,0.000864,0.013632,0.000416,0.001408,0.001376,0.000352,1.785538
1.667201,0.048064,0.000832,0.013568,0.000416,0.001408,0.001088,0.000384,1.738369
1.680162,0.048160,0.000864,0.013536,0.000352,0.001408,0.001056,0.000384,1.751650
1.665377,0.047904,0.000832,0.013632,0.000416,0.001440,0.001088,0.000384,1.736769
1.720194,0.047872,0.000896,0.013600,0.000384,0.001504,0.001088,0.000384,1.791554
1.661954,0.047808,0.000832,0.013536,0.000384,0.001408,0.001280,0.000352,1.733282
1.728130,0.048544,0.000832,0.013728,0.000352,0.001408,0.001184,0.000384,1.800610
1.703778,0.048192,0.000832,0.013824,0.000384,0.001472,0.001088,0.000416,1.775586
1.655841,0.049952,0.000832,0.013664,0.000416,0.001440,0.001056,0.000352,1.730049
1.692321,0.049568,0.000832,0.013696,0.000448,0.001472,0.001184,0.000384,1.765569
1.676673,0.049824,0.000768,0.013568,0.000448,0.001440,0.001120,0.000384,1.749793
1.701890,0.049856,0.000960,0.013472,0.000384,0.001472,0.001216,0.000384,1.775490
1.675618,0.050048,0.000864,0.013632,0.000384,0.001408,0.001184,0.000480,1.749250
1.697474,0.049280,0.000608,0.013792,0.000448,0.001568,0.001120,0.000352,1.770434
1.679074,0.050464,0.000704,0.013600,0.000416,0.001504,0.001184,0.000384,1.756098
1.662081,0.048352,0.000832,0.013792,0.000416,0.001504,0.001248,0.000384,1.734721
1.701793,0.049024,0.000576,0.013601,0.000416,0.001536,0.001184,0.000416,1.776290
1.703010,0.050784,0.001024,0.013600,0.000448,0.001664,0.001120,0.000384,1.777890
1.648674,0.050592,0.000864,0.013600,0.000384,0.001408,0.001280,0.000448,1.724386
1.655809,0.051200,0.000864,0.013536,0.000416,0.001472,0.001184,0.000384,1.730593
1.670401,0.050368,0.000800,0.013600,0.000416,0.001472,0.001152,0.000384,1.744929
1.658018,0.051616,0.000832,0.013632,0.000416,0.001440,0.001280,0.000416,1.733314
1.672322,0.050240,0.000864,0.013632,0.000384,0.001504,0.001248,0.000352,1.747106
