Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.185486,0.016480,0.000448,0.001504,0.002304,0.000576,9.213806
1.783075,0.016384,0.000480,0.001728,0.001920,0.000576,1.810627
1.713251,0.015488,0.000480,0.001760,0.001408,0.000352,1.737667
1.791203,0.015648,0.000448,0.001728,0.001344,0.000576,1.818339
1.753634,0.015521,0.000480,0.001600,0.001504,0.000544,1.778595
1.802435,0.015200,0.000512,0.001408,0.001216,0.000608,1.826947
1.705346,0.015296,0.000448,0.001472,0.001280,0.000352,1.729506
1.792611,0.015200,0.000448,0.001472,0.000928,0.000352,1.816323
1.729666,0.014272,0.000448,0.001504,0.001024,0.000352,1.752450
1.759491,0.015072,0.000480,0.001504,0.000928,0.000352,1.783107
1.747810,0.014304,0.000480,0.001440,0.000992,0.000352,1.770082
1.744643,0.014976,0.000512,0.001504,0.000992,0.000384,1.768419
1.693379,0.014400,0.000480,0.001472,0.000960,0.000352,1.715715
1.803394,0.014689,0.000512,0.001376,0.000992,0.000384,1.826851
1.714755,0.014336,0.000512,0.001408,0.000896,0.000352,1.737443
1.730883,0.014976,0.000480,0.001472,0.001056,0.000352,1.754627
1.729154,0.014880,0.000480,0.001440,0.001344,0.000352,1.752962
1.737539,0.015136,0.000544,0.001472,0.001440,0.000384,1.762115
1.719811,0.014848,0.000480,0.001536,0.001248,0.000608,1.743523
1.749603,0.015264,0.000704,0.001568,0.001312,0.000640,1.776067
1.738307,0.014880,0.000480,0.001504,0.000928,0.000352,1.761699
1.738179,0.015584,0.000480,0.001472,0.001024,0.000320,1.763171
1.721218,0.014304,0.000544,0.001504,0.001024,0.000384,1.743746
1.741410,0.014432,0.000448,0.001504,0.001152,0.000384,1.764770
1.736834,0.014240,0.000480,0.001536,0.001056,0.000352,1.759458
1.767330,0.014464,0.000480,0.001504,0.000992,0.000416,1.791394
1.729923,0.014976,0.000512,0.001568,0.001248,0.000416,1.755139
1.736643,0.014592,0.000480,0.001536,0.001536,0.000320,1.760547
1.751203,0.014368,0.000480,0.001408,0.001024,0.000384,1.774179
1.734882,0.014432,0.000448,0.001536,0.001024,0.000352,1.758050
1.714594,0.014496,0.000448,0.001536,0.001024,0.000352,1.737282
1.769059,0.015872,0.000544,0.001600,0.002208,0.000576,1.798659
1.717411,0.015008,0.000544,0.001664,0.001088,0.000576,1.741923
1.737539,0.015616,0.000480,0.001568,0.001312,0.000576,1.762947
1.718018,0.014496,0.000448,0.001504,0.001120,0.000352,1.740994
1.760354,0.015552,0.000480,0.001504,0.001024,0.000416,1.785250
1.741859,0.014592,0.000512,0.001536,0.000992,0.000384,1.765027
1.738499,0.014496,0.000448,0.001568,0.000992,0.000384,1.761315
1.743939,0.015264,0.000480,0.001568,0.001024,0.000384,1.769347
1.768963,0.016064,0.000736,0.001728,0.001568,0.000608,1.796419
1.717443,0.015456,0.000480,0.001728,0.000992,0.000352,1.741539
1.730211,0.016000,0.000448,0.001536,0.001088,0.000384,1.755043
1.719779,0.015584,0.000480,0.001568,0.001152,0.000384,1.744483
1.740514,0.014816,0.000512,0.001600,0.001120,0.000384,1.764226
1.708099,0.014496,0.000480,0.001536,0.000960,0.000320,1.730915
1.737250,0.015552,0.000448,0.001504,0.001088,0.000320,1.762370
1.739107,0.014496,0.000512,0.001568,0.000992,0.000384,1.762115
1.728995,0.015232,0.000480,0.001536,0.001088,0.000384,1.753411
1.748483,0.014432,0.000448,0.001536,0.001056,0.000352,1.771747
1.725634,0.015136,0.000480,0.001472,0.001056,0.000384,1.750050
1.742339,0.014400,0.000448,0.001536,0.001312,0.000320,1.765603
1.738307,0.014528,0.000448,0.001472,0.000992,0.000384,1.761699
1.698146,0.014464,0.000448,0.001440,0.001088,0.000384,1.720738
1.727139,0.014592,0.000480,0.001440,0.000960,0.000384,1.749859
1.743267,0.014560,0.000448,0.001440,0.000928,0.000416,1.765859
1.722786,0.014657,0.000480,0.001440,0.001376,0.000352,1.746851
1.723170,0.014496,0.000512,0.001440,0.001024,0.000384,1.746338
1.777571,0.015456,0.000512,0.001440,0.001088,0.000384,1.801539
1.746691,0.014528,0.000480,0.001504,0.000960,0.000384,1.769475
1.725443,0.014528,0.000960,0.001472,0.000928,0.000416,1.748451
1.738019,0.014464,0.000448,0.001440,0.000992,0.000384,1.761059
