Layer[0],Layer[10],classifier
0.516385,8.094167,8.695768
0.418817,0.736930,1.230212
0.417345,0.741635,1.226756
0.417346,0.740706,1.232996
0.416609,0.707810,1.195779
0.421633,0.704354,1.192867
0.430497,0.711170,1.208259
0.416801,0.723554,1.207587
0.420417,0.716002,1.205315
0.416545,0.703170,1.188643
0.416385,0.712642,1.199876
0.416993,0.735938,1.227108
0.421410,0.735426,1.224420
0.416545,0.710242,1.196707
0.420449,0.727970,1.217443
0.416257,0.706626,1.191203
0.416001,0.708514,1.194339
0.435265,0.730754,1.235427
0.415841,0.707074,1.192707
0.416001,0.704738,1.187972
0.416322,0.743362,1.231812
0.417025,0.718242,1.205923
0.415649,0.750530,1.245987
0.417313,0.718690,1.207491
0.417313,0.718914,1.209603
0.420449,0.727010,1.224612
0.416386,0.742274,1.231812
0.416481,0.714082,1.202947
0.439937,0.706690,1.219107
0.416513,0.701282,1.191459
0.420833,0.703010,1.196291
0.416609,0.706594,1.196836
0.416802,0.714850,1.201252
0.421601,0.733506,1.231587
0.421473,0.702018,1.192003
0.420577,0.714818,1.208067
0.420481,0.733858,1.227811
0.420897,0.708930,1.204228
0.421090,0.721090,1.212516
0.432993,0.714242,1.222595
0.417505,0.713698,1.201731
0.416033,0.708610,1.199747
0.417185,0.702562,1.192195
0.417057,0.710050,1.198948
0.416386,0.727394,1.220100
0.415969,0.710626,1.198915
0.416929,0.704674,1.189699
0.416609,0.725954,1.215523
0.416449,0.715746,1.201796
0.416513,0.728290,1.216996
0.435233,0.715970,1.223875
0.417441,0.719490,1.210211
0.420961,0.717250,1.232867
0.420769,0.712258,1.204835
0.419777,0.713666,1.205700
0.416257,0.733186,1.224707
0.416481,0.703010,1.189155
0.416257,0.713858,1.201091
0.433441,0.716866,1.226915
0.417441,0.709730,1.195044
0.416258,0.706850,1.191076
0.435969,0.750498,1.262563
0.420897,0.714914,1.209091
0.416193,0.744034,1.232740
0.416322,0.715330,1.203204
0.417025,0.708834,1.193763
0.417345,0.738498,1.228067
0.417953,0.716802,1.206659
0.417665,0.702626,1.188420
0.430850,0.707682,1.208004
0.416833,0.722018,1.214755
0.420417,0.707298,1.198723
0.415425,0.696130,1.180739
0.416801,0.720482,1.209124
0.421026,0.716386,1.213700
0.417697,0.714626,1.204675
0.421153,0.743426,1.243587
0.415905,0.732226,1.222564
0.419681,0.715362,1.205411
0.417057,0.713762,1.199779
0.438945,0.726690,1.238659
0.420737,0.711042,1.202404
0.416386,0.736194,1.222948
0.420801,0.708034,1.196963
0.421409,0.715234,1.205475
0.416161,0.728994,1.214276
0.420770,0.703426,1.194820
0.416481,0.715042,1.203331
0.421985,0.735266,1.229155
0.416737,0.701794,1.186563
0.416801,0.706786,1.195588
0.457122,0.713410,1.244228
0.416033,0.713506,1.200963
0.416097,0.714466,1.201955
0.416033,0.711362,1.197636
0.420834,0.701122,1.191812
0.421825,0.722658,1.220035
0.422529,0.713154,1.206659
0.416481,0.755074,1.242948
0.420994,0.737378,1.235908
0.416641,0.720290,1.211043
0.417409,0.713474,1.202531
0.439201,0.726370,1.235140
0.420769,0.715842,1.206723
0.420833,0.715842,1.234115
0.420641,0.701090,1.191587
0.419617,0.736994,1.227012
0.416705,0.732642,1.219811
0.420961,0.702722,1.192579
0.416481,0.710338,1.196099
0.416673,0.735842,1.226724
0.416033,0.700834,1.188899
0.421025,0.711522,1.203491
0.433665,0.709442,1.213027
0.422209,0.739970,1.231876
0.416225,0.747522,1.264451
0.416033,0.712066,1.200867
0.420545,0.736962,1.226052
0.416482,0.722306,1.210084
0.421473,0.725666,1.218595
0.416225,0.718242,1.208899
0.461666,0.715682,1.254596
0.421473,0.714818,1.206243
0.416385,0.738178,1.225603
0.421761,0.714145,1.206404
0.416769,0.713346,1.201571
0.420065,0.730082,1.219203
0.416289,0.702434,1.187300
0.421154,0.698721,1.187908
0.421089,0.735170,1.233059
0.417505,0.727746,1.220611
0.416097,0.740835,1.228676
0.438145,0.719618,1.232611
0.416481,0.746178,1.233827
0.417026,0.739458,1.229988
0.420865,0.725218,1.218947
0.416289,0.709218,1.194179
0.416865,0.757955,1.247396
0.421089,0.711586,1.204707
0.417025,0.732322,1.220099
0.418625,0.734626,1.227140
0.421153,0.736962,1.235171
0.421249,0.706082,1.198755
0.439841,0.715874,1.224612
0.420737,0.745826,1.235619
0.421281,0.713058,1.228259
0.421153,0.713826,1.206820
0.422177,0.722274,1.217571
0.420929,0.721282,1.215715
0.417057,0.719362,1.211907
0.416962,0.714274,1.202084
0.440833,0.749410,1.263395
0.419873,0.710338,1.198756
0.420610,0.737442,1.230596
0.420673,0.716578,1.206307
0.417121,0.715746,1.200676
0.420578,0.770978,1.265828
0.417185,0.713602,1.202723
0.416001,0.713794,1.202116
0.419297,0.736450,1.229635
0.417953,0.715842,1.205635
0.417089,0.745667,1.232484
0.435137,0.731074,1.236323
0.416705,0.712930,1.199523
0.421602,0.742114,1.234020
0.421441,0.716194,1.205795
0.421409,0.713026,1.205795
0.416802,0.731714,1.221156
0.420929,0.738594,1.230723
0.417185,0.709602,1.197348
0.416290,0.773730,1.261860
0.416609,0.703970,1.190499
0.421441,0.744227,1.235844
0.438593,0.716002,1.223651
0.421281,0.735234,1.226819
0.418497,0.739330,1.232516
0.416673,0.716482,1.205603
0.416513,0.743202,1.228388
0.417057,0.731938,1.221507
0.416705,0.709314,1.198787
0.420642,0.717026,1.208004
0.437057,0.714946,1.223651
0.416129,0.716546,1.202499
0.420802,0.706370,1.195620
0.420257,0.715042,1.205571
0.421249,0.703778,1.192675
0.416450,0.793890,1.288964
0.416865,0.708482,1.195331
0.417218,0.738786,1.226020
0.416737,0.725954,1.215395
0.416578,0.740002,1.225156
0.421281,0.732226,1.222915
0.434593,0.714370,1.219780
0.416481,0.705602,1.193731
0.416673,0.707362,1.219331
0.417025,0.701378,1.187236
0.416385,0.718018,1.207811
0.421025,0.730594,1.221411
0.416834,0.720642,1.210468
0.423169,0.705410,1.198755
0.442369,0.714050,1.225060
0.416289,0.708738,1.194787
0.416129,0.705666,1.191107
0.437249,0.705474,1.212548
0.416385,0.705218,1.190051
0.416065,0.711746,1.229123
0.420865,0.746338,1.235524
0.416353,0.707074,1.193251
0.421153,0.724674,1.218051
0.417314,0.710050,1.204516
0.416929,0.714818,1.203043
0.444513,0.733571,1.251652
0.421185,0.721090,1.213507
0.416385,0.708962,1.198564
0.416929,0.741282,1.240323
0.416609,0.701378,1.187459
0.416705,0.755906,1.248803
0.421665,0.702274,1.195075
0.444674,0.726690,1.250532
0.416385,0.758594,1.257283
0.416418,0.710370,1.195940
0.416225,0.701250,1.187683
0.436321,0.718562,1.228452
0.416897,0.716194,1.203875
0.421025,0.713826,1.226787
0.416546,0.714690,1.201508
0.416513,0.715010,1.204675
0.420545,0.734211,1.226244
0.416321,0.718946,1.207011
0.416833,0.716898,1.204675
0.435265,0.716322,1.220675
0.420737,0.713058,1.206627
0.416514,0.749858,1.238180
0.420513,0.716450,1.206083
0.420802,0.715938,1.209348
0.421057,0.734434,1.234723
0.421153,0.712034,1.202084
0.420737,0.710210,1.200579
0.421825,0.736546,1.241156
0.416641,0.714594,1.201379
0.416641,0.719810,1.206851
0.431810,0.752802,1.258020
0.416193,0.747362,1.239171
0.416610,0.715298,1.200580
0.420865,0.708578,1.197091
0.420417,0.739715,1.230820
0.420833,0.744450,1.246467
0.420993,0.718242,1.209156
0.417761,0.723746,1.212483
0.417281,0.778595,1.266404
0.416929,0.717762,1.204227
0.416385,0.711362,1.195684
0.437697,0.718242,1.224291
0.416353,0.710882,1.194627
0.420449,0.723490,1.215747
0.420577,0.737986,1.227875
0.415809,0.698498,1.183523
0.416257,0.729186,1.220803
0.415426,0.714146,1.205060
0.420897,0.717858,1.209795
0.433793,0.714658,1.221860
0.421313,0.713698,1.206051
0.417025,0.717026,1.204227
0.421281,0.726594,1.218787
0.416065,0.713474,1.200483
0.416513,0.735042,1.226115
0.415937,0.713666,1.199939
0.415233,0.713474,1.199331
0.416033,0.736738,1.226979
0.417218,0.752034,1.240292
0.421249,0.715138,1.207907
0.440162,0.716642,1.225508
0.420961,0.712322,1.202787
0.416290,0.701793,1.188516
0.420481,0.700706,1.190755
0.421153,0.742082,1.238532
0.415969,0.733410,1.221091
0.417857,0.703650,1.190948
0.415201,0.725090,1.214979
0.420385,0.764802,1.260740
0.420225,0.701730,1.192131
0.416097,0.714850,1.201700
0.433057,0.746626,1.254499
0.416193,0.715458,1.201732
0.421985,0.718338,1.211043
0.416385,0.711330,1.198692
0.420801,0.712546,1.205827
0.416641,0.761858,1.251812
0.420929,0.742658,1.234595
0.416737,0.701442,1.187172
0.417537,0.759938,1.248643
0.416609,0.736578,1.224548
0.421249,0.757538,1.247939
