Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.527905,8.152439,0.016640,0.000640,8.704056
0.419873,0.799394,0.001664,0.000320,1.229091
0.417953,0.773762,0.001408,0.000320,1.198371
0.434978,0.780610,0.001536,0.000384,1.222500
0.418689,0.772707,0.001408,0.000352,1.199140
0.417409,0.773986,0.001280,0.000448,1.198019
0.417857,0.776258,0.001216,0.000416,1.201059
0.415969,0.770242,0.001440,0.000416,1.193315
0.416705,0.791938,0.001280,0.000448,1.215235
0.416577,0.796642,0.001376,0.000416,1.220803
0.417377,0.774562,0.001344,0.000416,1.198659
0.416258,0.817442,0.001472,0.000384,1.241380
0.416322,0.774370,0.001376,0.000352,1.197732
0.416482,0.802978,0.001504,0.000384,1.226468
0.436898,0.782082,0.001344,0.000416,1.225892
0.421153,0.805027,0.001344,0.000384,1.232772
0.420769,0.786979,0.001344,0.000384,1.215780
0.416769,0.781731,0.001408,0.000384,1.205668
0.417857,0.776322,0.001440,0.000384,1.201699
0.417185,0.782018,0.001408,0.000448,1.205955
0.417025,0.774818,0.001536,0.000384,1.198883
0.416609,0.782434,0.001312,0.000384,1.206787
0.417569,0.790594,0.001312,0.000384,1.215619
0.421473,0.772770,0.001600,0.000384,1.201507
0.416321,0.769794,0.001376,0.000352,1.193539
0.435041,0.781186,0.001440,0.000448,1.223235
0.416226,0.768290,0.001312,0.000384,1.191012
0.416321,0.770851,0.001280,0.000416,1.193828
0.420417,0.772674,0.001312,0.000384,1.200355
0.420993,0.771618,0.001344,0.000448,1.199363
0.416193,0.796578,0.001568,0.000416,1.220387
0.416865,0.784642,0.001312,0.000384,1.209827
0.418881,0.777058,0.001440,0.000416,1.203779
0.416929,0.784418,0.001344,0.000416,1.208131
0.416769,0.774818,0.001344,0.000416,1.198691
0.416865,0.767970,0.001376,0.000480,1.191459
0.438529,0.767746,0.001344,0.000416,1.213283
0.421025,0.773538,0.001408,0.000544,1.201379
0.416834,0.763618,0.001504,0.000384,1.188196
0.436834,0.783778,0.001376,0.000384,1.227460
0.415586,0.773378,0.001344,0.000416,1.195844
0.416225,0.806179,0.001440,0.000384,1.230916
0.416194,0.775362,0.001216,0.000384,1.198404
0.416737,0.774371,0.001312,0.000512,1.198596
0.421921,0.801379,0.001472,0.000384,1.230308
0.416897,0.772738,0.001376,0.000384,1.196867
0.421025,0.761090,0.001312,0.000384,1.188131
0.415553,0.786434,0.001312,0.000416,1.208739
0.416193,0.768322,0.001344,0.000416,1.190883
0.415873,0.759810,0.001312,0.000416,1.182531
0.428449,0.775586,0.001440,0.000448,1.211555
0.416737,0.756770,0.001312,0.000416,1.180035
0.416321,0.767074,0.001344,0.000416,1.190115
0.421218,0.766882,0.001408,0.000416,1.194948
0.416162,0.757410,0.001248,0.000416,1.180228
0.417025,0.811747,0.001504,0.000416,1.236388
0.416353,0.774307,0.001376,0.000416,1.197316
0.416353,0.754434,0.001408,0.000448,1.177987
0.416449,0.786082,0.001280,0.000416,1.208995
0.416577,0.757314,0.001376,0.000416,1.180707
0.416673,0.769794,0.001312,0.000448,1.193379
0.417313,0.780162,0.001472,0.000448,1.204803
0.416545,0.763202,0.001408,0.000416,1.186275
0.421505,0.755138,0.001216,0.000448,1.183011
0.434273,0.785218,0.001408,0.000416,1.226211
0.416449,0.766114,0.001504,0.000352,1.189283
0.416673,0.765378,0.001472,0.000352,1.188611
0.416769,0.766530,0.001312,0.000384,1.189827
0.416833,0.766466,0.001440,0.000384,1.189763
0.421730,0.784162,0.001344,0.000384,1.212932
0.420993,0.795714,0.001536,0.000384,1.224291
0.416577,0.768930,0.001344,0.000352,1.192707
0.416321,0.788706,0.001472,0.000352,1.211843
0.415713,0.792450,0.001376,0.000352,1.214531
0.415937,0.770658,0.001408,0.000384,1.192931
