Layer[0],Layer[9],Layer[10],classifier
0.535010,8.161270,0.001024,8.703928
0.418017,0.821730,0.001056,1.247811
0.422433,0.783234,0.000928,1.212899
0.425826,0.776322,0.000768,1.208452
0.425473,0.798466,0.000832,1.230435
0.425697,0.784066,0.000704,1.216931
0.425698,0.781954,0.000736,1.213700
0.437505,0.770050,0.000928,1.213763
0.425377,0.786882,0.000704,1.219491
0.425986,0.780322,0.000640,1.212708
0.421057,0.833603,0.001024,1.267748
0.421153,0.782947,0.000896,1.211524
0.425569,0.808898,0.000800,1.241603
0.416705,0.771170,0.000864,1.193411
0.416130,0.766402,0.000832,1.188388
0.416545,0.806178,0.000736,1.228355
0.425889,0.780770,0.000736,1.212995
0.425473,0.791202,0.000864,1.223395
0.454306,0.773410,0.000768,1.233860
0.426529,0.785826,0.000768,1.217827
0.425729,0.835746,0.000864,1.266659
0.421537,0.782818,0.000928,1.211651
0.420769,0.781283,0.000768,1.207940
0.426049,0.800770,0.000736,1.232451
0.425537,0.775426,0.000768,1.206787
0.415586,0.792738,0.000864,1.214852
0.441665,0.774466,0.000768,1.221795
0.425153,0.767074,0.000640,1.198339
0.425058,0.774594,0.000544,1.205636
0.437921,0.772195,0.000672,1.215940
0.421953,0.788066,0.000640,1.215363
0.421729,0.807650,0.000928,1.236483
0.425634,0.766242,0.000672,1.197444
0.424737,0.787011,0.000704,1.216740
0.420929,0.805026,0.000800,1.231779
0.426561,0.795842,0.001184,1.230563
0.420481,0.784482,0.000896,1.210659
0.440065,0.788162,0.000800,1.235140
0.421409,0.786018,0.000736,1.212963
0.425825,0.778818,0.000832,1.210179
0.425249,0.798274,0.000704,1.228419
0.425986,0.786338,0.000992,1.220740
0.420769,0.846307,0.000768,1.272932
0.425569,0.778402,0.000992,1.209379
0.420513,0.807778,0.000864,1.233699
0.420577,0.802018,0.000672,1.227843
0.424898,0.770178,0.000800,1.200996
0.426081,0.792194,0.000928,1.223779
0.438561,0.811874,0.000832,1.256675
0.420577,0.758626,0.000864,1.184835
0.420417,0.825123,0.001024,1.252132
0.420545,0.783555,0.000704,1.211876
0.425857,0.783778,0.000864,1.216707
0.420929,0.795554,0.000800,1.223523
0.425154,0.785954,0.000704,1.217316
0.420289,0.803651,0.000736,1.229604
0.444001,0.786306,0.000832,1.236035
0.420481,0.780770,0.000672,1.206627
0.420450,0.775650,0.000800,1.201700
0.440993,0.794179,0.000800,1.241668
0.425121,0.778434,0.000768,1.210531
0.415585,0.836066,0.000768,1.258115
0.420225,0.772610,0.000832,1.198435
0.419745,0.764163,0.000704,1.189188
0.416801,0.799202,0.000832,1.222051
0.425217,0.773922,0.000672,1.204835
0.416418,0.806754,0.000832,1.228740
0.449665,0.801763,0.000832,1.257764
0.425921,0.763618,0.000864,1.194691
0.420001,0.773186,0.000928,1.198755
0.443201,0.786306,0.000768,1.235683
0.416066,0.776898,0.000608,1.199460
0.426017,0.864163,0.000832,1.295748
0.424033,0.827907,0.000928,1.260676
0.421313,0.807234,0.000864,1.234819
0.421793,0.823874,0.001056,1.251683
0.425345,0.780354,0.000768,1.211523
0.416065,0.789634,0.000864,1.211363
0.433250,0.794562,0.000992,1.235140
0.420769,0.785699,0.000864,1.212196
0.420769,0.788706,0.000832,1.216035
0.420865,0.785858,0.000704,1.213219
0.421345,0.795138,0.000672,1.222531
0.425762,0.858978,0.000960,1.290692
0.415554,0.780258,0.000768,1.201476
0.420033,0.815939,0.000768,1.242660
0.443873,0.810371,0.000992,1.260100
0.424737,0.809794,0.000864,1.242115
0.425441,0.777122,0.000928,1.209731
0.420449,0.823362,0.000864,1.250371
0.416641,0.779170,0.000768,1.202371
0.425890,0.834338,0.001120,1.266788
0.425697,0.791650,0.000736,1.223332
0.417057,0.815619,0.001024,1.238596
0.420481,0.817346,0.000832,1.244227
0.425537,0.773762,0.000736,1.204707
0.420513,0.842594,0.000832,1.269251
0.428001,0.788706,0.000704,1.222627
0.420930,0.787010,0.000704,1.213508
0.425537,0.769635,0.000704,1.200452
0.425633,0.790946,0.000672,1.222851
0.415809,0.794434,0.000800,1.216835
0.425889,0.816770,0.000992,1.249539
0.425633,0.770914,0.000736,1.201987
0.420738,0.775042,0.000576,1.201604
0.420577,0.811490,0.000736,1.238084
0.425825,0.773858,0.000800,1.205955
0.426817,0.775938,0.000832,1.208163
0.447361,0.798338,0.000992,1.252227
0.416450,0.788610,0.000704,1.210468
0.420353,0.792227,0.000864,1.219620
0.425729,0.792963,0.000928,1.224612
0.425249,0.783554,0.000800,1.214563
0.415873,0.819586,0.000960,1.241475
0.425473,0.768930,0.000800,1.200099
0.425377,0.812066,0.000768,1.243779
0.439393,0.836226,0.000864,1.283011
0.420801,0.784994,0.000672,1.211555
0.427170,0.797602,0.000992,1.232452
0.426178,0.768290,0.000640,1.199812
0.421441,0.781219,0.000832,1.208836
0.425857,0.802370,0.001024,1.235171
0.421153,0.784450,0.000736,1.212035
0.426049,0.770210,0.000832,1.201507
0.420673,0.826082,0.001024,1.253347
0.425186,0.775650,0.000704,1.207108
0.425602,0.814690,0.000800,1.246340
0.434177,0.780995,0.000864,1.221028
0.425569,0.785954,0.000960,1.218051
0.420545,0.786530,0.000992,1.212611
0.425249,0.776482,0.000768,1.208291
0.425217,0.786178,0.001120,1.218051
0.420257,0.862242,0.000832,1.288483
0.425953,0.820066,0.000832,1.251971
0.426241,0.773506,0.001024,1.205859
0.425762,0.797282,0.000864,1.229668
0.416513,0.769699,0.001024,1.192484
0.424769,0.777186,0.000928,1.207523
0.442113,0.789666,0.000864,1.237859
0.425217,0.835202,0.001120,1.267491
0.425313,0.842690,0.000800,1.274403
0.425441,0.771874,0.000896,1.203619
0.422017,0.782498,0.000640,1.210563
0.425473,0.818914,0.000800,1.249923
0.420513,0.773282,0.000640,1.199523
0.425410,0.774882,0.000736,1.205604
0.425729,0.810531,0.000928,1.242148
0.420161,0.785763,0.000704,1.211492
0.420321,0.785635,0.000704,1.211332
0.433633,0.772450,0.000704,1.212099
0.425953,0.787490,0.000896,1.219267
0.425569,0.833794,0.000960,1.265475
0.425281,0.771682,0.000800,1.202115
0.425505,0.771458,0.001024,1.203299
0.420098,0.798306,0.000928,1.225060
0.424898,0.771650,0.000672,1.202052
0.425409,0.765059,0.000608,1.195940
0.425217,0.804386,0.000736,1.236035
0.419777,0.770754,0.000608,1.195939
0.418145,0.796354,0.000864,1.220803
0.439841,0.818658,0.000768,1.264835
0.425793,0.770210,0.000928,1.201763
0.425889,0.762530,0.000736,1.194179
0.419905,0.782818,0.000704,1.208963
0.420226,0.782434,0.000896,1.208452
0.425602,0.797154,0.000864,1.229412
0.420001,0.766947,0.000704,1.193188
0.420545,0.769602,0.000672,1.195715
0.425217,0.803906,0.000832,1.235523
0.425409,0.789730,0.000768,1.220931
0.415617,0.783490,0.001056,1.205091
0.440513,0.793570,0.000800,1.239971
0.419937,0.772994,0.000768,1.198371
0.420481,0.762082,0.000672,1.187779
0.419713,0.774018,0.000672,1.198691
0.425954,0.780098,0.000672,1.211268
0.426818,0.792034,0.000896,1.223940
0.425025,0.804803,0.000736,1.235876
0.419745,0.773283,0.000704,1.197828
0.420577,0.848547,0.000800,1.276388
0.420129,0.781411,0.001024,1.206564
0.425921,0.772387,0.000672,1.203364
0.430049,0.769954,0.000768,1.205411
0.425537,0.785186,0.000640,1.216323
0.416225,0.788194,0.000896,1.210179
0.425473,0.779490,0.000704,1.210147
0.420449,0.778978,0.000896,1.204675
0.425601,0.824546,0.000736,1.255523
0.420353,0.757858,0.000832,1.183363
0.420545,0.786882,0.000608,1.214563
0.425601,0.807746,0.000704,1.238243
0.426337,0.769026,0.000704,1.200995
0.424802,0.780098,0.000672,1.210404
0.441698,0.783682,0.000704,1.231236
0.420321,0.780035,0.000640,1.205764
0.420065,0.759171,0.000928,1.184964
0.419777,0.778210,0.000736,1.203459
0.425089,0.799042,0.000800,1.230051
0.425345,0.822563,0.000832,1.254084
0.420801,0.768418,0.000864,1.195907
0.425889,0.771874,0.000832,1.203651
0.425281,0.800706,0.000896,1.232291
0.425793,0.766658,0.000640,1.197891
0.425185,0.773858,0.000864,1.205443
0.438433,0.784130,0.000960,1.229219
0.420289,0.780994,0.000800,1.206627
0.416417,0.795330,0.000768,1.216835
0.420161,0.794626,0.000960,1.220707
0.420225,0.767746,0.000864,1.193379
0.425601,0.820034,0.000800,1.253091
0.421025,0.787266,0.000768,1.214179
0.425345,0.782530,0.000800,1.213987
0.420513,0.825762,0.000960,1.252035
0.425153,0.810466,0.001024,1.241923
0.425825,0.786978,0.000896,1.218403
0.440961,0.788610,0.000672,1.235395
0.425377,0.784258,0.000608,1.214467
0.416033,0.771458,0.000960,1.193283
0.420673,0.783714,0.000960,1.210627
0.425569,0.774658,0.000864,1.205923
0.425505,0.843074,0.000832,1.275171
0.420321,0.792770,0.000960,1.218787
0.425729,0.788066,0.000928,1.219683
0.424929,0.809442,0.000960,1.240804
0.416257,0.780418,0.000704,1.202467
0.420033,0.775746,0.000736,1.201059
0.441921,0.774050,0.000928,1.222787
0.420033,0.781859,0.000704,1.207428
0.420449,0.787619,0.000768,1.214980
0.425153,0.791875,0.000736,1.223460
0.416673,0.796195,0.000960,1.218308
0.420833,0.794275,0.000736,1.221572
0.420929,0.783203,0.000672,1.210404
0.417665,0.781635,0.000896,1.204612
0.419841,0.804355,0.000960,1.230340
0.415617,0.786210,0.000896,1.207396
0.415778,0.771810,0.000736,1.193572
