Layer[0],Layer[1],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.511874,0.017568,8.094774,0.052385,0.000608,0.013568,0.000640,0.001568,0.012000,0.000608,8.714841
0.418433,0.017504,0.716962,0.049696,0.000640,0.013760,0.000384,0.001440,0.001312,0.000352,1.228899
0.421793,0.017824,0.697538,0.050049,0.000640,0.014176,0.000608,0.001536,0.001344,0.000576,1.215204
0.422818,0.017472,0.686210,0.048800,0.000672,0.014176,0.000608,0.001760,0.001216,0.000352,1.201860
0.416833,0.017344,0.677602,0.048288,0.000640,0.014240,0.000416,0.001696,0.001152,0.000384,1.186691
0.420961,0.017344,0.720930,0.052608,0.000608,0.014304,0.000448,0.001600,0.001056,0.000352,1.237891
0.416769,0.017569,0.692161,0.049953,0.000832,0.014240,0.000448,0.001952,0.001152,0.000352,1.204036
0.420577,0.017216,0.679842,0.049568,0.000640,0.013632,0.000448,0.001632,0.001056,0.000384,1.192803
0.417441,0.017472,0.725570,0.052352,0.000640,0.013568,0.000416,0.001536,0.001152,0.000384,1.239235
0.416641,0.017440,0.688226,0.049184,0.001024,0.013440,0.000384,0.001536,0.001216,0.000384,1.197155
0.416865,0.017344,0.681281,0.052481,0.000768,0.013472,0.000384,0.001504,0.001344,0.000384,1.194628
0.442273,0.017440,0.674818,0.052032,0.000640,0.013696,0.000416,0.001600,0.001184,0.000384,1.212323
0.422817,0.017248,0.691426,0.049376,0.000640,0.014016,0.000416,0.001568,0.001152,0.000608,1.207299
0.421825,0.017504,0.691330,0.050752,0.001280,0.013664,0.000416,0.001824,0.001248,0.000384,1.209155
0.422402,0.017920,0.696258,0.048736,0.001056,0.013536,0.000384,0.001504,0.001248,0.000352,1.211780
0.416257,0.017376,0.688514,0.048288,0.000736,0.013600,0.000416,0.001664,0.001216,0.000384,1.196419
0.422145,0.017408,0.738594,0.058752,0.000896,0.013664,0.000448,0.001472,0.001184,0.000416,1.262851
0.422369,0.017472,0.674274,0.049632,0.000704,0.013569,0.000448,0.001568,0.001120,0.000352,1.189828
0.421250,0.017536,0.683426,0.048448,0.000608,0.013696,0.000416,0.001568,0.001344,0.000384,1.196228
0.420897,0.017472,0.714946,0.048832,0.000672,0.013760,0.000416,0.001472,0.001152,0.000384,1.228931
0.422081,0.017280,0.690466,0.049792,0.000640,0.013504,0.000448,0.001600,0.001280,0.000352,1.205763
0.423970,0.017888,0.714594,0.048960,0.000672,0.013984,0.000352,0.001472,0.001376,0.000352,1.233380
