Layer[0],Layer[1],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.536513,0.017664,8.158423,0.000864,0.002944,0.002336,0.000384,8.726328
0.418466,0.017376,0.762498,0.000896,0.002848,0.001856,0.000352,1.211812
0.421089,0.017344,0.775650,0.000864,0.002304,0.001536,0.000608,1.226499
0.420641,0.017504,0.759042,0.000704,0.002400,0.001600,0.000352,1.208675
0.421026,0.017440,0.756834,0.000736,0.002112,0.001184,0.000352,1.206308
0.427713,0.017888,0.824962,0.001088,0.003616,0.001632,0.000608,1.289219
0.416065,0.017632,0.750147,0.000928,0.002272,0.001024,0.000576,1.196100
0.415874,0.017600,0.746210,0.000800,0.002464,0.001088,0.000608,1.190884
0.429409,0.017312,0.738754,0.000768,0.002304,0.001056,0.000416,1.196291
0.415553,0.020992,0.732194,0.000864,0.002144,0.000992,0.000320,1.180355
0.415969,0.017408,0.752770,0.000736,0.002496,0.000960,0.000384,1.197763
0.415617,0.020992,0.745602,0.000800,0.002624,0.001024,0.000384,1.193411
0.415297,0.017472,0.760130,0.000800,0.002144,0.000992,0.000352,1.203875
0.415137,0.017472,0.756931,0.000736,0.003232,0.000928,0.000352,1.200644
0.415170,0.017216,0.732418,0.001152,0.003328,0.000928,0.000384,1.177988
0.415202,0.017664,0.740866,0.000736,0.002208,0.000928,0.000352,1.183684
0.415329,0.020992,0.760514,0.000800,0.003232,0.000992,0.000320,1.208387
0.416065,0.017312,0.736386,0.000800,0.002048,0.000928,0.000288,1.179331
0.415649,0.017216,0.730850,0.000832,0.002080,0.000960,0.000320,1.173859
0.420993,0.017632,0.789218,0.000704,0.002432,0.001024,0.000320,1.240195
0.420865,0.017312,0.745283,0.000672,0.002752,0.000928,0.000384,1.194084
0.416129,0.017409,0.750690,0.000672,0.002144,0.000896,0.000384,1.193796
0.437250,0.017824,0.746594,0.000896,0.002304,0.001152,0.000416,1.213348
0.415905,0.020928,0.744674,0.000768,0.002400,0.000928,0.000384,1.191683
