Layer[0],Layer[1],Layer[8],Layer[9],Layer[10],classifier
0.518626,0.017696,8.136791,0.002880,0.000576,8.685273
0.419169,0.017600,0.784194,0.002016,0.000352,1.231427
0.417921,0.017344,0.764674,0.001728,0.000448,1.207427
0.417921,0.017568,0.753986,0.001312,0.000320,1.196355
0.416577,0.017536,0.759618,0.001216,0.000672,1.200451
0.431266,0.017440,0.755394,0.001280,0.000384,1.210948
0.415778,0.017344,0.747842,0.001120,0.000384,1.187876
0.415937,0.017089,0.767490,0.001440,0.000384,1.207812
0.431266,0.017408,0.728738,0.001440,0.000416,1.184452
0.420865,0.017344,0.745507,0.001248,0.000352,1.191236
0.421121,0.017376,0.749731,0.001632,0.000448,1.197028
0.416225,0.017440,0.753859,0.001280,0.000384,1.194116
0.417441,0.017408,0.737410,0.001408,0.000416,1.178723
0.421121,0.017472,0.772258,0.002048,0.000384,1.219907
0.421313,0.017280,0.756002,0.001376,0.000384,1.202115
0.420129,0.017504,0.752482,0.001856,0.000384,1.198692
0.420577,0.017504,0.773955,0.001728,0.000448,1.220068
0.421377,0.017408,0.753859,0.001504,0.000512,1.202180
0.416065,0.017248,0.755619,0.001376,0.000416,1.196356
0.437090,0.017568,0.758434,0.001504,0.000448,1.220964
0.421122,0.017536,0.758146,0.001600,0.000416,1.205444
0.417826,0.017504,0.756642,0.001600,0.000416,1.200260
0.420769,0.017440,0.739810,0.001376,0.000416,1.186019
0.420994,0.017312,0.754242,0.001504,0.000352,1.200036
0.421313,0.017504,0.770274,0.001600,0.000384,1.217027
0.421217,0.017248,0.735682,0.001376,0.000416,1.182243
0.416129,0.017312,0.753634,0.001600,0.000448,1.194595
0.421249,0.017504,0.762434,0.001504,0.000448,1.209731
0.421505,0.017600,0.759234,0.001504,0.000384,1.205827
0.417665,0.017504,0.748546,0.001344,0.000384,1.191939
0.439329,0.017568,0.761154,0.001568,0.000416,1.227555
0.423713,0.017568,0.753026,0.001472,0.000416,1.202147
0.420577,0.017376,0.750434,0.001408,0.000416,1.196099
0.417313,0.017344,0.748130,0.001376,0.000416,1.190659
0.421953,0.017344,0.756130,0.001408,0.000480,1.203043
0.417889,0.017568,0.766882,0.001664,0.000448,1.210339
0.421569,0.017312,0.753666,0.001632,0.000352,1.200419
0.421665,0.017312,0.756258,0.001408,0.000416,1.202947
0.417537,0.017408,0.759874,0.001536,0.000352,1.203235
0.422209,0.017312,0.759298,0.001536,0.000384,1.205987
0.424449,0.018080,0.756258,0.001536,0.000352,1.207395
0.438529,0.017376,0.745314,0.001504,0.000448,1.209699
0.421121,0.017568,0.754051,0.001408,0.000480,1.200484
0.421025,0.017312,0.753155,0.001408,0.000384,1.198884
0.422177,0.017536,0.752803,0.001408,0.000480,1.200356
0.421601,0.017537,0.755010,0.001344,0.000384,1.201316
0.416481,0.017601,0.769762,0.001472,0.000416,1.211716
0.417441,0.017536,0.754562,0.001280,0.000352,1.196708
0.420610,0.017344,0.741602,0.001344,0.000448,1.187300
0.420002,0.017344,0.790786,0.001472,0.000416,1.236516
0.421474,0.017536,0.753378,0.001536,0.000416,1.201668
0.416578,0.017760,0.750818,0.001376,0.000352,1.192836
0.434337,0.017408,0.757122,0.001504,0.000384,1.216291
0.415969,0.017248,0.737826,0.001408,0.000416,1.178211
