Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.551106,0.017920,0.235200,0.004992,0.065729,0.000832,0.256832,0.001088,0.002784,0.003040,0.000544,1.151075
0.416929,0.017440,0.203617,0.004992,0.047840,0.000800,0.223456,0.000608,0.002208,0.001472,0.000352,0.927874
0.416385,0.017472,0.202528,0.005056,0.049249,0.000576,0.190528,0.000608,0.002176,0.001216,0.000320,0.893634
0.416162,0.017312,0.202528,0.004864,0.048000,0.000544,0.195393,0.000640,0.001760,0.001248,0.000320,0.896259
0.416705,0.017248,0.202241,0.004864,0.048256,0.000576,0.184353,0.000672,0.001888,0.000960,0.000352,0.885379
0.415777,0.017408,0.201985,0.004896,0.048672,0.000544,0.177600,0.000576,0.002112,0.001024,0.000320,0.878338
0.415554,0.017184,0.202112,0.004832,0.048160,0.000512,0.182529,0.000704,0.002112,0.000864,0.000352,0.882947
0.416449,0.017696,0.223457,0.005056,0.050816,0.000608,0.204513,0.000896,0.002464,0.001056,0.000288,0.933123
0.416289,0.017536,0.202337,0.005024,0.049024,0.000608,0.197409,0.000640,0.002176,0.001024,0.000384,0.900931
0.415937,0.017600,0.202273,0.004896,0.049216,0.000576,0.196960,0.000704,0.002080,0.000992,0.000384,0.898306
0.416098,0.017312,0.202592,0.005024,0.047904,0.000608,0.186113,0.000768,0.001952,0.000864,0.000384,0.886755
0.432545,0.017504,0.203105,0.004832,0.047520,0.000608,0.188865,0.000576,0.001824,0.000960,0.000256,0.905539
0.415521,0.017568,0.203041,0.004800,0.047008,0.000576,0.184320,0.000704,0.001920,0.000928,0.000384,0.883234
0.415394,0.017408,0.202336,0.004832,0.046752,0.000512,0.187489,0.000608,0.001856,0.000928,0.000352,0.885027
0.415233,0.017152,0.203745,0.005056,0.046752,0.000512,0.201760,0.000704,0.001920,0.000832,0.000320,0.901378
0.415681,0.017248,0.202336,0.004864,0.046849,0.000512,0.178688,0.000768,0.002528,0.000960,0.000320,0.877922
0.415521,0.017408,0.201857,0.004864,0.046848,0.000544,0.174753,0.000640,0.001792,0.000928,0.000320,0.872291
0.414785,0.017536,0.202049,0.005184,0.047040,0.000608,0.190496,0.000704,0.001952,0.000992,0.000288,0.888642
0.430114,0.017280,0.202368,0.005344,0.046752,0.000576,0.177569,0.000640,0.001632,0.000864,0.000256,0.889987
0.414657,0.017184,0.202305,0.004864,0.046688,0.000544,0.173345,0.000640,0.001792,0.000768,0.000288,0.869411
0.415329,0.017376,0.202560,0.004832,0.046945,0.000544,0.192096,0.000704,0.001952,0.000864,0.000320,0.890690
0.416193,0.017217,0.202080,0.004864,0.046720,0.000512,0.167105,0.000672,0.001696,0.000800,0.000288,0.865539
0.429889,0.017248,0.202209,0.004800,0.046784,0.000544,0.175776,0.000576,0.001760,0.000832,0.000352,0.887458
0.415234,0.017312,0.201984,0.005248,0.046912,0.000576,0.183745,0.000704,0.001920,0.000896,0.000320,0.881763
0.415489,0.017728,0.201825,0.004864,0.047168,0.000576,0.200673,0.000832,0.005472,0.000992,0.000320,0.902467
0.415073,0.020736,0.202016,0.004832,0.046721,0.000576,0.194400,0.000832,0.002688,0.000864,0.000352,0.897826
0.415393,0.017248,0.202016,0.004800,0.046720,0.000544,0.193953,0.000640,0.001824,0.000896,0.000320,0.891331
