Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[9],Layer[10],classifier
0.516226,0.017280,0.205920,0.004832,0.047201,0.000608,0.013440,0.150272,0.000832,0.963779
0.416833,0.017408,0.204224,0.004800,0.070016,0.000640,0.013920,0.179904,0.000544,0.915490
0.415938,0.017376,0.203520,0.004864,0.047232,0.000576,0.014400,0.174753,0.000576,0.885667
0.415969,0.017248,0.202881,0.004832,0.047104,0.000576,0.013984,0.176321,0.000512,0.886019
0.420289,0.017216,0.203073,0.004800,0.046976,0.000544,0.013344,0.194112,0.000512,0.907298
0.448417,0.017472,0.203776,0.005472,0.049889,0.000896,0.014272,0.240896,0.001120,0.993250
0.416961,0.017312,0.204096,0.005280,0.048417,0.000832,0.014016,0.189600,0.000768,0.904674
0.415714,0.017312,0.203392,0.005280,0.048416,0.000576,0.013664,0.176801,0.000704,0.888355
0.415393,0.017600,0.203009,0.004864,0.072128,0.000672,0.014016,0.171233,0.000480,0.906595
0.415329,0.017216,0.202849,0.004800,0.047264,0.000544,0.013664,0.204768,0.000704,0.913890
0.415425,0.017408,0.201952,0.004800,0.046785,0.000576,0.013632,0.170976,0.000544,0.878242
0.415297,0.017184,0.201921,0.004800,0.046784,0.000768,0.013408,0.173505,0.000576,0.880707
0.436065,0.017344,0.202401,0.005248,0.048160,0.001024,0.014016,0.181985,0.000672,0.913635
0.420065,0.017344,0.203009,0.005248,0.048000,0.000576,0.013920,0.182400,0.000640,0.897762
0.420226,0.017280,0.202016,0.005440,0.047744,0.000768,0.013632,0.174209,0.000608,0.888547
0.414945,0.017216,0.202529,0.005280,0.046816,0.000544,0.013632,0.204737,0.000640,0.912739
0.417089,0.017216,0.202785,0.004832,0.048000,0.000768,0.013888,0.177696,0.000544,0.890690
0.415457,0.017504,0.202624,0.004832,0.047424,0.000992,0.013857,0.187136,0.000512,0.897154
0.415393,0.017376,0.202305,0.004800,0.047168,0.000768,0.013408,0.173249,0.000576,0.881283
0.436737,0.017376,0.202945,0.004864,0.047168,0.000768,0.013408,0.173760,0.000608,0.904514
0.415585,0.017312,0.202848,0.004800,0.046753,0.000800,0.013312,0.212928,0.000608,0.921026
0.416257,0.017280,0.202496,0.004864,0.047616,0.000800,0.013504,0.185953,0.000672,0.897219
0.415329,0.017216,0.202369,0.004832,0.047200,0.001024,0.013472,0.176129,0.000640,0.885315
0.419649,0.017184,0.202881,0.004864,0.047200,0.000992,0.013472,0.182048,0.000544,0.895554
0.415937,0.017408,0.202528,0.005024,0.047136,0.000800,0.013409,0.175616,0.000512,0.884994
0.416609,0.017376,0.202273,0.004832,0.047328,0.000544,0.013344,0.183873,0.000544,0.892835
0.415745,0.017504,0.203073,0.004896,0.048832,0.000800,0.013888,0.182976,0.000576,0.915554
0.416033,0.017632,0.202912,0.004897,0.049056,0.001024,0.013408,0.183424,0.000480,0.895586
0.420290,0.017376,0.202176,0.004896,0.046848,0.000992,0.013344,0.179169,0.000480,0.891939
0.415297,0.017344,0.202657,0.004864,0.046752,0.000992,0.013376,0.172833,0.000480,0.880899
0.420385,0.017408,0.202657,0.004768,0.046816,0.000736,0.013344,0.178784,0.000544,0.891778
0.415298,0.017536,0.202272,0.004800,0.047104,0.001056,0.013408,0.175073,0.000608,0.884451
0.415201,0.017408,0.202081,0.004832,0.046976,0.001024,0.013344,0.196289,0.000544,0.903619
0.415777,0.017152,0.223841,0.005056,0.047040,0.000864,0.013344,0.207552,0.000576,0.938274
0.420129,0.017248,0.202848,0.004768,0.047073,0.001024,0.013376,0.175904,0.000576,0.889378
0.415746,0.017152,0.202048,0.004864,0.046912,0.000608,0.013312,0.208513,0.000672,0.915939
0.416001,0.017408,0.202305,0.004864,0.049152,0.000800,0.013568,0.182465,0.000544,0.895491
0.436097,0.017408,0.203297,0.004864,0.048032,0.000608,0.013504,0.183520,0.000576,0.915202
0.416833,0.017184,0.202112,0.004768,0.047169,0.000800,0.013440,0.163104,0.000608,0.872802
0.420065,0.017248,0.202241,0.004928,0.047264,0.001056,0.013344,0.175457,0.000608,0.888451
0.414977,0.017600,0.202145,0.004896,0.063712,0.000608,0.013504,0.178080,0.000576,0.902338
0.416545,0.017216,0.202080,0.005248,0.047073,0.000960,0.013376,0.173504,0.000608,0.883138
0.416994,0.017184,0.203616,0.004864,0.046976,0.000800,0.013440,0.183649,0.000704,0.895139
0.415521,0.017248,0.202593,0.004864,0.046976,0.001024,0.013696,0.174624,0.000576,0.883651
0.436289,0.017152,0.202945,0.004864,0.046976,0.000576,0.013408,0.177088,0.000640,0.906562
0.415650,0.017376,0.202656,0.004832,0.046944,0.000800,0.013312,0.184353,0.000608,0.892579
0.415649,0.017248,0.202593,0.004800,0.048960,0.001056,0.013536,0.185761,0.000576,0.898147
0.415457,0.017248,0.202881,0.004864,0.047904,0.000832,0.013696,0.199265,0.000704,0.910051
0.416001,0.017600,0.202400,0.004832,0.048064,0.000800,0.013440,0.174688,0.000640,0.885154
0.418210,0.017568,0.203392,0.005248,0.047680,0.000864,0.013696,0.212289,0.000992,0.929795
0.417121,0.017504,0.203105,0.005248,0.047712,0.000832,0.013888,0.236961,0.000928,0.953539
0.418817,0.017600,0.203840,0.005056,0.048577,0.000832,0.014208,0.205856,0.001152,0.925250
0.417026,0.017728,0.204032,0.005216,0.047456,0.000864,0.013952,0.182369,0.000640,0.896387
0.416385,0.017472,0.225121,0.005216,0.048864,0.000800,0.014208,0.168897,0.000544,0.904739
0.416577,0.017376,0.202625,0.005280,0.049120,0.000800,0.013856,0.177057,0.000544,0.890083
0.420385,0.017856,0.202177,0.004896,0.049280,0.000832,0.013920,0.171200,0.000576,0.887202
0.415906,0.017312,0.202496,0.005056,0.049344,0.000800,0.014208,0.184385,0.000576,0.898051
0.433313,0.017632,0.203360,0.005248,0.048512,0.000992,0.013920,0.192641,0.000608,0.923395
0.415681,0.017376,0.202849,0.004832,0.048128,0.000992,0.013888,0.176801,0.000672,0.888003
0.415041,0.017408,0.202176,0.004864,0.047137,0.000864,0.013472,0.193376,0.000512,0.900738
0.415618,0.017280,0.202368,0.004800,0.067456,0.000832,0.013440,0.174081,0.000544,0.903587
0.416609,0.017216,0.202401,0.004896,0.047328,0.000832,0.013696,0.177473,0.000544,0.887235
0.415425,0.017376,0.202561,0.004864,0.047328,0.000800,0.013376,0.157344,0.000544,0.865986
0.416129,0.017696,0.203744,0.005248,0.048128,0.000865,0.013568,0.172256,0.000512,0.887426
0.435777,0.017249,0.202784,0.004864,0.048576,0.000640,0.014048,0.173249,0.000480,0.904803
0.415713,0.017536,0.201921,0.004800,0.047136,0.000768,0.013440,0.173696,0.000512,0.882242
0.415425,0.017408,0.202176,0.005312,0.048705,0.000768,0.013600,0.172416,0.000608,0.882850
0.415330,0.017248,0.202304,0.005248,0.047360,0.000800,0.013536,0.192449,0.000672,0.901923
0.415905,0.017184,0.202465,0.004832,0.047232,0.000832,0.013408,0.183233,0.000480,0.891715
0.415905,0.017344,0.202625,0.004928,0.046944,0.000960,0.013344,0.176576,0.000544,0.885026
0.415106,0.017600,0.202112,0.004832,0.046816,0.000864,0.013344,0.180577,0.000544,0.887971
0.415745,0.032064,0.202241,0.004832,0.047072,0.000544,0.013440,0.163521,0.000576,0.886371
0.416161,0.017536,0.202400,0.004864,0.046881,0.000736,0.013408,0.164768,0.000672,0.873730
0.415073,0.017408,0.201889,0.004800,0.047232,0.000768,0.013440,0.160929,0.000480,0.868803
0.419841,0.017344,0.203105,0.004832,0.046912,0.000896,0.013344,0.180512,0.000608,0.894818
0.421697,0.017184,0.202337,0.004832,0.046944,0.000832,0.013376,0.169664,0.000512,0.884482
