REE[219],TEE[219]
2.832096,4.329684
2.754397,4.350868
2.179403,4.369492
2.184330,4.336531
2.192587,4.338068
2.183147,4.344916
2.183274,4.378933
2.188715,4.358036
2.187018,4.336275
2.190219,4.369652
2.180138,4.339955
2.179082,4.358356
2.186730,4.333427
2.192906,4.366612
2.179979,4.377301
2.179754,4.378133
2.188298,4.360276
2.186187,4.351220
2.193707,4.356820
2.177642,4.360116
2.177386,4.333779
2.186218,4.337363
2.191978,4.336820
2.178026,4.344819
2.179658,4.332307
2.185643,4.332755
2.187914,4.338227
2.189034,4.333812
2.179434,4.330355
2.176970,4.352628
2.178410,4.340403
2.190218,4.376692
2.170666,4.344308
2.179178,4.371541
2.183915,4.371636
2.187530,4.366772
2.193867,4.364948
2.180938,4.318835
2.177066,4.365877
2.188298,4.322067
2.187370,4.326003
2.179946,4.355732
2.180682,4.342420
2.191146,4.347604
2.192171,4.337907
2.192427,4.336531
2.177514,4.348371
2.179242,4.359188
2.187339,4.358612
2.188970,4.359124
2.179114,4.324627
2.179562,4.334803
2.182410,4.334292
2.189066,4.357940
2.194411,4.332659
2.180906,4.365396
2.178282,4.369365
2.183563,4.321459
2.187530,4.327123
2.190315,4.359509
2.176490,4.350164
2.178474,4.321363
2.188843,4.324243
2.191530,4.338739
2.177642,4.359284
2.180458,4.332243
2.187018,4.333940
2.189931,4.344403
2.195210,4.356436
2.184234,4.335027
2.179274,4.332467
2.187594,4.365524
2.193291,4.365781
2.182059,4.335764
2.176202,4.354388
2.187403,4.356244
2.188682,4.364084
2.190283,4.330579
2.180330,4.363476
2.179722,4.329907
2.190442,4.359124
2.191531,4.320979
2.179946,4.360276
2.180778,4.327027
2.185706,4.356308
2.190378,4.352052
2.187786,4.362868
2.178954,4.357076
2.176170,4.333491
2.187051,4.367348
2.190890,4.331923
2.178122,4.327699
2.179594,4.333396
2.186602,4.363956
2.187402,4.334836
2.192075,4.335732
2.180074,4.323283
2.178986,4.362836
2.190731,4.323379
2.198155,4.327283
2.173322,4.338899
2.179690,4.333523
2.179210,4.334067
2.185258,4.334484
2.189418,4.338419
2.180778,4.326451
2.179466,4.351476
2.189323,4.336531
2.188651,4.339763
2.190987,4.364692
2.178602,4.341203
2.181098,4.359188
2.187403,4.328275
2.191210,4.366708
2.178474,4.364821
2.182794,4.357876
2.186794,4.345044
2.186410,4.358740
2.188395,4.342676
2.179594,4.375508
2.180330,4.320946
2.187082,4.332563
2.189866,4.362260
2.180362,4.332947
2.178154,4.328500
2.188331,4.360020
2.187850,4.358068
2.190314,4.324115
2.179882,4.330451
2.179978,4.329555
2.187562,4.329491
2.184138,4.320594
2.178506,4.321043
2.178282,4.320307
2.179178,4.322931
2.188203,4.331987
2.186506,4.319155
2.180842,4.357748
2.179402,4.325491
2.186250,4.348788
2.188747,4.323091
2.185962,4.334675
2.180362,4.323091
2.179466,4.327347
2.190154,4.336563
2.190827,4.332339
2.177898,4.336948
2.177898,4.325875
2.187754,4.335507
2.189066,4.321235
2.195659,4.323379
2.182602,4.324499
2.174378,4.334995
2.187274,4.324147
2.188139,4.319923
2.178698,4.325203
2.179274,4.328947
2.179082,4.318963
2.188746,4.319090
2.185515,4.320723
2.179563,4.322323
2.179946,4.325555
2.186891,4.336947
2.189258,4.320850
2.188970,4.319251
2.181066,4.326451
2.178442,4.321107
2.188010,4.323539
2.190891,4.327411
2.179978,4.332755
2.179114,4.318930
2.178602,4.317266
2.189962,4.325683
2.188619,4.337588
2.180234,4.347284
2.179530,4.317779
2.186282,4.317843
2.187338,4.318994
2.188715,4.369460
2.179402,4.322066
2.179242,4.362484
2.189131,4.323731
2.191019,4.322579
2.169481,4.325587
2.177930,4.324531
2.186538,4.319186
2.187754,4.327283
2.191146,4.327443
2.178186,4.354900
2.181130,4.344436
2.188491,4.320595
2.188778,4.328211
2.192554,4.324019
2.183562,4.340916
2.178730,4.342868
2.187402,4.318034
2.191179,4.349076
2.181130,4.318899
2.180266,4.331731
2.186955,4.328755
2.187754,4.334196
2.190059,4.321875
2.180938,4.323187
2.179850,4.321971
2.188586,4.336755
2.196651,4.322803
2.180234,4.321842
2.182314,4.321907
2.189867,4.332372
2.185611,4.347220
2.189195,4.315603
2.179562,4.322034
2.168010,4.333491
2.186122,4.325043
2.190026,4.323603
2.178826,4.318451
2.179242,4.322131
2.181450,4.337555
2.186090,4.332467
2.191946,4.351796
2.168970,4.344500
2.179722,4.320499
2.186186,4.350580
2.185674,4.325939
2.189002,4.327891
2.180074,4.321683
2.185322,4.321779
2.186443,4.333523
2.188650,4.327347
2.180906,4.321779
2.182538,4.321811
2.187050,4.318419
2.186667,4.341043
2.191402,4.321235
2.179275,4.339923
2.176778,4.341843
2.184938,4.322323
2.186954,4.331251
2.188362,4.325779
2.177386,4.339955
2.180170,4.321427
2.194346,4.348980
2.192266,4.318771
2.181227,4.322675
2.179210,4.324883
2.186922,4.319827
2.188202,4.334131
2.194091,4.329076
2.177802,4.318898
2.178218,4.318067
2.188298,4.351732
2.189546,4.318354
2.177834,4.333267
2.178826,4.329043
2.180458,4.325043
2.188202,4.343092
2.190667,4.341940
2.179306,4.397590
2.177194,4.328243
2.188042,4.325683
2.187627,4.324147
2.180554,4.330835
2.178218,4.320370
2.179210,4.316179
2.188939,4.321651
2.197610,4.330643
2.183434,4.319603
2.179818,4.320179
2.187563,4.331859
2.192234,4.342420
2.193355,4.324115
2.182858,4.340308
2.180618,4.335316
2.189579,4.327283
2.190027,4.320755
2.190218,4.343508
2.177802,4.321939
2.177674,4.323411
2.187050,4.318995
2.190122,4.325171
2.179626,4.319763
2.178698,4.323539
2.187882,4.332947
2.189578,4.339732
2.189994,4.321299
2.170602,4.334516
2.176618,4.343155
2.179434,4.320915
2.195627,4.345939
2.167690,4.338324
2.178986,4.344468
2.188747,4.328243
2.186923,4.319443
2.191114,4.338356
2.180683,4.332788
2.180010,4.369428
2.187690,4.347028
2.188778,4.341683
2.175466,4.356852
2.180267,4.364564
2.191114,4.342931
2.191723,4.356980
2.191179,4.368852
2.173706,4.360468
2.178858,4.326644
2.189610,4.338388
2.191402,4.336659
2.179722,4.373940
2.177674,4.349332
2.187946,4.344916
2.186890,4.330868
2.195146,4.347187
2.178890,4.355700
2.177066,4.361236
2.190059,4.360724
2.190794,4.372596
2.179178,4.380053
2.181674,4.350963
2.187786,4.325683
2.189066,4.334516
2.191082,4.335507
2.177450,4.342516
2.179082,4.341844
2.185834,4.348020
2.194059,4.357204
2.179818,4.368020
2.177098,4.333556
2.190315,4.362420
2.194186,4.361876
2.191178,4.345939
2.177994,4.383701
2.179850,4.332563
2.186634,4.336659
2.191371,4.362964
2.175338,4.379316
2.180458,4.388725
2.188747,4.339252
2.190155,4.349588
2.192138,4.360404
2.179402,4.348403
2.178858,4.328691
2.186442,4.320466
2.191563,4.330644
2.179691,4.338035
2.180394,4.335956
2.188203,4.353204
2.187339,4.338804
2.191946,4.333812
2.181514,4.355700
2.173065,4.339795
2.186794,4.362356
2.192554,4.339347
2.182538,4.348404
2.179242,4.362645
2.185930,4.335667
2.187978,4.337427
