REE[351],TEE[351]
6.716100,11.192540
6.680291,11.212317
5.654368,11.181243
5.640991,11.126234
5.640000,11.208669
5.643328,11.106778
5.646496,11.130074
5.657665,11.146299
5.686625,11.116058
5.644928,11.130682
5.637951,11.144187
5.649312,11.131866
5.648544,11.127930
5.644800,11.212477
5.657249,11.155323
5.647776,11.239806
5.647680,11.133210
5.637760,11.153883
5.643392,11.130970
5.643263,11.117786
5.647872,11.206109
5.653792,11.135642
5.662016,11.105785
5.644896,11.127226
5.645376,11.191676
5.662400,11.115130
5.637631,11.125818
5.645376,11.116250
5.653121,11.134139
5.639072,11.131099
5.655744,11.126394
5.645952,11.120026
5.659265,11.211516
5.649696,11.205469
5.647808,11.120794
5.648000,11.195996
5.653472,11.118042
5.651648,11.191804
5.653568,11.182716
5.657952,11.140922
5.646272,11.135547
5.643232,11.129370
5.655648,11.130234
5.657409,11.158235
5.647904,11.218622
5.661825,11.189981
5.642880,11.221565
5.644384,11.196413
5.646624,11.120858
5.647712,11.135994
5.641728,11.203901
5.635520,11.219933
5.651392,11.134747
5.649440,11.135962
5.636255,11.208381
5.642080,11.207453
5.652032,11.132507
5.637119,11.143451
5.647135,11.166971
5.653729,11.105178
5.646496,11.191516
5.637568,11.130394
5.647136,11.144283
5.660288,11.203645
5.651584,11.131290
5.647968,11.178875
5.640896,11.184668
5.651008,11.135163
5.637792,11.099865
5.643072,11.207229
5.637920,11.196444
5.645472,11.190044
5.646592,11.261598
5.643840,11.135834
5.649216,11.154875
5.646848,11.127514
5.640448,11.111098
5.653184,11.117178
5.652960,11.198525
5.648064,11.128154
5.658208,11.126330
5.648576,11.199645
5.646368,11.203709
5.643520,11.119994
5.656256,11.214525
5.645440,11.140987
5.644896,11.188573
5.643680,11.094777
5.640383,11.196188
5.647136,11.136506
5.645216,11.196445
5.646016,11.126746
5.646592,11.151515
5.646176,11.221149
5.647776,11.185404
5.649856,11.154011
5.646400,11.184700
5.640223,11.202557
5.656512,11.192124
5.658081,11.136986
5.646880,11.131130
5.636352,11.126394
5.639584,11.190748
5.643520,11.122138
5.646848,11.218366
5.638944,11.133690
5.650624,11.201340
5.648064,11.110266
5.663297,11.129946
5.648160,11.214365
5.652896,11.210397
5.649728,11.211773
5.661409,11.192252
5.650784,11.127962
5.647936,11.131866
5.643136,11.129274
5.666081,11.181564
5.649280,11.188092
5.652128,11.189308
5.650752,11.115546
5.652352,11.209021
5.653504,11.107770
5.652800,11.129082
5.654112,11.111961
5.649280,11.183868
5.641344,11.134747
5.655104,11.214973
5.640288,11.114650
5.652384,11.131930
5.659264,11.196093
5.647680,11.222878
5.642719,11.216637
5.652608,11.100761
5.648960,11.188604
5.647455,11.130426
5.657088,11.186812
5.643391,11.204348
5.662272,11.195997
5.651968,11.185276
5.654368,11.114234
5.649536,11.130458
5.664384,11.134490
5.642847,11.122554
5.648672,11.174972
5.649696,11.134618
5.654017,11.130970
5.655136,11.114777
5.649568,11.181660
5.647744,11.133786
5.651488,11.204509
5.641856,11.200316
5.640927,11.193276
5.668385,11.272447
5.641056,11.251679
5.646880,11.184412
5.654688,11.194652
5.668353,11.130171
5.648928,11.127034
5.647360,11.124410
5.661440,11.136954
5.643840,11.130811
5.634976,11.122842
5.651232,11.132122
5.655072,11.199005
5.647104,11.188092
5.651392,11.221534
5.662752,11.117145
5.661504,11.092057
5.646848,11.115130
5.659264,11.193244
5.659616,11.108890
5.651552,11.131482
5.643296,11.189340
5.645503,11.136122
5.650912,11.186460
5.637183,11.094841
5.646143,11.131930
5.652449,11.134330
5.642624,11.125402
5.660416,11.213981
5.657024,11.212125
5.658688,11.218493
5.658400,11.095641
5.651776,11.166588
5.659872,11.197884
5.650144,11.096249
5.649983,11.124186
5.650624,11.195708
5.643935,11.215261
5.647424,11.109050
5.643712,11.208349
5.654913,11.197789
5.644768,11.187676
5.644863,11.210589
5.656544,11.132731
5.653216,11.132826
5.642816,11.125754
5.650368,11.208125
5.653088,11.213405
5.647328,11.136347
5.647840,11.144762
5.656032,11.187708
5.658881,11.185980
5.647808,11.159995
5.638912,11.141531
5.653184,11.200317
5.655744,11.127290
5.655744,11.127290
5.671393,11.198717
5.648960,11.127642
5.642432,11.191996
5.658721,11.210269
5.659616,11.133883
5.649216,11.139739
5.658880,11.099097
5.661728,11.101209
5.644288,11.202396
5.646047,11.186108
5.649952,11.188636
5.651072,11.136186
5.654624,11.128858
5.644064,11.189372
5.658368,11.146491
5.645056,11.194172
5.646752,11.197532
5.653792,11.132954
5.666369,11.155132
5.644192,11.199869
5.649824,11.124890
5.664224,11.205661
5.650016,11.196637
5.655424,11.191452
5.644063,11.109561
5.647936,11.141819
5.644383,11.117273
5.645152,11.113146
5.646176,11.129178
5.657664,11.134234
5.636767,11.123098
5.645856,11.188188
5.630687,11.120858
5.653312,11.132410
5.643648,11.131258
5.641120,11.198460
5.648640,11.193917
5.654592,11.129947
5.651104,11.125082
5.642303,11.095641
5.650016,11.216605
5.642624,11.173948
5.640352,11.187068
5.649376,11.207485
5.657985,11.150235
5.637919,11.133018
5.641375,11.119546
5.657472,11.131706
5.654848,11.144443
5.643392,11.159067
5.655969,11.205789
5.650784,11.149051
5.652032,11.183516
5.643263,11.142043
5.652929,11.191836
5.661633,11.128058
5.647872,11.126682
5.647456,11.132122
5.650336,11.196477
5.644799,11.128154
5.641536,11.194108
5.656640,11.167612
5.653953,11.137146
5.639712,11.146394
5.641664,11.126714
5.651136,11.203580
5.646816,11.145083
5.644288,11.183004
5.648992,11.185372
5.659680,11.197533
5.654016,11.191676
5.650912,11.127610
5.651552,11.133594
5.653184,11.198876
5.653600,11.200060
5.660097,11.135771
5.643904,11.136219
5.641216,11.132154
5.649568,11.215645
5.642368,11.185948
5.647647,11.126810
5.649856,11.125402
5.648480,11.128570
5.660897,11.194684
5.648096,11.166811
5.637791,11.114650
5.653792,11.114618
5.647680,11.130906
5.643968,11.208477
5.660960,11.137242
5.644864,11.142075
5.651424,11.130170
5.650208,11.130459
5.648543,11.201757
5.643231,11.130746
5.645376,11.133498
5.637663,11.173691
5.639008,11.132250
5.647424,11.218526
5.642496,11.102297
5.660448,11.133594
5.656064,11.105337
5.650208,11.134586
5.644480,11.154299
5.660640,11.103577
5.638592,11.186908
5.652448,11.093081
5.654528,11.134011
5.647647,11.196476
5.652064,11.186108
5.645312,11.131514
5.653056,11.137371
5.661441,11.196028
5.646144,11.184924
5.662240,11.130714
5.654528,11.230718
5.640192,11.136346
5.653088,11.184540
5.659648,11.225629
5.662784,11.134362
5.654336,11.150523
5.636799,11.117626
5.643200,11.143195
5.645279,11.111097
5.648224,11.131226
5.643743,11.197436
5.656096,11.195292
5.656832,11.128091
5.649248,11.130587
5.653856,11.100889
5.646144,11.144027
5.647904,11.212541
5.647200,11.125563
5.673889,11.206589
5.635104,11.128858
5.643839,11.122458
5.658209,11.137530
5.646176,11.189821
5.647904,11.189533
5.646944,11.126394
5.650624,11.214493
5.637920,11.215133
5.654752,11.210781
5.663968,11.141211
5.644544,11.230942
5.654656,11.188764
5.655008,11.193469
5.659424,11.165884
5.655552,11.132154
5.645248,11.197213
5.667585,11.199389
5.653216,11.113722
5.656128,11.099418
5.643136,11.118522
5.648736,11.209468
5.638879,11.134458
5.646176,11.219166
5.662752,11.134586
5.663360,11.181052
5.644383,11.127930
5.643744,11.132954
5.653953,11.136539
5.651584,11.214813
5.648704,11.130906
5.644960,11.223485
5.649184,11.129434
5.651808,11.126875
5.647104,11.130714
5.652576,11.132602
5.653088,11.124090
5.647423,11.111066
5.651456,11.145434
5.649312,11.219806
5.648416,11.138363
5.648384,11.201916
5.650624,11.128186
5.649440,11.136250
5.641024,11.189084
5.640128,11.200220
5.642592,11.216093
5.655328,11.213117
5.652640,11.185980
5.650272,11.137019
5.657537,11.148346
5.652608,11.275935
5.646816,11.175292
5.653568,11.150395
5.641631,11.111290
5.650272,11.126938
5.651296,11.211965
5.653728,11.137467
5.645920,11.089977
5.648896,11.179964
5.658465,11.143994
5.642592,11.136379
5.650432,11.125306
5.643392,11.139675
5.656064,11.201660
5.659137,11.208477
5.647520,11.185372
5.651616,11.213917
5.658721,11.195868
5.643487,11.193469
5.643968,11.125338
5.653632,11.136091
5.638272,11.197884
5.644544,11.130458
5.652832,11.142747
5.666209,11.121850
5.651104,11.096761
5.668064,11.124858
5.650912,11.122426
5.657056,11.138330
5.651424,11.131226
5.638080,11.189052
5.650848,11.129466
5.646816,11.130747
5.647808,11.191356
5.623679,11.109018
5.654144,11.131738
5.645728,11.187516
5.649472,11.133306
5.657184,11.131547
5.648575,11.100345
5.647968,11.191772
5.643360,11.186172
5.643168,11.136283
5.647359,11.206653
5.644448,11.199677
5.651840,11.209053
5.646912,11.189372
5.651937,11.119513
5.654112,11.123610
5.646335,11.205341
5.655104,11.199293
5.649920,11.191164
5.646496,11.234237
5.652608,11.127706
5.648032,11.218173
5.653888,11.156892
5.652448,11.184412
5.644096,11.202812
5.660608,11.110105
5.666624,11.194652
5.643168,11.127066
5.645600,11.130394
5.643743,11.132666
5.658880,11.193532
5.652704,11.121785
5.649184,11.110169
5.662400,11.197501
5.658369,11.121562
5.649984,11.153851
5.648032,11.137658
5.667809,11.218781
5.650144,11.128666
5.641440,11.179324
5.654144,11.207805
5.655200,11.199069
5.649088,11.137659
5.642687,11.208733
5.653824,11.136730
5.651648,11.127706
5.652640,11.229149
5.651104,11.164348
5.657152,11.149275
5.651968,11.129562
5.643327,11.113722
5.655200,11.134906
5.648032,11.117594
5.650080,11.120954
5.656736,11.132058
5.657024,11.193500
5.636960,11.189116
5.646976,11.135770
5.657312,11.136315
5.643328,11.097369
5.638623,11.210141
5.647456,11.100154
5.636575,11.232382
5.640800,11.216861
5.654560,11.133051
5.660384,11.132795
5.646144,11.146074
5.646784,11.157243
5.656512,11.110489
5.643968,11.123738
5.651585,11.121690
5.655201,11.175228
5.651393,11.119290
5.645920,11.101849
5.659073,11.109722
5.644192,11.142843
5.664225,11.203005
5.646624,11.195772
5.653568,11.146267
5.655328,11.218621
5.653600,11.213341
5.635392,11.194749
5.659232,11.131067
5.644192,11.202524
5.649632,11.127674
5.654336,11.125882
5.649056,11.134266
5.651840,11.145818
5.643360,11.148539
5.645184,11.132443
5.653088,11.212541
5.642848,11.190044
5.651969,11.136827
5.650912,11.173435
5.644864,11.169756
5.638976,11.220477
5.655520,11.152027
5.630688,11.151931
5.644032,11.215613
5.654144,11.218205
5.655200,11.199004
5.639200,11.132474
5.642943,11.143451
5.652512,11.120538
5.648896,11.128698
5.661696,11.204893
5.651232,11.134458
5.647008,11.130875
5.649760,11.139611
5.659712,11.123514
5.656448,11.132666
5.654880,11.191036
5.647584,11.207836
5.649760,11.228222
5.665409,11.204028
5.645984,11.144699
5.643936,11.133467
5.657313,11.210909
5.642016,11.131930
5.647968,11.108346
5.646304,11.125562
5.652128,11.189980
5.654304,11.113018
5.651232,11.129594
5.639744,11.206589
5.648192,11.144987
5.639167,11.207548
5.653920,11.117786
5.653376,11.214077
5.652256,11.138811
5.642559,11.128410
5.640799,11.134779
5.653216,11.127034
5.642976,11.200892
5.645183,11.161691
5.630687,11.165403
5.639168,11.140666
5.652288,11.145147
5.658784,11.132986
5.649024,11.133786
5.649696,11.188829
5.652896,11.132442
5.654272,11.132475
5.645632,11.219357
5.644864,11.125530
5.660929,11.196732
5.650144,11.218526
5.643199,11.088441
5.657729,11.199068
5.644607,11.123770
5.646528,11.216157
5.644543,11.133499
5.653985,11.221277
5.643840,11.189628
5.647424,11.199741
5.659552,11.136474
5.657888,11.187932
5.646687,11.152827
5.651872,11.157019
5.653184,11.194300
5.645727,11.208413
5.656896,11.115450
5.654400,11.207997
5.653920,11.129466
5.654368,11.203485
5.662881,11.128955
5.656481,11.219646
5.648544,11.148314
5.637375,11.192252
5.657248,11.175388
5.655104,11.233149
5.653089,11.140859
5.646336,11.156028
5.658048,11.134138
5.652864,11.194173
5.646624,11.145370
5.646048,11.161212
5.644928,11.200060
5.639743,11.140218
5.653888,11.138427
5.652128,11.132602
5.643264,11.214718
5.646176,11.191612
5.641119,11.134874
5.649696,11.195837
5.648736,11.142938
5.641407,11.134747
5.644960,11.202781
5.643424,11.146907
5.643711,11.143579
5.652768,11.132378
5.646272,11.157595
5.653440,11.128635
5.651040,11.137562
5.644511,11.228029
5.648608,11.204925
5.648160,11.135002
5.659008,11.136090
5.649344,11.222782
5.647808,11.125530
5.649984,11.214269
5.637792,11.135706
5.647008,11.139322
5.647328,11.136090
5.648800,11.130682
5.645664,11.128250
5.646656,11.129658
5.648960,11.213117
5.656640,11.219773
5.644543,11.216094
5.645568,11.112250
5.657377,11.175900
5.636063,11.135066
5.652192,11.188572
5.640992,11.132346
5.662752,11.144955
5.650272,11.137306
5.645824,11.133850
5.662048,11.200732
5.654273,11.211421
5.650656,11.193725
5.633248,11.133978
5.643104,11.139099
5.643104,11.203357
5.640000,11.205308
5.640384,11.191964
5.660416,11.192413
5.645280,11.110234
5.645504,11.114137
5.662368,11.154683
5.658912,11.132315
5.654944,11.206141
5.643712,11.130842
5.660193,11.147451
5.639712,11.185212
5.652448,11.122490
5.659264,11.132187
5.654336,11.147483
5.648640,11.128955
5.653216,11.208348
5.648703,11.169596
5.644992,11.111065
5.654817,11.207932
5.639039,11.133690
5.650048,11.147611
