TEE[0-10],classifier
9.144766,9.215137
1.732591,1.810962
1.698253,1.770928
1.684268,1.750607
1.687404,1.755791
1.691596,1.767024
1.682124,1.748783
1.685452,1.760655
1.697229,1.767312
1.706861,1.787888
1.704845,1.780432
1.693580,1.768272
1.710990,1.780913
1.690957,1.761008
1.700749,1.769968
1.698509,1.770416
1.696589,1.771088
1.715021,1.781424
1.682540,1.755311
1.703853,1.770672
1.655819,1.721742
1.673964,1.743087
1.675020,1.745135
1.702573,1.775664
1.673356,1.745071
1.716942,1.791409
1.676268,1.744495
1.668043,1.736622
1.705677,1.784977
1.673996,1.744911
1.697549,1.765008
1.673195,1.741134
1.698957,1.766224
1.697292,1.767407
1.696365,1.762928
1.695180,1.764431
1.684556,1.755248
1.663467,1.732142
1.672524,1.744751
1.696173,1.764688
1.668971,1.736302
1.702829,1.772400
1.688269,1.758128
1.695597,1.767152
1.665419,1.733486
1.681100,1.752079
1.680140,1.751664
1.683276,1.762064
1.701549,1.772592
1.673739,1.743791
1.686892,1.758448
1.708077,1.788817
1.672843,1.743214
1.675275,1.746351
1.665004,1.734063
1.675724,1.747279
1.685644,1.757263
1.672908,1.743663
1.701581,1.774480
1.667851,1.736174
1.660875,1.727150
1.706317,1.780689
1.689069,1.756912
1.668907,1.737774
1.709102,1.780657
1.698061,1.768048
1.672108,1.744207
1.670251,1.741167
1.665291,1.734543
1.692557,1.759792
1.698701,1.768880
1.687788,1.757583
1.689516,1.764368
1.665931,1.733038
1.692876,1.760431
1.696397,1.766288
1.683276,1.754288
1.679596,1.749519
1.663755,1.729710
1.667787,1.737454
1.691565,1.759440
1.697036,1.766543
1.665899,1.733262
1.657035,1.723662
1.666667,1.736750
1.665419,1.735022
1.672683,1.741582
1.712045,1.778448
1.671596,1.738511
1.698893,1.763440
1.708622,1.782993
1.690764,1.761135
1.670091,1.737550
1.709965,1.796209
1.679980,1.751247
1.680108,1.750511
1.668523,1.736526
1.690604,1.759055
1.688204,1.758288
1.705485,1.777200
1.703404,1.772720
1.702925,1.771632
1.669579,1.738254
1.764015,1.842931
1.727246,1.800850
1.697900,1.768335
1.698669,1.775440
1.670315,1.737614
1.669163,1.736750
1.658283,1.726990
1.653386,1.725038
1.712653,1.779216
1.667563,1.737582
1.703853,1.771056
1.688172,1.761071
1.674411,1.740334
1.693036,1.760879
1.704429,1.773104
1.666539,1.733326
1.680972,1.749583
1.671980,1.739119
1.706861,1.777392
1.682060,1.751183
1.721613,1.794192
1.696205,1.763568
1.684364,1.755312
1.709485,1.779985
1.672715,1.738382
1.690220,1.763888
1.694636,1.770991
1.677804,1.751087
1.696461,1.771088
1.664651,1.737167
1.685548,1.755087
1.685260,1.755599
1.688460,1.758287
1.677036,1.747311
1.662987,1.731662
1.664491,1.733582
1.716141,1.787632
1.683692,1.752271
1.660715,1.727630
1.677836,1.745839
1.701101,1.768144
1.693037,1.760848
1.709197,1.804594
1.666667,1.737038
1.674795,1.742414
1.644810,1.713101
1.720270,1.792433
1.666251,1.734159
1.702412,1.772272
1.646762,1.712653
1.716270,1.791473
1.653547,1.721358
1.672107,1.741326
1.686924,1.755023
1.700013,1.768432
1.672236,1.742415
1.679275,1.750831
1.687340,1.754895
1.709101,1.785520
1.661803,1.730190
1.697709,1.778096
1.667595,1.738638
1.683084,1.753295
1.677579,1.745230
1.698508,1.779984
1.686156,1.758831
1.692748,1.773711
1.705389,1.774960
1.723629,1.801649
1.699149,1.766640
1.683371,1.755472
1.668203,1.736334
1.719950,1.795441
1.699308,1.766639
1.686156,1.760815
1.662635,1.729294
1.698508,1.781712
1.684620,1.752687
1.715597,1.788464
1.683692,1.758063
1.721390,1.803346
1.696845,1.769584
1.713198,1.789745
1.691308,1.768335
1.707980,1.777616
1.692684,1.766992
1.726318,1.807857
1.667691,1.736558
1.720974,1.800529
1.666219,1.733774
1.712942,1.785169
1.677163,1.746830
1.698828,1.768943
1.661834,1.727949
1.683564,1.751535
1.658571,1.727950
1.655755,1.732014
1.646154,1.715053
1.698892,1.768879
1.653515,1.720462
1.682092,1.751407
1.670699,1.739534
1.698412,1.768496
1.674475,1.743886
1.697228,1.770991
1.679116,1.747727
1.725037,1.803089
1.698796,1.769328
1.695468,1.769327
1.677099,1.747951
1.692172,1.765295
1.702765,1.775600
1.697100,1.771535
1.696973,1.765200
1.695116,1.765392
1.679019,1.753486
1.691629,1.760080
1.698605,1.769360
1.685260,1.754863
1.706381,1.775440
1.719534,1.789233
1.660907,1.730926
1.683788,1.756431
1.686988,1.753839
1.717261,1.787152
1.694733,1.762704
1.717549,1.786256
1.701964,1.768687
1.718989,1.787696
1.686604,1.755311
1.720814,1.791953
1.683884,1.755087
1.716397,1.789040
1.662410,1.730861
1.691596,1.761199
1.686092,1.752206
1.700429,1.768432
1.692556,1.759471
1.692685,1.760880
1.670475,1.736718
1.721805,1.820786
1.713581,1.785200
1.713645,1.784048
1.701485,1.769744
1.684492,1.756111
1.691180,1.758863
1.706509,1.777680
1.671019,1.739502
1.673003,1.740974
1.694220,1.763503
1.679467,1.750287
1.676235,1.746191
1.708813,1.784976
1.657610,1.724173
1.711917,1.782897
1.677292,1.744687
1.709229,1.781520
1.693004,1.764239
1.702348,1.778096
1.704685,1.786416
1.691116,1.771568
1.704653,1.773648
1.689100,1.756623
1.706828,1.779439
1.717869,1.793137
1.713837,1.787216
1.700076,1.772047
1.643082,1.709773
1.665195,1.734542
1.621385,1.685227
1.658794,1.726701
1.651370,1.715469
1.659275,1.723758
1.655819,1.725614
1.683340,1.761775
1.640330,1.714797
1.677579,1.756623
1.652267,1.714989
1.641546,1.713709
1.658954,1.727917
1.656522,1.724941
1.687915,1.755054
1.721229,1.791312
1.707885,1.782896
1.714637,1.793648
1.697100,1.766544
1.709549,1.781104
1.700876,1.769359
1.684844,1.753231
1.687276,1.756591
1.723501,1.800112
1.694284,1.765936
1.713357,1.792240
1.694988,1.766191
1.723437,1.801137
1.694636,1.763151
1.718765,1.795633
1.696844,1.765199
1.719597,1.789232
1.670827,1.739310
1.730125,1.812593
1.704973,1.775696
1.720269,1.802897
1.665098,1.732877
1.709197,1.782512
1.692876,1.761679
1.694572,1.764335
1.669419,1.736686
1.725709,1.801521
1.680075,1.750286
1.713997,1.781008
1.656010,1.722957
1.726318,1.806129
1.694956,1.764367
1.716909,1.799536
1.691084,1.760655
1.704045,1.771312
1.689580,1.756943
1.695884,1.767855
1.667083,1.738318
1.695084,1.764911
1.689964,1.760879
1.729485,1.806321
1.701612,1.769071
1.691787,1.759438
1.662059,1.727406
1.692364,1.768816
1.666891,1.738702
1.693676,1.764335
1.687244,1.760015
1.689323,1.766383
1.693068,1.760015
1.708237,1.787312
1.710573,1.786224
1.699692,1.768463
1.687692,1.757647
1.685163,1.753390
1.703532,1.770895
1.693676,1.775344
1.662314,1.731885
1.721453,1.803857
1.695532,1.764367
1.719757,1.794033
1.691468,1.760975
1.684043,1.762319
1.665898,1.730893
1.692012,1.772591
1.660587,1.729134
1.709933,1.787696
1.685419,1.757774
1.690188,1.758767
1.696588,1.768719
1.725422,1.798161
1.699820,1.769583
1.709388,1.781648
1.697420,1.768496
1.713453,1.790033
1.676011,1.744271
1.721869,1.792912
1.712141,1.786960
1.697004,1.766319
1.695532,1.764623
1.718221,1.800849
1.676395,1.745038
1.732269,1.810801
1.677675,1.748014
1.718253,1.791472
1.675979,1.743086
1.736270,1.808241
1.669611,1.741390
1.726157,1.795920
1.675083,1.743662
1.722541,1.803985
1.694444,1.764303
1.710284,1.796304
1.672747,1.744398
1.691116,1.769519
1.702540,1.769071
1.718957,1.796337
1.671371,1.739534
1.687531,1.757807
1.708141,1.777808
1.719501,1.789264
1.673611,1.742766
1.726669,1.797104
1.697580,1.768591
1.712876,1.797008
1.692076,1.760655
1.719053,1.798353
1.672651,1.742062
1.718285,1.797264
1.710989,1.781168
1.671819,1.741294
1.679531,1.744366
1.695756,1.764943
1.663723,1.731438
1.705932,1.776527
1.716589,1.796305
1.680715,1.751534
1.702732,1.771119
1.673867,1.740942
1.690284,1.766799
1.694700,1.769679
1.677163,1.746542
1.670154,1.738861
1.657610,1.724717
1.675787,1.743310
1.696172,1.762959
1.675787,1.747342
1.705484,1.772815
1.709676,1.778831
1.704813,1.773520
1.668555,1.737006
1.696460,1.768239
1.696492,1.764975
1.674731,1.744270
1.694123,1.765071
1.678283,1.788048
1.714253,1.785264
1.677291,1.753615
1.679436,1.750095
1.700237,1.770352
1.676395,1.745262
1.671915,1.740718
1.707116,1.775503
1.705516,1.796048
1.674059,1.743758
1.677707,1.768944
1.699948,1.770255
1.657387,1.743854
1.674667,1.742830
1.700396,1.791472
1.697996,1.767535
1.694731,1.786895
1.675307,1.743310
1.719469,1.817137
1.700684,1.772400
1.720077,1.796432
1.696364,1.766127
1.717612,1.790064
1.673131,1.740174
1.694924,1.780303
1.694700,1.763375
1.718989,1.788784
1.672107,1.739790
1.696748,1.785776
1.689035,1.766095
1.720269,1.798448
1.678667,1.745774
1.719149,1.799665
1.660778,1.726125
1.722381,1.805873
1.728493,1.798992
1.757166,1.844402
1.755279,1.835410
1.693036,1.763343
1.693676,1.764111
1.699404,1.774799
