TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
8.669909,0.276693,0.005665,0.047108,0.000800,0.013409,0.000352,0.001472,0.009025,0.000608,9.033713
1.213949,0.205584,0.005536,0.047684,0.000800,0.013441,0.000352,0.001472,0.001248,0.000320,1.499251
1.259040,0.205328,0.005088,0.048804,0.000768,0.013921,0.000384,0.001792,0.001248,0.000384,1.546261
1.180442,0.204720,0.005152,0.048452,0.000768,0.014017,0.000384,0.002016,0.001056,0.000384,1.467120
1.232478,0.204208,0.005120,0.047748,0.000608,0.014049,0.000384,0.001536,0.001024,0.000384,1.516404
1.177274,0.204912,0.005184,0.048964,0.000640,0.014337,0.000384,0.001600,0.001024,0.000417,1.463184
1.238622,0.223953,0.008512,0.049124,0.000608,0.014017,0.000352,0.001505,0.001344,0.000416,1.547062
1.241087,0.203856,0.005088,0.048932,0.000576,0.013793,0.000320,0.001536,0.001056,0.000384,1.525237
1.219965,0.203407,0.005153,0.048515,0.000608,0.013857,0.000384,0.001504,0.001024,0.000384,1.503283
1.183899,0.203728,0.005088,0.048004,0.000576,0.013825,0.000352,0.001536,0.001056,0.000384,1.468688
1.210076,0.203375,0.005153,0.048547,0.000576,0.013505,0.000352,0.001472,0.000992,0.000352,1.492722
1.230717,0.203439,0.005089,0.048643,0.000576,0.013954,0.000352,0.001472,0.001120,0.000384,1.514355
1.223646,0.203791,0.005057,0.048068,0.000608,0.014145,0.000416,0.001792,0.000992,0.000384,1.506899
1.215420,0.203600,0.005088,0.048708,0.000608,0.013729,0.000352,0.001536,0.000929,0.000352,1.498899
1.243230,0.203759,0.005121,0.049123,0.000577,0.013473,0.000384,0.001472,0.001056,0.000384,1.526324
1.199291,0.203759,0.005121,0.067237,0.000608,0.013569,0.000352,0.001536,0.001024,0.000352,1.501810
1.265568,0.209584,0.005440,0.049476,0.000768,0.013825,0.000352,0.002016,0.001792,0.000352,1.559767
1.241311,0.205584,0.005376,0.049092,0.000800,0.014337,0.000352,0.001633,0.001152,0.000416,1.528917
1.187578,0.205263,0.005153,0.049411,0.000800,0.014050,0.000352,0.001536,0.001056,0.000416,1.473456
1.236766,0.204048,0.005120,0.049636,0.000832,0.013857,0.000352,0.001505,0.001280,0.000352,1.522548
1.223133,0.203504,0.005152,0.049572,0.000832,0.014081,0.000352,0.001600,0.000993,0.000352,1.507571
1.196571,0.203791,0.005120,0.049156,0.000576,0.013729,0.000352,0.001537,0.001056,0.000352,1.480785
1.247711,0.203856,0.005056,0.048388,0.000608,0.013857,0.000384,0.001664,0.001088,0.000352,1.530612
1.207163,0.203471,0.005441,0.048547,0.000577,0.013953,0.000352,0.001536,0.001056,0.000320,1.491025
1.227005,0.222417,0.008704,0.048516,0.000800,0.013569,0.000352,0.001536,0.000960,0.000384,1.532949
1.225021,0.204175,0.005057,0.048739,0.000576,0.013473,0.000352,0.001536,0.000960,0.000352,1.507987
1.187738,0.203503,0.005120,0.048835,0.000608,0.013537,0.000352,0.001537,0.001248,0.000352,1.470864
1.235134,0.203792,0.005120,0.048676,0.000800,0.013441,0.000384,0.001408,0.001088,0.000384,1.518131
1.213820,0.203983,0.005120,0.048099,0.000576,0.013729,0.000352,0.001473,0.001120,0.000384,1.496434
1.252319,0.205263,0.005185,0.048195,0.000576,0.013665,0.000385,0.001504,0.001152,0.000448,1.538357
1.196859,0.203919,0.005089,0.048772,0.000576,0.013409,0.000384,0.001536,0.001120,0.000352,1.480112
1.217212,0.205135,0.005089,0.047779,0.000576,0.013569,0.000352,0.001505,0.001152,0.000416,1.501554
1.202075,0.204400,0.005120,0.048580,0.000800,0.014081,0.000352,0.001536,0.001121,0.000416,1.487313
1.247199,0.222833,0.005152,0.048548,0.000608,0.013697,0.000352,0.001472,0.001120,0.000384,1.550134
1.206332,0.203855,0.005184,0.048580,0.000608,0.013793,0.000352,0.001504,0.001024,0.000384,1.490257
1.237566,0.204111,0.005089,0.048547,0.000800,0.013537,0.000352,0.001504,0.001088,0.000384,1.521108
