TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
9.188910,0.004545,0.002912,0.000640,9.203631
1.759385,0.004032,0.001440,0.000544,1.772346
1.709654,0.002848,0.000704,0.000384,1.719638
1.761497,0.003936,0.001217,0.000416,1.773946
1.710902,0.003264,0.000960,0.000416,1.721719
1.736408,0.002976,0.000736,0.000384,1.747896
1.723799,0.003808,0.000960,0.000384,1.735127
1.756697,0.003168,0.000992,0.000416,1.767961
1.710902,0.002720,0.001024,0.000384,1.720631
1.734295,0.003073,0.000928,0.000352,1.744568
1.713590,0.003392,0.000897,0.000352,1.724279
1.713814,0.002592,0.001025,0.000352,1.724471
1.715766,0.002561,0.000896,0.000384,1.724791
1.790458,0.003808,0.001280,0.000416,1.803483
1.739671,0.002848,0.001120,0.000384,1.750360
1.755096,0.002785,0.000928,0.000352,1.765081
1.735288,0.002784,0.001120,0.000384,1.747288
1.747640,0.002784,0.001120,0.000416,1.758520
1.734999,0.002912,0.001120,0.000352,1.745688
1.790426,0.002432,0.001152,0.000288,1.800827
1.736823,0.002624,0.000992,0.000352,1.746295
1.788858,0.002657,0.001088,0.000384,1.798875
1.739191,0.002688,0.001024,0.000384,1.748824
1.762872,0.002945,0.001056,0.000320,1.772537
1.732983,0.002752,0.001088,0.000384,1.743415
1.800827,0.002912,0.000992,0.000416,1.810395
1.737272,0.003072,0.000992,0.000352,1.748920
1.762136,0.002720,0.001280,0.000352,1.772185
1.734999,0.002656,0.001056,0.000384,1.745496
1.796378,0.002688,0.001024,0.000352,1.807066
1.778330,0.002784,0.001152,0.000352,1.788858
1.759673,0.002752,0.001024,0.000384,1.769593
1.733879,0.002528,0.001088,0.000416,1.744087
1.789658,0.002816,0.001184,0.000384,1.800602
1.742712,0.002848,0.001056,0.000384,1.752632
1.785914,0.003744,0.001024,0.000384,1.796890
1.726295,0.002816,0.001120,0.000416,1.738808
1.803259,0.002592,0.000992,0.000384,1.813851
1.751448,0.002912,0.001088,0.000416,1.762681
1.774553,0.002848,0.001120,0.000384,1.785018
1.728087,0.002816,0.001120,0.000416,1.738487
1.761784,0.003008,0.001120,0.000352,1.773305
1.743031,0.002880,0.001152,0.000416,1.754168
1.760664,0.002912,0.001280,0.000384,1.771032
1.727638,0.002976,0.001120,0.000416,1.738359
1.770425,0.002944,0.001056,0.000384,1.782298
1.742135,0.002912,0.001152,0.000352,1.753016
1.776985,0.002880,0.001088,0.000384,1.787513
1.730295,0.002688,0.001152,0.000384,1.740791
1.773593,0.002752,0.000928,0.000384,1.784026
1.747576,0.002816,0.001184,0.000384,1.757272
1.757624,0.002816,0.001024,0.000384,1.767545
1.742936,0.002752,0.001120,0.000384,1.753688
1.763192,0.002912,0.001152,0.000352,1.774297
1.743895,0.002656,0.001152,0.000384,1.754520
1.777369,0.002752,0.001152,0.000384,1.788314
1.733815,0.002816,0.001024,0.000416,1.744664
1.766777,0.002752,0.001056,0.000352,1.777465
1.744792,0.002784,0.001152,0.000384,1.755480
1.766936,0.002913,0.001056,0.000384,1.777465
1.775866,0.002656,0.000992,0.000384,1.785882
1.767801,0.002912,0.001120,0.000448,1.778297
1.728023,0.002592,0.001056,0.000384,1.738231
1.766265,0.002752,0.001120,0.000352,1.776377
1.753240,0.002816,0.001120,0.000352,1.763257
1.745335,0.002785,0.000992,0.000320,1.756248
1.745048,0.002720,0.001120,0.000384,1.755704
1.741048,0.002848,0.001088,0.000384,1.750840
1.747639,0.002817,0.001152,0.000352,1.758584
1.742071,0.002816,0.001152,0.000384,1.752216
1.750712,0.002656,0.001152,0.000416,1.760728
1.786713,0.002816,0.001088,0.000384,1.796858
1.736215,0.003072,0.001120,0.000384,1.746999
1.740759,0.002528,0.001248,0.000416,1.751063
1.729654,0.002753,0.001152,0.000384,1.739895
1.758008,0.003040,0.001152,0.000448,1.767832
1.748184,0.002976,0.001632,0.000416,1.759896
1.769337,0.002656,0.001280,0.000352,1.780537
1.798394,0.002785,0.001344,0.000384,1.808507
1.742647,0.002657,0.001152,0.000352,1.752632
1.763608,0.002817,0.001152,0.000416,1.774329
1.746392,0.002720,0.001184,0.000320,1.756760
1.757465,0.002624,0.001152,0.000384,1.768249
1.746583,0.002720,0.001121,0.000416,1.757240
1.836412,0.002816,0.001152,0.000384,1.846557
1.737271,0.002849,0.001184,0.000416,1.748152
1.776473,0.002784,0.001120,0.000384,1.786489
1.750775,0.002816,0.001120,0.000416,1.761432
1.783225,0.002624,0.001088,0.000352,1.793370
1.729430,0.002592,0.001056,0.000384,1.739863
1.754744,0.002785,0.001248,0.000384,1.765465
1.775033,0.002720,0.001056,0.000384,1.784858
1.762264,0.002848,0.001152,0.000352,1.772793
1.782105,0.002817,0.000992,0.000416,1.792282
1.786554,0.002816,0.001440,0.000352,1.797882
1.737335,0.002976,0.001312,0.000384,1.747287
1.750840,0.002592,0.001441,0.000352,1.760537
1.735255,0.002817,0.001280,0.000352,1.746008
1.802459,0.002784,0.001248,0.000352,1.813019
1.747896,0.002752,0.001088,0.000384,1.758584
1.783001,0.002720,0.001344,0.000384,1.793466
1.767161,0.002496,0.001248,0.000416,1.777433
1.757560,0.002784,0.001248,0.000384,1.768120
1.778681,0.002561,0.001312,0.000352,1.788602
1.757720,0.002880,0.001568,0.000384,1.768888
1.769625,0.002720,0.001120,0.000320,1.779609
1.777721,0.002753,0.001280,0.000288,1.787802
1.744215,0.002816,0.001248,0.000384,1.754999
1.756984,0.003425,0.000960,0.000320,1.767641
1.750296,0.002624,0.001088,0.000352,1.760632
1.783417,0.002848,0.001120,0.000352,1.793562
1.759960,0.002688,0.001120,0.000384,1.769560
1.789369,0.003008,0.001280,0.000384,1.800442
1.741527,0.002688,0.001408,0.000384,1.751831
1.786297,0.002817,0.001120,0.000288,1.795994
1.734647,0.002560,0.001056,0.000384,1.744311
1.788986,0.002720,0.001056,0.000352,1.799194
1.766745,0.003008,0.001120,0.000384,1.778137
1.754872,0.002784,0.001024,0.000352,1.764985
1.728215,0.002752,0.001120,0.000416,1.739191
1.783321,0.002944,0.001024,0.000384,1.793658
1.727638,0.002720,0.001088,0.000352,1.737719
1.767288,0.002689,0.001184,0.000352,1.777561
1.733335,0.002784,0.001088,0.000416,1.743479
1.776345,0.002752,0.001120,0.000384,1.787545
1.727991,0.002784,0.001120,0.000384,1.739383
1.763352,0.002784,0.001120,0.000384,1.773208
1.746680,0.002976,0.001184,0.000416,1.757944
1.762360,0.002656,0.001088,0.000352,1.771225
1.779289,0.002656,0.001088,0.000416,1.789434
1.743735,0.002784,0.000992,0.000384,1.754007
1.729590,0.002785,0.001152,0.000416,1.739959
1.787161,0.002752,0.001121,0.000352,1.797434
1.734231,0.002880,0.001088,0.000448,1.744343
1.760376,0.002848,0.000960,0.000384,1.770968
1.732311,0.002912,0.001056,0.000416,1.742519
1.758968,0.002528,0.001120,0.000384,1.768568
1.751512,0.002688,0.001088,0.000416,1.761560
1.781817,0.002656,0.001056,0.000384,1.792570
1.733111,0.002656,0.000960,0.000416,1.742967
1.787161,0.003520,0.001152,0.000416,1.798426
1.768120,0.002785,0.001248,0.000384,1.778873
1.763096,0.002881,0.001184,0.000416,1.773593
1.762520,0.002848,0.001248,0.000352,1.772249
1.750072,0.002816,0.001248,0.000352,1.761656
1.759800,0.002688,0.001216,0.000480,1.769976
1.755095,0.002944,0.001248,0.000416,1.766232
1.745271,0.003200,0.001249,0.000416,1.756664
1.760088,0.002817,0.001248,0.000384,1.770233
1.784442,0.003136,0.001184,0.000352,1.794778
1.744952,0.003104,0.001216,0.000352,1.755224
1.769432,0.003200,0.001280,0.000353,1.781529
1.760888,0.002752,0.001248,0.000416,1.771641
1.739831,0.002880,0.001248,0.000416,1.750520
1.796633,0.003040,0.001184,0.000384,1.808250
1.766425,0.002848,0.001120,0.000352,1.776825
1.764120,0.002816,0.001184,0.000384,1.774616
1.730935,0.002880,0.001216,0.000384,1.741239
1.784537,0.002720,0.001216,0.000417,1.794970
1.735510,0.002881,0.001120,0.000416,1.745943
1.753368,0.002688,0.001280,0.000416,1.763480
1.775864,0.002752,0.001248,0.000384,1.787033
1.753911,0.002912,0.001152,0.000352,1.765048
1.769208,0.002976,0.001184,0.000416,1.780537
1.742839,0.002912,0.001152,0.000416,1.754487
1.757080,0.002784,0.001185,0.000352,1.767257
1.790585,0.002913,0.001216,0.000416,1.801626
1.757336,0.002913,0.001216,0.000448,1.767641
1.732822,0.002752,0.001184,0.000416,1.742455
1.739799,0.002848,0.001088,0.000416,1.749720
