TEE[0-9],Layer[10],classifier
9.205037,0.000992,9.211341
1.788820,0.000800,1.795988
1.758898,0.000672,1.765138
1.759506,0.000768,1.766803
1.757618,0.000864,1.763954
1.785204,0.000736,1.791444
1.768242,0.000640,1.773586
1.779155,0.000736,1.785683
1.732848,0.000640,1.738641
1.732721,0.000704,1.738289
1.732400,0.000672,1.738193
1.809332,0.000768,1.815412
1.759186,0.000672,1.765331
1.752881,0.000768,1.759666
1.756338,0.000736,1.763026
1.788468,0.000704,1.794324
1.741713,0.000704,1.747217
1.744945,0.000704,1.750994
1.759602,0.000672,1.765842
1.751858,0.000672,1.757298
1.734320,0.000672,1.740178
1.800820,0.000704,1.807348
1.767635,0.000640,1.774291
1.757202,0.000832,1.763634
1.772531,0.000704,1.778515
1.774387,0.000704,1.779731
1.719216,0.000640,1.724976
1.756690,0.000768,1.763250
1.760338,0.000736,1.766418
1.741169,0.000768,1.746833
1.732112,0.000704,1.737873
1.755729,0.000704,1.761042
1.756881,0.000672,1.762514
1.786195,0.000768,1.791924
1.758930,0.000704,1.764370
1.714160,0.000640,1.719056
1.750961,0.000736,1.756401
1.737457,0.000800,1.742321
1.731665,0.000800,1.739441
1.749842,0.000800,1.755890
1.753777,0.000640,1.759218
1.728656,0.000704,1.734832
1.760402,0.000704,1.766450
1.777267,0.000768,1.783827
1.728913,0.000704,1.734577
1.754482,0.000672,1.760466
1.728657,0.000608,1.734705
1.727824,0.000736,1.733681
1.753841,0.000736,1.759185
1.726993,0.000736,1.732561
1.720496,0.000768,1.726864
1.760818,0.000640,1.766322
1.763731,0.000768,1.769619
1.784275,0.000768,1.790068
1.765330,0.000672,1.771282
1.744305,0.000672,1.750194
1.757937,0.000672,1.763794
1.739921,0.000704,1.745969
1.767059,0.000672,1.772627
1.759345,0.000704,1.765074
1.761041,0.000736,1.767218
1.747377,0.000672,1.752817
1.763122,0.000768,1.769523
1.766322,0.000704,1.772082
1.750033,0.000672,1.755282
1.766802,0.000736,1.772786
1.748049,0.000768,1.753617
1.761874,0.000736,1.767378
1.739025,0.000736,1.744658
1.753458,0.000704,1.759410
1.755601,0.000736,1.761362
1.753202,0.000608,1.759154
1.767379,0.000608,1.773235
1.780659,0.000672,1.786675
1.736177,0.000704,1.742193
1.794099,0.000672,1.799891
1.763442,0.000736,1.770098
1.734737,0.000640,1.740305
1.723633,0.000672,1.729425
1.765618,0.000704,1.771474
1.758674,0.000704,1.763698
1.735857,0.000736,1.741169
1.735632,0.000608,1.742097
1.750769,0.000608,1.755505
1.725328,0.000640,1.731088
1.769523,0.000576,1.774835
1.736049,0.000608,1.742513
1.748145,0.000736,1.753681
1.754801,0.000640,1.760625
1.781811,0.000576,1.787827
1.752945,0.000640,1.757906
1.783283,0.000704,1.789043
1.724848,0.000640,1.730641
1.781235,0.000672,1.786611
1.749041,0.000640,1.753906
1.762098,0.000640,1.768114
1.766898,0.000512,1.772946
1.779314,0.000704,1.785074
1.741297,0.001088,1.747633
1.765874,0.000672,1.772114
1.755409,0.000705,1.761842
1.755762,0.000736,1.761106
1.739537,0.000736,1.745905
1.752690,0.000704,1.758834
1.753746,0.000736,1.759634
1.755729,0.000608,1.761105
1.730640,0.000768,1.735824
1.790579,0.000896,1.795955
1.747889,0.000736,1.754065
1.770418,0.000736,1.775986
1.758034,0.000704,1.763346
1.772754,0.000608,1.778546
1.766802,0.000640,1.772530
1.783443,0.000672,1.788979
1.758194,0.000640,1.763346
1.749713,0.000768,1.755345
1.751089,0.000608,1.757202
1.796627,0.000704,1.802803
1.749425,0.000768,1.755345
1.793971,0.000704,1.799827
1.790547,0.001280,1.798835
1.773970,0.000896,1.780947
1.758162,0.000608,1.764626
1.728976,0.000640,1.735248
1.725328,0.000672,1.731249
1.750642,0.000736,1.756882
1.737937,0.000672,1.743793
1.719344,0.000704,1.724944
1.731697,0.000736,1.738801
1.755410,0.000736,1.762226
1.726608,0.000672,1.732752
1.750802,0.000736,1.757554
1.703312,0.000672,1.709680
1.741937,0.000640,1.747505
1.721071,0.000704,1.727184
1.734064,0.000672,1.739568
1.751697,0.000800,1.758258
1.764658,0.000704,1.770898
1.783827,0.001152,1.794644
1.757041,0.000768,1.763217
1.739537,0.000736,1.744689
1.723056,0.000800,1.729201
1.739057,0.000736,1.746001
1.750865,0.000672,1.757329
1.766002,0.000896,1.771986
1.796467,0.000960,1.803348
1.730608,0.000768,1.737137
1.756050,0.000736,1.762258
1.736017,0.000768,1.742705
1.780722,0.000864,1.787027
1.735569,0.000832,1.742033
1.763986,0.000736,1.770354
1.737872,0.000736,1.744369
1.794931,0.000768,1.801203
1.738673,0.000736,1.745169
1.796019,0.000736,1.802484
1.732464,0.000705,1.738385
1.780915,0.000768,1.787219
1.769970,0.000640,1.775922
