Layer[0],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506358,0.207657,0.206729,0.009505,0.047106,0.000800,0.013441,0.000352,0.001472,0.002720,0.000608,1.004748
0.435667,0.249227,0.204905,0.005600,0.047523,0.000832,0.013632,0.000352,0.001568,0.001920,0.000384,0.971499
0.417491,0.219369,0.203753,0.005761,0.048258,0.000576,0.013953,0.000352,0.001536,0.001728,0.000384,0.922825
0.416851,0.235786,0.203145,0.005376,0.048418,0.000576,0.013920,0.000352,0.001632,0.001313,0.000416,0.936682
0.434964,0.237322,0.203177,0.005601,0.049250,0.000576,0.014176,0.000352,0.001664,0.001344,0.000320,0.957707
0.420435,0.220330,0.203401,0.005536,0.049602,0.000576,0.014145,0.000320,0.001504,0.001376,0.000352,0.926441
0.420723,0.214217,0.202921,0.005569,0.048898,0.000544,0.013632,0.000416,0.001504,0.001537,0.000352,0.919113
0.416531,0.220394,0.221642,0.005568,0.049890,0.000736,0.013953,0.000384,0.001568,0.001504,0.000384,0.942250
0.420915,0.246059,0.202921,0.005568,0.048354,0.000544,0.013569,0.000352,0.001504,0.001312,0.000320,0.950026
0.421138,0.216234,0.203369,0.005536,0.048834,0.000576,0.013601,0.000352,0.001536,0.001280,0.000352,0.922568
0.419859,0.211433,0.202825,0.005696,0.048194,0.000544,0.013761,0.000352,0.001504,0.001088,0.000352,0.914952
0.425139,0.216041,0.203241,0.005537,0.048290,0.000576,0.013440,0.000352,0.001504,0.001152,0.000800,0.925673
0.419986,0.220106,0.203625,0.009537,0.047970,0.000576,0.013472,0.000416,0.001473,0.001056,0.000320,0.927657
0.415763,0.217353,0.203369,0.005569,0.048578,0.000576,0.013504,0.000384,0.001504,0.001057,0.000352,0.916681
0.416627,0.235786,0.202793,0.009537,0.048514,0.000576,0.013441,0.000352,0.001504,0.001088,0.000320,0.939658
0.415923,0.209033,0.203977,0.009505,0.047714,0.000608,0.013472,0.000384,0.001440,0.001088,0.000417,0.912233
