Layer[0],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.511350,8.096126,0.005601,0.048066,0.000544,0.013440,0.000352,0.001568,0.002656,0.000544,8.690392
0.417906,0.714719,0.005856,0.048515,0.000576,0.013440,0.000352,0.001728,0.001376,0.000352,1.213972
0.416146,0.733664,0.005728,0.048610,0.000576,0.014497,0.000384,0.001632,0.001632,0.000320,1.232565
0.416306,0.728639,0.005568,0.049731,0.000800,0.014144,0.000352,0.001600,0.001376,0.000320,1.228117
0.415794,0.698783,0.005504,0.049506,0.000576,0.014145,0.000384,0.001568,0.001248,0.000384,1.196276
0.415858,0.700959,0.005536,0.049090,0.000608,0.014177,0.000352,0.001504,0.001120,0.000320,1.199604
0.415794,0.722048,0.005536,0.049666,0.000576,0.013633,0.000384,0.001408,0.001088,0.000384,1.218677
0.416210,0.712415,0.005601,0.049474,0.000576,0.013952,0.000384,0.001824,0.001217,0.000352,1.212213
0.415922,0.702814,0.005408,0.048738,0.000608,0.013825,0.000416,0.001504,0.001280,0.000384,1.199444
0.431923,0.703199,0.005568,0.048162,0.000576,0.013537,0.000352,0.001440,0.001120,0.000320,1.215509
0.415922,0.704991,0.005408,0.048322,0.000576,0.014465,0.000416,0.001856,0.001248,0.000352,1.202772
0.415986,0.705183,0.005344,0.047362,0.000576,0.013473,0.000416,0.001536,0.001120,0.000384,1.199956
0.415890,0.689118,0.005280,0.047458,0.000544,0.013633,0.000384,0.001600,0.001056,0.000384,1.184083
0.415794,0.697566,0.005216,0.047298,0.000544,0.013408,0.000352,0.001568,0.001024,0.000352,1.192372
0.415634,0.711199,0.005312,0.047234,0.000576,0.013409,0.000352,0.001472,0.001120,0.000352,1.205044
0.415218,0.710431,0.005376,0.047138,0.000608,0.013409,0.000384,0.001472,0.001024,0.000320,1.204500
0.415730,0.697758,0.005344,0.047811,0.000576,0.013632,0.000352,0.001472,0.001120,0.000352,1.193715
0.416850,0.717503,0.005600,0.048546,0.000576,0.013729,0.000384,0.001984,0.001248,0.000384,1.216628
0.415858,0.718144,0.005504,0.048194,0.000800,0.013985,0.000384,0.001568,0.001088,0.000352,1.215701
0.416370,0.710367,0.005536,0.048418,0.000544,0.014241,0.000384,0.001600,0.001152,0.000384,1.208980
0.450163,0.719583,0.005313,0.049282,0.000832,0.013952,0.000352,0.001505,0.001120,0.000352,1.251350
0.416146,0.705471,0.005472,0.049026,0.000544,0.013633,0.000384,0.001568,0.001120,0.000352,1.202900
0.415762,0.694974,0.005568,0.048642,0.000576,0.013345,0.000384,0.001632,0.001216,0.000384,1.190387
0.415762,0.704703,0.005312,0.048418,0.000544,0.013441,0.000416,0.001600,0.001152,0.000384,1.199828
0.416274,0.719103,0.005441,0.049442,0.000832,0.013472,0.000352,0.001601,0.001088,0.000352,1.216149
0.416242,0.721407,0.005312,0.048642,0.000544,0.013408,0.000352,0.001600,0.001088,0.000352,1.216980
0.415634,0.694654,0.005281,0.047970,0.000576,0.013440,0.000352,0.001536,0.001057,0.000352,1.189268
0.415570,0.697150,0.005632,0.048162,0.000608,0.013537,0.000384,0.001504,0.001184,0.000384,1.193460
0.415858,0.761217,0.005440,0.048226,0.000544,0.013441,0.000384,0.001504,0.001088,0.000384,1.256598
0.416114,0.706686,0.005473,0.047586,0.000608,0.013536,0.000352,0.001568,0.001153,0.000352,1.202100
0.416402,0.704671,0.005440,0.047362,0.000576,0.013409,0.000384,0.001504,0.001088,0.000384,1.199668
0.430034,0.686270,0.005312,0.049090,0.000576,0.013409,0.000384,0.001504,0.001120,0.000352,1.196851
0.415954,0.698590,0.005344,0.047426,0.000576,0.013409,0.000352,0.001600,0.001216,0.000384,1.193364
0.416018,0.700574,0.006656,0.047235,0.000576,0.013376,0.000384,0.001984,0.001056,0.000384,1.196499
0.416466,0.696702,0.005569,0.047298,0.000640,0.013568,0.000384,0.001536,0.001088,0.000384,1.191988
0.416146,0.683038,0.005344,0.047330,0.000576,0.013313,0.000384,0.001504,0.001120,0.000384,1.177043
0.415730,0.718015,0.005377,0.047490,0.000576,0.013376,0.000384,0.001504,0.001056,0.000384,1.212276
