Layer[0],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506134,8.073303,0.048098,0.000832,0.013857,0.000352,0.001472,0.002720,0.000576,8.657200
0.417810,0.753984,0.048034,0.000640,0.013952,0.000320,0.001504,0.001504,0.000352,1.247285
0.416786,0.715838,0.048482,0.000800,0.014304,0.000384,0.001472,0.000992,0.000320,1.208403
0.417746,0.702078,0.049378,0.000896,0.013985,0.000384,0.001792,0.001024,0.000352,1.197363
0.416785,0.754144,0.050498,0.000864,0.014688,0.000448,0.001504,0.001185,0.000384,1.249718
0.416625,0.700574,0.049186,0.000832,0.014145,0.000384,0.001760,0.001632,0.000352,1.195090
0.416018,0.704830,0.048610,0.000864,0.014113,0.000352,0.001600,0.001216,0.000288,1.196179
0.430803,0.697309,0.048835,0.000832,0.013792,0.000352,0.001568,0.001216,0.000320,1.204339
0.416082,0.705086,0.049026,0.000672,0.013697,0.000384,0.001568,0.001024,0.000384,1.196691
0.415954,0.706910,0.049826,0.000640,0.013697,0.000384,0.001472,0.001088,0.000384,1.199315
0.415634,0.741343,0.049635,0.000672,0.013536,0.000384,0.001472,0.000992,0.000352,1.233108
0.415601,0.699486,0.050466,0.000640,0.013505,0.000320,0.001504,0.001056,0.000416,1.190546
0.416082,0.752192,0.048610,0.000672,0.013505,0.000352,0.001408,0.000992,0.000288,1.243285
0.416146,0.713086,0.049250,0.000640,0.013825,0.000448,0.001504,0.001088,0.000384,1.204243
0.415730,0.708606,0.048898,0.000800,0.013569,0.000384,0.001440,0.001152,0.000352,1.199891
0.415825,0.729407,0.048707,0.000608,0.013984,0.000416,0.001472,0.001664,0.000384,1.222099
0.416561,0.705918,0.048995,0.000864,0.013824,0.000416,0.001440,0.001056,0.000352,1.198066
0.415698,0.690653,0.049922,0.000640,0.013601,0.000352,0.001472,0.000960,0.000320,1.182226
0.433330,0.708190,0.048610,0.000640,0.013761,0.000416,0.001408,0.000992,0.000320,1.216851
0.415602,0.705310,0.048738,0.000704,0.013633,0.000384,0.001472,0.001024,0.000352,1.195763
0.415762,0.729471,0.067107,0.000800,0.013729,0.000832,0.001408,0.001024,0.000352,1.240757
0.415153,0.704254,0.048322,0.000672,0.013505,0.000352,0.001440,0.000960,0.000384,1.192434
0.415825,0.702142,0.047330,0.000640,0.013569,0.000416,0.001440,0.000960,0.000384,1.191058
0.416145,0.726046,0.048387,0.000704,0.013824,0.000384,0.001728,0.001152,0.000320,1.217875
0.415826,0.689725,0.048962,0.000704,0.013825,0.000384,0.001440,0.001152,0.000384,1.180722
0.415858,0.695677,0.048546,0.000576,0.013889,0.000320,0.001696,0.001344,0.000352,1.187250
0.416018,0.714430,0.049730,0.000608,0.013728,0.000352,0.001472,0.001024,0.000353,1.206068
0.415666,0.727231,0.048194,0.000640,0.013697,0.000352,0.001440,0.000960,0.000320,1.216628
0.415729,0.704510,0.048418,0.000608,0.013569,0.000448,0.001408,0.001056,0.000320,1.193906
0.436498,0.689341,0.048226,0.000640,0.013633,0.000416,0.001376,0.000960,0.000384,1.199891
0.415570,0.694302,0.047938,0.000672,0.013569,0.000416,0.001408,0.001024,0.000384,1.183827
0.415858,0.735327,0.047714,0.000577,0.013472,0.018529,0.001600,0.001120,0.000320,1.242709
0.415665,0.702525,0.048226,0.000640,0.013504,0.000352,0.001440,0.001024,0.000352,1.191954
0.415633,0.744096,0.048098,0.000640,0.013569,0.000384,0.001632,0.000992,0.000320,1.234452
0.415762,0.721566,0.049410,0.000640,0.013696,0.000384,0.001440,0.000992,0.000320,1.212308
0.417330,0.729823,0.049378,0.000640,0.013793,0.000352,0.001472,0.001632,0.000320,1.223188
0.416209,0.705406,0.049923,0.000640,0.013664,0.000416,0.001472,0.000992,0.000320,1.196594
0.432306,0.704030,0.047906,0.000640,0.013537,0.000384,0.001376,0.001056,0.000384,1.209811
0.415762,0.705022,0.047714,0.000640,0.013600,0.000385,0.001504,0.001024,0.000352,1.194067
0.416145,0.704253,0.049250,0.000672,0.013568,0.000416,0.001408,0.001024,0.000320,1.195027
0.432018,0.707934,0.048035,0.000640,0.013472,0.000352,0.001408,0.000960,0.000352,1.213651
0.415090,0.702878,0.047874,0.000608,0.013440,0.000384,0.001440,0.000992,0.000384,1.190834
0.415153,0.724639,0.065891,0.000704,0.013537,0.000416,0.001440,0.001056,0.000384,1.232340
0.415345,0.708574,0.047970,0.000640,0.013697,0.000416,0.001440,0.001088,0.000384,1.198515
0.415953,0.707454,0.048866,0.000672,0.013568,0.000416,0.001536,0.001568,0.000384,1.198579
0.415473,0.758689,0.048770,0.000608,0.013696,0.000352,0.001440,0.001088,0.000384,1.248853
0.415570,0.728799,0.048258,0.000608,0.013408,0.000416,0.001504,0.000928,0.000352,1.217332
0.415697,0.705694,0.048162,0.000640,0.013537,0.000416,0.001504,0.000960,0.000288,1.194738
0.434322,0.709054,0.048098,0.000672,0.013473,0.000384,0.001376,0.000992,0.000320,1.216595
0.416977,0.707966,0.047810,0.000608,0.013504,0.000352,0.001440,0.000993,0.000416,1.198035
0.417074,0.703870,0.047682,0.000640,0.013536,0.000417,0.001504,0.000960,0.000352,1.194067
0.415218,0.682653,0.047842,0.000608,0.013473,0.000416,0.001440,0.001024,0.000352,1.171698
0.415154,0.704062,0.047682,0.000672,0.013505,0.000384,0.001408,0.000992,0.000352,1.192307
0.416529,0.753088,0.047970,0.000608,0.013888,0.000416,0.001536,0.001024,0.000353,1.244629
0.417522,0.745888,0.049122,0.000672,0.013601,0.000416,0.001568,0.001536,0.000320,1.238869
0.416050,0.707262,0.049378,0.000640,0.013632,0.000352,0.001376,0.001088,0.000352,1.198611
0.416625,0.725055,0.048994,0.000768,0.013537,0.000416,0.001472,0.001056,0.000416,1.216435
0.416946,0.730463,0.048482,0.000640,0.014240,0.000384,0.001728,0.001664,0.000544,1.222836
0.415986,0.697630,0.048386,0.000640,0.013632,0.000320,0.001665,0.001152,0.000352,1.187859
0.435058,0.726367,0.048290,0.000608,0.013793,0.000384,0.001408,0.000992,0.000288,1.235412
0.415890,0.691902,0.047714,0.000608,0.013440,0.000352,0.001376,0.000928,0.000352,1.179763
0.415217,0.728478,0.047554,0.000608,0.013504,0.000384,0.001504,0.001024,0.000352,1.215987
0.416210,0.693053,0.047394,0.000608,0.013441,0.000384,0.001472,0.001088,0.000320,1.181298
0.415698,0.750848,0.047650,0.000672,0.013569,0.000384,0.001472,0.001120,0.000384,1.240789
0.416018,0.722654,0.048355,0.000640,0.013536,0.000416,0.001408,0.001184,0.000384,1.212499
0.415954,0.728543,0.048194,0.000672,0.013505,0.000384,0.001504,0.001088,0.000384,1.217908
0.415537,0.704062,0.047714,0.000641,0.013504,0.000384,0.001472,0.001024,0.000352,1.192178
0.416242,0.736511,0.047458,0.000608,0.013473,0.000384,0.001408,0.000928,0.000320,1.224788
0.415729,0.704286,0.047426,0.000608,0.013473,0.000352,0.001472,0.000960,0.000288,1.192242
0.416306,0.704350,0.047426,0.000608,0.013472,0.000352,0.001536,0.000928,0.000320,1.192691
0.433810,0.706078,0.047522,0.000609,0.013568,0.000352,0.001504,0.000960,0.000320,1.212531
0.416370,0.697021,0.047554,0.000608,0.013441,0.000384,0.001440,0.000928,0.000352,1.185810
0.415698,0.700094,0.047682,0.000608,0.013601,0.000384,0.001536,0.001088,0.000352,1.189907
0.416370,0.733631,0.047650,0.000640,0.013441,0.000384,0.001504,0.000928,0.000416,1.222836
0.416753,0.705214,0.047746,0.000576,0.013568,0.000320,0.001440,0.001152,0.000320,1.195187
0.415857,0.749727,0.048450,0.000576,0.013536,0.000416,0.001504,0.001152,0.000352,1.239476
0.416369,0.690333,0.048194,0.000640,0.013473,0.000320,0.001472,0.000992,0.000352,1.179698
0.415730,0.709854,0.048162,0.000672,0.013665,0.000384,0.001696,0.001024,0.000352,1.199507
0.415378,0.731327,0.047778,0.000640,0.013537,0.000416,0.001472,0.000992,0.000384,1.219284
0.416178,0.693341,0.047394,0.000704,0.013568,0.000352,0.001376,0.000992,0.000352,1.182482
0.416050,0.724767,0.047458,0.000608,0.013472,0.000384,0.001376,0.000993,0.000320,1.212596
0.431378,0.700030,0.047522,0.000640,0.013472,0.000384,0.001441,0.000960,0.000320,1.203635
0.415697,0.730207,0.047490,0.000640,0.013728,0.000352,0.001472,0.001120,0.000384,1.220244
0.415601,0.721535,0.048546,0.000672,0.013729,0.000352,0.001472,0.000992,0.000320,1.210867
0.417554,0.699582,0.047714,0.000672,0.013888,0.000384,0.001504,0.001057,0.000320,1.191731
0.416146,0.724703,0.048290,0.000576,0.013697,0.000384,0.001472,0.000960,0.000320,1.214356
0.415569,0.746752,0.047586,0.000608,0.013409,0.000416,0.001472,0.001056,0.000384,1.234676
0.416049,0.740352,0.047458,0.000576,0.013441,0.000384,0.001472,0.000960,0.000384,1.228724
0.415793,0.735008,0.047330,0.000640,0.013472,0.000384,0.001504,0.000896,0.000320,1.222611
0.433874,0.686813,0.047586,0.000640,0.013537,0.000384,0.001472,0.000992,0.000320,1.193522
0.416945,0.727263,0.047490,0.000640,0.013505,0.000352,0.001376,0.000928,0.000352,1.216339
0.415602,0.723423,0.047426,0.000672,0.013472,0.000416,0.001409,0.000960,0.000352,1.210900
0.434674,0.707902,0.048066,0.000576,0.013696,0.000416,0.001504,0.001056,0.000352,1.216531
0.416242,0.733695,0.049570,0.000672,0.013601,0.000480,0.001408,0.001056,0.000352,1.224820
0.416082,0.730079,0.047618,0.000608,0.013537,0.000384,0.001504,0.001184,0.000352,1.220532
0.415826,0.701534,0.047618,0.000640,0.013633,0.000384,0.001472,0.001120,0.000352,1.189811
0.418354,0.700414,0.047490,0.000608,0.013568,0.000352,0.001472,0.001025,0.000320,1.191443
0.415986,0.715710,0.047394,0.000640,0.013665,0.000448,0.001440,0.000960,0.000320,1.204723
0.415314,0.721310,0.047330,0.000608,0.013504,0.000416,0.001408,0.000960,0.000288,1.208147
0.415474,0.719743,0.047330,0.000576,0.013536,0.000384,0.001504,0.000896,0.000288,1.206516
0.432082,0.701886,0.047490,0.000608,0.013537,0.000416,0.001472,0.001024,0.000320,1.205747
0.415730,0.690045,0.047394,0.000672,0.013441,0.000320,0.001472,0.000960,0.000352,1.177362
0.415282,0.705790,0.047490,0.000640,0.013537,0.000352,0.001568,0.001024,0.000352,1.194675
0.431250,0.726879,0.047714,0.000704,0.013633,0.000352,0.001504,0.001056,0.000352,1.231828
0.416721,0.731935,0.049955,0.000640,0.013600,0.000384,0.001472,0.001056,0.000352,1.224244
0.415890,0.736671,0.047810,0.000640,0.013633,0.000384,0.001504,0.001024,0.000288,1.226100
0.416401,0.693502,0.047362,0.000672,0.013632,0.000416,0.001473,0.001056,0.000352,1.182355
0.416305,0.737280,0.047586,0.000608,0.013728,0.000384,0.001376,0.001025,0.000320,1.226932
0.415378,0.712926,0.047586,0.000608,0.013569,0.000352,0.001408,0.001024,0.000384,1.201011
0.418482,0.701790,0.047458,0.000768,0.013537,0.000352,0.001472,0.001024,0.000352,1.193395
0.415346,0.693117,0.047394,0.000672,0.013665,0.000384,0.001472,0.000928,0.000384,1.180818
0.435666,0.693662,0.047522,0.000608,0.013856,0.000352,0.001408,0.000896,0.000384,1.202227
0.415505,0.733695,0.047586,0.000608,0.013536,0.000352,0.001440,0.000992,0.000320,1.222707
0.417169,0.700862,0.047394,0.000640,0.013569,0.000352,0.001408,0.001024,0.000384,1.190834
0.417362,0.704254,0.047458,0.000640,0.013793,0.000352,0.001504,0.001024,0.000320,1.194899
0.417106,0.699997,0.047971,0.000608,0.013984,0.000384,0.001408,0.000960,0.000352,1.190322
0.416946,0.715007,0.047554,0.000672,0.013536,0.000384,0.001504,0.001152,0.000384,1.204916
0.416306,0.699357,0.047458,0.000641,0.013600,0.000384,0.001472,0.000992,0.000352,1.188146
0.415154,0.698525,0.047874,0.000608,0.013729,0.000448,0.001408,0.001056,0.000320,1.187378
0.415826,0.733247,0.047714,0.000576,0.013601,0.000384,0.001536,0.001056,0.000352,1.221748
0.415729,0.699166,0.047394,0.000608,0.013569,0.000416,0.001376,0.001056,0.000320,1.187218
0.417362,0.716062,0.047426,0.000640,0.013633,0.000384,0.001504,0.000960,0.000352,1.205875
0.448563,0.734527,0.047746,0.000640,0.013729,0.000416,0.001472,0.001088,0.000320,1.257589
0.417138,0.719903,0.047650,0.000608,0.013856,0.000384,0.001472,0.001185,0.000352,1.211924
0.415826,0.705438,0.048322,0.000576,0.013537,0.000352,0.001504,0.001088,0.000352,1.195027
0.416498,0.701342,0.048418,0.000608,0.013600,0.000384,0.001472,0.001057,0.000320,1.191923
0.416018,0.704638,0.047490,0.000640,0.013441,0.000352,0.001504,0.001088,0.000384,1.193779
